"V1" "V2" "V3"
"1" 33.7600212097168 40.3859939575195 53.9810371398926
"2" 34.0004 40.3964 56.1142
"3" 34.4411 40.3981 58.2123
"4" 34.9156 40.3893 60.302
"5" 35.3857 40.4027 62.3965
"6" 35.7955 40.4103 64.5032
"7" 36.1594 40.3106 66.6132
"8" 36.5907 40.394 68.7121
"9" 36.9857 40.24 70.8155
"10" 37.43 40.0391 72.9058
"11" 37.8372 39.9551 75.0113
"12" 38.1092 39.8219 77.13
"13" 38.0856628417969 39.5123481750488 79.2527847290039
"14" 40.9553985595703 31.1278629302979 95.5070114135742
"15" 37.974494934082 34.6144676208496 81.172492980957
"16" 30.8949737548828 36.7427253723145 61.7242240905762
"17" 43.8421516418457 7.7197265625 80.8075485229492
"18" 44.1645 7.543 76.9034
"19" 42.7402 7.9547 73.3223
"20" 40.4025 8.6001 70.1698
"21" 38.0436 8.8616 66.9779
"22" 35.3657 8.7053 64.042
"23" 32.1543 8.4639 61.7512
"24" 28.3646 7.7383 61.8577
"25" 25.3012 6.9191 64.0067
"26" 24.115 6.2907 67.7051
"27" 24.1729 5.8327 71.6366
"28" 24.656 5.7229 75.5785
"29" 25.8601 5.2634 79.3312
"30" 28.3293 4.8314 82.3915
"31" 31.5892 4.4926 84.5952
"32" 35.366 4.6988 85.729
"33" 38.2418594360352 6.90684127807617 85.4155502319336
"34" 38.2418594360352 6.90684127807617 85.4155502319336
"35" 43.8421516418457 7.7197265625 80.8075485229492
"36" 35.94140625 22.2645988464356 36.6856918334961
"37" 35.405 20.7265 33.8814
"38" 33.7758 18.3547 35.4899
"39" 33.0674 16.1837 38.1851
"40" 32.8789 14.2996 41.12
"41" 32.051 12.6207 44.1181
"42" 30.7665 11.1838 47.0763
"43" 30.1351 9.8494 50.2622
"44" 30.196 8.9649 53.6846
"45" 31.3057 8.7478 57.0305
"46" 33.1669 8.4972 60.0068
"47" 35.4316 8.4744 62.7309
"48" 37.7247 8.5457 65.3958
"49" 39.7031 8.3699 68.3255
"50" 41.8074 8.0091 71.1442
"51" 44.0067 7.3723 73.847
"52" 46.550464630127 7.59793853759766 76.0110702514648
"53" 23.8394393920898 35.8792572021484 93.9175415039062
"54" 31.7106628417969 43.0203666687012 7.91053771972656
"55" 31.309 41.0509 8.7305
"56" 31.0399 38.9973 9.3358
"57" 31.7504 37.4293 9.2097
"58" 33.5861 36.9922 8.1353
"59" 35.398 36.6766 6.9774
"60" 37.4036 36.5685 6.1676
"61" 39.3884 36.9058 5.3766
"62" 41.4276 37.3631 4.9316
"63" 42.9869 38.7738 4.8309
"64" 43.8049 40.6921 4.2633
"65" 43.7386703491211 42.8396530151367 4.23512649536133
"66" 37.6670799255371 25.1415672302246 80.5767364501953
"67" 18.3489723205566 36.0873336791992 25.0959587097168
"68" 13.8854303359985 31.4802417755127 36.1623992919922
"69" 11.3410968780518 33.0473175048828 40.959041595459
"70" 21.1163997650146 39.0798568725586 95.8719482421875
"71" 21.6655 37.51 95.0554
"72" 22.9151 36.4459 94.2638
"73" 24.6851 35.8796 94.2284
"74" 26.3169 35.0572 93.8723
"75" 27.9416 34.2089 93.8752
"76" 29.5925 33.4376 93.9396
"77" 31.2174 33.5448 93.1344
"78" 32.8233 34.4049 93.2348
"79" 34.1176 35.4377 94.0516
"80" 34.8183 36.912 94.935
"81" 34.708610534668 38.6323738098145 95.5410614013672
"82" 15.5777626037598 25.3703155517578 41.4300765991211
"83" 35.94140625 22.2645988464356 36.6856918334961
"84" 38.0924 22.4109 35.0797
"85" 39.4669 23.1761 32.8632
"86" 40.6627 24.2087 30.6305
"87" 41.6541 25.2535 28.3058
"88" 42.5375 26.0686 25.8861
"89" 43.1384 27.417 23.5875
"90" 43.6642 28.8925 21.3551
"91" 43.9401 30.2331 18.9894
"92" 44.2565 31.5958 16.64
"93" 44.5584 33.0949 14.3726
"94" 45.0458 34.5871 12.1566
"95" 45.6631 36.2801 10.1733
"96" 46.2597 38.3804 8.5463
"97" 46.4902 40.8692 7.5135
"98" 46.5291213989258 43.5486068725586 7.38729476928711
"99" 45.3436470031738 20.3736114501953 75.0108413696289
"100" 44.971 18.1954 75.5517
"101" 44.8016 15.9703 75.5777
"102" 45.0633 13.9402 74.731
"103" 46.045 12.1423 73.8655
"104" 47.1058 10.2111 74.1718
"105" 47.7094 8.501 75.4077
"106" 48.5398 8.5566 77.3024
"107" 48.5917 10.2882 78.7806
"108" 47.8959 12.3764 79.1443
"109" 46.6035 14.2304 79.391
"110" 45.8458 16.3219 79.3218
"111" 46.129 18.3936 78.4916
"112" 46.0959 20.0662 77.1382
"113" 35.94140625 22.2645988464356 36.6856918334961
"114" 20.219669342041 35.0525817871094 22.69801902771
"115" 26.2981986999512 23.1888847351074 31.198860168457
"116" 35.3232307434082 35.164421081543 37.1692237854004
"117" 24.3310813903809 14.9040832519531 105.24584197998
"118" 19.3436717987061 35.6592025756836 23.3813552856445
"119" 17.9387 36.2202 25.3611
"120" 16.5878 36.458 27.4541
"121" 15.4651 36.0349 29.6507
"122" 14.5487 35.0346 31.7575
"123" 14.0159 33.6226 33.7673
"124" 13.9175 32.0041 35.6759
"125" 14.1809 30.0876 37.2362
"126" 15.0505 27.8852 38.0076
"127" 16.7378 26.0556 37.7636
"128" 18.6384 24.4829 37.2592
"129" 20.557 23.2799 36.2095
"130" 22.5587 22.5651 34.8826
"131" 24.4908 22.3634 33.3307
"132" 26.0066 23.1736 31.5133
"133" 27.3287 24.1568 29.6101
"134" 28.1205 25.3743 27.585
"135" 28.3545 26.7672 25.5193
"136" 27.9889 28.4459 23.7033
"137" 26.8659 30.1602 22.2671
"138" 25.2567 31.802 21.2915
"139" 23.3278 33.4058 21.3973
"140" 21.2706 34.5863 22.1634
"141" 6.3865966796875 38.5176620483398 93.9254684448242
"142" 17.7717132568359 33.983772277832 71.94091796875
"143" 29.1171607971191 39.5213203430176 36.8358192443848
"144" 33.8359832763672 40.3329124450684 54.2858581542969
"145" 27.9347763061523 34.6575622558594 43.2407569885254
"146" 14.0189628601074 31.2861347198486 36.3794288635254
"147" 17.4027595520019 25.5874671936035 37.6429481506348
"148" 27.8568592071533 25.4634952545166 63.8869552612305
"149" 27.6473560333252 23.2505226135254 78.8150939941406
"150" 27.5733 21.9144 74.9533
"151" 27.3586 20.3205 70.8732
"152" 24.7858 19.037 66.7637
"153" 21.3283 16.8601 63.961
"154" 20.2074 15.6184 60.1423
"155" 23.7316 16.2954 57.2819
"156" 25.6173 17.6344 61.0372
"157" 27.8501 20.4677 64.2666
"158" 27.8568592071533 25.4634952545166 63.8869552612305
"159" 46.550464630127 7.59793853759766 76.0110702514648
"160" 27.6473560333252 23.2505226135254 78.8150939941406
"161" 23.7260131835938 7.73968124389648 59.6766662597656
"162" 25.4634780883789 32.6530151367188 87.7890777587891
"163" 21.8934783935547 30.2224502563477 77.9289855957031
"164" 17.6024398803711 16.9546699523926 112.445610046387
"165" 6.3865966796875 38.5176620483398 93.9254684448242
"166" 6.0817 38.6763 88.5232
"167" 5.891 38.4803 83.1041
"168" 5.8598 38.502 77.684
"169" 5.9097 38.8653 72.2752
"170" 5.7822 39.1695 66.9131
"171" 6.5447 38.4311 61.6099
"172" 7.4788 36.9125 56.4926
"173" 8.4927 35.1047 51.4841
"174" 9.797 32.5408 46.9039
"175" 11.9557 28.9447 43.5731
"176" 15.5825 25.5524 41.768
"177" 19.7139 22.1235 41.1306
"178" 23.0329 18.0048 41.8991
"179" 24.2194 14.0488 45.3245
"180" 25.2342 10.9409 49.6
"181" 25.0303 9.002 54.5772
"182" 23.7260131835938 7.73968124389648 59.6766662597656
"183" 36.218677520752 26.3654155731201 44.6572341918945
"184" 37.9453 29.5338 42.3879
"185" 37.9131 31.9829 38.6423
"186" 37.6266 34.1172 34.6862
"187" 37.5008 36.0224 30.6145
"188" 37.8261 37.2206 26.2891
"189" 38.2276 37.819 21.8474
"190" 38.678 38.6868 17.4616
"191" 39.7691 39.88 13.2822
"192" 41.3881492614746 43.0038223266602 10.5423526763916
"193" 36.218677520752 26.3654155731201 44.6572341918945
"194" 31.7106628417969 43.0203666687012 7.91053771972656
"195" 41.3881492614746 43.0038223266602 10.5423526763916
"196" 38.0856628417969 39.5123481750488 79.2527847290039
"197" 31.5836963653564 41.0884056091309 52.632640838623
"198" 33.7600212097168 40.3859939575195 53.9810371398926
"199" 30.8949737548828 36.7427253723145 61.7242240905762
"200" 30.8655 37.6724 62.9855
"201" 30.9733 38.9843 63.7981
"202" 31.053 40.4493 64.3408
"203" 31.0141 41.9815 64.1789
"204" 30.8773 43.3134 63.3775
"205" 30.9871101379394 44.4548377990723 62.310733795166
"206" 21.1163997650146 39.0798568725586 95.8719482421875
"207" 16.725715637207 42.013313293457 26.0596504211426
"208" 31.7106628417969 43.0203666687012 7.91053771972656
"209" 27.925 43.1401 11.609
"210" 24.5258 43.4638 15.6552
"211" 21.5129 42.9352 20.0045
"212" 18.1675 42.5851 24.1283
"213" 15.0657 42.1976 28.4248
"214" 12.6345 41.964 33.1464
"215" 10.8517 41.662 38.147
"216" 9.5503 41.3363 43.2973
"217" 8.5992 40.8321 48.4886
"218" 7.9652 40.5516 53.754
"219" 6.9971 40.2992 58.9724
"220" 6.1063 40.023 64.2114
"221" 5.4512 39.8272 69.4887
"222" 5.2563 39.7665 74.8039
"223" 5.2483 39.3721 80.1109
"224" 5.418 39.3016 85.4279
"225" 5.9298 39.3464 90.7188
"226" 6.13555908203125 39.0295448303223 96.0249938964844
"227" 37.6830062866211 38.5795135498047 102.953750610352
"228" 9.03847885131836 40.9322204589844 45.5484619140625
"229" 6.13555908203125 39.0295448303223 96.0249938964844
"230" 43.7386703491211 42.8396530151367 4.23512649536133
"231" 46.5291213989258 43.5486068725586 7.38729476928711
"232" 15.1352100372315 37.9553070068359 127.794143676758
"233" 34.708610534668 38.6323738098145 95.5410614013672
"234" 41.2277679443359 46.4644813537598 95.8383102416992
"235" 37.913932800293 44.9293212890625 81.1278076171875
"236" 30.9871101379394 44.4548377990723 62.310733795166
"237" 44.3895111083984 71.3467636108398 84.0880508422852
"238" 44.1002 72.2772 79.8738
"239" 42.3281 71.9899 75.9199
"240" 39.7374 71.5833 72.408
"241" 36.9129 71.6331 69.0669
"242" 34.0907 72.2404 65.791
"243" 30.2031 73.1961 64.4525
"244" 26.2696 73.658 66.2013
"245" 24.3008 74.0486 70.0176
"246" 24.2712 74.531 74.2751
"247" 24.8073 74.2653 78.6055
"248" 26.1008 74.2441 82.7822
"249" 28.7056 74.6086 86.232
"250" 32.5002 74.3867 88.2908
"251" 36.6721801757812 73.6830902099609 89.1573867797852
"252" 36.6721801757812 73.6830902099609 89.1573867797852
"253" 44.3895111083984 71.3467636108398 84.0880508422852
"254" 35.4869804382324 60.7388381958008 38.8288612365723
"255" 33.8513 65.8296 38.4421
"256" 33.2718 69.258 45.5166
"257" 30.7382 71.7485 52.7705
"258" 31.7187 72.85 60.5675
"259" 36.4915 72.6231 67.127
"260" 41.3557 72.0483 73.5918
"261" 46.6874580383301 71.6865539550781 78.5188980102539
"262" 23.0191612243652 41.6090660095215 94.5251083374023
"263" 31.7106628417969 43.0203666687012 7.91053771972656
"264" 31.3276 45.0655 8.8297
"265" 31.1416 47.185 9.6666
"266" 31.8076 48.8578 9.8991
"267" 33.7637 49.2667 8.7908
"268" 35.7069 49.5835 7.6365
"269" 37.7913 49.7141 6.7477
"270" 39.8603 49.4006 5.8177
"271" 42.0145 48.7664 5.4384
"272" 43.474 47.1445 5.061
"273" 43.9815 45.0378 4.3418
"274" 43.7386703491211 42.8396530151367 4.23512649536133
"275" 37.5915260314941 53.6398239135742 80.9343795776367
"276" 17.4206161499023 47.879711151123 26.0342121124268
"277" 14.3328075408936 50.9649276733398 35.0670890808105
"278" 11.3944320678711 50.2197723388672 41.2437210083008
"279" 21.1163997650146 39.0798568725586 95.8719482421875
"280" 21.5978 40.7385 95.083
"281" 23.1058 41.5855 94.5519
"282" 24.895 42.1624 94.2067
"283" 26.4938 43.0761 93.7029
"284" 28.1777 43.8977 93.977
"285" 29.8304 44.6283 94.0242
"286" 31.4548 44.2445 93.2646
"287" 33.0318 43.2767 93.6556
"288" 34.0729 42.0483 94.646
"289" 34.7649 40.4933 95.4762
"290" 34.708610534668 38.6323738098145 95.5410614013672
"291" 15.2281551361084 57.8625793457031 43.2303848266602
"292" 35.4869804382324 60.7388381958008 38.8288612365723
"293" 38.0218 60.8884 37.1065
"294" 39.6575 60.3053 34.5636
"295" 40.9545 59.3565 31.9089
"296" 42.2027 58.4188 29.2253
"297" 42.9915 57.2878 26.4525
"298" 43.5502 56.0348 23.6669
"299" 43.9041 54.7372 20.871
"300" 44.2126 53.4242 18.0725
"301" 44.5807 52.0705 15.2985
"302" 45.1304 50.6696 12.5841
"303" 45.8549 48.8715 10.1865
"304" 46.4178 46.5034 8.3034
"305" 46.5291213989258 43.5486068725586 7.38729476928711
"306" 44.4349479675293 60.4817428588867 77.4604034423828
"307" 43.7519 62.627 77.4278
"308" 44.4891 64.7886 77.7597
"309" 45.2734 66.7305 76.7448
"310" 46.4662 68.6616 76.8065
"311" 47.3319 70.5597 77.8763
"312" 48.2476 70.5253 79.8817
"313" 48.2722 68.9599 81.5521
"314" 47.4522 66.9274 82.1132
"315" 46.2259 64.9597 81.8506
"316" 45.5692 62.7637 81.5638
"317" 45.7026 60.6291 80.6711
"318" 45.3388 59.2518 78.9334
"319" 35.4869804382324 60.7388381958008 38.8288612365723
"320" 20.8064918518066 49.974006652832 23.0137310028076
"321" 26.3534603118896 60.629508972168 32.8655700683594
"322" 35.2286567687988 48.210765838623 38.3383750915527
"323" 22.6046657562256 63.0884475708008 108.509857177734
"324" 19.7021980285644 49.1476135253906 23.6236171722412
"325" 18.1072 48.3731 25.4835
"326" 16.6749 47.9908 27.624
"327" 15.5191 48.2297 29.9295
"328" 14.7976 49.1716 32.2377
"329" 14.2561 50.4805 34.4145
"330" 14.1865 52.032 36.5014
"331" 14.4724 53.9602 38.1552
"332" 15.6951 56.091 38.8631
"333" 17.483 57.8992 38.6326
"334" 19.4713 59.4173 37.9323
"335" 21.6034 60.5266 36.933
"336" 23.7104 61.0148 35.5851
"337" 25.5662 60.9038 33.7841
"338" 27.0605 60.1464 31.7906
"339" 28.1906 59.1727 29.6798
"340" 28.6518 57.9866 27.4384
"341" 28.4111 56.5682 25.2965
"342" 27.4516 55.0077 23.4688
"343" 25.8063 53.4632 22.2095
"344" 23.7925 51.8662 21.9661
"345" 21.7341 50.4644 22.6653
"346" 6.8022346496582 39.7728729248047 94.1232299804688
"347" 18.2928657531738 46.2228584289551 73.4444046020508
"348" 29.3128204345703 43.7253837585449 36.7389183044434
"349" 33.8224945068359 40.4031677246094 54.5043411254883
"350" 27.06201171875 48.294490814209 44.7397117614746
"351" 14.3773536682129 50.970272064209 35.1064758300781
"352" 17.4003086090088 57.9790840148926 38.8983917236328
"353" 28.3061714172363 54.8701553344727 66.3531799316406
"354" 26.8623275756836 55.5232467651367 80.3173294067383
"355" 27.4478 57.9565 76.723
"356" 26.0935 58.8999 72.2841
"357" 24.184 60.9876 68.4947
"358" 21.117 63.2676 65.6078
"359" 20.1189 64.7897 62.0443
"360" 23.5516 64.3775 59.3743
"361" 25.5917 62.57 63.1276
"362" 27.4434 59.4559 66.1765
"363" 28.3061714172363 54.8701553344727 66.3531799316406
"364" 46.6874580383301 71.6865539550781 78.5188980102539
"365" 26.8623275756836 55.5232467651367 80.3173294067383
"366" 24.5943984985352 73.5198669433594 62.1405601501465
"367" 24.582555770874 45.3867645263672 88.4115447998047
"368" 21.6003570556641 48.7016830444336 78.9828262329102
"369" 16.860107421875 60.4671936035156 113.113296508789
"370" 6.8022346496582 39.7728729248047 94.1232299804688
"371" 6.071 39.8405 88.7974
"372" 5.7991 40.0591 83.3729
"373" 5.6549 40.2894 77.9429
"374" 5.5824 40.5697 72.5214
"375" 5.7617 40.9514 67.1196
"376" 6.461 42.092 61.8643
"377" 7.2901 44.0574 56.8705
"378" 8.2881 46.5021 52.1284
"379" 9.4328 49.2224 47.602
"380" 11.3376 53.1431 44.4668
"381" 14.6172 57.1651 43.1734
"382" 18.8155 60.5753 42.771
"383" 22.38 64.4274 44.0436
"384" 24.393 67.9078 47.6672
"385" 25.6215 70.876 52.0033
"386" 25.8743 72.5901 57.0535
"387" 24.5943984985352 73.5198669433594 62.1405601501465
"388" 36.5453300476074 55.7585678100586 45.4573669433594
"389" 37.7656 52.3136 43.7228
"390" 37.5975 50.7045 39.5297
"391" 37.4513 49.0682 35.3398
"392" 37.3926 47.6025 31.1116
"393" 37.5236 46.5295 26.8142
"394" 37.9274 46.3173 22.3448
"395" 38.445 46.0657 17.8963
"396" 39.6207 45.6079 13.5966
