"V1" "V2" "V3"
"1" 39.0468826293945 20.5733795166016 62.6520919799805
"2" 38.9325 20.0338 63.9196
"3" 38.9066 19.451 65.1719
"4" 38.8649 18.7449 66.3563
"5" 38.8446 18.3334 67.6753
"6" 38.7774 17.9275 68.9919
"7" 38.729 17.5103 70.3074
"8" 38.7289 17.0896 71.6237
"9" 38.6768 16.6984 72.9483
"10" 38.6996 16.3573 74.2859
"11" 38.6411 16.1499 75.6486
"12" 38.6135 16.5824 76.8465
"13" 38.5766792297363 17.6736030578613 77.6943511962891
"14" 30.7409973144531 13.9070014953613 88.3427886962891
"15" 32.7493095397949 14.5325164794922 81.5840301513672
"16" 34.100528717041 29.336784362793 60.6361541748047
"17" 5.78475952148438 17.3174018859863 78.2336883544922
"18" 6.7679 17.4711 74.6671
"19" 7.5576 17.753 71.0759
"20" 7.7796 18.7416 67.5327
"21" 8.2208 20.847 64.5731
"22" 8.4519 24.0417 62.8236
"23" 8.2992 27.5905 62.2005
"24" 8.4756 31.2247 62.8105
"25" 8.2982 34.3447 64.6566
"26" 9.0742 35.993 67.8442
"27" 9.988 37.2567 71.2011
"28" 10.1562 37.9305 74.8246
"29" 10.0597 37.7892 78.5024
"30" 9.1089 35.7112 81.2288
"31" 7.09 33.2156 83.0078
"32" 5.6999 30.0859 83.5177
"33" 5.59504699707031 26.7151641845703 82.3116302490234
"34" 5.59504699707031 26.7151641845703 82.3116302490234
"35" 5.78475952148438 17.3174018859863 78.2336883544922
"36" 13.5000801086426 21.5258712768555 38.0968780517578
"37" 13.9732 22.9166 37.1298
"38" 13.9538 25.255 37.2934
"39" 13.3416 27.471 38.189
"40" 12.9486 29.2345 39.8505
"41" 11.9629 29.9701 41.8992
"42" 10.7939 30.2313 44.0666
"43" 9.6097 30.5096 46.2242
"44" 8.5434 30.6396 48.4388
"45" 7.8266 29.9975 50.6408
"46" 7.3955 28.753 52.738
"47" 7.1989 27.2664 54.6486
"48" 7.0857 25.1737 55.9602
"49" 6.8599 23.2187 57.4654
"50" 6.8086 21.0726 58.6963
"51" 6.8443 19.2283 60.2421
"52" 6.94858741760254 17.8747215270996 62.3162002563477
"53" 34.0513343811035 31.0996608734131 94.3419418334961
"54" 41.0911827087402 40.6988639831543 7.65122604370117
"55" 38.9434 40.4935 7.7425
"56" 37.0369 39.8079 7.0367
"57" 35.1878 38.4913 6.23
"58" 33.9578 36.5869 6.2412
"59" 33.3735 34.2865 6.7067
"60" 33.3067 32.1545 5.6594
