"V1" "V2" "V3"
"1" 67.5656967163086 125.761787414551 60.7935638427734
"2" 66.9343 126.5966 60.0199
"3" 66.3164 127.4426 59.2508
"4" 66.0268 128.6155 58.8102
"5" 65.8016 129.7949 58.4132
"6" 66.0461 130.8285 58.5534
"7" 66.8092 131.2074 59.511
"8" 67.581 131.4175 60.5367
"9" 68.3369 131.7856 61.5216
"10" 69.038 131.8002 62.607
"11" 69.7988 131.7237 63.6517
"12" 70.5359 131.829 64.7192
"13" 71.2731018066406 131.934265136719 65.7868041992188
"14" 86.984619140625 156.655639648438 44.9692535400391
"15" 71.9127349853516 141.402587890625 51.8415985107422
"16" 89.187629699707 121.294410705566 77.6614379882812
"17" 111.335037231445 148.678527832031 13.1424560546875
"18" 113.8163 144.814 15.3079
"19" 116.8739 141.7133 17.8295
"20" 120.999 139.7466 19.8709
"21" 125.5952 139.3282 21.9314
"22" 129.9033 140.1734 24.4795
"23" 133.4701 142.9044 26.8823
"24" 136.9587 145.664 29.365
"25" 139.6066 149.3789 31.605
"26" 142.4006 153.4379 32.6893
"27" 144.2913 158.0106 33.0529
"28" 144.0639 162.9961 32.3589
"29" 141.9996 166.8442 29.898
"30" 138.37 169.1383 27.1574
"31" 133.7035 168.7514 25.1615
"32" 128.8259 168.4552 24.2216
"33" 123.772720336914 167.907836914062 24.5677337646484
"34" 123.772720336914 167.907836914062 24.5677337646484
"35" 111.335037231445 148.678527832031 13.1424560546875
"36" 94.3755264282227 73.0395660400391 22.8693237304688
"37" 98.2735 75.5626 20.4689
"38" 101.7807 79.095 18.9737
"39" 104.9277 82.6328 16.7778
"40" 108.6693 85.9403 15.4098
"41" 113.0288 88.7715 15.0568
"42" 115.6554 93.0931 13.8579
"43" 117.3984 97.8755 12.9296
"44" 118.2262 102.9471 11.9845
"45" 118.7142 107.9002 10.3877
"46" 118.6781 112.9884 9.2441
"47" 118.0698 118.0594 8.2414
"48" 116.7153 122.9975 7.2065
"49" 114.6721 127.7504 6.5327
"50" 112.3941 132.4085 5.9342
"51" 109.3395 136.4794 4.8624
"52" 106.631988525391 140.450546264648 2.81712341308594
"53" 95.2666702270508 163.879058837891 81.9576034545898
"54" 101.64266204834 34.7314605712891 100.135765075684
"55" 105.0948 33.6884 97.5373
"56" 107.4302 32.8621 93.8196
"57" 109.3763 33.0768 89.7881
"58" 110.257 33.1404 85.806
"59" 108.2089 31.2829 82.2665
"60" 106.5044 27.9822 79.7978
"61" 103.6355 24.9209 78.2034
"62" 100.4556 22.052 77.64
"63" 97.0752 20.838 79.8266
"64" 93.929 21.3671 82.9456
"65" 91.1854629516602 22.5477523803711 86.3023529052734
"66" 80.9193572998047 150.790939331055 44.1005554199219
"67" 136.085723876953 73.25927734375 92.6470718383789
"68" 136.196380615234 73.4110565185547 92.7048263549805
"69" 141.486312866211 90.2981262207031 95.3728332519531
"70" 93.3647079467773 169.132919311523 90.3385620117188
"71" 94.4384 167.6953 87.4719
"72" 94.5842 165.1022 85.2609
"73" 94.8762 163.6654 82.1869
"74" 94.8917 162.3743 79.1048
"75" 94.3205 162.0163 75.7651
"76" 93.4278 160.0367 73.2401
"77" 91.5895 158.0602 71.2614
"78" 88.2928 157.8938 71.2812
"79" 85.1293 158.9158 72.107
"80" 82.1909 158.3489 73.3393
