"V1" "V2" "V3"
"1" 17.6247940063477 15.9462785720825 23.6575622558594
"2" 17.695 15.9798 25.1018
"3" 17.8434 15.9223 26.5424
"4" 17.965 15.9033 27.9858
"5" 18.0604 15.9193 29.4303
"6" 18.2048 15.9677 30.8718
"7" 18.2694 15.9317 32.3141
"8" 18.4282 15.8625 33.7446
"9" 18.5299 15.7544 35.1849
"10" 18.5842 15.7212 36.6302
"11" 18.6762 15.6638 38.0742
"12" 18.7435 15.558 39.5149
"13" 18.8791618347168 15.3085479736328 40.9306411743164
"14" 24.2067432403564 13.3215770721436 48.365234375
"15" 20.8824501037598 15.3630485534668 40.9021949768066
"16" 20.7963428497314 14.8538932800293 32.0167846679688
"17" 32.6051483154297 20.0282402038574 38.6347999572754
"18" 32.29 21.1995 37.7094
"19" 31.9085 22.1835 36.5362
"20" 31.761 22.4157 34.9996
"21" 32.1158 21.831 33.5682
"22" 32.4423 20.791 32.4427
"23" 32.7511 19.4546 31.6311
"24" 33.2793 17.9999 31.4596
"25" 33.8574 16.7549 32.2699
"26" 34.1891 15.93 33.5885
"27" 34.2719 15.2829 35.0428
"28" 34.41 14.956 36.604
"29" 34.3449 14.9542 38.1748
"30" 34.3155 15.7407 39.5027
"31" 33.8201 17.204 39.8102
"32" 33.0972 18.5366 39.4242
"33" 32.6672515869141 19.8854389190674 38.7215118408203
"34" 32.6672515869141 19.8854389190674 38.7215118408203
"35" 32.6051483154297 20.0282402038574 38.6347999572754
"36" 29.5448780059814 18.2173690795898 16.0936679840088
"37" 27.7757 15.3642 16.485
"38" 26.3951 12.641 18.0499
"39" 25.2026 11.0671 20.8323
"40" 23.8905 9.8242 23.7606
"41" 22.9339 8.4121 26.7622
"42" 22.266 7.5466 30.0138
"43" 21.6096 6.6053 33.2501
"44" 21.1744 5.6863 36.5469
"45" 23.4294 6.8594 37.7104
"46" 26.4282 8.5422 38.1042
"47" 29.4269 10.2249 38.4981
"48" 32.4257 11.9077 38.8919
"49" 33.9936 13.533 37.6641
"50" 34.135 14.6396 34.41
"51" 33.62 16.4387 31.5318
"52" 32.8290176391602 19.4622688293457 30.3333015441894
"53" 20.96266746521 4.32815647125244 49.1305694580078
"54" 17.2180042266846 12.4223566055298 4.38727474212646
"55" 18.0702 12.7438 4.3475
"56" 18.9131 13.0283 4.5528
"57" 19.6684 13.4697 4.8162
