"V1" "V2" "V3"
"1" 73.8620071411133 65.3082275390625 113.4580078125
"2" 73.6335 64.3673 115.2505
"3" 73.5566 63.4742 117.0773
"4" 73.707 62.6734 118.9411
"5" 73.6533 61.8989 120.8123
"6" 73.7303 60.9932 122.5623
"7" 73.8949 60.1173 124.3641
"8" 74.039 59.3684 126.251
"9" 74.031 58.7987 128.1992
"10" 73.7609 59.4401 128.7055
"11" 73.572 60.9187 127.3271
"12" 73.7396 62.5993 126.393
"13" 74.0993499755859 64.6044387817383 126.422241210938
"14" 53.3184204101562 62.5503463745117 150.601470947266
"15" 58.0453033447266 59.9066772460938 137.297164916992
"16" 69.4001388549805 85.9630737304688 105.878021240234
"17" 17.4527091979981 62.9360580444336 125.506790161133
"18" 17.6736 64.5455 120.7006
"19" 18.4094 67.4526 116.7079
"20" 19.0147 71.7597 114.1758
"21" 18.8735 76.7257 113.5963
"22" 18.7777 81.557 115.144
"23" 18.7 85.7136 118.0139
"24" 18.6293 89.3378 121.5684
"25" 18.2102 92.362 125.6163
"26" 18.1857 94.509 130.1672
"27" 18.0285 95.9216 135.0241
"28" 17.6269 96.1126 140.0516
"29" 17.2261 94.1059 144.5322
"30" 16.9396 89.8182 146.2429
"31" 16.6264 84.7779 145.8667
"32" 16.2628 79.9301 144.5695
"33" 16.1471710205078 75.7252044677734 141.837554931641
"34" 16.1471710205078 75.7252044677734 141.837554931641
"35" 17.4527091979981 62.9360580444336 125.506790161133
"36" 25.9678688049316 54.092414855957 61.7461242675781
"37" 24.5835 54.1819 65.654
"38" 23.0046 54.2716 69.4105
"39" 22.0406 53.1354 73.2289
"40" 20.846 54.1009 77.0385
"41" 19.3956 57.7416 78.5232
"42" 17.9869 60.2427 81.3606
"43" 17.0382 60.8272 85.4025
"44" 17.4147 60.5608 89.5414
"45" 17.2605 60.0637 93.5729
"46" 16.8739 59.4797 97.7047
"47" 16.5437 58.9827 101.8532
"48" 16.3199 58.0691 105.9345
"49" 16.1586 56.7871 109.9079
"50" 16.2388 54.8828 113.579
"51" 16.6449 52.472 116.9329
"52" 16.6549034118652 48.7880592346191 118.883010864258
"53" 73.1160888671875 103.412460327148 157.7158203125
"54" 74.3430023193359 92.8610687255859 13.0223846435547
"55" 69.8353 94.3637 12.8441
"56" 65.2306 93.3036 13.4886
"57" 61.2007 92.4094 15.4979
"58" 58.993 88.4077 16.8605
"59" 58.3975 84.1538 15.1837
"60" 58.4663 80.1264 12.4801
"61" 59.3121 76.0439 10.0584
"62" 62.0637 73.0073 7.9816
"63" 64.3621 69.9509 6.5572
"64" 68.8944 70.3007 6.0484
"65" 72.6898498535156 72.0631408691406 6.5595703125
"66" 50.2366065979004 58.2723999023438 133.710876464844
"67" 46.4842224121094 119.18968963623 45.8043365478516
"68" 42.0167007446289 120.067939758301 52.5366172790527
"69" 50.2024192810059 133.565719604492 73.8220291137695
"70" 78.5834884643555 106.286758422852 159.53955078125
"71" 75.7222 107.4328 159.175
"72" 73.5405 105.0051 158.698
"73" 72.553 101.873 156.8124
"74" 71.2542 98.8033 154.9836
"75" 69.1379 95.8328 153.934
"76" 66.853 93.0209 153.0861
"77" 65.6431 89.8132 151.5212
"78" 66.2773 86.1987 151.129
"79" 68.6171 83.3466 152.0112
"80" 71.7241 81.3822 152.8331
"81" 75.3601455688477 80.570915222168 153.634735107422
"82" 14.156795501709 101.307258605957 104.723526000977
"83" 25.9678688049316 54.092414855957 61.7461242675781
"84" 28.4981 50.6466 58.751
"85" 31.0494 47.6029 55.3996
"86" 33.1281 46.7562 50.8352
"87" 34.8806 47.3633 45.9263
"88" 36.758 47.5651 41.0502
"89" 38.8215 47.9142 36.2506
"90" 41.0771 48.1726 31.5429
"91" 43.6097 47.5004 27.0858
"92" 46.4104 47.4372 22.6611
"93" 49.4302 47.2442 18.3727
"94" 52.7573 46.8311 14.4867
"95" 56.7126 46.6819 11.1041
"96" 61.06 47.5475 8.3242
"97" 65.3023 49.5422 5.9978
"98" 70.1911697387695 50.2556686401367 5.23630380630493
"99" 37.0771789550781 45.092601776123 119.780555725098
"100" 33.5586 45.9498 118.5511
"101" 29.7603 47.2388 119.4041
"102" 25.8035 46.7529 118.7028
"103" 21.689 46.8115 119.1487
"104" 17.6516 46.9701 120.1815
"105" 15.8073 46.484 123.4887
"106" 17.1955 44.6592 126.581
"107" 21.1778 44.0367 127.6383
"108" 25.1606 44.5197 127.2538
"109" 28.8171 45.0294 125.7636
"110" 32.2395 44.5372 127.8148
"111" 36.0344 43.8606 126.8911
"112" 38.192 44.6973 123.5164
"113" 25.9678688049316 54.092414855957 61.7461242675781
"114" 52.0741195678711 96.9263916015625 26.2641868591309
"115" 32.588306427002 71.9037399291992 51.9173164367676
"116" 61.2741088867188 68.9395751953125 35.7026290893555
"117" 37.0346488952637 73.5838012695312 152.65934753418
"118" 52.0625 100.541381835938 27.4557876586914
"119" 51.1333 107.3607 30.856
"120" 50.0699 113.1604 35.8416
"121" 47.6213 117.516 41.6875
"122" 44.7013 120.3184 48.2809
"123" 39.8438 120.3693 54.3283
"124" 33.3548 120.0076 58.4776
"125" 28.9933 118.8752 64.6979
"126" 27.345 117.5577 72.0531
"127" 25.0076 113.065 77.2004
"128" 22.1769 106.1347 76.8713
"129" 21.0007 98.7666 74.8062
"130" 21.4941 91.5672 72.118
"131" 22.7696 85.0192 68.3392
"132" 24.9547 79.2413 63.8417
"133" 27.5427 74.0562 58.887
"134" 31.3544 71.533 52.6763
"135" 35.2175 70.5989 46.0078
"136" 39.4339 71.4653 39.5977
"137" 43.7632 74.3312 33.8386
"138" 48.1626 79.2401 29.9673
"139" 51.4076 85.4537 26.7422
"140" 52.2756 93.0151 25.501
"141" 73.4531555175781 135.135452270508 176.054702758789
"142" 63.9551442464193 105.683624267578 114.611043294271
"143" 69.1549987792969 82.1110458374023 39.5345115661621
"144" 70.9840469360352 71.4496765136719 73.1827545166016
"145" 66.6941986083984 83.2364807128906 91.1844024658203
"146" 42.0762901306152 120.180519104004 52.4664840698242
"147" 20.5035781860352 98.8646621704102 75.0581665039062
"148" 44.2549819946289 86.6135406494141 115.114570617676
"149" 48.4157447814941 94.7953796386719 130.143249511719
"150" 46.2413 94.3454 129.1411
"151" 44.49 93.8922 127.5593
"152" 43.6936 93.7436 125.3064
"153" 43.8818 93.4526 122.9618
"154" 43.1958 92.6207 120.9651
"155" 42.3527 91.5869 119.0192
"156" 42.4736 90.3398 116.963
"157" 42.883 88.3426 115.7476
"158" 44.2549819946289 86.6135406494141 115.114570617676
"159" 16.6549034118652 48.7880592346191 118.883010864258
