"V1" "V2" "V3"
"1" 17766.623046875 29614.30859375 15561.00390625
"2" 18233.6879 29953.5294 15449.9855
"3" 18368.6219 30510.7376 15384.3482
"4" 18533.6752 31055.4118 15320.2375
"5" 18674.0032 31615.642 15240.7838
"6" 18778.8629 32185.8916 15158.587
"7" 18912.5495 32734.351 15000.8156
"8" 19103.5075 33266.4074 14844.694
"9" 19148.9098 33837.3983 14713.83
"10" 19237.1607 34409.6778 14616.6923
"11" 19358.5131 34980.1001 14601.5185
"12" 19450.1679 35540.122 14740.228
"13" 19548.033203125 36113.390625 14820.232421875
"14" 23245.892578125 39924.15234375 14031.330078125
"15" 22508.068359375 35830.9375 14004.5771484375
"16" 20803.986328125 28046.640625 20070.166015625
"17" 32054.1796875 33704.1953125 16294.505859375
"18" 31767.9764 32721.3339 15378.4424
"19" 32280.8807 31840.9001 14447.0361
"20" 32797.5236 31001.152 13619.195
"21" 33172.1954 29785.169 13969.9323
"22" 33101.0939 28691.2584 14834.1088
"23" 33101.4993 27820.0019 15921.5869
"24" 33116.5581 27636.9674 17304.3038
"25" 33070.1341 27920.5712 18647.2503
"26" 32914.9851 28668.3109 19802.1549
"27" 32833.3578 29785.3028 20620.3051
"28" 32649.3372 31101.6911 21028.5645
"29" 32549.2462 32443.8545 20810.1899
"30" 32548.0692 33564.1278 19975.8076
"31" 32687.4426 34277.1344 18810.1529
"32" 32750.2715 34251.2994 17474.2821
"33" 32110.05078125 33742.4609375 16428.34765625
"34" 32110.05078125 33742.4609375 16428.34765625
"35" 32054.1796875 33704.1953125 16294.505859375
"36" 30647.62109375 16408.181640625 12549.6044921875
"37" 30250.2375 15551.9304 13810.3084
"38" 29974.4488 14909.3971 15171.3738
"39" 30401.2887 15668.5256 16511.1964
"40" 30862.4672 16553.2506 17831.4576
"41" 31074.0532 17062.2601 19319.6456
"42" 31717.8957 18089.8652 20398.9653
"43" 32353.4386 19580.6883 20737.9088
"44" 32835.9371 21150.8948 20743.2979
"45" 33167.6057 22666.2927 20204.8303
"46" 33270.8092 24138.9185 19466.1105
"47" 33295.263 25407.2871 18403.7859
"48" 33231.9643 26428.3298 17103.8553
"49" 33301.9365 27214.2216 15649.7067
"50" 33337.745 28227.072 14346.2301
"51" 33443.9005 28949.6856 12883.3395
"52" 33832.828125 28622.796875 11354.109375
"53" 23416.537109375 40866.04296875 21897.8125
"54" 14413.052734375 3520.78515625 26282.02734375
"55" 16029.6552 2855.7386 26081.5321
"56" 17780.0397 3137.8425 25955.5315
"57" 19134.1945 3326.9063 25171.4126
"58" 19831.0603 3163.4016 23626.4487
"59" 20085.2665 3113.3899 21897.663
"60" 19758.9085 2297.2519 20373.4687
"61" 19485.0656 1631.3297 18747.3847
"62" 18761.2537 1032.7339 17246.9394
"63" 17330.6575 766.3243 16317.8778
"64" 15655.2536 549.5671 16054.8041
"65" 14116.712890625 973.20263671875 15672.341796875
"66" 25929.39453125 33663.0078125 14116.4287109375
"67" 21257.138671875 10035.4765625 27689.39453125
"68" 22729.486328125 17774.25390625 29258.65234375
"69" 21452.91796875 20016.8671875 29918.625
"70" 20732.359375 43970.35546875 24706.705078125
"71" 21666.1684 43784.2939 24194.4324
"72" 22177.344 42984.8075 23667.7346
"73" 22452.2178 42052.6769 23127.7341
"74" 22844.6863 41233.6568 22493.9803
"75" 23285.4164 40755.7809 21600.5376
"76" 23736.1699 40497.6803 20632.7095
"77" 23609.4556 40465.7264 19555.4726
"78" 23053.5907 40816.7756 18660.1215
"79" 22350.5967 41071.6719 17839.6653
"80" 21468.1788 41406.2783 17269.1685
"81" 20418.146484375 41680.47265625 17043.01953125
"82" 32305.47265625 19780.50390625 21916.625
"83" 30647.62109375 16408.181640625 12549.6044921875
"84" 29676.1704 15504.6896 12044.3486
"85" 28881.5068 14111.6389 12294.1145
"86" 27964.6018 12807.0121 12602.5058
"87" 26872.6354 11618.7181 12800.917
"88" 25775.8283 10435.3341 12936.2507
"89" 24801.968 9134.7776 12894.4884
"90" 23706.3763 7935.5584 12907.3339
"91" 22699.0428 6676.3433 12805.0234
"92" 21687.4669 5417.0324 12759.9388
"93" 20543.3421 4272.7873 12874.0879
"94" 19459.3686 3148.2693 12579.3139
"95" 18357.4784 2282.258 12016.7908
"96" 17065.4527 1688.4432 12770.0981
"97" 15555.0521 1293.4481 13022.3488
"98" 14050.083984375 1109.2255859375 13419.2099609375
"99" 29454.08984375 29332.791015625 8919.328125
"100" 30143.8309 28651.197 9220.5844
"101" 31036.2415 28741.2872 9553.829
"102" 31657.5147 29170.8475 10120.1637
"103" 32276.0531 28476.6585 10386.5723
"104" 33205.6672 28243.9092 10161.0362
"105" 34010.1177 28581.9899 9723.3766
"106" 34164.9792 29398.6042 9167.8795
"107" 33587.6405 30016.8039 8958.0278
"108" 32784.9475 30446.5739 9310.5459
"109" 32238.9934 30870.9033 8599.5063
"110" 31387.1154 30920.349 8088.6218
"111" 30382.9768 30818.8803 8151.6
"112" 29633.7946 30209.5872 8454.8026
"113" 30647.62109375 16408.181640625 12549.6044921875
"114" 21798.8828125 7982.46240234375 25545.609375
"115" 28251.1484375 14112.125 18920.08984375
"116" 21464.078125 14887.9267578125 15986.166015625
"117" 30450.74609375 40053.234375 17761.59765625
"118" 21546.87109375 8471.9375 26111.25
"119" 21301.8327 9656.2364 27389.6518
"120" 21228.9452 11467.7933 28053.2887
"121" 21106.1024 13289.2858 28680.3969
"122" 21085.9991 15128.9324 29185.5352
"123" 21873.6723 16836.7378 29262.3019
"124" 23463.8483 17906.4326 29396.7452
"125" 25257.0499 18455.1922 29047.5519
"126" 27056.0102 18615.3204 28427.7255
"127" 28299.0517 18755.5129 26973.1776
"128" 29427.7767 18541.9667 25458.844
"129" 30249.9488 17957.8137 23822.0299
"130" 30343.4741 17086.4505 22122.4829
"131" 29763.4597 15891.1165 20733.3647
"132" 28898.1386 14687.0417 19498.0126
"133" 27900.7637 13505.0496 18341.6104
"134" 26752.3501 12118.5596 17724.7057
"135" 25671.8003 10572.2787 17349.9538
"136" 24584.6067 9226.646 18080.0559
"137" 23584.5362 7965.2588 19129.8267
"138" 22833.0044 7377.5609 20779.009
"139" 22256.1665 7272.0604 22604.5182
"140" 21909.5789 7547.762 24467.7595
"141" 20569.728515625 45140.6796875 29079.99609375
"142" 24103.826171875 35080.890625 22131.107421875
"143" 18476.2109375 12811.51171875 19544.76953125
"144" 18701.42578125 23733.02734375 18870.15625
"145" 21180.83984375 23852.6875 20117.529296875
"146" 22817.181640625 17822.884765625 29445.580078125
"147" 30372.9375 17362.744140625 22989.5
"148" 25348.361328125 29365.73828125 18699.984375
"149" 26321.31640625 35364.11328125 20938.435546875
"150" 26616.7262 34224.4464 21640.3146
"151" 26473.6356 32913.4224 21854.6006
"152" 26152.8265 31583.0252 21845.4818
"153" 26404.0971 30270.4319 21839.1663
"154" 26835.7091 28999.4441 21879.4028
"155" 26768.7136 27887.4739 21195.4529
"156" 25926.4311 27900.4198 20171.6126
