"V1" "V2" "V3"
"1" 54.2755966186523 40.5941162109375 23.0557861328125
"2" 54.1549 43.9017 22.8961
"3" 53.9675 47.1585 22.2641
"4" 53.8176 50.4345 21.7081
"5" 53.6486 53.7142 21.1834
"6" 53.4627 56.9696 20.5346
"7" 53.2891 60.2278 19.8868
"8" 53.2316 63.5042 19.3149
"9" 53.1446 66.7837 18.7682
"10" 52.8821 70.0076 18.0032
"11" 52.7408 73.2973 17.5963
"12" 52.6508 76.5659 16.9841
"13" 52.1353721618652 79.7599258422852 16.2840156555176
"14" 55.8813629150391 97.0975570678711 17.4333229064941
"15" 57.1900978088379 82.3764419555664 18.4537467956543
"16" 55.2889823913574 68.6759185791016 21.7597465515137
"17" 99.3000564575195 73.8728256225586 15.1117029190063
"18" 98.1482 71.7091 12.9808
"19" 96.4153 69.0797 12.5348
"20" 96.2165 65.8636 13.5489
"21" 96.2797 63.0306 15.4542
"22" 96.5622 60.8615 18.0566
"23" 97.0086 59.6494 21.1827
"24" 97.6973 59.7265 24.5035
"25" 99.0693 61.1872 27.1875
"26" 100.752 63.692 28.7198
"27" 101.5642 66.9168 29.3896
"28" 102.117 70.2408 29.0142
"29" 102.9474 72.9059 27.3
"30" 103.1569 74.7994 24.5518
"31" 101.5807 75.1331 21.6527
"32" 100.7065 74.2839 18.4558
"33" 99.3365707397461 73.8353729248047 15.3619441986084
"34" 99.3365707397461 73.8353729248047 15.3619441986084
"35" 99.3000564575195 73.8728256225586 15.1117029190063
"36" 84.7143173217773 34.0798492431641 31.107234954834
"37" 83.4666 40.6951 27.6866
"38" 82.5168 48.2531 24.8699
"39" 74.9604 46.139 25.6221
"40" 68.0226 49.4742 27.2195
"41" 64.5586 56.9111 27.2895
"42" 62.4527 64.5461 29.6081
"43" 62.5982 71.238 34.1614
"44" 65.5901 78.1673 37.7456
"45" 72.4999 81.9305 37.9379
"46" 80.4982 79.9353 36.6235
"47" 88.1649 77.573 34.4513
"48" 94.7544 73.0034 32.2284
"49" 100.0397 66.7104 31.5162
"50" 99.0385 58.7901 30.5083
"51" 96.6427 55.9366 24.2354
"52" 96.1291275024414 58.2067909240723 16.2255744934082
"53" 51.8358268737793 97.5419845581055 35.6806526184082
"54" 55.020679473877 11.4958076477051 34.0321846008301
"55" 56.6152 11.5303 34.3475
"56" 58.1931 11.153 34.3057
"57" 59.6911 10.9625 34.0373
"58" 61.0331 10.8049 33.2114
"59" 61.6672 10.3897 32.0638
"60" 60.8661 9.5368 31.0272
"61" 60.1617 9.1888 29.6374
"62" 59.0134 8.6376 28.6876
"63" 57.5798 7.9992 28.2934
"64" 56.0821 7.4544 28.3295
"65" 54.5778160095215 7.08506011962891 28.8482971191406
"66" 64.8603210449219 75.4882965087891 22.3522548675537
"67" 65.2004776000977 24.1275177001953 34.6972770690918
"68" 66.2652893066406 26.5312843322754 34.2016754150391
"69" 64.3015213012695 43.7810859680176 27.2713165283203
"70" 52.3170928955078 97.8783874511719 31.0230503082275
"71" 53.4475 97.4851 30.3962
"72" 54.5934 97.5155 29.6991
"73" 55.598 97.3733 28.8134
"74" 56.5235 97.2346 27.8411
"75" 56.7166 96.5096 26.8041
"76" 56.5118 96.2668 25.5857
"77" 56.0643 96.9558 24.5326
"78" 55.688 97.8842 23.6326
"79" 55.0607 98.8334 22.97
"80" 53.7678 99.1328 22.727
"81" 52.4799842834473 98.7719116210938 22.9048004150391
"82" 83.3999862670898 40.7056007385254 27.4969501495361
"83" 84.7143173217773 34.0798492431641 31.107234954834
"84" 84.4888 31.5055 30.4606
"85" 83.093 29.3207 29.6443
"86" 81.4656 27.1927 29.2368
"87" 79.5868 25.3444 28.5696
"88" 77.6353 23.4957 28.1504
"89" 75.9631 21.4558 27.547
"90" 73.8801 19.7872 27.0146
"91" 71.5985 18.3485 26.6952
"92" 69.3129 16.9076 26.5027
"93" 66.8468 15.8091 26.5562
"94" 64.5952 14.3548 26.5272
"95" 62.0809 13.3051 26.4825
"96" 59.7586 11.9111 26.2921
"97" 57.5312 10.5369 25.5967
"98" 54.9069480895996 10.2057485580444 25.2279720306396
"99" 86.2634429931641 64.0024108886719 8.49730682373047
"100" 88.6741 64.739 9.1318
"101" 90.5439 64.3082 10.7344
"102" 92.7832 63.1394 10.8412
"103" 95.1025 63.0523 10.3531
"104" 96.1535 64.9134 8.8942
"105" 96.4607 67.1562 7.9025
"106" 96.1769 69.2199 6.3878
"107" 94.5436 71.0225 5.9501
"108" 92.1534 71.6042 6.541
"109" 89.7414 70.8132 5.9605
"110" 87.2179 70.5258 5.732
"111" 86.1172 68.459 5.9097
"112" 86.028 66.0915 6.9452
"113" 84.7143173217773 34.0798492431641 31.107234954834
"114" 64.229248046875 17.8348731994629 33.7330665588379
"115" 72.0499725341797 26.9286766052246 31.8725109100342
"116" 60.2346000671387 17.4037170410156 26.1459541320801
"117" 73.567138671875 96.949836730957 30.2822341918945
"118" 63.567569732666 18.5878009796143 34.1083679199219
"119" 63.2515 20.2812 34.4944
"120" 63.5349 21.8447 34.9591
"121" 64.2857 23.3688 35.1019
"122" 65.333 24.7255 34.7333
"123" 66.6581 25.7783 34.2207
"124" 67.984 26.8285 33.7076
"125" 69.6488 26.9569 33.1557
"126" 71.3051 26.9975 32.6145
"127" 72.8179 27.0172 31.7509
"128" 74.2719 26.4048 30.9669
"129" 75.5466 25.3666 30.3364
"130" 75.9341 23.8917 29.5729
"131" 75.3983 22.3391 29.0878
"132" 74.262 21.052 28.7541
"133" 73.0948 19.7502 28.5485
"134" 71.7823 18.5724 28.4297
"135" 70.3892 17.503 28.4623
"136" 68.8066 16.7945 28.786
"137" 67.3176 16.2612 29.5467
"138" 66.1208 15.895 30.7604
"139" 65.2809 16.0856 32.2911
"140" 64.4243 17.3351 33.2008
"141" 53.6942749023438 90.3484878540039 37.1403503417969
"142" 56.886531829834 74.8788223266602 30.4415588378906
"143" 60.3619499206543 17.602596282959 26.1403064727783
"144" 56.6674575805664 22.5625953674316 27.9244632720947
"145" 58.9592132568359 35.2390480041504 25.4975891113281
"146" 66.2532958984375 26.4569320678711 34.1922149658203
"147" 67.688102722168 26.2822341918945 33.524772644043
"148" 69.1996002197266 72.2152328491211 24.4538497924805
"149" 67.0956420898438 80.3639221191406 28.3274192810059
"150" 67.6852 79.3087 28.0193
"151" 68.3532 78.2744 27.8635
"152" 68.9899 77.263 27.6807
"153" 69.6951 76.31 27.3103
"154" 70.2586 75.4134 26.6826
"155" 70.8959 74.6957 25.9079
"156" 70.9372 73.8633 25.0459
"157" 70.1676 72.9734 24.6641
"158" 69.1996002197266 72.2152328491211 24.4538497924805
"159" 96.1291275024414 58.2067909240723 16.2255744934082
"160" 67.0956420898438 80.3639221191406 28.3274192810059
"161" 61.066577911377 89.3523712158203 38.4797058105469
"162" 55.4959678649902 88.2397918701172 29.5599231719971
"163" 61.4117622375488 79.9052200317383 29.091215133667
"164" 73.8972702026367 102.528358459473 37.7524642944336
"165" 53.6942749023438 90.3484878540039 37.1403503417969
"166" 53.9984 89.9221 37.046
"167" 54.3025 89.4958 36.9517
"168" 54.6737 89.1306 36.9158
"169" 55.078 88.7967 36.9852
"170" 55.5624 88.5915 37.0015
"171" 56.0404 88.3786 37.0545
"172" 56.4656 88.117 37.2339
"173" 56.948 87.9608 37.3623
"174" 57.4425 87.7789 37.4071
"175" 57.9279 87.7945 37.5317
"176" 58.3524 88.0301 37.7374
"177" 58.8219 88.1877 37.9229
"178" 59.3289 88.2938 38.0301
"179" 59.814 88.435 38.1735
"180" 60.2318 88.7148 38.3084
"181" 60.6492 89.0336 38.394
"182" 61.066577911377 89.3523712158203 38.4797058105469
"183" 83.5581436157227 35.3479614257812 27.6623306274414
"184" 81.8238 31.7047 26.8154
