"V1" "V2" "V3"
"1" 28.7665672302246 38.4628372192383 15.0947017669678
"2" 28.8965 39.6865 15.0913
"3" 28.8743 40.8871 14.8755
"4" 28.8701 42.0828 14.6484
"5" 28.8291 43.2997 14.4874
"6" 28.8702 44.5214 14.349
"7" 28.8638 45.7447 14.2194
"8" 28.9314 46.9671 14.1017
"9" 28.9404 48.1787 13.9114
"10" 29.0447 49.3546 13.5813
"11" 29.066 50.5611 13.361
"12" 29.0124 51.7625 13.5447
"13" 28.8793601989746 52.9486312866211 13.8435974121094
"14" 33.5877265930176 60.8785858154297 14.0035409927368
"15" 31.64182472229 52.9721145629883 13.6909084320068
"16" 32.3050079345703 41.2666320800781 18.5123405456543
"17" 50.4749145507812 52.6875839233398 14.7999067306519
"18" 51.0951 51.2868 12.8146
"19" 52.1468 50.4727 10.624
"20" 53.0943 49.0163 8.9808
"21" 53.9445 47.1006 10.1188
"22" 53.8702 45.5468 12.1585
"23" 53.8623 44.4882 14.4876
"24" 54.0406 44.127 16.9902
"25" 54.4908 44.9944 19.3379
"26" 55.2818 46.6009 21.1202
"27" 55.4117 48.916 22.1308
"28" 55.5998 51.4254 22.2116
"29" 56.2803 53.5252 20.9875
"30" 55.5172 53.6912 18.6361
"31" 54.2336 53.5816 16.4277
"32" 52.7137 53.3539 14.4103
"33" 50.5451507568359 52.715892791748 14.882960319519
"34" 50.5451507568359 52.715892791748 14.882960319519
"35" 50.4749145507812 52.6875839233398 14.7999067306519
"36" 48.236083984375 22.0516815185547 17.7372493743896
"37" 48.4162 23.5456 18.774
"38" 49.5571 24.9211 19.2043
"39" 50.505 26.5446 19.1147
"40" 51.1458 28.2468 18.862
"41" 52.0521 29.8499 18.3865
"42" 52.8395 31.4939 17.8605
"43" 52.8458 33.1857 17.0807
"44" 53.1337 34.7204 16.0108
"45" 53.339 36.2802 14.951
"46" 53.4548 37.6781 13.6707
"47" 53.7181 38.5764 12.0643
"48" 53.8028 39.8208 10.6339
"49" 53.8712 41.1512 9.2818
"50" 53.8209 42.4626 7.9055
"51" 53.7074 43.6573 6.4328
"52" 53.4515991210938 44.6657638549805 4.84321165084839
"53" 30.849946975708 63.4934158325195 25.1518726348877
"54" 29.0052490234375 4.97373485565186 26.9930305480957
"55" 30.2471 5.4444 26.7904
"56" 31.5135 5.1387 26.3427
"57" 32.5858 4.7478 25.6985
"58" 33.196 5.325 24.7975
"59" 33.8978 5.3027 23.6692
"60" 34.276 4.8787 22.4679
"61" 33.6631 3.9674 22.069
"62" 32.6721 3.2837 21.6462
"63" 31.6834 2.5536 21.1952
"64" 30.6877 1.8644 20.7095
"65" 29.4115886688232 1.7129887342453 20.9912586212158
"66" 38.0405578613281 51.7964820861816 13.3829717636108
"67" 33.480884552002 19.7397079467773 29.8385238647461
"68" 33.4822082519531 19.7940979003906 29.8487815856934
"69" 35.0516738891602 26.3684310913086 30.3171615600586
"70" 28.5752944946289 64.3621826171875 27.2044353485107
"71" 29.6851 64.376 26.7086
"72" 30.3292 64.0128 25.8184
"73" 30.8265 63.3519 24.9519
"74" 31.5734 63.1067 23.9637
"75" 32.2806 63.2564 22.9212
"76" 33.0251 62.9767 21.9868
"77" 32.7663 62.3327 21.1699
"78" 31.9023 62.4565 20.2573
"79" 31.0232 62.9183 19.4836
"80" 29.9723 63.4679 19.0525
"81" 28.8079338073731 63.9608192443848 18.953369140625
"82" 52.5311126708984 34.8525886535645 21.8017978668213
"83" 48.236083984375 22.0516815185547 17.7372493743896
"84" 47.9989 20.506 16.5665
"85" 47.1004 18.73 16.4367
"86" 46.043 17.0212 16.4212
"87" 44.9064 15.361 16.5373
"88" 43.7884 13.6884 16.5595
"89" 42.6385 12.0436 16.4284
"90" 41.3227 10.5127 16.4944
"91" 39.9817 9.0292 16.7229
"92" 38.6045 7.5891 16.9008
"93" 36.9331 6.4934 17.128
"94" 35.219 5.5905 17.695
"95" 33.6144 4.3847 17.8026
"96" 32.1813 3.006 17.5316
"97" 30.544 2.0966 16.8844
"98" 28.8633880615234 1.73180377483368 15.8711204528809
"99" 47.200740814209 44.3944816589355 4.97751808166504
"100" 48.4135 44.3242 5.4176
"101" 49.4836 44.8912 5.1796
"102" 50.5171 45.4522 5.4304
"103" 51.4694 44.8362 4.7981
"104" 52.3628 44.6215 3.9254
"105" 52.9463 45.3768 3.2196
"106" 52.2569 46.2571 2.6952
"107" 51.1458 46.8971 2.8208
"108" 50.0035 47.3222 3.1274
"109" 48.8498 47.1819 2.7452
"110" 47.7634 46.6563 2.523
"111" 46.9885 45.6877 2.8943
"112" 46.7116 44.9667 3.9073
"113" 48.236083984375 22.0516815185547 17.7372493743896
"114" 34.6861953735352 9.38395595550537 25.6357727050781
"115" 43.386173248291 16.9879169464111 21.8919372558594
"116" 34.9200057983398 13.8322849273682 17.2826137542725
"117" 47.1431007385254 65.175895690918 22.8549308776856
"118" 33.8527984619141 9.57592964172363 26.9268016815186
"119" 33.2082 10.6023 28.0498
"120" 33.2795 12.2067 28.7845
"121" 33.7754 13.7269 29.6258
"122" 34.4383 15.379 30.0516
"123" 35.3197 16.9737 30.4419
"124" 36.4358 18.3323 30.6179
"125" 37.8803 19.386 30.1663
"126" 39.345 20.2686 29.5284
"127" 40.7419 20.8342 28.454
"128" 41.9623 21.1946 27.1103
"129" 43.0307 20.923 25.6317
"130" 43.487 20.2378 23.9628
"131" 43.5197 19.0617 22.5575
"132" 43.3534 17.3522 21.9615
"133" 42.8412 15.6238 21.4933
"134" 42.1497 13.9526 21.0606
"135" 41.1673 12.3887 20.9398
"136" 40.0226 11.0126 21.4275
"137" 38.7141 9.7659 21.8701
"138" 37.2072 9.1825 22.6567
"139" 35.8687 8.9031 23.8899
"140" 34.7862 9.1871 25.3617
"141" 28.5129375457764 63.0130424499512 38.0303535461426
"142" 32.9356155395508 48.4424209594727 25.8365783691406
"143" 30.6767101287842 15.4134969711304 20.4695243835449
"144" 31.7591533660889 24.3522186279297 17.4759845733643
"145" 32.9822616577148 31.7425270080566 18.1024360656738
"146" 35.8711433410645 17.9771842956543 30.5900859832764
"147" 40.886604309082 21.3359603881836 27.788688659668
"148" 42.6885070800781 47.3718490600586 16.6187782287598
"149" 38.7028961181641 52.0133171081543 22.00950050354
"150" 38.7624 50.8264 22.0733
"151" 38.7109 49.7794 22.4292
"152" 39.5528 48.9423 22.0385
"153" 40.3073 48.2314 21.3632
"154" 41.294 47.874 20.6952
"155" 42.3806 47.6164 20.1579
"156" 42.8858 47.3877 19.1095
"157" 42.8346 47.3241 17.8615
"158" 42.6885070800781 47.3718490600586 16.6187782287598
"159" 53.4515991210938 44.6657638549805 4.84321165084839
"160" 38.7028961181641 52.0133171081543 22.00950050354
"161" 53.268913269043 50.5589408874512 28.0161724090576
"162" 33.4919242858887 58.8691749572754 23.6842956542969
"163" 36.1086120605469 51.5844688415527 23.3689842224121
"164" 52.8936882019043 66.3955993652344 27.7742385864258
"165" 28.5129375457764 63.0130424499512 38.0303535461426
"166" 28.4559 59.9315 37.6676
"167" 29.212 56.937 37.2836
"168" 30.4364 54.1315 36.7232
"169" 31.0907 51.2269 35.8747
"170" 32.3093 49.1478 36.0575
"171" 33.797 46.5404 35.2437
"172" 35.741 44.2928 34.6386
"173" 37.5903 42.0175 33.6488
"174" 39.2406 39.4709 32.9508
"175" 40.8964 37.2099 31.9324
"176" 43.8436 36.5587 31.2563
"177" 46.4768 37.209 29.968
"178" 48.6885 39.2329 29.1733
"179" 50.4744 41.7041 28.6205
"180" 51.6965 44.5606 28.4509
"181" 52.6014 47.5384 28.3214
"182" 53.268913269043 50.5589408874512 28.0161724090576
"183" 43.7334823608398 25.2920417785644 15.7566642761231
"184" 42.6005 22.8051 16.2404
"185" 41.1537 20.4489 16.4373
"186" 39.3062 18.3319 16.5126
"187" 37.1752 16.5154 16.8527
"188" 35.2776 14.452 17.106
"189" 33.8458 12.0994 17.6094
"190" 32.7643 9.6886 18.5232
"191" 31.4692 7.6082 19.4284
"192" 29.0716743469238 8.06375503540039 20.8453121185303
"193" 43.7334823608398 25.2920417785644 15.7566642761231
"194" 29.0052490234375 4.97373485565186 26.9930305480957
"195" 29.0716743469238 8.06375503540039 20.8453121185303
"196" 28.8793601989746 52.9486312866211 13.8435974121094
"197" 29.1832218170166 31.8992500305176 17.6950531005859
"198" 28.7665672302246 38.4628372192383 15.0947017669678
"199" 32.3050079345703 41.2666320800781 18.5123405456543
"200" 31.0866 42.0753 17.6676
"201" 29.7618 42.8524 17.0129
"202" 28.5384 43.5002 16.1099
"203" 27.3136 43.055 17.0371
"204" 26.244 42.1094 17.7642
