"V1" "V2" "V3"
"1" 26.9064788818359 25.6603698730469 46.6110954284668
"2" 27.2029 25.3626 49.4538
"3" 27.384 24.8467 52.2765
"4" 27.2963 24.3909 55.1195
"5" 27.5108 23.6441 57.8937
"6" 27.6386 22.7186 60.6195
"7" 27.7533 21.6904 63.309
"8" 27.8348 20.4609 65.9106
"9" 27.8774 19.0291 68.4087
"10" 27.9485 17.5951 70.8998
"11" 28.0774 16.2578 73.4453
"12" 28.2689 15.074 76.0531
"13" 28.5428962707519 14.3038864135742 78.813232421875
"14" 19.6262245178223 13.7333488464356 92.9928512573242
"15" 24.8148517608643 16.6671695709229 78.0612487792969
"16" 23.2504024505615 25.3954582214356 65.3786773681641
"17" 3.08398056030273 17.3505859375 78.4594955444336
"18" 2.4852 17.9885 76.7167
"19" 2.9607 19.5054 75.4624
"20" 3.2881 21.3925 74.7077
"21" 3.8306 23.2626 74.0509
"22" 4.2746 25.2345 73.7166
"23" 4.8519 27.206 73.6977
"24" 5.2376 28.9965 74.2529
"25" 5.2559 29.6647 76.1195
"26" 5.1927 29.6776 78.1771
"27" 5.0137 29.6731 80.2285
"28" 4.8547 29.3432 82.2524
"29" 4.7395 28.8087 84.2348
"30" 4.3276 27.9264 85.974
"31" 4.1534 26.0642 86.6772
"32" 4.4045 24.0374 86.8645
"33" 5.03401947021484 22.1069488525391 86.5691146850586
"34" 5.03401947021484 22.1069488525391 86.5691146850586
"35" 3.08398056030273 17.3505859375 78.4594955444336
"36" 11.0292177200317 24.585657119751 50.8961944580078
"37" 10.6343 26.1974 49.4067
"38" 10.7747 27.8165 47.8493
"39" 9.4572 29.3713 48.5402
"40" 8.4835 29.8673 50.4679
"41" 7.918 29.9702 52.6528
"42" 7.559 29.919 54.8832
"43" 7.2559 29.8254 57.1229
"44" 7.0715 29.7294 59.3747
"45" 6.9052 29.5171 61.6182
"46" 6.4992 29.3621 63.8385
"47" 6.0494 29.0601 66.0308
"48" 5.3435 28.6062 68.1266
"49" 4.5862 27.7388 70.0659
"50" 3.9297 26.2259 71.5659
"51" 3.2893 24.3542 72.6571
"52" 2.90190124511719 22.2985439300537 73.4839324951172
"53" 28.8333168029785 21.8391952514648 95.4720306396484
"54" 23.9697856903076 32.4941101074219 13.5322914123535
"55" 22.9528 32.5205 14.2594
"56" 21.8944 32.6078 14.8975
"57" 20.69 32.3353 15.0155
"58" 19.5291 31.934 14.8306
"59" 19.1605 30.8797 14.3338
"60" 19.2839 29.7514 13.8529
"61" 19.6497 28.7903 13.1646
"62" 20.1679 27.7318 12.7501
"63" 20.8959 26.7709 12.4523
"64" 21.8832 26.3026 11.9307
"65" 23.1071968078613 26.1005058288574 11.7738647460938
"66" 14.4548454284668 18.3123893737793 81.2240295410156
"67" 21.7287864685059 35.8478507995605 22.5886993408203
"68" 18.4324855804443 36.4651679992676 27.7357234954834
"69" 20.4355564117432 35.638542175293 37.5922698974609
"70" 31.0207901000977 24.5847282409668 96.0293960571289
"71" 30.0512 23.4971 96.2792
"72" 29.5552 22.1755 96.4341
"73" 29.1179 21.1306 95.5031
"74" 28.5084 20.1314 94.5791
"75" 27.7575 18.8842 94.5222
"76" 26.847 17.7007 94.5309
"77" 26.1109 16.8513 93.6608
"78" 26.2378 15.5107 93.288
"79" 26.9136 14.2175 93.4604
"80" 28.2745 13.6413 93.5337
"81" 29.6548347473144 13.0349912643433 93.4774703979492
"82" 18.5340843200684 34.9810218811035 43.3225631713867
"83" 11.0292177200317 24.585657119751 50.8961944580078
"84" 11.0261 24.6067 48.143
"85" 10.9684 24.3154 45.4111
"86" 11.1439 23.9777 42.681
"87" 11.4677 23.8864 39.9531
"88" 11.8089 23.6194 37.2342
"89" 12.1311 23.2496 34.5242
"90" 12.5825 23.1336 31.8082
"91" 13.0372 22.8994 29.0994
"92" 13.4215 22.6813 26.3836
"93" 14.1642 22.4574 23.7401
"94" 15.1453 22.4544 21.1753
"95" 16.4692 22.3357 18.7808
"96" 18.2088 22.4767 16.6675
"97" 20.2885 22.476 14.8699
"98" 22.8632583618164 22.4474315643311 13.9459543228149
"99" 10.4462509155273 14.0472040176392 73.1294097900391
"100" 9.7889 15.7778 72.534
"101" 8.6846 16.8044 72.6874
"102" 7.1043 17.3981 73.5063
"103" 5.2869 17.8 73.3849
"104" 3.3735 17.6447 73.5006
"105" 1.7955 17.0423 74.1657
"106" 1.5483 15.9056 75.602
"107" 2.3988 14.9872 77.0902
"108" 4.0923 15.2156 77.8662
"109" 5.7609 14.8411 77.6305
"110" 7.2186 13.7702 76.9772
"111" 8.7775 12.9251 76.2209
"112" 10.0051 13.1339 74.7796
"113" 11.0292177200317 24.585657119751 50.8961944580078
"114" 18.9945774078369 34.347354888916 17.3452968597412
"115" 12.9764785766602 32.068790435791 23.0028381347656
"116" 19.7008495330811 26.551944732666 30.1972465515137
"117" 13.4652805328369 21.6369247436523 96.8202819824219
"118" 21.566535949707 35.936840057373 24.1605453491211
"119" 20.7486 36.4151 25.3133
"120" 19.7045 36.5832 26.3689
"121" 18.5267 36.5419 27.2909
"122" 17.2172 36.3029 27.9866
"123" 15.8207 35.781 28.1502
"124" 14.4227 35.2542 28.3048
"125" 13.3926 34.5414 27.5754
"126" 12.8182 33.7861 26.4432
"127" 12.6239 33.0239 25.1654
"128" 12.7136 32.4557 23.7879
"129" 13.0159 32.0057 22.3873
"130" 13.4666 31.8303 20.9915
"131" 14.0703 31.8576 19.6167
"132" 14.9038 31.8596 18.3782
"133" 15.991 32.0135 17.3638
"134" 17.2525 32.513 16.8075
"135" 18.4726 33.3348 17.0655
"136" 19.6678 33.9582 17.6448
"137" 20.6207 34.6382 18.5791
"138" 21.2357 35.1907 19.833
"139" 21.7023 35.6088 21.1777
"140" 21.6344 35.7728 22.6691
"141" 31.4213066101074 33.2227973937988 96.3379058837891
"142" 23.9856605529785 30.9732818603516 74.9551010131836
"143" 24.431432723999 27.9853324890137 31.3126640319824
"144" 26.1552200317383 26.5570640563965 40.7000160217285
"145" 22.5467720031738 31.1556606292725 39.1793212890625
"146" 18.1262512207031 36.583194732666 27.9912719726562
"147" 15.4587230682373 35.709831237793 28.2323474884033
"148" 16.8555240631104 22.0373916625977 70.7022399902344
"149" 15.8579540252686 26.3981018066406 79.3956451416016
"150" 15.073 27.0495 76.6214
"151" 13.8342 28.6483 74.578
"152" 11.4233 29.8349 73.6918
"153" 11.7556 30.3698 70.8636
"154" 11.5997 29.6425 68.3226
"155" 11.5974 27.2028 68.9286
"156" 13.2157 25.982 70.9357
"157" 15.374 24.2063 71.8676
"158" 16.8555240631104 22.0373916625977 70.7022399902344
"159" 2.90190124511719 22.2985439300537 73.4839324951172
"160" 15.8579540252686 26.3981018066406 79.3956451416016
"161" 6.33581733703613 31.150016784668 75.254768371582
"162" 26.0014877319336 22.5372009277344 88.9307708740234
"163" 21.5530948638916 29.3217639923096 77.8061141967773
"164" 18.0087623596191 22.6941986083984 114.666046142578
"165" 31.4213066101074 33.2227973937988 96.3379058837891
"166" 30.1164 34.558 91.9715
"167" 29.205 35.2718 87.2393
"168" 28.2532 35.6685 82.4637
"169" 27.3134 35.977 77.6922
"170" 25.0574 35.9589 73.3659
"171" 23.3693 35.6752 68.8045
"172" 21.966 35.6089 64.1272
