"V1" "V2" "V3"
"1" 20.9163551330566 23.9106578826904 35.2338981628418
"2" 20.81 23.9303 34.6073
"3" 20.7509 23.9852 33.9779
"4" 20.6755 24.0351 33.3487
"5" 20.5904 24.0832 32.7205
"6" 20.4971 24.1717 32.099
"7" 20.3917 24.2001 31.4726
"8" 20.2957 24.2512 30.8462
"9" 20.1909 24.316 30.2225
"10" 20.0691 24.3607 29.6007
"11" 19.9222 24.4108 28.9846
"12" 19.8678 24.4722 28.36
"13" 19.8932285308838 24.5515518188477 27.729621887207
"14" 19.4298057556152 22.0275192260742 23.5663909912109
"15" 19.619291305542 22.7109603881836 27.1409568786621
"16" 23.9215316772461 22.0300006866455 35.4414901733398
"17" 15.0410985946655 5.71399688720703 29.3934020996094
"18" 15.2444 5.5801 30.9569
"19" 15.4049 5.4406 32.5138
"20" 15.8346 5.5424 34.0327
"21" 16.6259 5.6466 35.3697
"22" 17.7904 5.6755 36.43
"23" 19.1542 5.4136 37.1741
"24" 20.635 4.9739 37.1845
"25" 21.8846 4.4745 36.3759
"26" 22.8074 4.0458 35.1795
"27" 23.4482 3.8475 33.7509
"28" 23.4303 3.7124 32.2005
"29" 23.0855 3.4332 30.7107
"30" 22.0987 3.4856 29.4863
"31" 20.9221 4.0004 28.5951
"32" 19.5478 4.562 28.0792
"33" 18.413215637207 5.658935546875 27.9766006469727
"34" 18.413215637207 5.658935546875 27.9766006469727
"35" 15.0410985946655 5.71399688720703 29.3934020996094
"36" 19.1858596801758 7.34330558776855 47.728588104248
"37" 19.6017 6.9384 46.752
"38" 19.3968 6.4358 45.6959
"39" 19.2409 5.9577 44.6202
"40" 19.2321 5.5664 43.4989
"41" 18.8893 5.4524 42.3739
"42" 18.2623 5.4037 41.3701
"43" 17.415 5.4395 40.5407
"44" 16.6061 5.4924 39.677
"45" 15.9963 5.6333 38.6644
"46" 15.358 5.6757 37.6667
"47" 14.8279 5.9215 36.6304
"48" 14.3431 5.9352 35.5509
"49" 13.8281 6.1271 34.4944
"50" 13.3684 6.1971 33.4013
"51" 13.0591 6.3654 32.2831
"52" 12.4525680541992 6.28313255310059 31.2879524230957
"53" 27.3781433105469 22.2077732086182 21.1328983306885
"54" 29.060754776001 21.3870067596436 68.4409255981445
"55" 28.832 20.0931 68.4928
"56" 28.4742 18.9922 67.9253
"57" 28.53 18.3338 66.8503
"58" 28.0345 17.7206 66.1281
"59" 27.2414 17.4408 67.0885
"60" 26.5918 17.7292 68.1313
"61" 25.4641 18.175 68.6133
"62" 24.2524 18.6557 68.7451
"63" 23.318 19.3955 69.162
"64" 22.9197 20.5524 69.6071
"65" 23.1090469360352 21.8261051177979 69.7661285400391
"66" 18.5563068389893 17.4856624603271 28.8132381439209
"67" 33.1359710693359 17.6860408782959 52.3680610656738
"68" 33.1836280822754 17.7560405731201 52.4798164367676
"69" 33.1629371643066 17.2866802215576 49.1375427246094
"70" 28.7087497711182 23.9447937011719 21.9823379516602
"71" 28.2997 23.2624 21.8834
"72" 27.7124 22.8106 21.6181
"73" 27.1541 22.4713 21.4274
"74" 26.5372 22.2804 21.9009
"75" 25.8347 22.1873 22.2645
"76" 25.076 22.2555 22.3254
"77" 24.3407 22.3929 22.08
"78" 23.7005 22.6483 21.6874
"79" 23.1775 23.0721 21.2678
"80" 22.953 23.7929 21.0856
"81" 22.8788375854492 24.5764999389648 21.2381191253662
"82" 27.7292823791504 10.4676809310913 48.658088684082
"83" 19.1858596801758 7.34330558776855 47.728588104248
"84" 18.6183 8.1632 49.2397
"85" 18.2423 9.1561 50.7225
"86" 18.3452 10.0286 52.3116
"87" 18.6004 11.0799 53.7826
"88" 18.9026 12.1485 55.2347
"89" 19.1737 13.2 56.7065
"90" 19.4606 14.0824 58.2642
"91" 19.1357 15.0447 59.7533
"92" 18.3786 15.8534 60.7072
"93" 19.6915 16.9332 61.2619
"94" 20.1091 18.0755 62.6076
"95" 20.4057 18.9527 64.186
"96" 20.8206 19.6503 65.8242
"97" 21.2786 20.3932 67.3776
"98" 21.192850112915 21.7309169769287 68.5957641601562
