"V1" "V2" "V3"
"1" 23.3929290771484 39.4916229248047 44.441104888916
"2" 23.2614 38.9699 43.8953
"3" 23.0846 38.4449 43.3686
"4" 22.8616 37.9513 42.8275
"5" 22.6402 37.4592 42.2834
"6" 22.3933 36.9764 41.7421
"7" 22.1665 36.4778 41.2064
"8" 21.9443 35.9576 40.6896
"9" 21.7163 35.4735 40.143
"10" 21.5049 34.9434 39.6348
"11" 21.3506 34.3982 39.1197
"12" 21.1654 33.8407 38.629
"13" 20.9503593444824 33.3138885498047 38.1162757873535
"14" 20.4670810699463 31.4470977783203 34.2408180236816
"15" 22.0959968566894 34.4319267272949 37.0340576171875
"16" 22.1850814819336 42.5133934020996 43.1869010925293
"17" 29.1291542053223 42.295783996582 33.0390129089355
"18" 30.0668 42.5534 33.8143
"19" 30.8801 42.868 34.6752
"20" 31.2046 43.5459 35.6269
"21" 31.161 44.6067 36.2674
"22" 30.8117 45.7589 36.6293
"23" 30.0875 46.7822 36.6665
"24" 29.2713 47.7123 36.4644
"25" 28.3514 48.4349 36.0373
"26" 27.3713 48.7335 35.3418
"27" 26.4697 48.6463 34.4789
"28" 25.8381 48.1338 33.5322
"29" 25.391 47.4971 32.5738
"30" 25.5786 46.5058 31.8926
"31" 26.1476 45.4429 31.5789
"32" 26.9501 44.5644 31.917
"33" 27.6203365325928 43.5089492797852 32.0485420227051
"34" 27.6203365325928 43.5089492797852 32.0485420227051
"35" 29.1291542053223 42.295783996582 33.0390129089355
"36" 33.4326210021973 48.8217010498047 44.9948043823242
"37" 32.7039 49.4949 45.0909
"38" 32.0143 49.991 44.5733
"39" 31.5967 50.4086 43.7859
"40" 31.3449 50.7972 42.9042
"41" 31.0864 50.927 41.9705
"42" 30.8693 50.7167 41.0255
"43" 30.6336 50.4586 40.1113
"44" 30.6303 49.8613 39.3226
"45" 30.624 49.1138 38.664
"46" 30.7996 48.2849 38.1564
"47" 31.1776 47.4296 37.8161
"48" 31.6735 46.5716 37.8077
"49" 31.9564 45.6252 37.7511
"50" 32.333 44.7309 37.6171
"51" 32.5162 43.8225 37.2517
"52" 32.6561813354492 42.8618698120117 37.0164833068848
"53" 13.9840745925903 35.4025497436523 32.9202461242676
"54" 27.9204196929932 56.8668365478516 59.1992721557617
"55" 28.2943 57.148 58.4379
"56" 28.8847 57.2366 57.7958
"57" 29.3693 57.0055 57.1114
"58" 29.9329 56.5595 56.6002
"59" 30.6671 56.061 56.6747
"60" 31.2878 55.4505 56.8502
"61" 31.5487 54.8536 57.3758
"62" 31.6504 54.3125 58.0796
"63" 31.7736 53.9357 58.8636
"64" 31.8022 53.6922 59.7172
"65" 31.7863616943359 53.2434120178223 60.4880905151367
"66" 24.5046901702881 37.4813232421875 36.7639045715332
"67" 24.8520851135254 55.2132186889648 48.8611831665039
"68" 24.9283180236816 55.1175804138184 47.2313575744629
"69" 22.033016204834 52.8483619689941 44.1948547363281
"70" 12.5134859085083 35.0216331481934 33.1499366760254
"71" 13.2857 35.2925 33.0526
"72" 14.0994 35.3614 33.0854
"73" 14.8806 35.6061 33.1803
"74" 15.6628 35.8225 33.3227
"75" 16.4674 35.8081 33.4697
"76" 17.1718 35.4103 33.5577
"77" 17.6196 34.7296 33.6341
"78" 17.8117 33.9384 33.6881
"79" 17.6725 33.1872 33.9502
"80" 17.2695 32.4972 34.1379
"81" 16.9300346374512 32.0044059753418 34.7044715881348
"82" 29.0158958435059 52.0532531738281 40.5600852966309
"83" 33.4326210021973 48.8217010498047 44.9948043823242
"84" 33.7912 48.4483 45.892
"85" 34.1298 48.4008 46.8762
"86" 34.3001 48.4738 47.892
"87" 34.4389 48.5839 48.9148
"88" 34.4917 48.7793 49.9382
"89" 34.5647 49.0108 50.9535
"90" 34.5823 49.2847 51.9593
"91" 34.5555 49.6319 52.9417
"92" 34.5427 49.8252 53.9494
"93" 34.3665 50.0286 54.9568
