"V1" "V2" "V3"
"1" 22.42942237854 18.8496398925781 5.61678981781006
"2" 22.2614 19.3234 5.4371
"3" 22.1222 19.8185 5.2948
"4" 22.0184 20.3172 5.1359
"5" 21.8843 20.8075 4.9734
"6" 21.7321 21.283 4.7853
"7" 21.5991 21.7483 4.5598
"8" 21.4667 22.2104 4.3277
"9" 21.3625 22.6964 4.1348
"10" 21.2323 23.1901 3.9806
"11" 21.095 23.7041 3.9375
"12" 20.9229 24.2012 3.8472
"13" 20.8008995056152 24.7159957885742 3.77831077575684
"14" 22.4422855377197 27.7878112792969 3.21641540527344
"15" 22.756799697876 25.8076152801514 3.4915771484375
"16" 23.5823535919189 20.2031402587891 7.49784374237061
"17" 30.6792278289795 24.1943607330322 2.94210624694824
"18" 30.9524 23.3073 2.7132
"19" 31.099 22.5265 3.2308
"20" 31.1987 21.8544 3.8818
"21" 31.2439 21.4252 4.7277
"22" 31.2496 21.2058 5.6589
"23" 31.3105 21.2524 6.6007
"24" 31.2477 21.729 7.4188
"25" 31.2005 22.4207 8.063
"26" 30.9712 23.2333 8.5033
"27" 30.6909 24.1206 8.7299
"28" 30.4722 25.0463 8.7502
"29" 30.3051 25.9528 8.5107
"30" 30.3184 26.6824 7.9191
"31" 30.3111 26.9386 7.0046
"32" 30.2456 26.7943 6.0801
"33" 30.2708892822266 26.3501434326172 5.23395109176636
"34" 30.2708892822266 26.3501434326172 5.23395109176636
"35" 30.6792278289795 24.1943607330322 2.94210624694824
"36" 31.6288375854492 13.7691354751587 5.27196884155273
"37" 31.6871 14.111 5.9198
"38" 31.8733 14.5595 6.4642
"39" 32.0654 15.2068 6.8028
"40" 32.1622 15.9287 7.0236
"41" 32.1839 16.6424 7.2721
"42" 32.1921 17.4023 7.2658
"43" 32.1227 18.1523 7.1417
"44" 32.0129 18.8935 7.0354
"45" 31.8395 19.5219 6.6955
"46" 31.6662 20.0657 6.1858
"47" 31.5859 20.311 5.4852
"48" 31.545 20.6177 4.8046
"49" 31.4407 20.9681 4.132
"50" 31.3671 21.3356 3.4654
"51" 31.2705 21.8192 2.8813
"52" 31.2572193145752 22.384651184082 2.39396905899048
"53" 20.5560817718506 30.2959709167481 9.2785530090332
"54" 26.8601417541504 3.75456047058106 12.8561840057373
"55" 27.4756 3.8659 12.6976
"56" 27.9717 4.2065 12.4857
"57" 28.3271 4.6416 12.2869
"58" 28.5612 4.5651 11.7705
"59" 28.5794 4.1404 11.2964
"60" 28.5613 3.7858 10.7577
"61" 28.5411 3.4473 10.215
"62" 28.3903 3.2312 9.6308
"63" 28.0865 2.8307 9.2311
"64" 27.6077 2.4743 9.0356
"65" 27.0072383880615 2.27303504943848 8.94523620605469
"66" 24.5444564819336 24.4607124328613 3.6137113571167
"67" 29.4566631317139 10.9905042648315 14.7947645187378
"68" 29.8103351593018 12.392915725708 14.7817373275757
"69" 27.4963817596436 17.5359592437744 15.4646739959717
"70" 19.2547359466553 30.5819244384766 9.91610527038574
"71" 19.8347 30.529 9.66
"72" 20.3176 30.2432 9.3441
"73" 20.7269 29.8704 9.0201
"74" 21.0854 29.4826 8.6529
"75" 21.375 29.156 8.1851
"76" 21.5175 28.9737 7.5911
"77" 21.3795 28.9689 6.9643
"78" 21.1186 28.9881 6.378
"79" 20.6152 29.0034 6.0047
"80" 20.0246 29.0667 5.778
"81" 19.4018783569336 28.9417209625244 5.69905519485474
"82" 32.2180786132812 18.9205455780029 8.45024394989014
"83" 31.6288375854492 13.7691354751587 5.27196884155273
"84" 31.41 12.9261 5.1348
"85" 31.3139 12.0577 5.0456
"86" 31.0612 11.2223 4.9636
"87" 30.8572 10.3641 4.9815
"88" 30.5758 9.5284 4.9722
