"V1" "V2" "V3"
"1" 29094.966796875 41591.3125 17270.275390625
"2" 29034.6948 42598.8991 16123.9037
"3" 29039.5455 43764.8434 15141.1335
"4" 28987.2913 45036.8872 14299.4033
"5" 29020.2612 46392.854 13599.0619
"6" 28912.7809 47764.17 12933.3789
"7" 28864.6642 49176.4495 12351.95
"8" 28886.903 50559.4145 11702.8233
"9" 28958.4111 51937.0196 11051.311
"10" 28990.4378 53362.2429 10503.6044
"11" 29021.724 54734.7539 9833.7183
"12" 29015.3746 56101.7668 9151.0528
"13" 28980.9140625 57509.59765625 8558.8447265625
"14" 33585.71875 69137.375 3557.0810546875
"15" 32388.072265625 57595.2890625 9381.1650390625
"16" 32184.095703125 41716.71875 19481.41796875
"17" 48901.06640625 57950.89453125 12952.5361328125
"18" 49427.1092 55804.2219 10998.041
"19" 49523.2922 53213.5353 10090.7134
"20" 50053.6614 50973.8484 11899.5008
"21" 50106.8707 49131.2965 14204.7959
"22" 50261.8214 47239.8079 16484.6529
"23" 50163.1718 45647.7825 18981.7985
"24" 50215.7553 45109.2919 21863.7359
"25" 50472.0843 46951.5307 24041.6649
"26" 50557.2797 49886.8475 24299.0473
"27" 50458.3258 52834.9627 24465.5134
"28" 50597.8344 55743.4943 23956.4906
"29" 50648.6208 58364.6368 22665.9032
"30" 50920.7645 60267.3132 20463.1456
"31" 51027.8398 60696.9936 17593.4992
"32" 50050.5473 59984.7414 15010.755
"33" 48938.14453125 58094.5390625 13106.1494140625
"34" 48938.14453125 58094.5390625 13106.1494140625
"35" 48901.06640625 57950.89453125 12952.5361328125
"36" 41300.3984375 30231.99609375 22268.75390625
"37" 41814.0244 27771.649 22932.5485
"38" 42250.9957 25368.3947 23742.0638
"39" 43684.5322 25649.0396 25252.0334
"40" 45408.6421 27561.0972 24898.6955
"41" 46957.8177 29490.5092 24119.1522
"42" 48066.5942 31819.0504 23813.6878
"43" 48759.8624 34325.227 24046.734
"44" 49474.8793 36774.567 23461.2801
"45" 49971.4275 39125.2481 22430.646
"46" 50164.7794 41396.057 21138.246
"47" 50241.5642 43549.8111 19680.2045
"48" 50347.3446 45204.4017 17650.9052
"49" 50359.7606 46987.1495 15732.1961
"50" 50299.6305 48766.0747 13810.6534
"51" 50559.9485 50315.2453 11712.3572
"52" 50147.203125 51663.046875 9534.099609375
"53" 31001.390625 71695.546875 14733.572265625
"54" 29667.513671875 5502.36328125 29663.306640625
"55" 30919.8957 6569.2911 29732.0062
"56" 32395.1466 7275.0226 29661.5815
"57" 33915.7088 7437.7162 29263.5252
"58" 35068.6832 6894.2895 28239.768
"59" 35825.2652 6115.0826 27051.0448
"60" 35933.5438 5045.4151 25815.0837
"61" 35597.5736 4366.8034 24349.5345
"62" 34748.6351 3928.4939 23030.7244
"63" 33439.2287 3138.566 22451.4419
"64" 31974.7757 2396.1839 22417.7996
"65" 30420.119140625 2091.4951171875 22635.607421875
"66" 36413.8359375 55129.6953125 11688.2998046875
"67" 32347.39453125 16646.388671875 34138.73046875
"68" 34972.125 22355.38671875 35112.21875
"69" 33147.48046875 27217.943359375 34969.578125
"70" 28800.3125 73134.2265625 15066.1259765625
"71" 29901.23 72497.648 15088.8733
"72" 30598.0667 71528.6886 14682.3624
"73" 31079.6131 70458.6676 14196.7812
"74" 31470.5107 69566.5616 13437.1689
"75" 32087.8094 68962.2424 12511.6024
"76" 32436.4565 68119.3707 11678.3373
"77" 32211.7695 67267.1326 10795.1575
"78" 31543.2254 67213.3842 9734.939
"79" 30804.6036 67567.7607 8767.8937
"80" 29973.6595 67866.7449 7867.3514
"81" 28779.658203125 68162.8359375 7544.14892578125
"82" 36918.44921875 32065.380859375 33919.92578125
"83" 41300.3984375 30231.99609375 22268.75390625
"84" 41627.6177 28286.4563 21651.5941
"85" 41907.0627 26343.1368 21066.7301
"86" 41615.593 24366.5647 20540.5137
"87" 40952.1461 22435.4334 20222.2669
"88" 40245.3306 20499.9684 20022.9904
"89" 39387.9698 18630.1291 19942.537
"90" 38609.1107 16716.338 19868.3014
"91" 37900.3718 14779.5305 19766.7745
"92" 37273.8821 12815.1938 19616.3285
"93" 36594.8017 10868.7205 19472.2632
"94" 35676.3435 9015.0822 19377.6594
"95" 34705.466 7192.5799 19233.1558
"96" 33558.7079 5493.942 19094.5745
"97" 32042.0912 4130.0028 18971.875
"98" 30074.609375 3549.76220703125 18916.68359375
"99" 42224.55078125 51396.421875 8349.4501953125
"100" 43459.6658 51705.0999 9532.5901
"101" 45022.1023 51694.6976 9964.3328
"102" 46532.4598 51061.513 9364.4726
"103" 48112.0383 50545.837 8914.1827
"104" 49690.0672 51130.9954 8652.7438
"105" 50640.8786 52310.6315 7873.2213
"106" 50678.2676 53708.9948 6914.2128
"107" 49464.0394 54526.8975 6493.1796
"108" 47741.067 54509.8698 6439.1365
"109" 46177.8707 54787.3772 7169.2337
"110" 44691.6247 54661.6671 7839.9842
"111" 43204.7086 54059.8231 7304.3182
"112" 42190.4732 52739.2882 7277.2396
"113" 41300.3984375 30231.99609375 22268.75390625
"114" 34337.46875 13294.6357421875 32416.720703125
"115" 41004.26171875 19570.404296875 28900.8984375
"116" 35732.23828125 33199.9609375 19708.27734375
"117" 40995.3046875 77194.703125 10728.4140625
"118" 33636.625 14009.916015625 33152.8125
"119" 32815.7989 15221.0351 33735.4716
"120" 32578.4292 16706.5391 34201.6668
"121" 32653.4831 18202.1425 34681.6401
"122" 33260.1292 19643.3899 34921.9798
"123" 34108.1238 20968.1426 35101.0711
"124" 35083.5087 22224.5269 35012.4606
