"V1" "V2" "V3"
"1" 47.2386627197266 69.5109100341797 42.0731506347656
"2" 47.1269 72.4441 41.2489
"3" 47.082 75.3044 40.1941
"4" 46.8449 78.1491 39.1309
"5" 46.6689 80.9961 38.0611
"6" 46.8324 83.8436 36.9818
"7" 46.895 86.7044 35.9287
"8" 46.8485 89.5809 34.9154
"9" 46.7994 92.4543 33.8953
"10" 46.75 95.3545 32.9514
"11" 46.8436 98.249 31.9947
"12" 46.8452 101.1421 31.0539
"13" 46.6497955322266 104.070869445801 30.2298469543457
"14" 54.994571685791 134.054229736328 22.6686782836914
"15" 52.1057929992676 105.249488830566 30.6874599456787
"16" 52.988037109375 81.8171844482422 43.122257232666
"17" 88.1601104736328 109.464363098145 25.0415821075439
"18" 88.9681 112.6021 29.4086
"19" 90.0774 115.3996 33.8384
"20" 91.8133 117.0414 38.5499
"21" 91.5654 115.8553 43.644
"22" 91.896 111.1071 45.9722
"23" 91.5889 105.7504 46.7635
"24" 91.2479 100.4285 45.9608
"25" 91.3918 95.0469 45.4807
"26" 91.6787 91.8219 42.3175
"27" 91.74 93.8109 37.4146
"28" 91.4166 96.7586 32.877
"29" 90.8337 99.8169 28.4235
"30" 90.0797 103.2741 24.3302
"31" 89.2749 107.3362 22.7957
"32" 88.8995 111.157 26.6466
"33" 88.5249938964844 114.975685119629 30.4996757507324
"34" 88.5249938964844 114.975685119629 30.4996757507324
"35" 88.1601104736328 109.464363098145 25.0415821075439
"36" 74.3319549560547 64.1777801513672 40.4475631713867
"37" 74.635 59.0279 42.1884
"38" 74.1366 53.6834 43.304
"39" 73.8467 49.4111 45.456
"40" 77.5977 52.5245 47.1114
"41" 80.3634 57.2465 46.728
"42" 82.9395 61.9323 45.6398
"43" 85.4633 66.6116 45.2871
"44" 86.2051 71.6428 47.2445
"45" 87.7579 76.7811 47.1368
"46" 89.6215 81.6698 45.6731
"47" 90.4456 85.9042 42.3313
"48" 90.4871 89.4234 38.1297
"49" 90.565 92.9274 33.9094
"50" 91.1042 96.5043 29.8338
"51" 90.3049 100.273 26.016
"52" 88.9078598022461 102.237930297852 21.1774921417236
"53" 52.092212677002 135.299621582031 37.4333229064941
"54" 45.8494606018066 7.14167022705078 49.8141250610352
"55" 47.686 7.4523 49.7917
"56" 49.5267 7.7023 49.8522
"57" 51.2138 8.0679 49.2985
"58" 52.418 7.4869 48.161
"59" 53.1005 7.0804 46.5601
"60" 52.7015 6.3386 44.9286
"61" 52.4129 5.9559 43.1378
"62" 51.3837 5.3224 41.8185
"63" 49.848 4.8 40.945
"64" 48.0859 4.5213 40.6434
"65" 46.2965278625488 4.50530338287354 41.161018371582
"66" 66.8344573974609 110.830383300781 31.6676521301269
"67" 51.3934440612793 19.7039623260498 56.9988670349121
"68" 53.6731643676758 25.1226692199707 57.6954879760742
"69" 53.1826362609863 41.4630470275879 59.9153251647949
"70" 48.9688949584961 139.110137939453 42.6548385620117
"71" 50.3442 139.5032 41.4357
"72" 51.1674 138.2986 40.2671
"73" 51.5922 136.9786 39.0334
"74" 51.8564 135.5548 37.8575
"75" 52.1209 134.0576 36.7659
"76" 52.2047 132.6826 35.5059
"77" 52.1663 131.6653 33.9377
"78" 51.7649 131.3415 32.2024
"79" 50.9242 131.9024 30.662
"80" 49.6524 133.0457 30.0989
"81" 47.8044357299805 133.350463867188 29.9423980712891
"82" 58.2244110107422 46.4999389648438 59.3610229492188
"83" 74.3319549560547 64.1777801513672 40.4475631713867
"84" 74.8676 59.6234 40.6162
"85" 75.4328 55.1308 39.9596
"86" 74.5371 50.6968 39.2184
"87" 72.9274 46.3899 38.9166
"88" 71.5105 42.034 38.5203
"89" 69.6298 37.858 38.1263
"90" 67.7237 33.6643 37.983
"91" 65.7624 29.5 37.7803
"92" 63.945 25.2732 37.5523
"93" 62.2671 20.9957 37.1886
"94" 60.2201 16.8736 37.0729
"95" 57.598 13.0943 37.0203
"96" 54.449 9.7587 36.7848
"97" 50.7447 7.0794 36.5599
"98" 46.2774887084961 6.13831329345703 36.932258605957
"99" 74.2542953491211 102.007026672363 19.4217128753662
"100" 76.3571 101.4099 22.0631
"101" 79.742 102.5664 22.1618
"102" 82.6078 102.2477 20.1403
"103" 85.8018 101.202 18.8331
"104" 89.0534 101.2154 17.6761
"105" 90.4277 103.786 15.7317
"106" 90.1731 107.1392 14.4716
"107" 88.4433 110.2509 14.5257
"108" 85.2961 111.1271 15.7181
"109" 82.158 110.5789 17.3925
"110" 78.844 109.4244 17.468
"111" 75.7551 107.7216 16.6712
"112" 73.8749 105.1039 17.5548
"113" 74.3319549560547 64.1777801513672 40.4475631713867
"114" 51.6965789794922 15.7547426223755 54.6709175109863
"115" 61.7742385864258 28.5662326812744 52.8285827636719
