"V1" "V2" "V3"
"1" 116.941413879395 115.078727722168 87.7813568115234
"2" 117.326 118.569 82.6795
"3" 117.6434 122.0662 77.5806
"4" 117.9012 125.4399 72.4028
"5" 117.8515 129.2863 67.5726
"6" 117.9749 133.9732 63.5358
"7" 118.1727 138.5564 59.3952
"8" 118.2815 143.0949 55.188
"9" 118.1532 147.5948 50.9461
"10" 118.0319 152.3994 47.075
"11" 118.0868 157.295 43.2922
"12" 117.7073 162.1381 39.4888
"13" 116.821784973145 167.602035522461 36.8667755126953
"14" 140.781829833984 186.845001220703 23.3769073486328
"15" 127.618988037109 169.95426940918 39.1138534545898
"16" 122.371398925781 152.518981933594 71.3254470825195
"17" 188.314849853516 171.21110534668 22.8355827331543
"18" 193.7647 169.0202 29.009
"19" 197.7203 171.5632 35.8388
"20" 201.0603 172.9057 43.5153
"21" 205.2083 178.1015 48.5643
"22" 207.5737 186.3053 49.9238
"23" 210.2695 194.5476 50.0742
"24" 213.4166 202.0427 47.3639
"25" 213.3481 209.6613 43.1314
"26" 212.2104 216.8661 38.427
"27" 208.4253 221.9446 32.8198
"28" 205.231 218.1982 26.1912
"29" 200.7282 212.909 22.435
"30" 196.018 207.3786 22.4301
"31" 191.0596 200.323 22.6211
"32" 187.4141 192.5488 22.9245
"33" 184.801651000977 184.406585693359 22.331974029541
"34" 184.801651000977 184.406585693359 22.331974029541
"35" 188.314849853516 171.21110534668 22.8355827331543
"36" 195.385803222656 124.894180297852 76.5796966552734
"37" 197.5841 130.4617 75.6401
"38" 200.6029 135.8002 72.7666
"39" 203.2947 141.5806 71.0148
"40" 205.1554 147.1679 67.803
"41" 206.6737 152.3329 70.7016
"42" 208.8557 156.3826 75.299
"43" 209.7888 162.8814 75.8588
"44" 211.1057 169.1206 74.0424
"45" 208.6529 171.7631 69.0365
"46" 208.8418 172.2262 62.3798
"47" 207.411 171.2403 56.0508
"48" 205.0162 168.6835 50.2975
"49" 205.091 163.8578 46.2615
"50" 206.8867 158.8447 43.2293
"51" 203.6065 157.0453 38.3392
"52" 203.288604736328 156.796249389648 31.5909881591797
"53" 120.371643066406 221.126831054688 65.2913284301758
"54" 114.862564086914 102.257476806641 183.887725830078
"55" 122.765 99.8454 185.4906
