"V1" "V2" "V3"
"1" 10272.9580078125 17316.5 6312.767578125
"2" 10318.7075 17888.3784 6404.3927
"3" 10393.5555 18452.2342 6497.2264
"4" 10485.5472 19019.3948 6570.859
"5" 10508.7567 19589.3061 6685.8399
"6" 10593.0524 20151.5987 6805.7092
"7" 10638.9508 20704.9049 6978.5393
"8" 10694.5708 21264.995 7119.0006
"9" 10744.9285 21826.5181 7257.814
"10" 10870.3456 22379.5385 7385.5805
"11" 10938.2738 22945.27 7495.8438
"12" 11001.4959 23489.2893 7682.2355
"13" 11155.06640625 24018.490234375 7869.458984375
"14" 13321.025390625 28009.439453125 8441.03125
"15" 13132.0302734375 23762.2578125 7229.3583984375
"16" 12360.7802734375 17092.701171875 8448.416015625
"17" 18698.453125 20883.59765625 6615.4912109375
"18" 19048.1746 20503.0989 5533.2813
"19" 19493.7789 20041.8662 4515.696
"20" 19776.5873 19363.887 3777.4281
"21" 19822.2362 18190.4166 3827.2554
"22" 19750.8464 17192.7776 4489.4183
"23" 19700.8846 16317.8475 5315.7031
"24" 19772.459 15859.3785 6422.3702
"25" 19992.519 15937.6163 7574.5438
"26" 20260.8093 16559.3503 8573.3198
"27" 20598.1677 17218.9928 9529.0543
"28" 20772.5624 18244.1881 10124.3563
"29" 20952.4472 19415.7697 10300.6849
"30" 20959.3991 20471.9169 9727.8006
"31" 21120.3898 21083.7895 8759.6149
"32" 20808.3486 21364.9979 7644.2066
"33" 20389.46484375 21319.021484375 6541.57421875
"34" 20389.46484375 21319.021484375 6541.57421875
"35" 18698.453125 20883.59765625 6615.4912109375
"36" 17199.55078125 10075.041015625 2759.02172851562
"37" 17064.4878 9763.2353 3419.8225
"38" 17260.7031 9771.6117 4116.139
"39" 17671.7429 10060.8298 4665.1433
"40" 18042.3341 10398.8516 5207.7536
"41" 18389.3542 10907.9402 5596.7971
"42" 18756.5871 11478.6039 5895.6365
"43" 19014.6557 12082.7307 6204.7647
"44" 19248.7358 12780.1423 6288.2829
"45" 19470.462 13487.0155 6356.4026
"46" 19545.0268 14190.4046 6310.3068
"47" 19523.844 14805.4957 5901.4834
"48" 19508.3232 15345.2319 5388.9312
"49" 19505.3506 15871.2806 4861.6881
"50" 19532.83 16414.6924 4353.2137
"51" 19486.2797 16903.2413 3793.8635
"52" 19524.005859375 17443.318359375 3285.998046875
"53" 13345.564453125 27268.380859375 15155.4833984375
"54" 8712.3486328125 626.234375 7451.24951171875
"55" 9443.8252 567.0372 7530.1825
"56" 10117.9256 656.6406 7291.8025
"57" 10638.4176 1145.5547 7158.8257
"58" 10979.4286 1734.1652 6913.0664
"59" 11043.6219 1329.8528 6324.0087
"60" 11043.2495 1367.5653 5583.4788
"61" 10770.6679 1115.046 4939.7971
"62" 10393.9647 1144.2714 4279.4032
"63" 9964.871 1336.8138 3704.8488
"64" 9278.4182 1462.9927 3482.9547
"65" 8527.9638671875 1474.65625 3377.080078125
"66" 14585.58203125 22042.4375 6462.517578125
"67" 13897.109375 6641.99560546875 11353.2783203125
"68" 13868.28125 6642.201171875 11384.0234375
"69" 14519.849609375 10348.19921875 12665.5078125
"70" 12123.1953125 27195.48046875 15446.73046875
"71" 12798.554 27237.5977 15210.2134
"72" 13372.7465 26996.923 14858.1068
"73" 13702.3185 26708.0204 14287.3271
"74" 13931.2801 26445.9388 13650.3254
"75" 14080.9888 26272.3726 12963.7198
"76" 14096.1048 26163.8698 12245.1579
"77" 13809.4718 26185.8534 11598.5477
"78" 13418.5362 26449.9427 11054.6304
"79" 12988.8632 26957.3314 10782.7069
"80" 12416.1048 27394.1996 10723.5148
"81" 11745.021484375 27588.720703125 10584.7412109375
"82" 19738.25 13446.0009765625 8327.0947265625
"83" 17199.55078125 10075.041015625 2759.02172851562
"84" 16701.0599 9538.2979 2425.0838
"85" 16225.2305 8943.823 2046.516
"86" 15659.1069 8365.2073 1766.1108
"87" 15053.0256 7834.4384 1475.6145
"88" 14433.6872 7258.1878 1354.772
"89" 13851.5835 6650.0872 1215.9648
"90" 13277.0488 6023.8343 1129.6985
"91" 12709.827 5386.0562 1208.1148
"92" 12136.0491 4756.9412 1296.8986
"93" 11502.6371 4178.0658 1311.9683
"94" 10868.8161 3599.668 1327.9204
"95" 10234.8642 3022.9941 1309.333
