"V1" "V2" "V3"
"1" 46.4611206054688 39.7821998596191 76.8259658813477
"2" 46.871 39.7907 77.7333
"3" 47.1904 39.8011 78.6731
"4" 47.2857 39.748 79.6524
"5" 47.7117 39.7602 80.5523
"6" 47.151 39.8085 81.1511
"7" 46.4037 39.8438 81.8081
"8" 46.2559 40.0234 82.6176
"9" 45.6899 40.0496 83.4364
"10" 45.4642 39.9909 84.3698
"11" 45.3609 39.932 85.3522
"12" 45.3613 39.8298 86.33
"13" 45.3617782592773 39.9063949584961 87.3227081298828
"14" 47.3424758911133 26.269889831543 100.108528137207
"15" 50.1781959533691 32.4453544616699 91.0759506225586
"16" 36.4265670776367 36.0851669311523 76.3280868530273
"17" 50.8647384643555 12.5314178466797 93.1760025024414
"18" 51.4737 11.6089 90.2394
"19" 49.8255 12.1435 87.8537
"20" 47.3642 11.7769 85.9748
"21" 45.0734 10.0131 84.7849
"22" 42.407 8.3896 84.4502
"23" 39.5417 7.3916 85.3546
"24" 36.8138 6.6366 86.6857
"25" 34.3095 6.1696 88.5651
"26" 32.6304 6.052 91.1169
"27" 32.0329 6.1766 94.1957
"28" 31.9299 6.0629 97.3477
"29" 32.4932 5.8857 100.438
"30" 34.3938 5.819 102.8809
"31" 37.2776 5.4755 103.8426
"32" 40.4047 5.8271 104.0457
"33" 43.0907516479492 6.40429496765137 102.658699035645
"34" 43.0907516479492 6.40429496765137 102.658699035645
"35" 50.8647384643555 12.5314178466797 93.1760025024414
"36" 57.3153381347656 18.4460411071777 51.3857383728027
"37" 56.1868 17.4974 53.1728
"38" 56.2501 16.6281 55.4776
"39" 56.4836 15.7772 57.7642
"40" 56.3384 14.8758 60.0504
"41" 55.8624 13.8643 62.1616
"42" 55.0813 12.6548 64.0939
"43" 54.644 11.8176 66.3629
"44" 54.6481 11.2219 68.75
"45" 54.3732 10.9188 71.1713
"46" 53.8075 10.6651 73.5548
"47" 53.4655 10.4117 75.976
"48" 53.3713 10.4343 78.4366
"49" 53.5283 10.7564 80.8693
"50" 54.4965 11.1033 83.0928
"51" 56.4333 11.3373 84.5498
"52" 58.0843353271484 11.4452896118164 86.365852355957
"53" 24.2164459228516 36.3020362854004 102.516876220703
"54" 30.4064102172852 38.0813827514648 19.9424514770508
"55" 30.95 36.0081 18.9084
"56" 31.2034 33.701 19.1789
"57" 32.6016 31.8043 19.0558
"58" 34.7389 30.771 18.7495
"59" 36.8913 30.3273 18.3318
"60" 38.6648 30.9855 16.8813
"61" 40.3452 31.9785 15.4887
"62" 42.0476 33.2301 14.3525
"63" 43.3249 34.6225 13.138
"64" 43.7845 36.5429 12.5312
"65" 43.4768524169922 38.592212677002 13.7515230178833
"66" 51.0112724304199 27.991849899292 94.7090911865234
"67" 20.3383750915527 20.4281711578369 43.334659576416
"68" 20.2335968017578 19.7010154724121 44.9051361083984
"69" 15.3596057891846 23.8341903686523 51.5862197875977
"70" 20.7417850494385 39.6756324768066 105.76872253418
"71" 21.9433 38.168 105.8919
"72" 22.97 37.3422 103.8973
"73" 24.4069 36.1361 102.5467
"74" 26.3102 34.9021 101.8175
"75" 28.2888 33.6914 101.3619
"76" 30.5386 33.0288 101.4543
"77" 32.8915 33.1573 101.7377
"78" 34.7944 34.4413 102.0111
"79" 36.1547 36.2853 102.2489
"80" 36.9153 38.4941 102.572
"81" 37.5791549682617 40.562572479248 101.686965942383
"82" 34.147762298584 6.03070068359375 75.8061904907227
"83" 57.3153381347656 18.4460411071777 51.3857383728027
"84" 59.5928 19.753 49.3707
"85" 59.4995 21.0113 46.018
"86" 59.186 22.2201 42.6797
"87" 58.7982 23.3463 39.3115
"88" 58.3686 24.3232 35.9264
"89" 57.7413 25.0083 32.4769
"90" 57.5203 25.8919 29.0112
"91" 56.771 26.7708 25.6182
"92" 56.2711 27.7753 22.223
"93" 55.9129 28.8995 18.8466
"94" 55.7347 30.029 15.4972
"95" 55.3647 31.1488 12.3147
"96" 55.1944 32.8553 9.2134
"97" 55.2031 35.28 6.7145
"98" 54.1448745727539 38.6079521179199 6.05805587768555
"99" 59.1828117370605 23.5179939270019 87.4467926025391
"100" 58.3958 21.1328 86.9208
"101" 58.0816 18.4695 87.398
"102" 59.0056 15.9625 86.7813
"103" 59.3539 13.2713 86.7029
"104" 59.3016 11.3291 87.8395
"105" 60.2527 11.2908 90.3623
"106" 60.523 11.5389 93.0547
"107" 61.143 13.3078 94.3629
"108" 61.0072 15.9791 94.1213
"109" 60.3946 18.5742 94.0099
"110" 60.5773 21.2501 94.1899
"111" 60.2748 23.3519 92.5218
"112" 59.8203 24.1992 89.9896
"113" 57.3153381347656 18.4460411071777 51.3857383728027
"114" 35.3468551635742 25.6529769897461 27.157169342041
"115" 50.4540786743164 20.8092422485352 43.6691741943359
"116" 51.3456268310547 33.9776344299316 26.6609497070312
"117" 42.9280738830566 18.5978279113769 108.483947753906
"118" 33.0907325744629 24.8731098175049 27.0290241241455
"119" 28.4708 24.6086 29.1808
"120" 25.1119 23.2021 32.7197
"121" 22.5499 21.46 36.7862
"122" 20.6109 20.7898 41.4165
"123" 20.0188 18.5178 45.9549
"124" 20.5491 14.997 49.5691
"125" 21.3326 12.2988 53.7929
"126" 22.2064 10.7055 58.5079
"127" 25.2963 10.3251 62.3806
"128" 30.1179 9.4184 63.7295
"129" 35.119 9.7519 62.8746
"130" 40.013 10.2953 61.4882
"131" 44.4984 11.3652 59.3171
"132" 47.6675 13.5028 55.9372
"133" 49.2442 16.0587 51.7939
"134" 50.4586 18.7601 47.6255
"135" 50.8291 20.7343 42.886
"136" 50.5969 22.6838 38.1351
"137" 49.5388 24.4689 33.427
"138" 47.3832 25.6662 28.9673
"139" 43.2427 26.1165 26.069
"140" 38.1252 25.8737 26.5427
"141" 6.48063659667969 37.5029373168945 109.625396728516
"142" 24.0428924560547 32.0338745117188 80.5164489746094
"143" 40.0822563171387 35.9314880371094 36.3129844665527
"144" 44.8718948364258 39.5845832824707 50.5833435058594
"145" 39.6197471618652 34.1480369567871 71.3219757080078
"146" 20.2011318206787 19.8239250183106 44.8271560668945
"147" 42.4909286499023 10.7161560058594 60.4856491088867
"148" 37.1718444824219 22.3537082672119 80.5811462402344
"149" 30.2825126647949 22.4057006835938 89.6216278076172
"150" 29.2643 21.015 88.2771
"151" 29.4688 20.5048 86.154
"152" 29.5565 20.393 84.0295
"153" 30.234 19.0313 82.4609
"154" 31.0546 17.5949 81.2623
"155" 32.8247 17.5998 80.0975
"156" 34.5986 18.8086 79.8793
"157" 36.0145 20.4946 80.1687
"158" 37.1718444824219 22.3537082672119 80.5811462402344
"159" 58.0843353271484 11.4452896118164 86.365852355957
"160" 30.2825126647949 22.4057006835938 89.6216278076172
"161" 15.1622743606567 16.3857765197754 100.679069519043
"162" 27.1608772277832 30.4741744995117 97.4929504394531
"163" 27.4343249003092 28.1172472635905 89.8844985961914
"164" 35.9836654663086 9.87776184082031 115.597862243652
"165" 6.48063659667969 37.5029373168945 109.625396728516
"166" 6.1908 36.7794 107.9807
"167" 5.9758 36.6081 106.1762
"168" 5.94 36.3892 104.3728
"169" 5.8524 35.3572 102.8997
"170" 5.9439 33.9651 101.7235
"171" 6.0656 32.3376 101.0109
"172" 6.3781 30.6721 100.4268
"173" 6.5379 29.1558 99.5459
"174" 7.1905 27.5572 99.3166
"175" 7.9741 25.9896 98.9644
"176" 8.9025 24.4961 98.683
"177" 9.7356 22.8781 98.5621
"178" 10.6002 21.3384 98.6814
"179" 11.5797 19.8846 99.0767
"180" 12.6436 18.5445 99.5345
"181" 13.7432 17.1919 99.9005
"182" 15.1622743606567 16.3857765197754 100.679069519043
"183" 49.1475372314453 27.7085189819336 50.2697372436523
"184" 48.9316 28.8704 47.9379
"185" 48.8328 29.8566 45.5132
"186" 48.7636 30.6661 42.9944
"187" 48.7342 31.4202 40.4589
"188" 48.546 32.409 38.0053
