"V1" "V2" "V3"
"1" 18.4532623291016 29.262788772583 11.4199810028076
"2" 18.4412 28.4668 11.349
"3" 18.3972 27.6752 11.2597
"4" 18.4242 26.8841 11.1456
"5" 18.3673 26.0986 11.0171
"6" 18.3768 25.3247 10.8215
"7" 18.4319 24.5588 10.5987
"8" 18.4199 23.7849 10.3974
"9" 18.3845 23.0129 10.193
"10" 18.3733 22.2511 9.9645
"11" 18.3765 21.4866 9.7401
"12" 18.35 20.695 9.6735
"13" 18.0508785247803 20.0300979614258 9.9149341583252
"14" 14.8397674560547 16.7216110229492 9.09655952453613
"15" 14.7645406723022 20.1015853881836 9.61194801330566
"16" 15.3134937286377 27.3611869812012 13.7187633514404
"17" 4.34688091278076 22.2744426727295 6.90557765960693
"18" 3.9655 23.4188 6.9255
"19" 3.4002 24.4764 7.0846
"20" 3.1539 25.4731 7.6543
"21" 2.9484 26.3136 8.4974
"22" 2.7428 26.8202 9.571
"23" 2.4848 26.9529 10.7151
"24" 2.3063 26.5527 11.8386
"25" 2.1228 25.8778 12.8182
"26" 2.0322 24.9729 13.6153
"27" 1.9033 23.9853 14.2301
"28" 2.1264 22.8243 14.3459
"29" 2.3351 21.6905 13.9908
"30" 2.4094 20.6977 13.2988
"31" 2.5559 19.9192 12.4371
"32" 3.0441 19.8099 11.3875
"33" 3.52538681030273 20.1775531768799 10.342363357544
"34" 3.52538681030273 20.1775531768799 10.342363357544
"35" 4.34688091278076 22.2744426727295 6.90557765960693
"36" 7.03544139862061 37.8475227355957 8.90662479400635
"37" 6.0273 38.3466 9.4959
"38" 5.0938 38.5291 10.2982
"39" 4.6053 37.5013 10.8631
"40" 3.922 36.5022 11.3768
"41" 3.4905 35.3018 11.7653
"42" 3.0526 34.0962 12.086
"43" 2.5147 32.8891 12.1854
"44" 1.9902 31.6842 12.1929
"45" 1.9785 30.4709 11.6856
"46" 2.2046 29.3741 11.0031
"47" 2.7205 28.6516 10.0148
"48" 2.9899 27.9841 8.9181
"49" 3.0872 27.1557 7.8883
"50" 3.3521 26.2421 6.9572
"51" 3.7553 25.3322 6.0989
"52" 3.92676639556885 24.3601989746094 5.20751619338989
"53" 15.94127368927 11.4746589660644 17.2651176452637
"54" 18.0518245697021 53.7273941040039 18.0715885162354
"55" 16.9788 53.9174 17.5924
"56" 15.8716 53.938 17.1937
"57" 14.91 53.6342 16.5668
"58" 14.2403 53.3029 15.8466
"59" 14.3403 53.663 14.8416
"60" 14.3643 53.8217 13.6619
"61" 14.7831 53.8524 12.6099
"62" 15.4507 53.9313 11.7131
"63" 16.3743 54.0288 10.989
"64" 17.4611 54.1141 10.4925
"65" 18.5963802337646 53.8127517700195 10.5184822082519
"66" 12.4930543899536 21.1914844512939 8.83888053894043
"67" 8.03315353393555 44.9246063232422 18.6429195404053
"68" 7.18251609802246 43.5298385620117 18.6784381866455
"69" 11.0474872589111 35.9346580505371 21.0512771606445
"70" 17.5036907196045 12.2267322540283 18.1284065246582
"71" 16.9503 11.6894 17.6647
"72" 16.218 11.9009 17.2155
"73" 15.6082 12.4401 16.7718
"74" 15.0882 13.0116 16.2723
"75" 14.703 13.622 15.6912
"76" 14.4672 14.2782 15.1039
"77" 14.6858 14.9025 14.5174
"78" 15.2558 15.1545 13.8526
"79" 15.8365 14.9846 13.1681
"80" 16.6325 14.7481 12.76
"81" 17.5088310241699 14.5189456939697 12.5686092376709
"82" 1.82074356079102 31.8490180969238 14.6788148880005
"83" 7.03544139862061 37.8475227355957 8.90662479400635
"84" 7.8114 38.6246 7.9349
"85" 8.3919 39.8426 7.3182
"86" 9.0461 41.0792 6.804
"87" 9.704 42.3741 6.4808
"88" 10.433 43.6637 6.5783
"89" 11.1241 44.9835 6.5051
"90" 11.7642 46.325 6.5255
"91" 12.5012 47.5624 6.8741
"92" 13.3391 48.7249 6.9637
"93" 14.0113 49.9479 6.4489
"94" 14.727 51.1891 6.0529
"95" 15.6586 52.2632 5.7786
"96" 16.7944 53.1287 6.1413
"97" 17.7591 53.6874 7.111
"98" 18.8496417999268 53.9809036254883 7.6077938079834
"99" 9.36823558807373 22.7102928161621 4.60513639450073
"100" 8.6878 23.2896 4.7243
"101" 7.7994 23.3639 4.864
"102" 6.9095 23.1446 4.9934
"103" 6.0112 23.2633 4.9654
"104" 5.1923 23.4566 4.6073
"105" 4.5027 23.3763 4.0411
"106" 4.5093 22.6861 3.576
"107" 5.116 22.0384 3.6012
"108" 5.8797 21.7451 3.9572
"109" 6.7642 21.6466 4.1678
"110" 7.6174 21.4703 3.9052
"111" 8.5243 21.6272 3.9641
"112" 9.3669 21.9051 4.1578
"113" 7.03544139862061 37.8475227355957 8.90662479400635
"114" 11.9646987915039 49.3458480834961 14.3594102859497
"115" 7.05448055267334 40.7601203918457 9.77057456970215
"116" 14.2208986282349 43.0214004516602 8.92638397216797
"117" 9.68018913269043 11.4726371765137 13.6025524139404
"118" 11.6969528198242 49.2970161437988 15.2401161193848
"119" 10.6639 49.032 16.5005
"120" 9.8326 48.2406 17.7288
"121" 8.9386 46.9746 18.1449
"122" 8.0967 45.5793 18.5374
"123" 7.4107 44.0671 18.7635
"124" 6.5806 42.6076 18.7312
"125" 6.121 40.9946 18.6918
"126" 5.5961 39.5768 18.0144
"127" 5.059 38.6629 16.7399
"128" 4.5839 38.4995 15.1687
"129" 4.5855 38.7628 13.5182
"130" 4.7343 39.525 12.0315
"131" 5.4503 40.1954 10.6837
"132" 6.7245 40.78 9.801
"133" 7.9284 41.55 8.967
"134" 8.7484 42.9597 8.6642
"135" 9.6854 44.3528 8.699
"136" 10.6892 45.6701 8.9456
"137" 11.3942 47.0739 9.5254
"138" 11.9609 48.2641 10.5434
"139" 12.0574 49.0722 11.987
"140" 12.041 49.4689 13.6007
"141" 19.3684272766113 5.18810176849365 21.911958694458
"142" 12.3253602981567 20.7049503326416 17.0383491516113
"143" 16.5577735900879 44.307201385498 13.0767393112183
"144" 16.8533954620361 36.9674644470215 11.2701892852783
"145" 16.2527351379394 34.6398429870605 12.5951442718506
"146" 7.08618450164795 43.4627990722656 18.7349510192871
"147" 4.51737689971924 39.225456237793 12.8154487609863
"148" 9.06805515289307 25.1236763000488 13.8026819229126
"149" 10.7600164413452 19.7335166931152 16.7553329467773
"150" 10.469 20.544 16.7462
"151" 10.2131 21.3588 16.656
"152" 9.9621 22.1521 16.4868
"153" 9.3188 22.6856 16.2991
"154" 8.7212 23.2485 16.0378
"155" 8.3874 23.9264 15.6277
"156" 8.4947 24.609 15.1507
"157" 8.8059 25.1592 14.5746
"158" 9.06805515289307 25.1236763000488 13.8026819229126
"159" 3.92676639556885 24.3601989746094 5.20751619338989
"160" 10.7600164413452 19.7335166931152 16.7553329467773
"161" 2.23310852050781 24.6911087036133 16.3489418029785
"162" 14.5732040405273 14.3203239440918 16.7548389434814
"163" 11.8776874542236 19.5288143157959 16.7626304626465
"164" 7.46941041946411 9.49197006225586 15.2014293670654
"165" 19.3684272766113 5.18810176849365 21.911958694458
"166" 19.0648 7.7982 22.646
"167" 18.6433 10.4767 23.0091
"168" 18.2834 13.1719 23.3096
"169" 18.227 15.9051 23.1713
"170" 18.0255 18.6351 23.222
"171" 17.7374 21.3524 23.2815
"172" 17.568 24.0502 23.6783
"173" 16.7658 26.5276 24.1459
"174" 15.3643 28.8248 23.7388
"175" 13.7623 30.8764 23.0214
"176" 11.5665 32.2852 22.3285
"177" 9.0619 32.4422 21.6799
"178" 6.7235 31.6776 20.5754
"179" 4.8243 31.1163 18.7337
"180" 2.8466 29.7804 17.4269
"181" 2.0827 27.408 16.5368
"182" 2.23310852050781 24.6911087036133 16.3489418029785
"183" 10.8240051269531 36.0422592163086 10.0516538619995
"184" 11.3985 37.6108 9.8623
"185" 12.0308 39.1836 9.5294
"186" 12.6351 40.7213 9.0221
"187" 13.4844 42.2055 8.7851
"188" 14.5099 43.5911 8.8158
"189" 15.0426 45.1915 8.5973
"190" 16.129 46.5074 8.6795
"191" 17.0421 47.7849 9.1589
"192" 18.4742088317871 48.4951019287109 9.68777275085449
"193" 10.8240051269531 36.0422592163086 10.0516538619995
"194" 18.0518245697021 53.7273941040039 18.0715885162354
"195" 18.4742088317871 48.4951019287109 9.68777275085449
"196" 18.0508785247803 20.0300979614258 9.9149341583252
"197" 17.9963073730469 32.4677276611328 13.4791164398193
"198" 18.4532623291016 29.262788772583 11.4199810028076
"199" 15.3134937286377 27.3611869812012 13.7187633514404
"200" 15.9352 26.3949 13.3994
"201" 16.9107 26.3121 13.0851
"202" 18.0204 26.4018 13.1776
"203" 19.1671 26.7033 13.2545
"204" 20.0909 26.6185 13.5619
"205" 20.7936191558838 27.4222736358643 14.0380735397339
"206" 17.5036907196045 12.2267322540283 18.1284065246582
"207" 17.7931690216064 46.4067115783691 20.3016166687012
"208" 18.0518245697021 53.7273941040039 18.0715885162354
"209" 17.7949 51.5106 19.5238
