"V1" "V2" "V3"
"1" 28.5869407653809 23.1300010681152 17.138484954834
"2" 27.9183 23.3781 17.0081
"3" 27.2531 23.5778 16.797
"4" 26.5967 23.7532 16.5475
"5" 25.9704 23.9087 16.2167
"6" 25.3723 24.1014 15.8545
"7" 24.7875 24.2555 15.4564
"8" 24.2129 24.4175 15.0443
"9" 23.6593 24.6128 14.6176
"10" 23.0951 24.78 14.194
"11" 22.542 24.9784 13.7692
"12" 21.9674 25.0893 13.343
"13" 21.292501449585 25.0706081390381 13.0842628479004
"14" 16.6908321380615 29.5878448486328 11.0902595520019
"15" 20.7479553222656 27.8004951477051 12.5844469070435
"16" 28.6733264923096 25.3442077636719 21.1265201568604
"17" 22.6221580505371 38.8134994506836 14.9336137771606
"18" 24.3328 39.4973 14.1657
"19" 25.4848 40.0414 12.5124
"20" 27.2012 40.487 12.4515
"21" 28.3995 40.8222 14.1279
"22" 28.9059 40.9654 16.145
"23" 28.93 41.2417 18.207
"24" 28.5005 41.3711 20.2479
"25" 27.0341 41.5672 21.703
"26" 25.1054 41.5174 22.3845
"27" 23.0392 41.6318 22.2607
"28" 21.1382 41.8221 21.4584
"29" 19.3078 41.6928 20.678
"30" 19.3131 41.7515 18.6454
"31" 20.4844 41.6659 16.9283
"32" 21.731 40.8439 15.5012
"33" 22.5515747070312 39.0980186462402 15.0599460601807
"34" 22.5515747070312 39.0980186462402 15.0599460601807
"35" 22.6221580505371 38.8134994506836 14.9336137771606
"36" 43.0335350036621 36.0109519958496 12.7119960784912
"37" 43.0114 35.7858 14.6557
"38" 43.2738 35.5278 16.6482
"39" 43.4163 35.3817 18.6604
"40" 42.5721 36.1479 20.2489
"41" 41.034 37.3117 20.8458
"42" 39.5449 38.3796 21.7141
"43" 38.0261 39.3257 22.6465
"44" 36.2881 40.1989 22.2302
"45" 34.4245 40.9261 21.8915
"46" 32.697 41.4419 20.9859
"47" 31.1258 41.4916 19.7203
"48" 30.4794 41.2287 17.8367
"49" 29.9505 41.1882 15.9025
"50" 29.0456 41.0877 14.0846
"51" 28.2967 40.9531 12.2033
"52" 28.1247615814209 40.9387664794922 10.2220916748047
"53" 14.121431350708 29.3184185028076 21.9877452850342
"54" 52.1787338256836 18.1865348815918 27.7504844665527
"55" 52.2411 19.7506 28.6069
"56" 52.3856 21.592 28.908
"57" 52.8136 23.1435 27.8868
"58" 53.2276 23.9732 26.1992
"59" 53.5304 24.1047 24.2823
"60" 54.0934 23.6346 22.5063
"61" 54.8895 22.6153 21.0504
"62" 55.6719 21.3198 19.8599
"63" 55.8035 19.4719 19.9825
"64" 55.5415 18.0947 21.158
"65" 54.9514694213867 17.4278106689453 22.8910522460938
"66" 21.6788463592529 31.9536552429199 12.7914276123047
"67" 40.5225563049316 25.9171180725098 31.6933650970459
"68" 38.0090179443359 28.593147277832 31.9658832550049
"69" 34.127799987793 27.2297973632812 32.2335777282715
"70" 12.3699531555176 27.1105480194092 23.5510540008545
"71" 13.3378 27.8591 23.3396
"72" 13.8051 28.6442 22.6322
"73" 14.2399 29.2954 21.6777
"74" 14.6226 29.834 20.6308
"75" 14.7934 30.2314 19.4709
"76" 14.9179 30.3946 18.2492
"77" 14.9853 30.0439 17.132
"78" 15.0782 29.1514 16.2962
"79" 14.7692 28.3892 15.3975
"80" 14.2582 27.435 14.8408
"81" 13.7416324615478 26.3309936523438 14.9381313323975
"82" 35.4838409423828 40.3471183776855 24.8579216003418
"83" 43.0335350036621 36.0109519958496 12.7119960784912
"84" 44.3197 34.9946 13.0784
"85" 45.2688 33.8772 13.933
"86" 46.0677 32.7842 14.8985
"87" 47.1436 31.5984 15.4455
"88" 48.329 30.3795 15.5293
"89" 49.4778 29.1265 15.6142
"90" 50.5556 28.0064 15.4376
"91" 51.5606 26.7733 15.4493
"92" 52.4431 25.3752 15.4804
"93" 53.3176 23.9168 15.4437
"94" 54.3496 22.7463 15.4959
"95" 55.2121 21.621 15.7696
"96" 55.8592 20.2067 16.3706
"97" 56.2736 18.6692 15.9927
"98" 56.0636978149414 17.278564453125 15.0395431518555
"99" 28.279806137085 35.1407051086426 8.27738952636719
"100" 28.5719 36.0464 8.9681
"101" 28.4877 37.0547 9.5847
"102" 28.8076 38.1394 9.5767
"103" 29.3259 39.1205 9.1406
"104" 29.3775 40.1788 8.6472
"105" 28.5462 40.7524 8.1182
"106" 27.6917 40.4594 7.3961
"107" 26.8566 39.7665 6.9138
"108" 26.4068 38.75 7.3711
"109" 26.0389 37.6904 7.3427
"110" 25.8853 36.5894 6.9104
"111" 26.497 35.6148 7.0331
"112" 27.458 35.0555 7.4029
"113" 43.0335350036621 36.0109519958496 12.7119960784912
"114" 48.2668762207031 26.1872100830078 28.9799289703369
"115" 44.9122123718262 33.1550903320312 21.1401519775391
"116" 41.0533790588379 26.4490871429443 17.2585964202881
"117" 13.2254142761231 39.3699645996094 18.6657028198242
"118" 47.595272064209 25.938024520874 29.5488624572754
"119" 45.9165 25.7557 30.6013
"120" 44.0899 25.5243 31.2687
"121" 42.1363 25.4155 31.4915
"122" 40.3408 26.2067 31.771
"123" 38.8397 27.4397 32.1031
"124" 37.8898 29.0967 31.732
"125" 37.7387 31.0063 31.3271
"126" 37.5745 32.7197 30.341
"127" 37.7454 34.2868 29.1552
"128" 38.316 35.5352 27.7298
"129" 39.2464 35.8999 26.0351
"130" 40.3674 36.2958 24.4687
"131" 41.7123 36.0386 23.0479
"132" 43.1346 35.0833 22.0614
"133" 44.4792 33.7957 21.3588
"134" 45.5618 32.189 20.8843
"135" 46.6273 30.5178 20.9352
"136" 47.7644 29.0146 21.5268
"137" 48.5126 27.8138 22.8787
"138" 49.0659 26.9702 24.5911
"139" 49.4452 26.2718 26.4047
"140" 48.9344 26.3248 28.1221
"141" 9.97429180145264 28.3269233703613 28.3084259033203
"142" 20.7544918060303 30.2405605316162 23.3132972717285
"143" 42.1865234375 22.4276866912842 21.8520107269287
"144" 34.0691299438477 23.4455833435059 21.1183834075928
"145" 33.2062606811523 25.9865188598633 22.6132087707519
"146" 38.2281036376953 28.4704074859619 31.8017482757568
"147" 39.1127738952637 36.0092086791992 26.1695976257324
"148" 26.6071338653564 33.1527519226074 19.994478225708
"149" 20.0731964111328 32.6228256225586 21.2621078491211
"150" 20.502 33.8634 21.6328
"151" 21.46 34.2764 22.469
"152" 22.523 34.1595 23.3655
"153" 23.8924 34.2432 23.6144
"154" 25.2747 34.2158 23.4236
"155" 26.3416 34.6218 22.687
"156" 27.3013 33.9735 22.0846
"157" 26.9845 33.1422 21.3444
"158" 26.6071338653564 33.1527519226074 19.994478225708
"159" 28.1247615814209 40.9387664794922 10.2220916748047
"160" 20.0731964111328 32.6228256225586 21.2621078491211
