"V1" "V2" "V3"
"1" 23.080379486084 26.4484672546387 62.0064392089844
"2" 23.0139 27.1613 61.9643
"3" 22.9521 27.8751 61.9866
"4" 22.8902 28.5886 62.0184
"5" 22.7925 29.2948 61.9704
"6" 22.7143 29.9787 61.7749
"7" 22.6842 30.663 61.5629
"8" 22.6112 31.3551 61.3915
"9" 22.5374 32.0477 61.2225
"10" 22.4306 32.7332 61.0405
"11" 22.3108 33.4252 60.9195
"12" 22.1969 34.1293 60.8525
"13" 22.0398082733154 34.8277206420898 60.8188858032227
"14" 26.4605522155762 40.3276596069336 60.3180084228516
"15" 25.2729549407959 35.8107948303223 60.6654434204102
"16" 25.2053337097168 26.038387298584 67.0066909790039
"17" 40.6815643310547 37.7493019104004 57.9919815063477
"18" 41.2824 36.7009 59.0918
"19" 41.7593 35.931 60.6313
"20" 42.1527 35.0496 62.131
"21" 42.182 34.5319 63.8385
"22" 42.0603 34.8334 65.5624
"23" 41.8445 35.785 66.992
"24" 41.2384 37.0385 68.1126
"25" 40.7915 38.6398 68.6095
"26" 39.9721 40.0718 68.1025
"27" 39.0173 40.9655 66.9582
"28" 38.8859 40.7925 65.2592
"29" 39.0246 39.4225 64.2179
"30" 38.7764 38.5527 62.7928
"31" 39.2835 38.3372 61.1008
"32" 40.1302 37.898 59.6127
"33" 40.7187347412109 37.732795715332 57.943660736084
"34" 40.7187347412109 37.732795715332 57.943660736084
"35" 40.6815643310547 37.7493019104004 57.9919815063477
"36" 38.8244323730469 21.9834022521973 54.5958404541016
"37" 38.9462 20.5613 56.0283
"38" 39.0628 19.2325 57.6086
"39" 39.6494 19.1629 59.5081
"40" 40.5759 19.9945 61.1641
"41" 41.1997 21.0697 62.8337
"42" 41.6321 22.5491 64.2232
"43" 41.9862 24.438 65.0429
"44" 42.4835 26.2871 65.8809
"45" 42.8042 28.279 66.3133
"46" 43.0086 30.3211 65.9752
"47" 42.8161 32.0337 64.8225
"48" 42.6208 33.3939 63.2514
"49" 42.2652 34.6636 61.6361
"50" 41.9291 35.4328 59.766
"51" 41.8458 35.6124 57.6897
"52" 41.806396484375 35.2585945129395 55.6611251831055
"53" 23.6085319519043 39.6771583557129 70.8247222900391
"54" 24.6547737121582 3.59031105041504 66.5821990966797
"55" 26.2191 3.5536 67.4803
"56" 27.8967 3.1794 67.4011
"57" 29.3749 3.1105 66.3781
"58" 30.2277 3.3383 64.7908
"59" 30.5148 3.6552 63.0157
"60" 30.3198 3.9763 61.2223
"61" 29.8053 3.8925 59.4685
"62" 28.9406 3.4429 57.9633
"63" 27.1832 3.1702 57.7757
"64" 25.6573 2.7752 58.622
"65" 24.4266605377197 2.07480907440186 59.7505416870117
"66" 32.5719909667969 37.5361709594727 60.8455810546875
"67" 30.4518127441406 12.5985431671143 72.3291625976562
