"V1" "V2" "V3"
"1" 193.531341552734 160.941925048828 352.963897705078
"2" 193.2935 159.7381 345.4214
"3" 193.3895 158.1716 337.9707
"4" 192.979 157.7107 330.3551
"5" 192.6216 155.0962 323.3705
"6" 192.782 153.3745 316.0482
"7" 192.5487 152.7685 308.4455
"8" 191.7337 151.9037 300.9396
"9" 191.7952 150.075 293.5251
"10" 191.8 148.7459 286.0146
"11" 191.8399 146.1801 278.8179
"12" 191.4619 144.9875 271.3538
"13" 191.769012451172 145.591313680013 263.742248535156
"14" 230.590042114258 138.556625366211 221.862640380859
"15" 213.001815795898 137.431747436523 257.371643066406
"16" 217.120300292969 182.212371826172 324.170471191406
"17" 336.94775390625 133.91162109375 291.690612792969
"18" 340.4916 130.6925 303.3162
"19" 340.3834 131.4737 315.7189
"20" 340.4354 136.3301 327.3266
"21" 340.0649 144.6748 336.6069
"22" 338.4286 155.949 341.7909
"23" 336.6768 168.3167 343.6368
"24" 334.7875 180.4173 340.7794
"25" 333.8417 191.3783 334.5987
"26" 333.5611 200.1473 325.6284
"27" 332.7764 204.7755 313.9909
"28" 333.2464 207.2757 301.624
"29" 334.6753 205.5566 289.3474
"30" 338.3649 198.7919 279.4602
"31" 340.2149 189.395 271.1927
"32" 338.1811 178.0706 266.1786
"33" 333.401916503906 167.215484619141 265.141845703125
"34" 333.401916503906 167.215484619141 265.141845703125
"35" 336.94775390625 133.91162109375 291.690612792969
"36" 305.041442871094 156.993072509766 448.362518310547
"37" 308.7083 169.8082 452.832
"38" 315.0424 179.8224 444.8746
"39" 316.8493 188.6782 433.0371
"40" 316.8499 200.1971 423.3461
"41" 315.6359 211.3643 413.2356
"42" 316.3044 213.101 400.1717
"43" 320.8857 207.489 386.8377
"44" 325.467 201.877 373.5036
"45" 330.0483 196.265 360.1696
"46" 334.6296 190.653 346.8356
"47" 337.2842 179.4513 348.9844
"48" 339.2189 165.1357 353.2829
"49" 342.0074 150.6229 351.4557
"50" 342.5326 137.7703 343.5878
"51" 343.4299 126.6666 333.3907
"52" 343.055053710938 116.458312988281 322.334289550781
"53" 221.212417602539 227.500625610352 211.677444458008
"54" 196.037170410156 262.585815429688 546.001892089844
"55" 205.5472 257.0752 549.5474
"56" 216.4328 252.6692 549.488
"57" 226.2263 247.4071 545.9763
"58" 231.7257 239.6763 539.6526
"59" 233.4857 232.4894 542.8553
"60" 233.4722 225.0477 551.4171
"61" 228.3362 216.4869 557.2215
"62" 221.9747 207.8237 561.9531
"63" 214.1185 199.9629 565.2333
"64" 203.6105 195.9592 568.2031
"65" 192.210479736328 195.429016113281 565.597351074219
"66" 253.675552368164 142.263793945312 279.653839111328
"67" 250.16032409668 272.503479003906 437.651214599609
"68" 250.641326904297 272.320343017578 437.209197998047
"69" 248.396148681641 273.745178222656 402.529479980469
"70" 195.535934448242 239.101806640625 210.016876220703
"71" 203.9713 237.0931 210.8483
"72" 211.0843 232.5522 212.7857
"73" 214.7709 224.9265 213.2134
"74" 215.5847 216.7844 215.9125
"75" 218.3851 209.0403 218.7761
"76" 220.4135 200.7631 220.0497
"77" 219.4439 192.1499 220.1566
"78" 215.9586 184.2546 219.1325
"79" 209.8271 178.644 216.5217
"80" 202.3635 174.6274 215.1681
"81" 194.620315551758 170.666020711263 216.202631632487
"82" 308.924285888672 232.570220947266 393.019287109375
"83" 305.041442871094 156.993072509766 448.362518310547
"84" 300.879 149.701 455.5232
"85" 293.7635 146.4892 463.7083
"86" 285.9501 143.0732 471.1821
"87" 277.901 141.4543 479.0566
"88" 269.6811 141.1479 486.9146
"89" 261.986 140.6134 495.2651
"90" 254.2529 141.4254 503.5332
"91" 247.2799 143.6151 512.2553
"92" 240.2495 147.8749 520.1141
"93" 232.9864 151.1671 528.1912
"94" 226.1383 153.8356 536.8604
"95" 218.2816 153.368 545.0754
"96" 211.5193 151.0254 553.5487
"97" 201.4746 155.2551 554.9802
"98" 191.871475219727 161.116424560547 555.922119140625
"99" 303.456359863281 109.624145507812 317.066833496094
"100" 311.5648 113.551 319.2566
"101" 320.3768 114.0315 316.619
"102" 329.4801 112.5251 316.9843
"103" 338.5651 112.8481 319.4114
"104" 344.6093 111.9708 313.5648
"105" 347.9709 108.7946 305.3135
"106" 346.5785 104.6313 298.0379
"107" 339.7116 100.2324 300.823
"108" 330.734 100.7091 302.1762
"109" 321.8019 101.1603 299.6777
"110" 313.2049 98.6705 299.0454
"111" 305.1583 99.1362 303.6045
"112" 300.7667 103.1005 310.7618
"113" 305.041442871094 156.993072509766 448.362518310547
"114" 254.409301757812 244.361267089844 505.993347167969
"115" 309.528442382812 194.464965820312 447.112426757812
"116" 238.64875793457 154.523498535156 484.661071777344
"117" 280.665161132812 190.78125 204.402496337891
"118" 256.101928710938 250.606918334961 500.43359375
"119" 260.369 256.8986 489.0045
"120" 262.3972 261.2366 476.4792
"121" 266.7875 263.575 463.8225
"122" 273.3443 263.0773 452.1003
"123" 281.5539 259.4838 441.7458
"124" 289.9645 255.1313 431.7911
"125" 296.4132 245.0305 425.7999
"126" 303.1614 233.1137 425.1496
"127" 308.4709 220.8584 427.9446
"128" 310.6285 208.451 433.4733
"129" 310.569 197.889 441.9056
