"V1" "V2" "V3"
"1" 10.6122322082519 13.6547679901123 17.8330535888672
"2" 10.5906 13.6587 18.1212
"3" 10.5735 13.6579 18.4096
"4" 10.576 13.645 18.6981
"5" 10.5803 13.6379 18.9867
"6" 10.5694 13.633 19.2749
"7" 10.5905 13.641 19.5629
"8" 10.6018 13.664 19.8507
"9" 10.6144 13.6685 20.1393
"10" 10.6152 13.6617 20.4282
"11" 10.6211 13.641 20.7162
"12" 10.616 13.5556 20.9904
"13" 10.6032152175903 13.4229698181152 21.2468929290771
"14" 12.6526870727539 13.5027198791504 23.6267356872559
"15" 12.0230026245117 13.540735244751 21.3190746307373
"16" 11.7605381011963 11.5572204589844 16.6511402130127
"17" 19.0663738250732 13.8701982498169 19.8275184631348
"18" 19.2544 14.1126 19.1787
"19" 19.13 14.3749 18.5232
"20" 19.0705 14.4252 17.816
"21" 19.0531 14.1109 17.1685
"22" 19.0999 13.6512 16.6104
"23" 19.2172 13.0559 16.221
"24" 19.5024 12.458 15.9257
"25" 19.7747 11.7929 15.8584
"26" 20.001 11.1261 16.0302
"27" 20.0555 10.6608 16.5642
"28" 20.1353 10.3248 17.2041
"29" 20.2258 10.2592 17.9111
"30" 20.2678 10.4878 18.5959
"31" 20.1743 11.0293 19.0485
"32" 20.0001 11.6404 19.3972
"33" 19.7125244140625 12.2197294235229 19.7322177886963
"34" 19.7125244140625 12.2197294235229 19.7322177886963
"35" 19.0663738250732 13.8701982498169 19.8275184631348
"36" 18.3954811096191 15.3611097335815 11.0192804336548
"37" 18.4923 15.041 11.4028
"38" 18.5916 14.9981 11.8935
"39" 18.7413 15.1526 12.3627
"40" 18.8445 15.2509 12.8592
"41" 18.9195 15.3119 13.3682
"42" 19.0018 15.4256 13.8649
"43" 19.0223 15.5774 14.3589
"44" 19.0464 15.6789 14.8666
"45" 19.0384 15.7331 15.3825
"46" 19.0332 15.7603 15.9013
"47" 18.9966 15.8038 16.414
"48" 18.9573 15.8216 16.9278
"49" 18.9165 15.837 17.4397
"50" 18.8728 15.905 17.9519
"51" 18.8177 16.0205 18.4547
"52" 18.8252925872803 16.1861076354981 18.947078704834
"53" 11.6731357574463 8.57796287536621 24.4601345062256
"54" 10.1733369827271 11.7882509231567 0.306130409240723
"55" 10.2838 13.0385 0.4007
"56" 10.3943 14.2887 0.4953
"57" 10.4734 14.7394 0.572
"58" 10.4855 13.4814 0.6107
"59" 10.4975 12.2233 0.6493
"60" 11.0893 11.4532 0.3958
"61" 12.0084 11.9023 0.8907
"62" 12.2225 12.4689 1.1623
"63" 11.941 13.5463 0.641
"64" 11.3898 14.6592 0.542
"65" 10.3573379516602 15.1751251220703 0.588175773620605
"66" 14.5084266662598 13.6465950012207 20.9218902587891
"67" 12.8749408721924 7.43480682373047 7.96396636962891
"68" 12.9277124404907 7.45828151702881 7.95575904846191
"69" 12.2687168121338 5.75486755371094 10.9056768417358
"70" 10.5845460891724 8.04364395141602 23.7465267181396
"71" 11.0235 8.1676 23.9119
"72" 11.3243 8.5021 24.0923
"73" 11.6062 8.8343 24.1499
"74" 11.8933 9.1798 23.9488
"75" 12.0971 9.5918 23.7855
"76" 12.1557 10.066 23.7782
"77" 12.0298 10.4818 24.0044
"78" 11.8437 10.8453 24.2769
"79" 11.5724 11.1783 24.5029
"80" 11.1646 11.3717 24.6755
"81" 10.7210550308228 11.5392551422119 24.6087894439697
"82" 18.7664489746094 10.2943620681763 11.23841381073
"83" 18.3954811096191 15.3611097335815 11.0192804336548
"84" 17.9245 15.5213 10.3721
"85" 17.4894 15.676 9.6937
"86" 17.0443 15.9685 9.0685
"87" 16.5509 16.1754 8.4512
"88" 16.0811 16.4132 7.8274
"89" 15.5773 16.6939 7.2559
"90" 15.0796 16.9242 6.6494
"91" 14.5132 17.0988 6.0847
"92" 13.9125 17.0633 5.5336
"93" 13.3167 17.0147 4.9773
"94" 12.8101 16.9639 4.3338
"95" 12.2809 16.9562 3.7146
"96" 11.7485 17.0099 3.108
"97" 11.1189 17.1037 2.6102
"98" 10.3678674697876 17.3254795074463 2.40081596374512
"99" 15.6584548950195 16.2871379852295 19.6369247436523
"100" 16.0724 16.0793 19.2705
"101" 16.5841 15.8062 19.2783
"102" 17.1548 15.6885 19.3578
"103" 17.6823 15.7762 19.1128
"104" 18.1246 16.0794 18.9583
"105" 18.3581 16.5295 19.2407
"106" 18.3666 16.7311 19.7622
"107" 18.2305 16.691 20.312
"108" 17.78 16.3832 20.553
"109" 17.255 16.1141 20.5814
"110" 16.6832 16.2052 20.5942
"111" 16.1395 16.4044 20.6344
"112" 15.7665 16.4399 20.2018
"113" 18.3954811096191 15.3611097335815 11.0192804336548
"114" 13.2825679779053 10.8418569564819 3.46468210220337
"115" 17.1353206634521 13.3775215148926 7.56387424468994
"116" 11.5673847198486 14.7414112091065 7.8921422958374
"117" 16.8071422576904 9.91669368743896 24.7676963806152
"118" 13.3733320236206 10.2717399597168 3.47375631332398
"119" 13.6161 9.6792 4.0883
"120" 13.7442 9.1504 4.7833
"121" 14.1155 8.7538 5.476
"122" 14.5944 8.527 6.177
"123" 15.1942 8.5268 6.8303
"124" 15.8026 8.7017 7.4468
"125" 16.3305 9.0043 8.0853
"126" 16.8341 9.5947 8.4513
"127" 17.2204 10.3904 8.5036
"128" 17.4348 11.2394 8.3781
"129" 17.4586 12.0875 8.128
"130" 17.3475 12.9125 7.8272
"131" 17.1036 13.6688 7.4344
"132" 16.6899 14.2123 6.9027
"133" 16.1595 14.5642 6.2867
"134" 15.5941 14.6385 5.618
"135" 14.9858 14.6295 4.9833
"136" 14.4132 14.27 4.4242
"137" 13.9438 13.654 3.9942
"138" 13.7203 12.8409 3.7399
"139" 13.5438 12.0181 3.468
"140" 13.3852 11.1554 3.3901
"141" 10.8999328613281 3.26545596122742 19.9648361206055
"142" 13.7457265853882 8.27837944030762 19.1945056915283
"143" 11.0073890686035 12.7859201431274 8.48739624023438
"144" 10.8361492156982 13.6380796432495 13.2266578674316
"145" 12.3046722412109 10.4109468460083 10.6309585571289
"146" 14.6951684951782 8.54551219940186 6.47712707519531
"147" 16.9166374206543 9.70059394836426 8.63889694213867
"148" 14.4359254837036 11.7196388244629 17.6681671142578
"149" 14.7420997619629 8.96109676361084 20.3260478973389
"150" 15.338 8.8903 19.3699
"151" 15.8686 8.7137 18.3802
"152" 16.16 8.9053 17.2839
"153" 16.7445 9.0052 16.2963
"154" 16.9687 9.783 15.4647
"155" 16.7499 10.6301 15.7542
"156" 16.0706 10.7358 16.6886
"157" 15.4805 11.4076 17.4481
"158" 14.4359254837036 11.7196388244629 17.6681671142578
"159" 18.8252925872803 16.1861076354981 18.947078704834
"160" 14.7420997619629 8.96109676361084 20.3260478973389
"161" 19.3490524291992 8.82872772216797 16.9720802307129
"162" 12.7442617416382 8.9712028503418 23.0164566040039
"163" 14.0204057693481 8.62207221984863 20.3526763916016
"164" 18.5329151153564 8.95104789733887 24.6474800109863
"165" 10.8999328613281 3.26545596122742 19.9648361206055
"166" 10.8163 3.6027 18.5093
"167" 10.7621 3.5586 17.1526
"168" 10.789 3.8212 15.7009
"169" 11.0589 4.2385 14.2838
"170" 11.5545 4.7722 12.9887
"171" 12.1185 5.3555 11.7302
"172" 12.7682 6.0904 10.5964
"173" 13.9188 6.6509 9.8285
"174" 15.1661 7.3916 9.4629
"175" 16.4616 8.0798 9.6703
"176" 17.5361 8.8275 10.4006
"177" 18.4157 9.8258 11.0999
"178" 19.2092 10.627 12.0679
"179" 19.9037 10.9685 13.3069
"180" 20.1728 10.4608 14.6731
"181" 20.017 9.5556 15.8476
"182" 19.3490524291992 8.82872772216797 16.9720802307129
"183" 13.682391166687 14.5692100524902 11.9827423095703
"184" 13.184 14.6264 11.37
"185" 12.7642 14.5966 10.705
"186" 12.443 14.7248 9.9949
"187" 12.0611 14.8432 9.3029
"188" 11.7748 14.8776 8.5574
"189" 11.446 14.6924 7.8555
"190" 11.3258 14.6683 7.0661
"191" 11.0604 14.6112 6.3907
"192" 10.3254776000977 14.4585552215576 6.44307994842529
"193" 13.682391166687 14.5692100524902 11.9827423095703
"194" 10.1733369827271 11.7882509231567 0.306130409240723
"195" 10.3254776000977 14.4585552215576 6.44307994842529
"196" 10.6032152175903 13.4229698181152 21.2468929290771
"197" 10.6212110519409 12.708966255188 14.5679759979248
"198" 10.6122322082519 13.6547679901123 17.8330535888672
"199" 11.7605381011963 11.5572204589844 16.6511402130127
"200" 11.5155 11.7432 17.1223
"201" 11.2201 12.038 17.3745
"202" 10.678 12.1587 17.4777
"203" 10.1305 12.0472 17.3771
"204" 9.6912 11.8372 17.1314
"205" 9.39924716949463 11.571611404419 16.7643547058106
"206" 10.5845460891724 8.04364395141602 23.7465267181396
"207" 10.3613061904907 8.47643947601318 6.13877964019775
"208" 10.1733369827271 11.7882509231567 0.306130409240723
"209" 10.1175 10.9639 1.0933
"210" 10.202 10.3417 2.0592
