"V1" "V2" "V3"
"1" 18.6337280273438 13.2453327178955 5.64507865905762
"2" 18.1891 13.2821 5.574
"3" 17.84 13.3178 5.3032
"4" 17.4438 13.2741 5.0816
"5" 17.0372 13.2592 4.8738
"6" 16.6374 13.2462 4.6539
"7" 16.2464 13.2413 4.4194
"8" 15.835 13.2506 4.2207
"9" 15.4255 13.273 4.0233
"10" 15.0317 13.2797 3.792
"11" 14.6422 13.2073 3.5678
"12" 14.2313 13.1574 3.3793
"13" 13.7982530593872 13.0242204666138 3.4402928352356
"14" 11.2615022659302 14.9351444244385 2.20705890655518
"15" 13.204327583313 14.4488868713379 2.81065893173218
"16" 18.1997146606445 14.8579025268555 7.48090028762817
"17" 14.5546436309815 22.6736030578613 4.67954921722412
"18" 15.2525 22.9638 4.8458
"19" 16.0058 23.1261 4.9405
"20" 16.7226 23.1525 5.2434
"21" 17.3835 23.1791 5.6575
"22" 17.7735 23.1326 6.3087
"23" 17.9788 23.1185 7.0553
"24" 17.9494 23.1941 7.8307
"25" 17.7341 23.328 8.5404
"26" 17.1895 23.3224 9.0858
"27" 16.5289 23.5082 9.4162
"28" 15.7578 23.4609 9.3553
"29" 15.0582 23.3581 9.0327
"30" 14.4627 23.3651 8.5368
"31" 14.1063 23.3814 7.8659
"32" 13.9087 23.361 7.1253
"33" 13.8391819000244 23.1187915802002 6.39158725738525
"34" 13.8391819000244 23.1187915802002 6.39158725738525
"35" 14.5546436309815 22.6736030578613 4.67954921722412
"36" 25.4730796813965 22.5909538269043 8.27621364593506
"37" 24.9037 22.6102 8.4783
"38" 24.3661 22.8528 8.3992
"39" 23.8255 23.0477 8.2019
"40" 23.2719 23.1673 8.0053
"41" 22.7256 23.113 7.7752
"42" 22.1951 23.0831 7.5191
"43" 21.7057 23.1049 7.1609
"44" 21.236 23.0934 6.7762
"45" 20.7571 23.0879 6.4017
"46" 20.2819 23.1403 6.0311
"47" 19.8161 23.1845 5.6466
"48" 19.3837 23.2239 5.2223
"49" 18.915 23.2044 4.8379
"50" 18.4868 23.2171 4.4099
"51" 17.9737 23.2403 4.0866
"52" 17.431303024292 23.1303272247314 3.84566974639893
"53" 8.42154502868652 13.4450635910034 7.14722394943237
"54" 38.6230621337891 13.5307331085205 15.6780815124512
"55" 38.4674 14.3213 15.6337
"56" 38.3087 15.046 15.4047
"57" 37.946 15.6624 15.0135
"58" 37.553 16.2089 14.5737
"59" 37.5361 16.4957 13.8991
"60" 37.1785 16.7631 13.2368
"61" 37.4642 16.5715 12.6949
"62" 38.047 16.0975 12.4535
"63" 38.567 15.6603 12.0421
"64" 38.7713 14.9312 11.783
"65" 38.8201942443848 14.1280565261841 11.6706895828247
"66" 15.0292911529541 16.8040809631348 4.11443996429443
"67" 26.1556873321533 15.7819347381592 16.6518459320068
"68" 26.1556873321533 15.7819347381592 16.6518459320068
"69" 22.4201812744141 16.0706653594971 15.9892730712891
"70" 8.92129516601562 12.4092502593994 7.84010457992554
"71" 8.8243 12.8821 7.5707
"72" 8.7678 13.1902 7.1491
"73" 9.0615 13.5631 6.8733
"74" 9.4475 13.8962 6.6291
"75" 9.7779 14.207 6.3004
"76" 10.0222 14.4296 5.8474
"77" 10.0497 14.2895 5.3181
"78" 9.9386 14.1055 4.8023
"79" 9.8205 13.7421 4.3916
"80" 9.7704 13.2896 4.0857
