"V1" "V2" "V3"
"1" 56404.140625 152509.359375 32975.1796875
"2" 56386.9083 153676.2148 32857.1265
"3" 56361.8619 154826.001 32679.8364
"4" 56338.9883 155878.3832 32164.3866
"5" 56245.3542 156917.6958 31632.7981
"6" 56305.4026 157899.7655 31012.7053
"7" 56363.2661 158875.3119 30395.7087
"8" 56508.5686 159851.6147 29766.3286
"9" 56428.9647 160918.4803 29395.4426
"10" 56426.9919 161831.7033 30072.5483
"11" 56391.6012 162499.848 31030.528
"12" 56358.9517 163353.2501 31826.0026
"13" 56314.1328125 164277.125 32547.2734375
"14" 75072.6015625 180401.75 32020.296875
"15" 64970.80078125 170677.34375 29738.265625
"16" 61020.19921875 150318.6875 46795.55078125
"17" 99232.296875 173622.03125 23004.771484375
"18" 100021.2119 171195.8862 24861.2286
"19" 99733.2185 168379.9109 26531.6153
"20" 99917.4193 166545.4137 29290.7523
"21" 100677.3154 165989.0159 32482.6442
"22" 101564.4025 166156.2723 35702.0538
"23" 102165.9396 166965.38 38895.4464
"24" 102464.0462 167587.3632 42171.309
"25" 102671.7963 168695.0592 45327.4267
"26" 103355.8418 170513.407 48006.9477
"27" 104360.102 172658.8639 50361.1021
"28" 104981.3081 175553.3049 51912.0981
"29" 105536.1785 178832.7825 52073.2752
"30" 105922.5611 181805.4594 50629.7114
"31" 106879.5888 184312.5487 48681.0352
"32" 107869.8091 184857.948 45595.3235
"33" 108285.8359375 184471.359375 42288.25390625
"34" 108285.8359375 184471.359375 42288.25390625
"35" 99232.296875 173622.03125 23004.771484375
"36" 93814.953125 129449.4375 15192.8359375
"37" 95295.6071 131751.5477 16778.1978
"38" 96264.0853 134530.2631 17921.7368
"39" 97458.9515 137471.454 17876.2717
"40" 97901.1665 140461.5979 16905.2555
"41" 98575.0327 143494.4531 16328.7178
"42" 99354.0463 146447.6953 17031.6656
"43" 99958.3283 145347.1469 19508.8784
"44" 100615.6565 146203.1929 20998.8524
"45" 101103.4764 149201.9109 20402.107
"46" 101774.6574 152121.6766 21391.6692
"47" 101593.7595 155267.6773 21423.5574
"48" 101759.4215 158408.996 21006.719
"49" 101697.1776 161489.681 20269.5877
"50" 101816.6979 164572.085 19465.1292
"51" 101332.6882 166879.4634 17458.7033
"52" 101355.1875 168940.75 15058.7548828125
"53" 60986.51171875 179632.40625 58988.640625
"54" 56879.5703125 88367.875 57088.4921875
"55" 59578.6946 86709.0593 55893.4781
"56" 62247.0167 84958.5981 54426.8213
"57" 65599.3083 85231.25 53781.0127
"58" 68301.3672 85798.3034 51799.2114
"59" 69044.1295 86141.7876 48596.4534
"60" 68467.2278 83177.7747 46761.0174
"61" 67772.5113 80887.7976 44120.7468
"62" 66347.4159 79016.6476 41518.9835
"63" 63652.2304 77165.1561 40286.9065
"64" 60196.6168 76634.7962 40087.2615
"65" 57089.5234375 77373.90625 41649.4609375
"66" 73771.875 176656.875 27673.82421875
"67" 79633.3125 112346.484375 64612.82421875
"68" 82434.6484375 115023.4140625 64788.41015625
"69" 76642.8671875 129066.0546875 73929.0703125
"70" 57111.00390625 184616.578125 64752.5234375
"71" 58565.6267 184088.9908 63341.277
"72" 59236.295 182254.9491 61964.025
"73" 60020.536 180569.4313 60463.6395
"74" 61099.5436 179758.8354 58656.5393
"75" 62198.045 179644.8387 56548.7942
"76" 62869.6267 179335.4016 54355.8887
"77" 62802.7486 178844.4664 52039.5159
"78" 62015.893 178980.8907 49810.6689
"79" 60479.0284 179648.6733 48147.4933
"80" 58431.4536 180376.1562 47247.951
"81" 56158.22265625 180165.359375 46541.28515625
"82" 103925.265625 151835.265625 49435.8515625
"83" 93814.953125 129449.4375 15192.8359375
"84" 91875.6804 125588.4637 13518.2422
"85" 89898.1463 121329.3997 13338.7368
"86" 88284.7361 116927.0835 13300.8578
"87" 86378.9915 112651.8292 12999.377
"88" 84225.4252 108485.8252 12626.5218
"89" 82108.6236 104296.9843 12365.6723
"90" 80155.2233 100024.0563 12210.5547
"91" 77823.6059 95974.7473 12524.1564
"92" 75601.4947 91861.0596 12822.4658
"93" 73108.4542 88073.9498 14060.6095
"94" 70355.9004 84345.9645 14694.4699
"95" 67378.466 80849.0261 15643.4262
"96" 64241.2185 77578.3404 16502.9928
"97" 60550.1026 74816.9234 15933.3652
"98" 56365.58203125 73161.890625 15324.78125
"99" 84446.3046875 167565.015625 13201.640625
"100" 87039.3534 166450.6744 14120.9717
"101" 90005.7994 166281.6988 14473.8969
"102" 92946.8614 166248.3579 13912.0913
"103" 95810.707 166612.3148 13156.6253
"104" 98578.472 167729.0954 12837.3768
"105" 100408.3414 169989.0449 13300.0938
"106" 100338.6348 172445.8017 12377.0105
"107" 98246.0852 173503.7461 10923.0966
"108" 95364.6678 173307.2657 10642.0566
"109" 92425.8997 173054.2171 11211.903
"110" 89473.7967 173055.056 11610.2835
"111" 86600.2977 172627.1737 11630.1571
"112" 84849.4454 170332.4623 12182.4529
"113" 93814.953125 129449.4375 15192.8359375
"114" 76406.015625 97143.4140625 53276.33203125
"115" 87630.84375 116253.0546875 29952.326171875
"116" 65109.5859375 101739.734375 25548.34375
"117" 84737.8671875 195128.984375 42360.4765625
"118" 77467.390625 98690.3515625 55048.2890625
"119" 78854.3262 102334.7103 59165.4445
"120" 78895.0657 106906.1557 62582.3085
"121" 80234.5828 112042.7563 64493.5693
"122" 84000.9494 116217.3655 64957.765
"123" 88718.3663 119333.734 64928.5495
"124" 92522.6607 123565.9456 65260.4289
"125" 95067.2211 128553.7743 64324.2886
"126" 96551.6914 132854.6516 60916.2256
"127" 97886.7831 133788.2936 55589.34
"128" 97807.7323 132433.0212 50026.4703
"129" 97767.2015 130850.0864 44517.0075
"130" 97662.9368 128838.3921 39176.128
"131" 96002.2115 126030.3428 34507.5123
"132" 93104.0252 122147.6215 31526.4761
"133" 89786.4616 117809.0221 29894.0805
"134" 86527.6793 113092.7332 29613.1709
"135" 83681.1617 108185.0579 30337.8618
"136" 81088.4257 103342.4801 31902.1995
"137" 78787.4118 99073.9361 34733.8493
"138" 76640.371 96218.9149 39136.7542
"139" 76100.9357 95311.6923 44695.2601
"140" 76435.1154 95671.806 50394.4213
"141" 65162.48828125 189463.65625 87636.515625
"142" 67421.6171875 155724.90625 61714.93359375
"143" 61578.50390625 109326.625 39964.8203125
"144" 61144.44921875 125810.5 33982.2578125
"145" 63259.25 146500.328125 38644.93359375
"146" 82486.1875 114786.734375 64974.65625
"147" 98228.0625 130156.53125 42277.90625
"148" 77831.8828125 160145 40963.4140625
"149" 78374.8515625 169200.875 53028.6875
"150" 80842.1886 167389.3289 51821.2206
"151" 83023.0202 164968.5786 51105.7758
"152" 85704.0414 163267.3873 50103.7916
"153" 87439.9524 160496.8406 49318.6688
"154" 88708.6058 159092.0246 46886.3619
"155" 86789.9713 158918.5092 44577.7477
"156" 83469.3118 158663.2082 43930.0129
"157" 80353.6655 159379.543 43073.5657
"158" 77831.8828125 160145 40963.4140625
"159" 101355.1875 168940.75 15058.7548828125
"160" 78374.8515625 169200.875 53028.6875
"161" 90790.1171875 183226.734375 75245.625
"162" 69865.546875 175765.015625 57375.76953125
"163" 70912.9921875 166342.90625 58558.95703125
"164" 99416.46875 202573.03125 46666.8515625
"165" 65162.48828125 189463.65625 87636.515625
"166" 66095.1788 187464.882 87580.2436
"167" 67185.2739 185508.4403 87395.0451
"168" 68463.6975 183717.7625 86909.1952
"169" 69848.5837 182023.2108 86383.3996
"170" 71471.4841 180596.6152 85726.6215
"171" 73232.8313 179327.8921 85131.3372
"172" 74936.6946 178075.6788 84398.2397
"173" 76434.5976 176557.0181 83676.3693
"174" 77890.925 175131.5837 82737.3657
"175" 79754.1204 174488.0885 81677.1829
"176" 81609.8359 175329.6088 80774.9155
"177" 83394.1128 176319.6449 79847.9226
"178" 84883.1322 177752.7168 78987.6911
"179" 86359.069 179068.2564 77913.1165
"180" 88111.1801 180121.9116 76961.7374
