"V1" "V2" "V3"
"1" 55.5631408691406 50.7769775390625 77.4904708862305
"2" 55.6689 51.0419 78.6881
"3" 55.7101 51.3161 79.8845
"4" 55.6694 51.556 81.0904
"5" 55.6345 51.8235 82.29
"6" 55.5126 52.1455 83.4711
"7" 55.6284 52.539 84.6249
"8" 55.4945 52.8842 85.7944
"9" 55.4939 53.2339 86.9747
"10" 55.4114 53.5643 88.156
"11" 55.2764 53.546 89.3775
"12" 55.2776 53.5022 90.6059
"13" 55.3250045776367 53.4055328369141 91.8323059082031
"14" 63.6323471069336 56.0636520385742 98.8681182861328
"15" 59.2457733154297 53.348819732666 92.2727813720703
"16" 61.0096130371094 42.182014465332 75.6966400146484
"17" 98.5994873046875 67.1854019165039 103.562171936035
"18" 99.3328 67.1069 100.4115
"19" 100.0283 66.769 97.299
"20" 100.5311 65.2197 94.5104
"21" 100.4251 62.9652 92.3556
"22" 100.3147 60.1625 90.7867
"23" 100.8547 56.996 90.6326
"24" 101.8252 53.981 91.0041
"25" 102.6204 51.1876 92.407
"26" 103.2714 48.9811 94.6161
"27" 102.9263 47.771 97.5473
"28" 102.4165 47.7317 100.7027
"29" 103.4572 49.0545 103.0806
"30" 103.2326 51.3193 104.1965
"31" 101.495 53.8655 104.763
"32" 101.2436 57.0525 105.0312
"33" 100.592353820801 60.162483215332 105.641540527344
"34" 100.592353820801 60.162483215332 105.641540527344
"35" 98.5994873046875 67.1854019165039 103.562171936035
"36" 88.0869216918945 58.1793785095215 55.7724533081055
"37" 90.1206 56.2788 56.6275
"38" 92.4425 56.5265 58.4867
"39" 94.0236 57.6207 60.736
"40" 95.4775 58.5405 63.169
"41" 96.6475 59.5868 65.7072
"42" 97.7879 60.6849 68.2372
"43" 98.9183 61.7202 70.7984
"44" 99.8038 62.8509 73.4038
"45" 100.4455 64.0825 76.0456
"46" 101.0549 65.1205 78.7654
"47" 101.1117 66.525 81.3978
"48" 101.192 67.7886 84.0972
"49" 101.1875 69.0615 86.7965
"50" 101.2509 70.2514 89.5287
"51" 101.1371 71.5967 92.186
"52" 99.4115447998047 72.8151397705078 94.1479949951172
"53" 60.611701965332 38.2776718139648 103.98388671875
"54" 60.8257675170898 22.5905952453613 9.81217956542969
"55" 62.7226 22.8741 9.2139
"56" 64.454 23.5418 8.4649
"57" 65.8821 24.9016 8.7795
"58" 66.8519 26.2431 9.9179
"59" 67.2822 28.0414 10.6876
"60" 66.8418 29.3227 9.3749
"61" 65.9527 30.8902 8.4912
"62" 64.8612 32.2554 7.5293
"63" 63.5625 33.3313 6.4765
"64" 61.7526 33.9307 5.9252
"65" 59.8474731445312 33.3566207885742 5.8299388885498
"66" 71.3493957519531 56.7321815490723 96.0861129760742
"67" 71.0286712646484 25.5057411193848 39.0641441345215
"68" 71.3728103637695 26.2395706176758 39.319034576416
"69" 72.3893966674805 24.3425140380859 50.6212501525879
"70" 56.7953300476074 34.0646667480469 103.675437927246
"71" 58.3363 34.7308 104.0506
"72" 59.3681 35.8544 104.7689
"73" 60.27 37.1528 104.0999
"74" 60.722 38.7861 103.7743
"75" 61.1599 40.3989 103.3762
"76" 61.5802 42.0344 103.0633
"77" 61.3962 43.6823 102.8871
"78" 60.4743 45.0935 103.1698
