"V1" "V2" "V3"
"1" 18.5781860351562 38.406810760498 22.8599948883057
"2" 18.6825 38.2965 23.3668
"3" 18.7758 38.1919 23.877
"4" 18.8654 38.0981 24.3899
"5" 18.955 37.9971 24.9015
"6" 19.0427 37.8871 25.4116
"7" 19.1471 37.8285 25.9268
"8" 19.2687 37.77 26.4383
"9" 19.3679 37.6915 26.9519
"10" 19.4407 37.6254 27.4717
"11" 19.4642 37.566 27.9957
"12" 19.4187 37.5488 28.5217
"13" 19.3228454589844 37.6055793762207 29.0388641357422
"14" 18.9879608154297 35.9102478027344 32.923095703125
"15" 19.1341018676758 35.3815765380859 29.4764099121094
"16" 16.2517471313477 37.0167045593262 22.2720336914062
"17" 18.7994613647461 28.1215705871582 25.5438251495361
"18" 18.7871 27.9305 24.5191
"19" 18.784 28.0834 23.4801
"20" 18.2018 28.4234 22.6694
"21" 17.3856 28.7935 22.1067
"22" 16.3638 28.9772 21.867
"23" 15.3012 29.0367 21.8653
"24" 14.2772 29.0399 22.1597
"25" 13.3093 28.9202 22.5809
"26" 12.5512 28.8027 23.2406
"27" 12.3017 28.8999 24.2746
"28" 12.3558 28.8937 25.3297
"29" 12.5784 28.7659 26.3654
"30" 13.1811 28.5716 27.1888
"31" 14.1588 28.3107 27.3802
"32" 15.1944 28.2616 27.1323
"33" 16.1971492767334 28.4175758361816 26.8011436462402
"34" 16.1971492767334 28.4175758361816 26.8011436462402
"35" 18.7994613647461 28.1215705871582 25.5438251495361
"36" 17.5903434753418 30.96022605896 12.7712574005127
"37" 16.9358 30.892 13.1948
"38" 16.4096 30.6792 13.7251
"39" 16.0731 30.3818 14.3644
"40" 15.7741 30.1123 15.0349
"41" 15.5569 29.848 15.7324
"42" 15.5645 29.5687 16.4554
"43" 15.6561 29.3006 17.1787
"44" 16.0309 29.0976 17.8356
"45" 16.3733 28.8956 18.5066
"46" 16.8241 28.7382 19.128
"47" 17.2787 28.6108 19.7513
"48" 17.7445 28.4427 20.3564
"49" 18.2001 28.2819 20.9694
"50" 18.5668 28.1427 21.6482
"51" 18.8125 28.1053 22.3882
