"V1" "V2" "V3"
"1" 19.0928764343262 20.425350189209 19.8120613098144
"2" 19.1915 20.4679 20.2925
"3" 19.2148 20.4656 20.784
"4" 19.186 20.4212 21.272
"5" 19.2078 20.4247 21.7613
"6" 19.2726 20.5074 22.2315
"7" 19.2747 20.4993 22.708
"8" 19.288 20.5431 23.188
"9" 19.2103 20.4677 23.6644
"10" 19.1912 20.4139 24.1488
"11" 19.2073 20.3856 24.6403
"12" 19.1966 20.3621 25.1322
"13" 19.1875457763672 20.3273200988769 25.623477935791
"14" 21.0541610717773 19.105863571167 29.2515296936035
"15" 21.2502555847168 19.0849418640137 25.7220764160156
"16" 19.5971221923828 18.5057735443115 19.6846237182617
"17" 25.5538806915283 14.4737424850464 23.94260597229
"18" 26.7887 14.7812 23.8317
"19" 27.9646 15.1259 23.5937
"20" 28.8104 15.3108 22.8669
"21" 28.7064 15.0725 21.6576
"22" 28.1407 14.572 20.6283
"23" 27.279 13.7451 20.2719
"24" 26.3641 12.848 20.2856
"25" 25.5358 11.9949 20.6846
"26" 24.9155 11.3104 21.5663
"27" 24.5003 10.877 22.6912
"28" 24.329 10.7106 23.9241
"29" 24.4445 10.8529 25.1933
"30" 24.9919 11.4967 25.8418
"31" 25.7304 12.4454 25.4346
"32" 25.8818 13.4407 24.7082
"33" 25.3490447998047 14.3682165145874 24.0067043304443
"34" 25.3490447998047 14.3682165145874 24.0067043304443
"35" 25.5538806915283 14.4737424850464 23.94260597229
"36" 28.3518333435059 17.9593772888184 12.9899291992188
"37" 27.7208 17.6277 12.3492
"38" 27.1732 16.9737 12.0971
"39" 26.9866 16.1792 12.5912
"40" 27.0215 15.325 13.0386
"41" 26.9779 14.555 13.6109
"42" 26.7386 13.9042 14.2777
"43" 26.7234 13.3406 15.0684
"44" 26.6793 12.928 15.9345
"45" 26.7995 12.9871 16.8725
"46" 27.0438 13.2281 17.775
"47" 27.4305 13.7076 18.5228
"48" 27.9694 14.2625 19.0871
"49" 28.5918 14.7466 19.6431
"50" 29.1263 15.2038 20.3106
"51" 29.6602 15.763 20.8939
"52" 30.3034763336182 16.1685485839844 21.4975891113281
"53" 17.6473445892334 14.8364849090576 28.9489326477051
"54" 17.6847267150879 21.1243286132812 1.1368522644043
"55" 18.3187 20.389 0.9462
"56" 19.0871 19.836 0.8349
"57" 20.0238 19.7036 1.0948
"58" 20.6865 19.5956 1.7977
"59" 21.2843 19.7699 2.4709
"60" 21.707 20.6503 2.3235
"61" 21.9113 21.5771 2.0649
"62" 22.1072 22.5469 2.0482
"63" 22.0015 23.446 2.1255
"64" 21.3453 24.1493 1.962
"65" 20.6150283813477 24.7698593139648 2.13616180419922
"66" 23.5083312988281 17.7775802612305 24.8956680297852
"67" 18.3442249298096 15.5372180938721 7.04348754882812
"68" 18.5217189788818 13.9897270202637 10.38356590271
"69" 18.1073760986328 13.6536703109741 10.9822912216187
"70" 15.7108182907104 15.1993618011475 29.8035564422607
"71" 16.251 15.0265 29.5801
"72" 16.7785 14.9234 29.3009
"73" 17.3033 14.8838 29.0109
"74" 17.875 15.0823 28.9492
"75" 18.3159 15.4574 29.1334
"76" 18.6098 15.9806 29.2343
"77" 18.8099 16.5368 29.3112
"78" 18.8131 17.102 29.5236
"79" 18.6636 17.6226 29.7966
"80" 18.4039 18.1499 29.8765
"81" 17.9457149505615 18.5507850646973 29.8464813232422
"82" 24.5497303009033 11.4703969955444 14.0919380187988
"83" 28.3518333435059 17.9593772888184 12.9899291992188
"84" 28.0241 18.4108 12.1566
"85" 27.519 18.8132 11.374
"86" 26.8784 19.0405 10.6129
"87" 26.5119 19.5236 9.8138
"88" 26.1776 20.106 9.0423
"89" 25.7434 20.5946 8.2529
"90" 25.3144 21.1479 7.5027
"91" 24.9044 21.6569 6.7118
"92" 24.4998 22.205 5.947
"93" 24.1703 22.8421 5.2135
"94" 23.8905 23.5008 4.4785
"95" 23.7402 24.3099 3.8711
"96" 23.352 24.9866 3.2347
"97" 22.6535 25.5476 2.7663
"98" 22.2559547424316 26.4467048645019 2.59895181655884
"99" 28.8523826599121 18.3360538482666 21.3022270202637
"100" 29.3548 18.0096 21.5757
"101" 29.6715 17.4949 21.8394
"102" 30.0237 16.9421 21.7069
"103" 30.6311 16.7431 21.4731
"104" 31.1984 16.8204 21.7399
"105" 31.3533 17.1178 22.3057
"106" 31.0112 17.4643 22.6503
"107" 30.4236 17.8234 22.6961
"108" 30.1776 18.4309 22.6275
"109" 29.9294 19.0074 22.8351
"110" 29.4488 19.371 22.6902
"111" 29.1136 19.3364 22.1119
"112" 28.9034 18.9274 21.653
"113" 28.3518333435059 17.9593772888184 12.9899291992188
"114" 21.010009765625 17.8378620147705 4.69705390930176
"115" 25.4042434692383 16.0606670379639 10.8661193847656
"116" 22.2629776000977 21.2516841888428 11.1744956970215
"117" 22.9913654327393 13.565806388855 30.0906925201416
"118" 20.4006118774414 17.3046379089356 4.75548076629639
"119" 19.52 16.5475 5.1029
"120" 18.7747 15.9075 5.8076
"121" 18.3923 15.5098 6.8618
"122" 18.1117 15.1404 7.9658
"123" 18.0223 14.6583 9.0714
"124" 18.3946 14.154 10.0895
