"V1" "V2" "V3"
"1" 14.9586277008057 21.6949024200439 20.9812774658203
"2" 14.9465 21.5213 21.6447
"3" 15.0518 21.4098 22.3129
"4" 15.0984 21.3248 22.9911
"5" 15.2162 21.204 23.654
"6" 15.2744 21.0567 24.3208
"7" 15.331 20.9073 24.9873
"8" 15.3846 20.7475 25.652
"9" 15.467 20.5685 26.3087
"10" 15.4858 20.3968 26.9722
"11" 15.5809 20.2675 27.6361
"12" 15.67 20.178 28.31
"13" 15.7378616333008 20.0747909545898 28.9841327667236
"14" 13.3817100524902 20.2973747253418 33.8601837158203
"15" 14.2981767654419 19.9623394012451 29.6022758483887
"16" 13.4166803359985 23.5920391082764 23.0181846618652
"17" 2.91776657104492 19.1125183105469 27.0609664916992
"18" 2.7064 19.0552 26.0925
"19" 2.5034 19.353 25.1776
"20" 2.3921 19.9932 24.438
"21" 2.307 20.7996 23.8741
"22" 2.1818 21.7202 23.6257
"23" 2.2245 22.6694 23.8639
"24" 2.1833 23.5264 24.3683
"25" 2.0515 24.2706 25.0185
"26" 2.0079 24.7571 25.8838
"27" 2.0329 24.9874 26.8483
"28" 2.1837 24.8578 27.8149
"29" 2.3837 24.5583 28.7477
"30" 2.5504 24.0024 29.4096
"31" 2.7301 23.0259 29.4262
"32" 3.0541 22.0837 29.3621
"33" 3.49033355712891 21.1832466125488 29.3803119659424
"34" 3.49033355712891 21.1832466125488 29.3803119659424
"35" 2.91776657104492 19.1125183105469 27.0609664916992
"36" 3.99635124206543 20.6797180175781 13.4265956878662
"37" 4.0283 21.7989 13.481
"38" 3.707 22.8412 13.6382
"39" 3.3373 23.7038 14.2213
"40" 3.0151 24.2454 15.1397
"41" 2.6685 24.5541 16.156
"42" 2.2113 24.5817 17.1741
"43" 1.7729 24.4451 18.1707
"44" 1.5248 24.2843 19.1722
"45" 1.4947 23.6308 20.0725
"46" 1.4784 22.7508 20.7617
"47" 1.5089 21.8652 21.4431
"48" 1.5815 20.9807 22.1218
"49" 1.691 20.1983 22.9008
"50" 1.9145 19.4527 23.643
"51" 2.0737 18.6043 24.3583
"52" 2.14013767242432 17.8503284454346 25.1799545288086
"53" 14.8661670684815 25.9892921447754 34.7052993774414
"54" 13.6071443557739 28.614070892334 2.0524845123291
"55" 12.6149 28.5577 2.139
"56" 11.6988 28.3131 1.9452
"57" 11.0341 27.6827 2.2576
"58" 10.5422 27.1369 2.9232
"59" 10.0884 26.4773 3.4276
"60" 9.9851 25.5337 3.1817
"61" 10.0985 24.598 2.9165
"62" 10.4467 23.8751 2.33
"63" 11.0015 23.3687 1.7202
"64" 11.8533 23.1439 1.2869
"65" 12.8121032714844 23.0405216217041 1.32659912109375
"66" 10.7384834289551 20.3157577514648 28.5397701263428
"67" 8.92242431640625 30.7904396057129 9.56621742248535
"68" 7.32077026367188 30.9152641296387 11.6723518371582
"69" 9.14358615875244 31.9804706573486 17.8613700866699
"70" 16.47731590271 26.7640190124512 34.7752838134766
"71" 15.8463 26.5513 34.803
"72" 15.2478 26.2765 34.717
"73" 14.7377 25.8868 34.5713
"74" 14.3777 25.3705 34.3577
"75" 14.1426 24.8032 34.1405
"76" 14.2792 24.1683 34.0744
"77" 14.6035 23.5938 34.1394
"78" 14.8925 23.0001 34.1497
"79" 15.3495 22.5311 34.2183
"80" 15.8912 22.2392 34.2162
"81" 16.4281406402588 22.1105918884277 33.8427467346191
"82" 1.42501258850098 25.6365699768066 19.596773147583
"83" 3.99635124206543 20.6797180175781 13.4265956878662
"84" 4.3995 20.195 12.636
"85" 4.8912 19.7904 11.8581
"86" 5.3433 19.404 11.0461
"87" 5.9511 19.3275 10.2193
"88" 6.6002 19.3129 9.4122
"89" 7.2332 19.2446 8.5977
"90" 7.722 19.1691 7.6866
"91" 8.3699 19.2754 6.9227
"92" 8.9462 19.4051 6.0791
"93" 9.6142 19.4998 5.3054
"94" 10.2454 19.3362 4.5036
"95" 10.8907 19.4038 3.6984
"96" 11.6477 19.2956 3.0217
"97" 12.3006 19.9691 2.7425
"98" 13.0654182434082 20.5580902099609 2.59543538093567
"99" 6.43906211853027 17.3816070556641 24.9057140350342
"100" 5.7074 17.5339 24.9743
"101" 5.0485 17.5877 25.3313
"102" 4.3923 17.4175 25.6118
"103" 3.7025 17.1882 25.444
"104" 3.0214 16.9015 25.5068
"105" 2.7405 16.5218 26.0032
"106" 3.1006 16.1512 26.4833
"107" 3.8278 16.3306 26.5676
"108" 4.5268 16.6254 26.5337
"109" 5.2433 16.5731 26.3903
"110" 5.9727 16.3865 26.4641
"111" 6.5573 16.4979 26.0704
"112" 6.6269 16.8976 25.4633
"113" 3.99635124206543 20.6797180175781 13.4265956878662
"114" 9.29480361938477 28.3101234436035 5.89810180664062
"115" 4.98037815093994 23.3585014343262 11.6564350128174
"116" 10.5886716842651 20.8864727020264 10.2495851516724
"117" 8.75525856018066 24.268461227417 36.023120880127
"118" 9.14137554168701 29.1764011383057 6.06084537506104
"119" 8.9026 29.8728 7.2149
"120" 8.8349 30.4124 8.443
"121" 8.7352 30.7606 9.7249
"122" 7.9608 30.8567 10.8503
"123" 7.1134 30.8514 11.901
"124" 6.2622 30.6174 12.9361
"125" 5.443 30.267 13.9533
"126" 4.811 29.3293 14.6328
"127" 4.1953 28.1205 14.6568
"128" 3.7986 26.8941 14.2047
"129" 3.7355 25.6824 13.5952
"130" 4.0544 24.6429 12.7752
"131" 4.4175 23.6661 11.8927
"132" 5.1779 22.8532 11.1249
"133" 5.8996 22.4878 10.0423
"134" 6.6835 22.4068 8.9283
"135" 7.4954 22.6235 7.8526
"136" 8.1335 23.0154 6.7178
"137" 8.5614 24.0471 5.9485
"138" 8.7773 25.2829 5.4032
"139" 8.9498 26.6113 5.2117
"140" 9.1145 27.9335 5.4864
"141" 15.8779211044312 30.787784576416 35.4701461791992
"142" 11.5782785415649 26.9001026153564 29.140251159668
"143" 12.8482847213745 23.8583984375 9.11642551422119
"144" 13.5433540344238 22.4832992553711 14.2360363006592
"145" 13.3235721588135 23.7249431610107 15.2265224456787
"146" 7.17255592346191 30.9656982421875 11.942777633667
"147" 3.72438240051269 26.4881820678711 14.0421895980835
"148" 7.84090900421143 24.7292747497559 24.5251998901367
"149" 10.2671566009522 26.385648727417 29.7295761108398
"150" 9.7875 26.5318 28.8751
"151" 9.4232 26.6358 27.9838
"152" 8.9461 26.5263 27.1124
"153" 8.8513 26.6214 26.1807
"154" 8.255 26.9089 25.4484
"155" 7.7491 26.8549 24.6028
"156" 7.4994 26.1957 23.9642
"157" 7.213 25.3866 24.1726
"158" 7.84090900421143 24.7292747497559 24.5251998901367
"159" 2.14013767242432 17.8503284454346 25.1799545288086
"160" 10.2671566009522 26.385648727417 29.7295761108398
"161" 1.88241481781006 25.7657585144043 26.8058681488037
"162" 13.8043918609619 27.1129894256592 33.9054565429688
"163" 11.4655237197876 26.4722404479981 29.4660110473633
"164" 6.68243980407715 26.2467441558838 36.9837036132812
"165" 15.8779211044312 30.787784576416 35.4701461791992
"166" 15.8522 31.1111 33.5802
"167" 15.7469 31.2276 31.662
"168" 15.3995 31.2422 29.772
"169" 14.6983 31.3931 27.9998
"170" 13.3807 31.6959 26.6641
"171" 12.1677 31.9487 25.2266
"172" 11.3374 31.9261 23.4937
"173" 10.3192 32.0292 21.8904
"174" 8.6655 32.1007 21.2002
"175" 7.0522 32.0757 22.1835
"176" 5.383 31.462 22.8265
"177" 3.8713 30.4173 22.4876
"178" 2.5982 29.1529 21.9902
"179" 1.7661 27.8053 22.1533
"180" 1.2588 26.2978 23.1286
"181" 1.4207 25.871 24.9502
"182" 1.88241481781006 25.7657585144043 26.8058681488037
"183" 8.40968990325928 21.6834983825684 15.6941375732422
"184" 8.7891 21.4748 14.3776
"185" 9.1809 21.404 13.0586
"186" 9.8446 21.49 11.8684
"187" 10.4206 20.9295 10.7758
"188" 10.8721 20.7177 9.487
"189" 11.1745 20.7504 8.1615
"190" 11.4545 20.9254 6.8138
"191" 11.9866 21.2827 5.6228
"192" 13.0498886108398 21.9718647003174 5.03660202026367
