"V1" "V2" "V3"
"1" 21.7847442626953 39.155704498291 9.10387802124023
"2" 21.7454 39.8612 8.9182
"3" 21.6802 40.5778 8.8026
"4" 21.6315 41.3005 8.7111
"5" 21.5888 42.0217 8.6061
"6" 21.5207 42.7414 8.504
"7" 21.481 43.4689 8.4504
"8" 21.4598 44.1888 8.3303
"9" 21.4204 44.9075 8.2156
"10" 21.3947 45.625 8.0909
"11" 21.3808 46.3479 7.99
"12" 21.4396 47.0603 7.849
"13" 21.4737682342529 47.7896118164062 7.82264518737793
"14" 23.6456050872803 54.6268692016602 8.03498840332031
"15" 23.3449401855469 49.4172592163086 7.56540441513062
"16" 23.7556171417236 39.4332275390625 12.9851369857788
"17" 35.2588233947754 44.8537788391113 6.45895957946777
"18" 35.4694 43.745 5.6239
"19" 35.7917 42.4172 5.5253
"20" 35.7095 41.1931 6.1935
"21" 35.6422 40.0985 7.079
"22" 35.6767 39.1976 8.1662
"23" 35.9098 38.6051 9.4146
"24" 36.2528 38.5432 10.7735
"25" 36.5185 38.9819 12.0872
"26" 36.5833 39.9207 13.1425
"27" 36.8163 41.12 13.8258
"28" 36.9545 42.5152 13.9782
"29" 36.9342 43.869 13.6201
"30" 36.7784 45.0369 12.8546
"31" 36.9045 45.7055 11.6682
"32" 36.7003 45.8857 10.3091
"33" 36.0672721862793 46.0892906188965 9.05691432952881
"34" 36.0672721862793 46.0892906188965 9.05691432952881
"35" 35.2588233947754 44.8537788391113 6.45895957946777
"36" 34.1314735412598 27.6450366973877 9.36534404754639
"37" 34.1009 27.3593 10.6881
"38" 34.533 27.6465 11.9512
"39" 35.1501 28.4875 12.8137
"40" 35.6249 29.7102 13.187
"41" 36.1009 30.9999 13.2121
"42" 36.4262 32.3253 13.0385
"43" 36.5173 33.6409 12.6404
"44" 36.6661 34.9016 12.1072
"45" 36.6821 36.0273 11.3268
"46" 36.5868 36.8704 10.2717
"47" 36.3254 37.1914 8.9578
"48" 36.1234 37.7113 7.6998
"49" 35.9723 38.664 6.7414
"50" 36.0633 39.8018 5.9763
"51" 36.103 40.9842 5.2686
"52" 36.0687217712402 42.2236709594727 4.6895227432251
"53" 23.6102924346924 56.6247787475586 16.5765514373779
"54" 22.4364433288574 15.3984775543213 19.8021583557129
"55" 23.3209 14.9581 19.5954
"56" 24.3017 15.4339 19.406
"57" 25.2495 15.9131 19.0856
"58" 25.752 16.1026 18.3144
"59" 25.779 15.2466 17.5908
"60" 25.697 14.6052 16.6736
"61" 25.2685 13.9835 15.8665
"62" 24.5702 13.5891 15.08
"63" 23.7005 13.1293 14.5385
"64" 22.6605 12.9512 14.5341
"65" 21.8782291412354 13.3794946670532 15.1807994842529
"66" 26.6442451477051 46.9839172363281 8.05412101745605
"67" 26.2476539611816 28.5908584594727 22.4311332702637
"68" 26.2037696838379 28.6178417205811 22.4593906402588
"69" 28.452766418457 33.128246307373 22.2484397888184
"70" 21.615291595459 56.4598503112793 17.3423862457275
"71" 22.4354 56.326 16.9669
"72" 23.1359 56.1883 16.4098
"73" 23.6121 55.7796 15.7809
"74" 23.9549 55.2112 15.1575
"75" 24.2144 54.68 14.4707
"76" 24.2951 54.2813 13.6716
"77" 24.1592 54.1489 12.8003
"78" 23.7302 54.3262 12.0259
"79" 23.0325 54.545 11.491
"80" 22.2563 54.8962 11.1843
"81" 21.3941535949707 54.9834823608398 10.9504709243774
"82" 36.9429473876953 36.6413040161133 14.1409616470337
"83" 34.1314735412598 27.6450366973877 9.36534404754639
"84" 34.0889 26.7893 8.3027
"85" 33.5487 25.6959 7.666
"86" 32.8487 24.5078 7.5677
"87" 32.0589 23.3755 7.6429
"88" 31.3304 22.2237 7.9409
"89" 30.5424 21.1167 8.2385
"90" 29.6727 20.0626 8.4786
"91" 28.8155 18.9831 8.6833
"92" 28.0061 17.9473 8.4502
"93" 27.0675 16.9381 8.5656
"94" 25.9942 16.0764 8.4611
"95" 24.8399 15.4109 8.1854
"96" 23.8497 14.6643 8.7484
"97" 22.6747 14.1635 9.1414
"98" 21.4732761383057 13.9640941619873 9.80415344238281
"99" 30.6243133544922 42.2220077514648 5.28672695159912
"100" 31.5463 41.9792 5.2701
"101" 32.5131 41.9678 5.23
"102" 33.4377 42.0428 5.0167
"103" 34.2817 42.0805 4.5586
"104" 34.842 42.3876 3.8869
"105" 34.6924 43.0034 3.2113
"106" 34.1479 43.7408 3.0671
"107" 33.2795 44.022 3.3621
"108" 32.3275 44.1002 3.4303
"109" 31.3605 44.1139 3.3982
"110" 30.4345 44.077 3.6245
"111" 29.9648 43.4134 4.0268
"112" 30.0806 42.7159 4.683
"113" 34.1314735412598 27.6450366973877 9.36534404754639
"114" 27.2571296691894 19.0941162109375 18.9507255554199
"115" 34.1970291137695 26.7377529144287 13.8153085708618
"116" 23.030797958374 29.1716823577881 8.85098648071289
