"V1" "V2" "V3"
"1" 102.511459350586 152.878875732422 233.259490966797
"2" 102.3281 153.811 231.6803
"3" 102.1447 154.7432 230.1012
"4" 102.1743 155.9688 228.7403
"5" 102.0239 156.9164 227.1736
"6" 102.0357 157.8164 225.5661
"7" 102.0112 158.5163 223.8628
"8" 102.0015 159.1644 222.1549
"9" 102.4008 158.169 220.8221
"10" 102.731 156.4292 220.3553
"11" 103.052 154.6658 220.6748
"12" 103.4053 152.9529 220.0937
"13" 103.758491516113 151.240081787109 219.512619018555
"14" 76.7860565185547 153.522964477539 199.824020385742
"15" 91.4545364379883 155.361633300781 212.048721313477
"16" 96.2844085693359 129.866821289062 237.769805908203
"17" 46.949462890625 158.365814208984 210.031341552734
"18" 45.2855 156.7908 214.4256
"19" 45.0829 154.2495 218.7057
"20" 45.3689 151.4188 222.7792
"21" 43.9057 147.5597 225.419
"22" 42.0146 143.0072 226.07
"23" 40.5359 138.3975 225.0867
"24" 40.1157 134.6077 221.8834
"25" 39.9808 131.8611 217.7522
"26" 39.9169 129.7262 213.2398
"27" 40.1858 128.2864 208.4696
"28" 39.5609 127.0499 203.6916
"29" 38.3914 127.4424 198.9363
"30" 37.8886 130.7345 195.2866
"31" 36.9942 134.6319 192.4426
"32" 34.8458 138.8377 192.9016
"33" 35.4018478393555 143.526123046875 194.378784179688
"34" 35.4018478393555 143.526123046875 194.378784179688
"35" 46.949462890625 158.365814208984 210.031341552734
"36" 48.0733489990234 167.546249389648 269.379821777344
"37" 46.0344 164.6853 268.5848
"38" 44.6719 163.4736 265.8037
"39" 43.3986 162.3201 262.6957
"40" 42.2282 161.0344 259.5515
"41" 41.4986 160.2725 256.1811
"42" 41.1305 160.4871 252.6361
"43" 41.0675 160.9108 249.0651
"44" 40.8239 161.6075 245.5448
"45" 40.8455 161.8101 241.961
"46" 41.1463 161.8274 238.3887
"47" 41.3574 161.7819 234.7964
"48" 41.5617 161.4683 231.2175
"49" 42.2939 161.935 227.7506
"50" 42.9821 162.944 224.3714
"51" 42.8971 165.5925 222.1748
"52" 42.9257888793945 169.13313293457 221.513229370117
"53" 100.163719177246 120.841621398926 194.568115234375
"54" 102.991455078125 118.132682800293 330.685485839844
"55" 98.3768 118.7405 331.4158
"56" 93.8238 118.721 330.2953
"57" 89.8135 119.2391 328.0549
"58" 87.6668 122.7764 327.8836
"59" 87.8879 126.4533 330.8124
"60" 88.2715 129.9987 333.8921
"61" 89.1796 133.5254 336.8763
"62" 90.8419 137.1199 339.4279
"63" 94.8187 138.5087 340.671
"64" 98.9471 136.8289 340.0129
"65" 102.30859375 135.139953613281 337.149291992188
"66" 79.8963012695312 160.993377685547 207.002380371094
"67" 74.1803131103516 102.50129699707 291.543029785156
"68" 73.6548004150391 102.074417114258 290.763916015625
"69" 81.4107971191406 93.29931640625 265.913513183594
"70" 104.121299743652 118.139030456543 193.249435424805
"71" 101.3014 118.9633 193.1679
"72" 99.8204 121.0145 194.1914
"73" 98.8132 123.4495 195.3902
"74" 97.4707 126.0302 195.6308
"75" 96.0304 128.5807 195.4426
"76" 94.5231 131.0246 195.8453
"77" 95.0815 133.7422 196.4361
"78" 96.7859 135.9669 195.781
"79" 98.971 137.4681 194.5999
"80" 101.5246 138.7817 194.0837
"81" 104.159934997559 139.877792358398 193.382751464844
"82" 36.6921920776367 127.823738098145 230.393966674805
"83" 48.0733489990234 167.546249389648 269.379821777344
"84" 48.97 172.4171 272.3036
"85" 51.3497 172.4732 278.3304
"86" 54.1608 172.1551 284.2185
"87" 56.4882 171.2122 290.1878
"88" 59.4478 170.7904 296.0066
"89" 62.5952 170.5279 301.7253
"90" 66.0571 169.7273 307.1915
"91" 69.6808 169.9983 312.5847
"92" 73.6041 169.4759 317.774
"93" 77.7404 169.0048 322.8164
"94" 81.9778 169.029 327.7147
"95" 86.3727 170.38 332.3221
"96" 90.9522 171.6058 336.5653
"97" 96.6231 171.2008 339.6446
"98" 102.973480224609 171.376037597656 340.717468261719
"99" 63.4747543334961 173.259536743164 220.865798950195
"100" 59.7707 173.5067 221.7052
"101" 56.0763 172.4715 220.7071
"102" 52.2971 172.2858 220.4596
"103" 48.6485 173.5129 221.3291
"104" 44.9581 173.9193 220.3177
"105" 43.449 175.9629 217.5709
"106" 45.2423 177.1459 214.5715
"107" 48.9001 177.3306 214.034
"108" 52.5802 176.2286 214.7143
"109" 56.189 176.8826 214.3363
"110" 59.8244 178.1912 213.4379
"111" 63.4386 177.4219 214.5907
"112" 64.5712 175.6576 217.9013
"113" 48.0733489990234 167.546249389648 269.379821777344
"114" 79.1628952026367 123.282806396484 314.965484619141
"115" 57.1754760742188 148.236328125 292.540740966797
"116" 94.2973098754883 149.058685302734 305.274322509766
"117" 61.7736778259277 143.838409423828 184.11067199707
"118" 79.0956802368164 118.848274230957 313.069396972656
"119" 79.9649 112.9311 308.6055
"120" 78.4588 108.3108 302.9948
"121" 76.1059 105.2244 296.5732
"122" 71.9236 103.0239 290.824
"123" 67.3041 101.7668 285.0654
"124" 63.2536 101.2556 278.7648
"125" 58.5317 102.4262 273.1434
"126" 54.9989 105.1269 267.1412
"127" 51.623 111.0033 265.4666
"128" 48.7277 117.6787 266.5775
"129" 46.8351 124.0864 269.8134
"130" 46.6004 130.31 273.9218
"131" 47.1584 136.894 277.4986
"132" 49.3813 142.6144 281.5514
"133" 53.0149 146.1159 287.0969
"134" 57.1154 148.4633 292.8297
"135" 61.5563 149.1374 298.7906
"136" 66.0989 146.7317 304.2384
"137" 70.4245 142.943 309.018
"138" 74.0797 138.8891 314.0991
"139" 76.9956 132.6148 316.5582
"140" 78.3549 125.6028 316.2804
"141" 101.671081542969 93.2888336181641 165.750671386719
"142" 97.5009002685547 107.10139465332 217.806213378906
"143" 96.0717391967773 138.551910400391 297.616394042969
"144" 99.0779190063477 147.395904541016 271.249481201172
"145" 94.5804672241211 141.477569580078 243.251983642578
"146" 72.4024429321289 102.314193725586 290.486206054688
"147" 47.6088104248047 130.779434204102 274.0732421875
"148" 77.0004348754883 137.177978515625 226.505340576172
"149" 79.0985107421875 125.053604125977 210.248184204102
"150" 76.0825 125.1149 211.9108
"151" 73.734 125.2786 214.3324
