"V1" "V2" "V3"
"1" 17.469596862793 31.4154548645019 8.23176670074463
"2" 17.498 30.5655 8.1525
"3" 17.4715 29.7139 8.1434
"4" 17.4698 28.8613 8.1574
"5" 17.5043 28.0082 8.1615
"6" 17.4968 27.1547 8.1766
"7" 17.5185 26.303 8.2257
"8" 17.5601 25.4545 8.3029
"9" 17.5291 24.6049 8.3748
"10" 17.5039 23.7575 8.4386
"11" 17.5581 22.918 8.5458
"12" 17.512 22.088 8.7212
"13" 17.6304378509521 21.3075942993164 9.04765129089355
"14" 15.0359334945679 15.9324941635132 9.56113433837891
"15" 13.9674854278565 19.9755191802979 8.59535884857178
"16" 15.4894523620606 31.4652519226074 12.1138963699341
"17" 1.75204849243164 24.9017467498779 8.99113845825195
"18" 1.717 26.0618 8.2533
"19" 2.1429 27.3485 7.9199
"20" 2.3447 28.684 8.1521
"21" 2.4677 29.8681 8.896
"22" 2.4519 30.6924 9.9307
"23" 2.3852 31.0739 11.2837
"24" 2.1554 31.1863 12.6665
"25" 1.7661 30.8935 13.9524
"26" 1.3647 29.9478 14.846
"27" 1.2285 28.6767 15.4118
"28" 1.2788 27.3375 15.8404
"29" 1.302 25.9624 15.8641
"30" 1.2284 25.0274 15.0232
"31" 1.2735 24.2401 13.8646
"32" 1.4997 24.0168 12.5167
"33" 1.80200004577637 24.2143707275391 11.1639204025269
"34" 1.80200004577637 24.2143707275391 11.1639204025269
"35" 1.75204849243164 24.9017467498779 8.99113845825195
"36" 5.49204254150391 41.7192611694336 8.63286399841309
"37" 5.2632 42.3581 9.5906
"38" 5.0296 42.1232 10.7246
"39" 4.6772 41.5648 11.7303
"40" 4.1206 40.7183 12.3446
"41" 3.5991 39.6468 12.4411
"42" 3.138 38.5348 12.3543
"43" 2.7049 37.4254 12.1868
"44" 2.4375 36.3122 11.8247
"45" 2.3292 35.235 11.291
"46" 2.348 34.2593 10.5831
"47" 2.385 33.3187 9.8291
"48" 2.4216 32.3926 9.057
"49" 2.3091 31.4452 8.3217
"50" 2.1738 30.397 7.7448
"51" 2.0944 29.3343 7.1917
"52" 2.16434478759766 28.2541885375977 6.67503309249878
"53" 16.6035346984863 14.5056667327881 18.2690811157227
"54" 17.1430034637451 57.264892578125 17.7679214477539
"55" 15.9863 56.9375 17.7696
"56" 14.8031 56.8201 17.6079
"57" 13.8503 56.5091 16.9879
"58" 13.4267 56.0531 15.9605
"59" 13.1868 56.2388 14.8488
"60" 13.1192 56.2161 13.6511
"61" 13.4925 56.7302 12.7399
"62" 14.1949 57.3427 11.9954
"63" 15.1655 57.4509 11.3066
"64" 16.2527 57.6248 10.8431
"65" 17.397554397583 57.3447952270508 10.6758899688721
"66" 11.4962463378906 22.1786613464356 9.11066341400146
"67" 11.3585014343262 48.3623237609863 19.5823097229004
"68" 10.0023441314697 46.1002502441406 19.9304084777832
"69" 11.1622972488403 41.0126838684082 20.5513954162598
"70" 17.7205238342285 13.5780305862427 19.2691192626953
"71" 17.0265 14.0479 18.6498
"72" 16.4815 14.6952 18.0428
"73" 15.8838 15.2946 17.4374
"74" 15.326 15.994 16.8996
"75" 14.7817 16.3753 16.0997
"76" 14.3565 16.6583 15.1954
"77" 14.4151 16.9917 14.2172
"78" 14.9263 16.9848 13.4562
"79" 15.7666 16.7078 12.9113
"80" 16.5957 16.2315 12.5035
"81" 17.5511264801025 15.88791847229 12.261064529419
"82" 2.46529579162598 37.7079391479492 13.8043622970581
"83" 5.49204254150391 41.7192611694336 8.63286399841309
"84" 5.7782 42.1404 7.4341
"85" 6.2395 42.9237 6.4211
"86" 6.9283 43.8113 5.6472
"87" 7.5926 44.8397 5.3942
"88" 8.2691 46.0049 5.2264
"89" 8.9011 47.1868 5.1493
"90" 9.5439 48.3893 5.286
"91" 10.3236 49.4967 5.2838
"92" 11.1031 50.6222 5.3768
"93" 11.9491 51.6099 5.3399
"94" 12.6785 52.5368 5.4875
"95" 13.6067 53.4422 5.5712
"96" 14.6588 54.2683 5.7
"97" 15.8924 54.8219 5.869
"98" 17.0768127441406 55.3150939941406 5.85253143310547
"99" 7.57418203353882 27.6537895202637 5.8748950958252
"100" 6.6454 27.9316 6.3229
"101" 5.6214 27.8026 6.6047
"102" 4.5627 27.9169 6.3855
"103" 3.5394 28.0708 6.0499
"104" 2.5617 27.7129 5.7512
"105" 2.3495 27.0046 5.0256
"106" 2.7497 26.0995 4.7165
"107" 3.6958 25.7165 4.8378
"108" 4.6923 25.6449 5.2601
"109" 5.6998 25.5035 5.2856
"110" 6.7536 25.3976 5.0286
"111" 7.6786 25.8677 4.8797
"112" 7.9645 26.782 5.3479
"113" 5.49204254150391 41.7192611694336 8.63286399841309
"114" 12.1401233673096 53.0479469299316 16.4014892578125
"115" 6.15239715576172 45.4923782348633 12.0089607238769
"116" 14.0239934921265 42.0823783874512 6.71657752990723
"117" 6.51500177383423 14.4114246368408 16.8861694335938
"118" 12.2117233276367 52.4691162109375 17.4134464263916
"119" 12.1559 51.2739 18.3766
"120" 11.8849 49.879 19.0251
"121" 11.362 48.5549 19.6019
"122" 10.4822 47.3066 19.9276
"123" 9.5685 46.0643 19.7922
"124" 8.6467 44.941 19.2909
"125" 7.6924 43.9687 18.5507
"126" 6.6775 43.4715 17.5022
"127" 5.7902 43.4339 16.2366
"128" 5.3558 43.6738 14.7881
"129" 5.381 44.2176 13.3334
"130" 5.8498 45.1704 12.2115
"131" 6.4123 46.094 11.0905
"132" 7.0681 47.1367 10.1811
"133" 7.8757 48.4074 9.7663
"134" 8.7338 49.6847 9.547
"135" 9.6346 50.9378 9.7184
"136" 10.5052 52.0529 10.343
"137" 11.1852 52.8347 11.4901
"138" 11.6333 53.2613 12.916
"139" 11.8378 53.3429 14.4578
"140" 12.0295 52.9919 15.9528
"141" 16.1703338623047 20.0885791778564 25.7762451171875
"142" 13.4853439331055 25.4852085113525 18.0648670196533
"143" 15.7541189193726 44.7702178955078 11.3319988250732
"144" 16.0445137023926 36.0816612243652 8.15599632263184
"145" 15.0731506347656 39.196159362793 12.3354024887085
"146" 9.7711353302002 46.1174545288086 19.9358520507812
"147" 5.22409057617188 43.8865051269531 14.1308670043945
"148" 10.1463947296143 28.6247787475586 12.3250799179077
"149" 11.4955329895019 23.7083473205566 16.6859340667725
"150" 10.6956 25.3686 16.508
"151" 9.8496 26.7694 16.4634
"152" 9.6908 28.4335 16.6345
"153" 8.6839 30.0266 16.6791
"154" 7.7121 31.5948 16.5911
"155" 7.2483 32.1264 15.1174
"156" 8.0319 30.6678 14.314
"157" 8.8728 29.1813 13.5296
"158" 10.1463947296143 28.6247787475586 12.3250799179077
"159" 2.16434478759766 28.2541885375977 6.67503309249878
"160" 11.4955329895019 23.7083473205566 16.6859340667725
"161" 1.61247396469116 27.3466644287109 17.292350769043
"162" 14.6234817504883 18.3077774047852 17.3729209899902
"163" 12.1798248291016 23.699405670166 16.8628749847412
"164" 4.97112941741943 14.1071624755859 17.7929840087891
"165" 16.1703338623047 20.0885791778564 25.7762451171875
"166" 16.3255 22.3298 24.9004
"167" 16.1268 24.6776 24.3451
"168" 15.5628 27.0037 23.9815
"169" 14.576 29.1866 23.7847
"170" 13.5368 31.3401 23.4091
"171" 12.8208 33.6009 22.9285
"172" 11.9588 35.7469 22.2262
"173" 10.4962 37.4822 21.3945
"174" 8.6284 38.5691 20.3364
"175" 6.6804 39.0422 18.9996
"176" 5.0522 38.879 17.2354
"177" 3.638 37.992 15.5384
"178" 2.4065 36.2805 14.4401
"179" 1.73 34.0052 14.4486
"180" 1.6019 31.7249 15.2415
"181" 1.5224 29.4979 16.184
"182" 1.61247396469116 27.3466644287109 17.292350769043
"183" 10.4623146057129 37.9520111083984 7.90290641784668
"184" 11.23 38.7249 7.443
"185" 11.8896 39.6606 7.2019
"186" 12.5796 40.5408 6.8142
"187" 13.3728 41.4024 6.6561
"188" 14.2068 42.2083 6.7193
"189" 14.8777 43.1304 6.7252
"190" 15.4864 43.9899 6.3893
"191" 16.2085 44.8991 6.2028
"192" 17.1597404479981 45.5693969726562 5.98181343078613
"193" 10.4623146057129 37.9520111083984 7.90290641784668
"194" 17.1430034637451 57.264892578125 17.7679214477539
"195" 17.1597404479981 45.5693969726562 5.98181343078613
"196" 17.6304378509521 21.3075942993164 9.04765129089355
"197" 17.2889194488525 37.3002586364746 11.6690578460693
"198" 17.469596862793 31.4154548645019 8.23176670074463
"199" 15.4894523620606 31.4652519226074 12.1138963699341
"200" 15.9415 30.3806 11.7944
"201" 16.6121 30.4931 11.5965
"202" 17.7119 30.8515 11.6101
"203" 18.4131 30.1127 11.5296
"204" 19.0301 30.5523 12.1309
"205" 19.3275566101074 31.5432815551758 12.2138948440552
"206" 17.7205238342285 13.5780305862427 19.2691192626953
"207" 16.9630432128906 52.9484939575195 19.0410537719727
"208" 17.1430034637451 57.264892578125 17.7679214477539
"209" 17.3745 55.2447 18.5201
"210" 17.4512 53.1058 18.9566
"211" 17.4588 50.9758 19.4178
"212" 17.3087 48.8513 19.8989
"213" 17.2046 46.7658 20.5433
"214" 17.1257 44.6685 21.1537
"215" 17.2881 42.5591 21.6502
"216" 17.1573 40.3974 21.9379
"217" 17.2782 38.2346 22.1949
"218" 17.166 36.1216 22.6982
"219" 16.9568 34.0294 23.2508
"220" 16.7427 31.878 23.5422
"221" 16.6719 29.7177 23.8617
"222" 16.7365 27.5412 24.0451
"223" 16.8696 25.4065 24.4455
"224" 16.8567 23.3 25.0279
"225" 16.7026 21.2112 25.646
"226" 16.575626373291 19.1257572174072 26.2893791198731
"227" 17.3081684112549 13.7971515655518 11.1797542572022
"228" 17.1889190673828 40.7168388366699 21.8864898681641
"229" 16.575626373291 19.1257572174072 26.2893791198731
"230" 17.397554397583 57.3447952270508 10.6758899688721
"231" 17.0768127441406 55.3150939941406 5.85253143310547
"232" 16.5696086883545 0.888332366943359 24.5133018493652
