"V1" "V2" "V3"
"1" 15.6162996292114 15.9076013565063 29.9955368041992
"2" 15.6006 15.5273 28.8935
"3" 15.4773 15.1775 27.7876
"4" 15.3895 14.8047 26.6855
"5" 15.2556 14.4818 25.5731
"6" 15.1775 14.154 24.4572
"7" 15.037 13.8281 23.3461
"8" 15.0101 13.486 22.2349
"9" 14.8996 13.1241 21.1323
"10" 14.9331 12.8047 20.011
"11" 14.8538 12.729 18.8637
"12" 14.723 12.6385 17.7135
"13" 14.6156969070435 12.4629163742065 16.5700912475586
"14" 17.3626022338867 11.1414785385132 11.8872203826904
"15" 16.1466655731201 12.9004697799683 18.8356170654297
"16" 17.5154037475586 17.177375793457 28.1817588806152
"17" 27.4535007476807 11.4939756393433 19.1065177917481
"18" 27.6912 11.374 20.4431
"19" 27.7782 11.4079 21.8656
"20" 27.9813 12.204 23.1087
"21" 28.1686 13.3064 24.0925
"22" 28.3966 14.4562 25.0192
"23" 28.5188 15.7303 25.781
"24" 28.6861 17.1342 26.2452
"25" 28.7696 18.5147 25.9265
"26" 28.8733 18.8721 24.5327
"27" 28.8347 18.8896 23.0392
"28" 28.8364 18.8105 21.5501
"29" 28.8855 18.303 20.153
"30" 28.7477 17.3427 19.0329
"31" 28.3367 16.1666 18.224
"32" 28.1703 14.8141 17.6827
"33" 27.5849170684814 13.4380750656128 17.6818084716797
"34" 27.5849170684814 13.4380750656128 17.6818084716797
"35" 27.4535007476807 11.4939756393433 19.1065177917481
"36" 24.4202613830566 17.5209121704102 36.7780227661133
"37" 24.2734 17.2122 38.1728
"38" 24.8072 17.5437 38.9689
"39" 25.6661 17.9254 37.9089
"40" 26.2073 18.072 36.5528
"41" 26.8678 17.8028 35.2731
"42" 27.4969 17.8424 33.9571
"43" 28.0591 18.2009 32.6588
"44" 28.4365 18.2414 31.2606
"45" 28.7137 17.9401 29.853
"46" 28.7145 17.5306 28.4473
"47" 28.5491 16.7785 27.2255
"48" 28.5403 15.5197 26.4791
"49" 28.4991 14.3532 25.5817
"50" 28.3642 13.2642 24.604
"51" 28.2131 12.2087 23.5967
"52" 28.0183296203613 11.2526388168335 22.4974822998047
"53" 15.4079875946045 19.0566749572754 10.5693168640137
"54" 16.9037055969238 18.7926731109619 53.0178031921387
"55" 17.8334 19.1754 52.3831
"56" 18.556 19.725 51.603
"57" 19.6223 19.7019 51.0102
"58" 20.3862 18.8778 51.1127
"59" 20.3911 18.0122 51.9529
"60" 20.0808 17.253 52.8721
"61" 19.8267 16.456 53.7864
"62" 19.5522 15.4791 54.4883
"63" 19.0227 14.5172 55.0196
"64" 18.0854 13.8698 55.446
"65" 16.8907470703125 14.0530261993408 55.6913986206055
"66" 20.9292774200439 13.3859195709228 20.1328125
"67" 18.8071098327637 24.5919151306152 43.0905532836914
"68" 19.9799633026123 24.9385833740234 38.6959800720215
"69" 19.9664096832275 25.3179683685303 36.55126953125
"70" 14.1149044036865 19.3068351745606 10.8839359283447
"71" 14.9146 19.1545 11.1042
"72" 15.5345 18.6467 10.9344
"73" 15.9742 18.0589 11.3874
"74" 16.3995 17.4011 11.7369
"75" 16.7806 16.6493 11.7199
"76" 17.0055 15.877 11.599
"77" 16.9569 15.0779 11.8921
"78" 16.5396 14.366 12.023
"79" 15.86 13.8815 11.8206
"80" 15.0789 13.5524 11.6589
"81" 14.3452281951904 13.2844352722168 12.0215749740601
"82" 21.9777679443359 24.3363857269287 32.9942932128906
"83" 24.4202613830566 17.5209121704102 36.7780227661133
"84" 23.8289 16.4851 37.5472
"85" 23.6079 15.7869 38.7919
"86" 23.4375 15.2692 40.1288
"87" 23.07 14.8308 41.4584
"88" 22.6996 14.4026 42.7876
"89" 22.2313 13.9685 44.087
"90" 21.7307 13.7172 45.4153
"91" 21.2796 13.6129 46.7952
"92" 20.9212 13.5808 48.2047
"93" 20.5854 13.5335 49.6203
"94" 20.1926 13.3705 51.0042
"95" 19.6889 13.1598 52.3514
"96" 18.9987 12.8553 53.5902
"97" 18.0425 12.6632 54.6349
"98" 16.6709594726562 12.5830402374268 54.9828262329102
"99" 22.7449588775635 11.2143726348877 21.9237365722656
"100" 23.629 11.5431 22.2552
"101" 24.5039 12.0409 22.1847
"102" 25.3776 11.9356 22.5375
"103" 26.1685 11.5057 22.9887
"104" 27.0856 11.1786 22.9796
"105" 27.5868 10.6724 22.3484
"106" 27.5147 10.2086 21.4736
"107" 26.9689 10.0114 20.6631
"108" 26.2558 10.3333 20.1388
"109" 25.4435 10.9425 20.1426
"110" 24.4843 11.0599 20.3519
"111" 23.5099 10.7954 20.4046
"112" 22.8489 10.7622 21.0518
"113" 24.4202613830566 17.5209121704102 36.7780227661133
"114" 21.1584129333496 21.4360198974609 46.2545051574707
"115" 24.8140659332275 19.7497787475586 41.3092651367188
"116" 19.1340675354004 16.3226909637451 39.1613006591797
"117" 23.1892166137695 19.2986755371094 7.84252548217773
"118" 20.7790412902832 22.0994815826416 46.2972679138184
"119" 19.9063 22.8636 45.8327
"120" 19.2214 23.6065 45.1088
"121" 18.908 24.1881 44.0436
"122" 18.7847 24.6722 42.8959
"123" 18.7709 24.9619 41.682
"124" 19.1058 25.1009 40.4869
"125" 19.5768 25.0862 39.3234
"126" 20.2529 24.8102 38.304
"127" 21.042 24.4588 37.3943
"128" 22.0312 24.0157 36.8149
"129" 23.0978 23.4565 37.0301
"130" 24.0246 22.7601 37.5096
"131" 24.6731 21.8527 38.0682
"132" 25.0411 20.9766 38.8669
"133" 25.0847 20.3071 39.9274
"134" 24.8986 19.8299 41.0678
"135" 24.5239 19.3636 42.1698
"136" 24.061 19.1087 43.3061
"137" 23.5353 19.0254 44.4427
"138" 22.8641 19.3438 45.4455
"139" 22.1222 20.0399 46.1461
"140" 21.4588 21.0511 46.4236
"141" 14.5119867324829 24.9818058013916 10.6579151153565
"142" 18.1546421051025 21.3210163116455 20.9386138916016
"143" 16.9710083007812 18.9781684875488 39.9050941467285
"144" 16.4492073059082 15.3374576568603 27.7000789642334
"145" 19.2435264587402 21.3880119323731 36.2190361022949
"146" 19.9975852966309 24.9295272827148 38.6632919311523
"147" 23.5210952758789 23.1545448303223 37.2972793579102
"148" 21.3596439361572 16.7417964935303 25.0753593444824
"149" 22.0676116943359 18.211404800415 18.5930995941162
"150" 22.0058 18.9225 20.4204
"151" 22.9395 19.1321 22.1936
"152" 23.9042 19.6947 23.7296
"153" 25.533 20.4683 24.7001
"154" 26.5207 20.6829 26.2025
"155" 25.8018 19.6009 27.1425
