"V1" "V2" "V3"
"1" 18916.9765625 21313.8203125 6770.65234375
"2" 19100.5584 22161.5421 6878.6618
"3" 19096.123 23037.5684 6745.1807
"4" 19066.721 23914.4125 6622.8994
"5" 19046.3913 24793.362 6510.9422
"6" 19018.6682 25675.1248 6434.9651
"7" 19009.9476 26560.4403 6405.8178
"8" 19015.9257 27446.2301 6376.585
"9" 18983.3521 28331.3465 6351.4698
"10" 18999.2981 29216.9001 6378.0546
"11" 19007.6919 30101.4123 6430.2376
"12" 19004.5906 30983.1942 6496.9226
"13" 19079.546875 31862.55859375 6549.9453125
"14" 23961.7890625 35952.609375 7126.26171875
"15" 22219.357421875 32162.99609375 6965.4541015625
"16" 20583.900390625 23827.984375 8303.8974609375
"17" 35718.8046875 29548.541015625 5609.34375
"18" 35287.6711 28321.2751 5028.1568
"19" 35219.3729 26906.5657 4988.3018
"20" 35190.8422 25520.8527 5317.555
"21" 35150.0078 24280.5844 5940.8484
"22" 35167.8202 23378.5515 7032.8046
"23" 35303.165 23110.1223 8412.4054
"24" 35514.1146 23430.6163 9776.2833
"25" 36041.3046 24304.6954 10764.424
"26" 36452.8786 25489.6289 11420.0446
"27" 36668.1011 26874.3896 11698.6044
"28" 36698.5747 28261.7322 11598.5668
"29" 36571.5284 29566.3081 11065.443
"30" 36405.5586 30097.0842 9864.4767
"31" 36066.9313 29853.7254 8504.0474
"32" 35793.2444 29688.1895 7126.5606
"33" 35751.16015625 29636.728515625 5700.39404296875
"34" 35751.16015625 29636.728515625 5700.39404296875
"35" 35718.8046875 29548.541015625 5609.34375
"36" 31282.017578125 14031.2919921875 6785.14111328125
"37" 30845.6352 13740.867 7492.1895
"38" 31104.0401 14152.1846 8050.637
"39" 31538.7256 14867.6281 8222.5491
"40" 31987.1639 15479.8593 8614.6816
"41" 32486.6544 16162.8408 8759.4115
"42" 33053.6321 16824.8405 8703.9859
"43" 33537.8984 17538.6893 8612.6799
"44" 33912.6257 18326.942 8507.3223
"45" 34237.6371 19080.1072 8214.6597
"46" 34562.956 19382.4435 7529.6284
"47" 34537.925 19849.5636 6814.7485
"48" 34513.4353 20410.7402 6140.3221
"49" 34479.6552 20895.936 5408.2935
"50" 34422.5462 21461.1695 4737.1885
"51" 34278.9557 22100.2843 4160.2188
"52" 34054.6953125 22791.90234375 3664.1689453125
