"V1" "V2" "V3"
"1" 30.3384418487549 33.7428436279297 32.8818092346191
"2" 30.5549 33.8869 34.0357
"3" 30.6094 34.4459 35.1406
"4" 30.6793 34.9053 36.2963
"5" 30.7016 35.2896 37.4804
"6" 30.764 35.639 38.6745
"7" 30.8151 36.0191 39.8595
"8" 30.8686 36.357 41.057
"9" 30.8731 36.6738 42.2608
"10" 30.9575 36.9953 43.4569
"11" 31.0122 37.2686 44.6669
"12" 31.0195 37.3141 45.9085
"13" 30.9391994476318 37.2789688110352 47.1507453918457
"14" 37.9514045715332 35.7591857910156 54.3904266357422
"15" 34.4910125732422 36.5581474304199 47.5085868835449
"16" 33.8051414489746 30.3980312347412 36.3009262084961
"17" 54.5039825439453 36.0004653930664 45.1801681518555
"18" 54.2876 36.7928 43.1217
"19" 54.7021 36.7424 41.0109
"20" 54.7905 36.2944 38.8573
"21" 54.9966 35.0349 37.063
"22" 55.3597 33.2478 35.7993
"23" 55.6725 31.1696 35.1963
"24" 55.8821 29.0598 35.8547
"25" 55.9899 27.1813 37.0192
"26" 56.3919 25.8933 38.7387
"27" 56.561 25.4574 40.8878
"28" 56.6511 25.6761 43.0879
"29" 56.5248 26.5433 45.1131
"30" 56.3812 28.1485 46.622
"31" 56.0519 30.1753 47.3558
"32" 55.5787 32.2948 47.5368
"33" 54.8118095397949 34.2623329162598 46.8359794616699
"34" 54.8118095397949 34.2623329162598 46.8359794616699
"35" 54.5039825439453 36.0004653930664 45.1801681518555
"36" 47.7701225280762 33.4059143066406 16.6658058166504
"37" 47.7393 31.6317 16.5748
"38" 47.3032 30.0908 17.7176
"39" 47.5749 28.6418 18.6289
"40" 48.6058 27.3002 19.1799
"41" 49.2192 26.1087 20.4815
"42" 49.2198 24.9827 22.0296
"43" 50.0723 24.038 23.4756
"44" 51.3918 23.8365 24.91
"45" 52.5216 24.0987 26.4653
"46" 53.609 24.6295 27.998
"47" 54.7164 25.3237 29.436
"48" 55.6872 26.2304 30.8651
"49" 56.1805 27.9452 31.5801
"50" 56.4081 29.8886 31.5565
"51" 56.1412 31.8218 31.6591
"52" 55.529182434082 33.6690788269043 31.9182510375977
"53" 32.6366844177246 26.4399089813232 58.2988891601562
"54" 30.3930053710938 19.693172454834 5.58173561096191
"55" 31.6551 20.005 4.7522
"56" 32.6679 20.325 3.626
"57" 33.9454 21.0712 4.1736
"58" 34.9794 22.1608 3.93
"59" 35.5503 23.4292 3.1695
"60" 35.7788 24.8281 2.3795
"61" 35.6679 26.2145 1.5526
"62" 34.9295 27.4124 0.7872
"63" 33.8189 28.4679 0.3575
"64" 32.3109 28.8297 0.2128
"65" 30.8017539978027 28.2835998535156 0.315067291259766
"66" 39.0964813232422 33.7964553833008 43.7727928161621
"67" 36.2386932373047 17.4826278686523 13.9172430038452
"68" 39.7888603210449 17.9382820129394 18.0232086181641
