"V1" "V2" "V3"
"1" 29412.560546875 32467.251953125 14436.115234375
"2" 29546.2094 33887.5968 14138.8308
"3" 29451.4548 35312.8282 13843.0072
"4" 29428.5657 36733.0193 13549.8762
"5" 29457.0808 38147.4099 13211.0362
"6" 29456.3491 39565.5752 12855.5364
"7" 29427.2368 40980.7866 12490.0161
"8" 29485.0618 42383.7565 12085.8467
"9" 29572.5645 43780.9409 11662.8933
"10" 29660.0672 45178.1254 11239.9398
"11" 29607.2875 46544.4084 10733.3842
"12" 29514.0338 47906.6617 10258.608
"13" 29420.51953125 49307.40625 9891.7421875
"14" 35898.8125 56269.546875 8317.357421875
"15" 32733.8359375 50306.859375 9802.82421875
"16" 32808.05078125 38721.46484375 16112.287109375
"17" 55000.8046875 50417.609375 5266.5947265625
"18" 54173.7959 48358.5226 4309.2481
"19" 53708.6958 46021.9559 4353.5962
"20" 53951.1442 43750.5925 5012.6996
"21" 54365.722 41698.0444 6203.3936
"22" 54757.182 40412.1372 8157.6122
"23" 55384.8573 40200.8852 10452.0991
"24" 56022.5191 41463.0697 12314.3925
"25" 56729.9869 43482.7804 13408.1604
"26" 57291.4625 45710.8645 14113.7151
"27" 57346.973 48119.2236 14319.9375
"28" 57356.5762 50504.729 14055.645
"29" 57101.4188 52635.0114 12980.0534
"30" 57070.1355 53860.324 10977.4025
"31" 56329.6067 53359.125 8777.4632
"32" 55588.4848 52104.6113 6868.9458
"33" 55000.7265625 50433.9921875 5229.54345703125
"34" 55000.7265625 50433.9921875 5229.54345703125
"35" 55000.8046875 50417.609375 5266.5947265625
"36" 51589.640625 23283.150390625 14615.412109375
"37" 48847.4917 24352.2739 18602.7157
"38" 45066.0045 26747.846 21973.4451
"39" 41514.3117 30445.4279 24425.6402
"40" 38871.1345 35258.9895 25922.9835
"41" 36881.8489 40388.51 27124.7284
"42" 37144.1234 46036.6978 27384.7267
"43" 38426.0206 51575.2843 27362.8806
"44" 40966.0737 56587.4697 26393.7924
"45" 43729.9357 61205.6476 24673.374
"46" 47226.1237 63129.2262 21436.1926
"47" 50956.4128 59733.9845 18841.6049
"48" 54585.4653 56040.3747 16504.625
"49" 56929.5098 51134.2303 14991.2833
"50" 57568.6661 45532.3148 15058.1127
"51" 56610.327 40215.3266 13417.8716
"52" 54942.7890625 38650.1796875 8634.580078125
"53" 29615.263671875 66513.59375 18891.509765625
"54" 29874.34765625 5869.890625 24227.10546875
"55" 31429.8533 5856.1412 23762.3003
"56" 32991.8981 6333.1064 23584.5285
"57" 34444.0769 6799.0235 22965.5002
"58" 35478.0096 6832.3828 21767.1313
"59" 36084.9592 5855.5392 20623.0755
"60" 36015.4935 4397.3905 19895.2363
"61" 35530.8455 3061.5509 19055.8725
"62" 34470.9607 2288.9146 18132.2738
"63" 32913.894 1993.3689 17753.7801
"64" 31351.3417 1656.2489 17423.2259
"65" 29803.66015625 1192.6171875 17574.615234375
"66" 39492.34765625 49209.21875 11034.58984375
"67" 35702.44921875 14156.841796875 25756.3203125
