"V1" "V2" "V3"
"1" 40.356201171875 62.7841567993164 21.0131301879883
"2" 40.413 64.3468 21.3918
"3" 40.3601 65.9052 20.9959
"4" 40.3143 67.4688 20.6192
"5" 40.2433 69.0339 20.2547
"6" 40.2082 70.6093 19.9288
"7" 40.1085 72.1885 19.6361
"8" 39.9884 73.758 19.3046
"9" 39.8309 75.323 18.9686
"10" 39.8305 76.8918 18.6163
"11" 39.7409 78.4481 18.2164
"12" 39.6749 80.0242 17.9159
"13" 39.6283302307129 81.6161804199219 17.6874904632568
"14" 48.7995719909668 88.9409255981445 18.4116592407227
"15" 44.1460762023926 84.9278717041016 17.9892635345459
"16" 44.1912117004395 68.3788833618164 24.8170356750488
"17" 73.2376861572266 83.1786270141602 13.2987451553345
"18" 72.9189 80.6906 11.72
"19" 72.7628 77.8057 11.3746
"20" 72.7974 74.952 12.1105
"21" 72.9323 72.3966 13.5761
"22" 73.1763 70.5964 15.7921
"23" 73.8969 69.9194 18.571
"24" 74.5461 71.0626 21.165
"25" 75.4313 73.2573 22.8806
"26" 75.8908 76.0218 23.7899
"27" 75.9106 78.9216 24.293
"28" 75.6487 81.8573 24.5107
"29" 75.2531 84.5507 23.7392
"30" 74.5388 86.1662 21.6159
"31" 74.4746 86.0431 18.6811
"32" 74.0384 84.9244 15.9796
"33" 73.2800827026367 83.463493347168 13.5697450637817
"34" 73.2800827026367 83.463493347168 13.5697450637817
"35" 73.2376861572266 83.1786270141602 13.2987451553345
"36" 68.1748809814453 46.6176567077637 25.2195720672607
"37" 63.0589 49.0694 29.9774
"38" 58.4837 52.9171 34.3837
"39" 53.5622 57.735 37.3948
"40" 49.0972 63.1311 39.9956
"41" 46.6424 69.6539 41.7742
"42" 47.3486 77.0932 42.4205
"43" 49.9379 84.1459 42.3176
"44" 53.5805 90.6917 41.7992
"45" 57.2156 96.8551 39.8295
"46" 61.7509 99.8186 35.1872
"47" 66.8157 95.683 31.784
"48" 71.5733 90.6543 28.8519
"49" 75.1329 84.6222 26.4998
"50" 76.5012 77.2802 25.7751
"51" 75.4814 70.1328 23.9913
"52" 74.0731582641602 67.4392547607422 17.6067771911621
"53" 39.2623405456543 97.478889465332 29.8107013702393
"54" 40.5355758666992 24.9900398254394 33.1457939147949
"55" 42.2222 25.547 34.6091
"56" 44.2041 26.457 34.791
"57" 46.302 27.1589 34.1205
"58" 48.0743 27.8958 33.0271
"59" 48.9073 26.5771 31.4346
"60" 48.7443 24.4381 30.6112
"61" 47.778 22.6845 29.4608
"62" 46.5979 21.3241 28.0194
"63" 44.9583 20.3805 26.7249
"64" 42.7201 20.5336 26.6761
"65" 40.6044425964355 21.2425956726074 27.1048965454102
"66" 51.9254760742188 79.89599609375 19.2227535247803
"67" 48.7701568603516 38.4143142700195 37.6078491210938
"68" 52.2168312072754 43.5935363769531 36.8962936401367
"69" 49.3101387023926 53.9755172729492 38.1490936279297
"70" 39.4826278686523 96.075927734375 27.3976497650146
"71" 40.1368 95.5831 26.5921
"72" 40.6754 94.9121 25.8406
"73" 41.3143 94.5624 24.9713
"74" 41.9736 94.7432 24.0508
"75" 42.6285 94.8609 23.1366
"76" 43.272 94.5321 22.2639
"77" 43.2319 93.7196 21.6164
"78" 42.521 93.8734 20.8276
"79" 41.6882 94.1768 20.1056
"80" 40.5574 94.1666 19.9596
"81" 39.474681854248 93.796516418457 20.0365447998047
