"V1" "V2" "V3"
"1" 32.6989784240723 30.9403324127197 32.6492576599121
"2" 32.9005 30.9505 31.9537
"3" 33.0917 30.9532 31.2552
"4" 33.2464 30.9801 30.5486
"5" 33.3455 31.0135 29.8327
"6" 33.4442 31.042 29.118
"7" 33.5836 31.0578 28.408
"8" 33.7212 31.083 27.698
"9" 33.8774 31.094 26.9912
"10" 33.8716 31.1193 26.2712
"11" 33.6093 31.1234 25.7324
"12" 33.2551 31.0178 25.141
"13" 33.0966262817383 31.030122756958 24.4344158172607
"14" 33.0131034851074 34.4407997131348 18.9034786224365
"15" 33.3059997558594 35.5602493286133 23.24245262146
"16" 27.0972175598144 33.5007362365723 33.272346496582
"17" 33.5523223876953 52.3937797546387 22.5404186248779
"18" 35.0561 52.9387 22.6785
"19" 36.2896 54.11 22.7398
"20" 37.3714 55.1834 23.3724
"21" 37.4153 55.9776 24.7984
"22" 36.7036 56.1401 26.323
"23" 35.4982 56.5129 27.4502
"24" 33.9497 56.8867 28.0054
"25" 32.41 57.565 27.8776
"26" 31.171 58.0739 26.9178
"27" 30.4985 58.3163 25.3761
"28" 30.6643 58.2915 23.7793
"29" 32.1149 58.0795 23.1524
"30" 33.4679 57.118 22.7443
"31" 34.032 55.7055 22.213
"32" 33.6981 54.0697 21.9949
"33" 33.4186096191406 52.4858627319336 22.5071201324463
"34" 33.4186096191406 52.4858627319336 22.5071201324463
"35" 33.5523223876953 52.3937797546387 22.5404186248779
"36" 39.4012336730957 48.8954124450684 45.6935577392578
"37" 39.5414 49.7231 44.7237
"38" 39.9992 50.2628 43.6522
"39" 40.3462 50.8695 42.5752
"40" 40.5781 51.4674 41.4794
"41" 40.8239 52.1232 40.4305
"42" 41.1389 52.5252 39.2997
"43" 41.1885 52.9974 38.1083
"44" 41.4499 53.6566 37.0457
"45" 41.5442 53.9423 35.8345
"46" 41.6757 54.3682 34.6332
"47" 41.8564 54.6969 33.4052
"48" 41.8978 54.9676 32.1557
"49" 41.791 55.1915 30.9027
"50" 41.6178 55.3129 29.6385
"51" 41.5455 55.056 28.4145
"52" 41.6168174743652 55.1230659484863 27.1395149230957
"53" 22.7276668548584 34.5737915039062 17.0290985107422
"54" 26.0820693969727 32.1739616394043 73.6369857788086
"55" 26.5743 33.1388 74.0767
"56" 27.0027 34.1397 73.6575
"57" 27.4038 35.1511 73.245
"58" 28.0171 35.8401 72.6898
"59" 29.1473 35.6163 72.5711
"60" 30.1138 35.0105 72.8105
"61" 30.9615 34.2773 73.2009
"62" 31.8146 33.6375 73.7004
"63" 32.7463 32.964 73.9809
"64" 33.6039 32.2015 74.239
"65" 34.0700759887695 31.1033706665039 74.2491836547852
"66" 34.2987899780273 39.1601791381836 24.1042098999023
"67" 17.5335235595703 38.5048637390137 55.3700790405273
"68" 17.5509033203125 38.5867958068848 55.3962173461914
"69" 15.6251392364502 39.0402450561523 51.6950836181641
"70" 21.4871368408203 31.4280090332031 17.086856842041
"71" 21.6926 32.4787 17.0978
"72" 22.3037 33.3205 17.2882
"73" 23.1353 33.9661 17.27
"74" 24.0431 34.4201 17.5983
"75" 24.9186 34.8729 18.0028
"76" 25.8863 35.0933 18.2442
"77" 26.7874 34.6214 18.2738
"78" 27.5603 33.9615 17.943
"79" 28.2796 33.3222 17.4845
"80" 28.7425 32.4917 17.0101
"81" 29.0271034240723 31.527400970459 16.6408157348633
"82" 29.9986991882324 56.122917175293 40.2031364440918
"83" 39.4012336730957 48.8954124450684 45.6935577392578
"84" 39.7126 47.497 47.5505
"85" 39.6292 46.2786 49.5609
"86" 38.9991 45.1874 51.5146
"87" 38.8188 43.6754 53.1787
"88" 39.2568 42.2598 54.9633
"89" 39.2913 40.8501 56.8335
"90" 39.0801 39.5652 58.7944
"91" 38.4499 38.4582 60.7681
"92" 37.6229 37.3099 62.6544
"93" 36.6901 36.2414 64.5375
"94" 36.0107 35.2262 66.5529
"95" 35.4569 34.1791 68.587
"96" 35.372 33.3384 70.7653
"97" 35.8738 32.3649 72.8251
"98" 35.9910430908203 30.9659118652344 74.4580993652344
"99" 41.169189453125 45.8316955566406 26.0698051452637
"100" 41.0227 47.1938 26.588
"101" 40.709 48.596 26.6066
"102" 40.5364 49.9822 26.4688
"103" 41.0862 51.3095 26.3628
"104" 41.9268 52.5158 26.2938
"105" 42.707 53.3589 25.7083
"106" 43.1721 53.355 24.5123
"107" 42.872 51.9738 24.1252
"108" 42.2338 50.6501 23.9661
"109" 42.3479 49.2065 23.9326
"110" 42.715 47.8062 23.8761
"111" 42.6237 46.4773 23.8833
"112" 41.9597 45.6954 24.8273
"113" 39.4012336730957 48.8954124450684 45.6935577392578
"114" 27.0745182037354 39.962532043457 62.588321685791
"115" 30.1442546844482 47.1074752807617 53.7856140136719
"116" 35.6540870666504 35.5216979980469 57.7390556335449
"117" 28.8636798858643 47.0429382324219 13.9473838806152
"118" 25.8753051757812 40.1498222351074 62.4880561828613
"119" 24.343 40.5097 62.073
"120" 23.1108 41.0242 61.1354
"121" 22.0257 41.4351 59.9822
"122" 21.2171 42.2954 58.9672
"123" 20.9335 43.622 58.0392
"124" 21.2789 44.9459 57.1414
"125" 22.0478 46.0507 56.237
"126" 23.1363 47.0205 55.4832
"127" 24.4002 47.7702 54.7746
"128" 25.8908 48.0427 54.1913
"129" 27.4675 47.9397 53.7682
"130" 29.0689 47.66 53.6461
"131" 30.5824 47.0735 53.8794
"132" 31.6816 46.236 54.7526
"133" 32.3691 45.1563 55.7545
"134" 32.6988 44.07 56.9372
"135" 32.7349 43.0613 58.2228
"136" 32.3196 42.1065 59.4807
"137" 31.4981 41.2156 60.582
"138" 30.5153 40.3886 61.5814
"139" 29.093 40.0152 62.2985
"140" 27.5097 39.9807 62.526
"141" 4.2989091873169 32.482536315918 17.1462745666504
"142" 21.2746734619141 35.7347869873047 29.5142192840576
"143" 29.8353252410889 33.6807823181152 58.0371360778809
"144" 31.8277549743652 32.3282203674316 48.5435256958008
"145" 30.1172618865967 34.2989234924316 47.2747421264648
"146" 20.852087020874 42.7086296081543 58.4971160888672
"147" 30.0877990722656 47.1260833740234 53.7152214050293
"148" 31.357364654541 41.8908920288086 27.9474563598633
"149" 24.1535758972168 40.5128135681152 25.7070369720459
"150" 24.545 41.9691 26.3556
"151" 24.7634 43.5572 26.7013
"152" 24.7639 45.0843 27.3057
"153" 25.3498 45.9838 28.4453
"154" 26.4317 45.1007 28.9621
"155" 27.3654 44.0249 28.306
"156" 28.7204 43.3725 27.6458
"157" 29.7498 42.2684 28.1386
"158" 31.357364654541 41.8908920288086 27.9474563598633
"159" 41.6168174743652 55.1230659484863 27.1395149230957
"160" 24.1535758972168 40.5128135681152 25.7070369720459
"161" 14.8550157546997 57.0041732788086 21.0969676971436
"162" 23.6911888122559 34.9743614196777 20.146915435791
"163" 23.3740501403809 38.1265754699707 25.1255664825439
"164" 20.4820594787598 54.8642425537109 9.16089248657227
"165" 4.2989091873169 32.482536315918 17.1462745666504
"166" 3.1007 33.5111 17.8289
"167" 3.2544 35.0629 18.6956
"168" 3.612 36.3524 19.8616
"169" 4.0502 38.0905 20.1499
"170" 4.4642 39.8489 20.4746
"171" 4.9793 41.5672 20.8633
"172" 5.5637 43.1763 21.2005
"173" 6.1032 44.8666 21.5523
"174" 6.8287 46.5192 21.9077
"175" 7.5518 48.0708 22.3785
"176" 8.5017 49.6019 22.2331
"177" 9.3668 51.1673 22.6249
"178" 10.3535 52.3353 21.8025
"179" 11.4392 53.527 21.2467
"180" 12.5645 54.6503 20.4302
"181" 13.5538 56.0862 20.4942
"182" 14.8550157546997 57.0041732788086 21.0969676971436
"183" 36.3166885375977 41.6554641723633 43.7167205810547
"184" 36.6342 40.3656 46.2481
"185" 36.8279 39.8463 48.9981
"186" 36.7601 38.3197 51.4196
"187" 36.7631 36.7211 53.7921
"188" 35.969 36.0752 56.4849
"189" 35.149 35.2356 59.1004
"190" 34.2955 34.5947 61.7714
"191" 33.023 33.7282 64.1046
"192" 31.7217559814453 31.3232307434082 64.5120239257812
"193" 36.3166885375977 41.6554641723633 43.7167205810547
"194" 26.0820693969727 32.1739616394043 73.6369857788086
"195" 31.7217559814453 31.3232307434082 64.5120239257812
"196" 33.0966262817383 31.030122756958 24.4344158172607
"197" 29.2342529296875 30.9257831573486 43.8408393859863
"198" 32.6989784240723 30.9403324127197 32.6492576599121
"199" 27.0972175598144 33.5007362365723 33.272346496582
"200" 27.7751 33.03 32.4959
"201" 28.3082 32.2186 32.3707
"202" 28.5844 31.2276 32.7371
"203" 28.5554 30.1284 32.6378
"204" 28.1494 29.1432 32.4458
"205" 27.2340984344482 28.5259323120117 32.6935348510742
"206" 21.4871368408203 31.4280090332031 17.086856842041
"207" 19.1372261047363 31.8356151580811 58.5698165893555
"208" 26.0820693969727 32.1739616394043 73.6369857788086
"209" 24.3045 32.0581 70.6779
"210" 22.7162 31.9488 67.5907
"211" 21.3931 31.8076 64.3714
"212" 20.1452 31.5725 61.1258
"213" 18.7828 31.7171 57.9187
"214" 17.2991 31.5314 54.7798
"215" 15.8459 31.5328 51.6184
"216" 14.3408 31.4761 48.4773
"217" 12.9434 31.5722 45.2827
"218" 11.5208 31.5576 42.1044
"219" 9.9975 31.5758 38.9929
"220" 8.5255 31.7628 35.8539
"221" 7.1523 31.9134 32.6608
"222" 5.9949 31.9483 29.3929
"223" 4.7846 31.9738 26.1252
"224" 3.7505 32.2073 22.8067
"225" 2.8531 32.4358 19.4479
"226" 3.83611488342285 32.1521186828613 16.3693885803223
"227" 30.5871410369873 31.6063995361328 14.4926528930664
"228" 15.4824180603027 31.6464424133301 50.8579902648926
"229" 3.83611488342285 32.1521186828613 16.3693885803223
"230" 34.0700759887695 31.1033706665039 74.2491836547852
"231" 35.9910430908203 30.9659118652344 74.4580993652344
"232" 14.260820388794 32.0805549621582 0.630954742431641
"233" 29.0271034240723 31.527400970459 16.6408157348633
"234" 33.2012329101562 27.7594242095947 18.5992088317871
"235" 33.1413040161133 26.7646598815918 23.2209854125977
"236" 27.2340984344482 28.5259323120117 32.6935348510742
"237" 33.1868743896484 9.31035232543945 21.5887870788574
"238" 34.6803 8.4715 22.0739
"239" 35.8778 7.1119 22.3513
"240" 36.4453 5.8475 23.496
"241" 35.8419 5.2973 25.1477
"242" 34.6421 5.0047 26.5011
"243" 32.939 4.5998 27.0523
"244" 31.1841 4.1646 26.7848
"245" 29.9159 3.8381 25.5332
