"V1" "V2" "V3"
"1" 48.5985641479492 49.987922668457 91.666877746582
"2" 48.2979 49.9236 93.1663
"3" 47.7932 49.7111 94.5605
"4" 47.059 49.2991 95.8339
"5" 46.3609 48.925 97.14
"6" 45.6871 48.5823 98.4704
"7" 44.995 48.1751 99.7616
"8" 44.6296 47.926 101.2047
"9" 44.2586 47.7901 102.6821
"10" 43.8902 47.8446 104.1656
"11" 43.707 47.6732 105.6741
"12" 43.536 47.5004 107.1633
"13" 42.8926162719727 47.3227157592773 108.540786743164
"14" 30.4019165039062 58.711555480957 121.07112121582
"15" 33.8503570556641 60.2209510803223 109.850997924805
"16" 60.1795883178711 61.1398124694824 83.094856262207
"17" 22.137508392334 88.3500900268555 104.126106262207
"18" 21.763 87.6639 98.0764
"19" 22.8841 87.8535 92.5179
"20" 27.1209 90.0687 88.8288
"21" 32.0187 93.3075 87.514
"22" 36.5173 96.8579 89.0623
"23" 39.9183 99.899 93.0401
"24" 41.9277 101.2738 98.4355
"25" 40.9315 102.0121 104.3312
"26" 37.9973 101.3282 109.5678
"27" 33.6973 98.8553 112.9417
"28" 29.1169 95.1074 113.3161
"29" 25.3069 91.7062 110.1986
"30" 22.44 88.5889 105.8744
"31" 21.2712 87.6864 99.9978
"32" 21.3904 86.7875 98.7036
"33" 22.2881317138672 88.3432083129883 104.533187866211
"34" 22.2881317138672 88.3432083129883 104.533187866211
"35" 22.137508392334 88.3500900268555 104.126106262207
"36" 40.6747589111328 84.2641983032227 56.7486419677734
"37" 42.8706 85.8553 57.082
"38" 44.7784 87.0648 58.6788
"39" 46.6563 88.3992 60.1777
"40" 47.9681 90.0785 61.9126
"41" 48.6357 91.4669 64.1808
"42" 48.9844 92.6312 66.6346
"43" 48.7113 93.5892 69.2132
"44" 47.8749 94.806 71.5517
"45" 46.6007 95.7215 73.8074
"46" 44.8648 96.0121 75.9424
"47" 42.9904 95.8038 77.9667
"48" 40.5726 95.3255 79.009
"49" 38.2023 93.9443 79.1165
"50" 36.0315 92.3614 79.5115
"51" 34.1193 90.6662 78.5813
"52" 32.1945724487305 89.1978759765625 77.2343902587891
"53" 51.7745513916016 58.9880218505859 126.61799621582
"54" 84.5102691650391 69.0982360839844 30.6894912719727
"55" 83.6861 71.8646 31.6144
"56" 81.9384 74.1127 32.3838
"57" 79.1949 75.0798 32.0491
"58" 76.7695 74.9719 30.2509
"59" 74.8648 74.4876 27.954
"60" 73.2073 73.5723 25.6054
"61" 71.6102 72.1964 23.4517
"62" 70.0878 70.424 21.5502
"63" 69.8439 67.7426 20.7192
"64" 71.9218 65.6785 20.1112
"65" 74.1008987426758 63.5857162475586 19.8653907775879
"66" 38.8617095947266 59.2524871826172 98.1726303100586
"67" 83.9022521972656 77.4366302490234 48.0768280029297
"68" 78.2493515014648 84.2600402832031 59.5060424804688
"69" 80.6251220703125 80.7948608398438 71.7044982910156
"70" 57.1874694824219 57.1155281066895 130.838638305664
"71" 55.9412 57.835 129.1731
"72" 54.2813 58.1997 127.7981
"73" 52.3556 58.9868 127.1481
"74" 50.5044 59.3608 126.0302
"75" 48.7526 59.4779 124.731
"76" 47.1874 59.4195 123.2203
"77" 46.305 57.9494 122.0047
"78" 45.809 55.8217 122.1182
"79" 45.643 53.7228 122.7219
"80" 46.4082 51.8117 123.2969
"81" 47.9325256347656 50.312858581543 123.820945739746
"82" 72.1459808349609 88.8131332397461 76.1668319702148
"83" 40.6747589111328 84.2641983032227 56.7486419677734
"84" 37.8176 82.0377 55.204
"85" 36.6015 79.7293 52.5218
"86" 37.9881 78.2147 49.1429
"87" 39.7387 76.8415 45.8745
"88" 41.9371 75.9686 42.7292
"89" 43.9263 74.3873 39.709
"90" 45.8054 72.8238 36.6125
"91" 47.8199 71.274 33.5871
"92" 50.1468 69.6594 30.8484
"93" 52.8551 67.9905 28.5124
"94" 55.9766 67.0862 26.2742
"95" 59.0922 65.9259 24.1442
"96" 62.0193 64.5331 21.9058
"97" 64.5928 62.3744 19.9645
"98" 66.6179275512695 59.1003341674805 19.1383590698242
"99" 29.9202480316162 67.8256912231445 96.2275772094727
"100" 29.8709 71.2983 95.8155
"101" 29.1785 74.736 96.1304
"102" 27.447 77.6683 95.1887
"103" 24.9416 79.2242 93.4694
"104" 21.6005 79.3667 92.9076
"105" 18.4925 78.6641 94.3121
"106" 16.8609 77.6785 97.1519
"107" 17.4627 75.7722 100.0277
"108" 19.4324 74.5469 102.6831
"109" 21.7657 72.1124 103.541
"110" 23.6221 69.2188 103.3052
"111" 25.1779 67.321 100.8558
"112" 27.6262 66.4762 98.5054
"113" 40.6747589111328 84.2641983032227 56.7486419677734
"114" 80.996467590332 76.7698822021484 39.756763458252
"115" 66.0474090576172 85.0237579345703 45.741626739502
"116" 58.7538146972656 66.3368377685547 54.7656059265137
"117" 27.7465438842773 72.4110870361328 141.80207824707
"118" 82.2375259399414 76.7501373291016 41.3876113891602
"119" 83.5462 76.9766 44.0894
"120" 84.0173 77.3882 47.0304
"121" 84.1464 77.9768 49.9546
"122" 83.7305 79.0784 52.685
"123" 82.6792 80.6662 54.9915
"124" 81.298 82.1473 57.1834
"125" 79.285 83.6129 58.7647
"126" 76.8733 85.2134 59.6042
"127" 74.4932 86.7792 59.0553
"128" 72.284 87.5023 57.1924
"129" 70.055 87.8087 55.1908
"130" 68.3771 87.6433 52.7035
"131" 67.1788 86.8081 50.0799
"132" 66.5415 85.6549 47.3835
"133" 66.3396 84.3582 44.6705
"134" 66.7106 83.146 41.9774
"135" 68.1963 81.536 39.9204
"136" 70.1513 80.1031 38.1471
"137" 72.5353 78.8995 36.7892
"138" 75.291 77.7625 36.6353
"139" 78.1263 77.0031 37.173
"140" 80.4378 76.8921 38.9744
"141" 76.8996200561523 72.8779373168945 142.006759643555
"142" 67.1007919311523 68.8996887207031 103.239364624023
"143" 71.8480072021484 62.6716651916504 43.7589492797852
"144" 58.5848083496094 55.3827819824219 71.2135162353516
"145" 67.1034240722656 64.6624298095703 65.9745178222656
"146" 77.9867477416992 84.0831909179688 59.5264587402344
"147" 71.5092163085938 87.4726181030273 56.6028137207031
"148" 43.703296661377 70.8141479492188 95.6371002197266
"149" 47.5859107971191 74.6262512207031 111.170875549316
"150" 47.9598 75.0462 108.7807
"151" 46.8238 76.5106 107.2287
"152" 47.1195 76.0086 105.0171
"153" 48.8431 74.586 103.9801
"154" 49.1241 74.8859 102.0195
"155" 48.2718 73.5474 100.1179
"156" 47.5866 71.8298 98.5386
"157" 45.6545 71.3726 97.1083
"158" 43.703296661377 70.8141479492188 95.6371002197266
"159" 32.1945724487305 89.1978759765625 77.2343902587891
"160" 47.5859107971191 74.6262512207031 111.170875549316
