"V1" "V2" "V3"
"1" 27842.787109375 45178.34375 9860.42578125
"2" 27857.8482 46304.1468 10168.9957
"3" 27942.6726 47437.3459 9973.3996
"4" 27957.1142 48580.6313 9743.0928
"5" 27940.1975 49735.5875 9578.6557
"6" 27914.7133 50895.8282 9452.3804
"7" 27919.1249 52057.4734 9340.4159
"8" 27945.3617 53221.5393 9259.6578
"9" 27885.6967 54385.1606 9226.4688
"10" 27861.744 55548.8789 9282.7174
"11" 27865.3403 56714.927 9332.6748
"12" 27780.9831 57878.4482 9355.0029
"13" 27639.556640625 59037.15234375 9371.67578125
"14" 35852.7265625 69191.8515625 10055.37890625
"15" 34890.6484375 59577.953125 10515.51171875
"16" 30737.73046875 44011.140625 14560.6005859375
"17" 50551.2734375 57289.8203125 12350.375
"18" 50568.0218 55398.4064 9945.3036
"19" 50984.4156 52675.2805 8870.0445
"20" 51127.3024 49627.2769 9067.2487
"21" 51352.5439 46666.551 9739.4248
"22" 50951.6696 44448.3181 11547.1109
"23" 50744.7715 43219.7766 14322.2087
"24" 50743.6214 42855.7681 17354.7621
"25" 50699.4745 44122.0559 20076.0188
"26" 50691.2545 46411.2575 22060.2195
"27" 50197.3081 49240.5707 23048.6348
"28" 50434.6111 52277.4975 23006.7474
"29" 50484.6137 55145.4225 21986.5401
"30" 50574.2721 57702.4526 20412.7361
"31" 50862.2668 59166.7655 17789.0895
"32" 50619.4907 58949.4309 14850.7161
"33" 50556.65625 57289.53515625 12334.013671875
"34" 50556.65625 57289.53515625 12334.013671875
"35" 50551.2734375 57289.8203125 12350.375
"36" 45811.58203125 27757.982421875 7466.380859375
"37" 46102.6537 27853.5349 9248.4127
"38" 45964.6038 27761.0159 11046.5643
"39" 45843.1597 28259.1858 12786.4093
"40" 45912.7848 28867.9586 14481.1454
"41" 46390.7478 29966.2132 15806.1886
"42" 47213.6416 31280.9366 16711.1978
"43" 48086.0981 32708.1238 17415.6594
"44" 48845.4336 34257.6868 17962.816
"45" 49670.1033 35861.4458 18144.9149
"46" 50344.8377 37501.2606 17942.1751
"47" 50622.2299 38959.3162 16954.6985
"48" 50887.5866 39940.2668 15458.4484
"49" 50955.5124 40715.1254 13817.5625
"50" 50879.0159 41347.1858 12117.3414
"51" 51121.0166 41874.931 10403.4671
"52" 51132.34765625 42723.95703125 8800.6103515625
"53" 28590.306640625 65989.2421875 22935.31640625
"54" 28069.046875 6138.515625 16557.01171875
"55" 29606.4545 6541.5724 16540.8978
"56" 30869.8659 7382.2365 16216.3273
"57" 32150.7867 7015.5848 15462.1288
"58" 33264.9407 6653.2921 14362.2029
"59" 33956.0596 5981.856 13085.8377
"60" 33905.2927 4981.1768 11832.5974
"61" 33593.4205 4422.4034 10356.6113
"62" 32908.8747 4110.403 8948.5373
"63" 31797.7903 3700.5357 7968.3187
"64" 30222.548 3502.4113 8031.131
"65" 28667.6796875 3311.8603515625 8352.685546875
"66" 36129.15234375 50466.51171875 8218.201171875
"67" 30672.044921875 15385.2578125 22519.734375
"68" 34782.53125 23046.64453125 23862.31640625
"69" 33569 30050.560546875 26117.03125
"70" 26254.35546875 67248.6484375 24554.98046875
"71" 27483.607 67041.8311 24239.8689
"72" 28361.7918 66065.5481 23216.2443
"73" 29416.0859 65701.6062 21922.8209
"74" 30721.2441 65572.667 20851.1247
"75" 31830.2167 65913.7021 19613.458
