"V1" "V2" "V3"
"1" 13.3465080261231 12.5680112838745 17.6286220550537
"2" 13.3328 12.6484 18.279
"3" 13.3718 12.7359 18.9274
"4" 13.3623 12.8524 19.5724
"5" 13.3528 12.9648 20.2173
"6" 13.3418 13.0218 20.8707
"7" 13.3311 13.09 21.523
"8" 13.3499 13.1767 22.1727
"9" 13.3398 13.2669 22.8218
"10" 13.3307 13.3968 23.4647
"11" 13.3219 13.5433 24.1041
"12" 13.3281 13.6715 24.747
"13" 13.3778924942017 13.7521286010742 25.3952865600586
"14" 15.9496393203735 14.1631259918213 28.7811088562012
"15" 16.1826972961426 14.0821647644043 26.3701572418213
"16" 15.5397787094116 11.3320331573486 20.8835735321045
"17" 24.2139625549316 14.7512321472168 22.6013984680176
"18" 24.4057 14.994 21.5947
"19" 24.5086 14.9457 20.5503
"20" 24.4917 14.5423 19.5827
"21" 24.4052 13.8142 18.8605
"22" 24.3549 12.8395 18.4576
"23" 24.3548 11.8039 18.3207
"24" 24.471 10.7692 18.484
"25" 24.5222 9.8558 18.9959
"26" 24.49 9.2254 19.8289
"27" 24.4253 8.7546 20.7703
"28" 24.3968 8.6351 21.8215
"29" 24.4241 8.8115 22.8518
"30" 24.5087 9.5358 23.5579
"31" 24.4533 10.4771 23.9998
"32" 24.3547 11.5213 23.9523
"33" 24.1461296081543 12.5585556030273 23.9802322387695
"34" 24.1461296081543 12.5585556030273 23.9802322387695
"35" 24.2139625549316 14.7512321472168 22.6013984680176
"36" 21.5259990692139 14.3282871246338 9.96915626525879
"37" 21.7014 13.3209 10.1182
"38" 22.1933 12.4926 10.5973
"39" 22.5409 11.6528 11.1871
"40" 22.7876 10.809 11.8283
"41" 23.0979 10.1377 12.6279
"42" 23.4775 9.774 13.5817
"43" 23.8563 9.5755 14.5853
"44" 24.1815 9.6332 15.6211
"45" 24.4044 10.1637 16.541
"46" 24.5429 10.7776 17.4361
"47" 24.5813 11.7672 17.4461
"48" 24.5671 12.842 17.4732
"49" 24.5431 13.9065 17.7098
"50" 24.6249 14.7959 18.3227
"51" 24.719 15.5505 19.1044
"52" 24.6778221130371 16.4232044219971 19.7596664428711
"53" 14.5838680267334 7.55883264541626 30.5442428588867
"54" 13.1217727661133 7.79684257507324 0.38294792175293
"55" 13.9667 7.772 0.4582
"56" 14.8119 7.7704 0.7788
"57" 15.5454 8.0705 1.2086
"58" 16.0462 8.4885 1.8615
"59" 16.3809 9.199 2.2589
"60" 16.4386 10.0211 1.9817
"61" 16.1696 10.7445 1.4845
"62" 15.7597 11.4835 1.1142
"63" 15.1301 12.1068 0.8993
"64" 14.2485 12.1868 0.664
"65" 13.35973072052 12.3339385986328 0.738533496856689
"66" 17.5235633850098 13.927227973938 24.4648170471191
"67" 17.2954196929932 5.09321308135986 10.0945672988892
"68" 17.2104740142822 5.00745296478271 10.1218147277832
"69" 17.6200485229492 4.90328502655029 13.4576263427734
"70" 13.2431640625 7.01082038879395 30.8734455108643
"71" 13.9602 7.1691 30.7083
"72" 14.4818 7.6933 30.4706
"73" 14.92 8.1873 30.0538
"74" 15.4022 8.7093 29.7246
"75" 15.8052 9.3373 29.5048
"76" 15.9972 10.0822 29.4867
"77" 15.7685 10.7985 29.5187
"78" 15.3718 11.4638 29.6138
"79" 14.8492 12.0213 29.7299
"80" 14.135 12.2498 29.9354
"81" 13.4006366729736 12.3488426208496 30.1829471588135
"82" 23.4394836425781 8.89472198486328 14.1067934036255
"83" 21.5259990692139 14.3282871246338 9.96915626525879
"84" 21.0745 14.9092 9.6025
"85" 20.576 15.3013 8.9796
"86" 20.1048 15.4826 8.2515
"87" 19.6063 15.5972 7.5262
"88" 19.0773 15.6325 6.8109
"89" 18.5772 15.6296 6.0806
"90" 18.0607 15.5624 5.3597
"91" 17.5785 15.4138 4.6408
"92" 17.0601 15.2484 3.9631
"93" 16.566 15.2237 3.2507
"94" 16.0415 15.1876 2.5322
"95" 15.4643 15.3232 1.871
"96" 14.7465 15.2749 1.3772
"97" 14.0715 14.817 1.0712
"98" 13.2259130477905 14.5775346755981 0.97262978553772
"99" 21.5089912414551 17.2137794494629 20.2521514892578
"100" 22.0552 17.0209 20.2449
"101" 22.6185 16.8761 20.3623
"102" 23.1775 16.9343 20.128
"103" 23.7349 17.0834 19.9252
"104" 24.2558 17.3359 19.9532
"105" 24.3979 17.7095 20.3006
"106" 24.2493 18.0031 20.8165
"107" 23.7021 17.9311 21.0532
"108" 23.2109 17.6583 21.2726
"109" 22.6999 17.5705 21.4738
"110" 22.1194 17.7428 21.4827
"111" 21.6735 17.829 21.1698
"112" 21.3722 17.5845 20.7122
"113" 21.5259990692139 14.3282871246338 9.96915626525879
"114" 17.1508159637451 7.38197898864746 4.28009080886841
"115" 21.0070037841797 12.9317293167114 9.03118133544922
"116" 16.6400203704834 14.2035903930664 7.02656698226929
"117" 20.041633605957 9.03728675842285 31.0595817565918
"118" 17.1727752685547 6.85903835296631 4.61005640029907
"119" 17.5003 6.2872 5.6236
"120" 17.8994 5.8444 6.6755
"121" 18.3131 5.5127 7.7557
"122" 18.9093 5.5336 8.7997
"123" 19.782 5.7389 9.5971
"124" 20.5462 6.0359 10.4767
"125" 21.2315 6.5788 11.301
"126" 21.8009 7.461 11.8472
"127" 22.3158 8.5288 11.7955
"128" 22.4079 9.7111 11.5892
"129" 22.3433 10.7977 11.0914
"130" 22.051 11.7182 10.368
"131" 21.5178 12.4711 9.6117
"132" 20.8179 12.9152 8.7462
"133" 20.1823 13.3197 7.8033
"134" 19.4783 13.361 6.8314
"135" 18.7356 12.9564 5.9738
"136" 18.0919 12.3362 5.1869
"137" 17.6353 11.4548 4.4987
"138" 17.3743 10.3624 4.0873
"139" 17.2443 9.1691 3.9963
"140" 17.136 7.9733 4.1448
"141" 13.2896070480347 4.33268260955811 29.362419128418
"142" 17.1274108886719 7.6175708770752 24.3820610046387
"143" 14.3818311691284 11.1028032302856 7.66832971572876
"144" 14.4105348587036 12.7221546173096 13.2554302215576
"145" 15.7305393218994 11.2957954406738 13.920015335083
"146" 18.8098449707031 5.56022834777832 8.59768295288086
"147" 22.4897079467773 9.80429458618164 11.5689449310303
"148" 19.5233554840088 11.6629257202148 20.8095626831055
"149" 18.7191123962402 8.3553352355957 25.0709037780762
"150" 18.6446 8.4603 23.8471
"151" 19.3944 8.5561 22.9049
"152" 19.2151 8.4733 21.7745
"153" 19.8316 8.8965 20.7887
"154" 20.1236 9.1636 19.6077
"155" 20.392 9.5199 18.4816
"156" 20.399 10.3315 19.0294
"157" 19.9732 10.9722 19.9119
"158" 19.5233554840088 11.6629257202148 20.8095626831055
"159" 24.6778221130371 16.4232044219971 19.7596664428711
"160" 18.7191123962402 8.3553352355957 25.0709037780762
"161" 24.0911846160889 7.93013381958008 22.2185497283936
"162" 16.3098621368408 8.27987670898438 28.3975410461426
"163" 17.325252532959 8.06833744049072 25.2287750244141
"164" 20.0854930877686 8.93821334838867 31.2001113891602
"165" 13.2896070480347 4.33268260955811 29.362419128418
"166" 13.2664 4.328 27.6713
"167" 13.3678 4.3888 25.9784
"168" 13.4193 4.3094 24.2836
"169" 13.5134 4.061 22.6095
"170" 14.3679 3.9969 21.1607
"171" 15.3601 4.0943 19.7916
"172" 16.5422 4.3207 18.592
"173" 17.6383 4.5603 17.3225
"174" 18.6176 4.9426 15.9922
"175" 19.8469 5.4032 14.9519
"176" 21.3486 6.1347 14.7647
"177" 22.6482 7.0592 15.3079
"178" 23.6958 8.156 16.0725
"179" 24.2691 8.9092 17.404
"180" 24.4524 9.0143 19.0916
"181" 24.2613 8.2857 20.5869
