"V1" "V2" "V3"
"1" 14.480694770813 19.2243728637695 4.82137489318848
"2" 14.504 18.6723 4.8075
"3" 14.5201 18.1197 4.805
"4" 14.5608 17.5685 4.814
"5" 14.5288 17.0169 4.8177
"6" 14.5159 16.4644 4.804
"7" 14.5588 15.9143 4.7741
"8" 14.5831 15.3651 4.7171
"9" 14.626 14.8166 4.6637
"10" 14.6674 14.2661 4.6346
"11" 14.6696 13.7275 4.5122
"12" 14.6621 13.1835 4.4158
"13" 14.6889171600342 12.6392440795898 4.32364273071289
"14" 12.7988719940186 8.33517837524414 4.53336906433105
"15" 12.9405202865601 12.0062255859375 4.28174114227295
"16" 12.4847898483276 18.0333862304688 6.72126007080078
"17" 3.58168125152588 15.0277948379517 2.37434673309326
"18" 3.6931 15.878 1.8193
"19" 3.8855 16.8688 1.8171
"20" 3.9678 17.8007 2.2272
"21" 3.8572 18.6221 2.835
"22" 3.6756 19.2967 3.5779
"23" 3.6666 19.5478 4.5768
"24" 3.7545 19.6076 5.5992
"25" 3.5247 19.268 6.5213
"26" 3.2643 18.6158 7.2649
"27" 3.0448 17.7724 7.8183
"28" 2.9493 16.8001 8.1217
"29" 3.0284 15.7893 7.9783
"30" 3.0971 14.9312 7.4148
"31" 3.202 14.2413 6.6547
"32" 3.6131 13.9103 5.8223
"33" 3.66948699951172 14.012508392334 4.86967039108276
"34" 3.66948699951172 14.012508392334 4.86967039108276
"35" 3.58168125152588 15.0277948379517 2.37434673309326
"36" 4.80762481689453 25.5619411468506 4.71110057830811
"37" 4.9325 25.6928 5.455
"38" 4.9223 25.512 6.1921
"39" 4.7297 25.0685 6.7922
"40" 4.4763 24.4357 7.1418
"41" 4.2169 23.7261 7.0812
"42" 3.9942 23.0009 6.9611
"43" 3.8035 22.3125 6.6651
"44" 3.6428 21.7442 6.1648
"45" 3.5859 21.223 5.5987
"46" 3.5843 20.7865 4.9629
"47" 3.6112 20.4026 4.2896
"48" 3.7137 20.0544 3.6054
"49" 3.8413 19.598 3.0234
"50" 3.8633 18.988 2.5514
"51" 3.8591 18.3451 2.1228
"52" 3.91379547119141 17.6920547485352 1.70967197418213
"53" 13.2078428268433 6.68181228637695 11.16330909729
"54" 14.2240390777588 36.0484924316406 9.62606525421143
"55" 13.4971 35.8338 9.5955
"56" 12.7895 35.5976 9.5012
"57" 12.2063 35.3438 9.1018
"58" 11.7055 35.4235 8.5584
"59" 11.5366 35.6345 7.8633
"60" 11.5706 35.768 7.1209
"61" 11.7875 35.805 6.4062
"62" 12.2256 35.8088 5.7961
"63" 12.7954 35.8047 5.299
"64" 13.478 35.9804 5.0455
"65" 14.2067670822144 36.1210327148438 4.8985333442688
"66" 10.1354942321777 13.5365619659424 4.36783504486084
"67" 8.37774276733398 26.971586227417 13.0447845458984
"68" 8.41414451599121 27.0798740386963 13.0589303970337
"69" 8.70235157012939 25.4150257110596 13.253472328186
"70" 14.7330846786499 5.87523460388184 11.9875373840332
"71" 14.0093 6.0026 11.7581
"72" 13.5791 6.5269 11.3563
"73" 13.176 6.9684 10.8166
"74" 12.8302 7.4946 10.3238
"75" 12.7278 7.9994 9.7151
"76" 12.8394 8.3166 8.9958
"77" 12.9642 8.3772 8.203
"78" 13.147 8.3279 7.4187
"79" 13.5859 8.0068 6.8546
"80" 14.2879 7.6459 6.6937
"81" 15.0641117095947 7.50473260879517 6.71624755859375
"82" 3.30852127075195 20.7734107971191 8.66273307800293
"83" 4.80762481689453 25.5619411468506 4.71110057830811
"84" 5.065 26.0341 3.9276
"85" 5.4716 26.7099 3.3709
"86" 5.88 27.3614 2.7865
"87" 6.3585 28.0974 2.3807
"88" 6.8909 28.8281 2.0321
"89" 7.4746 29.5821 2.0401
"90" 8.0675 30.2863 1.7902
"91" 8.7305 30.9899 1.8558
"92" 9.4167 31.671 1.9124
"93" 10.1414 32.3087 1.993
"94" 10.8977 32.8806 2.1873
"95" 11.6286 33.4492 2.4357
"96" 12.3759 33.9342 2.8141
"97" 13.1182 34.4552 2.9189
"98" 13.9905233383179 34.8012046813965 2.75310325622559
"99" 7.82796096801758 16.8713569641113 1.28877544403076
"100" 7.342 17.3458 1.4406
"101" 6.6582 17.3721 1.5444
"102" 5.9836 17.128 1.6269
"103" 5.3147 17.3241 1.5659
"104" 4.6565 17.515 1.4078
"105" 4.0672 17.2094 1.2472
"106" 4.1747 16.6918 0.7585
"107" 4.6362 16.3457 0.4121
"108" 5.3239 16.2225 0.5763
"109" 5.9868 16.0206 0.6903
"110" 6.6277 15.8832 0.4137
"111" 7.3218 16.014 0.387
"112" 7.788 16.4265 0.7324
"113" 4.80762481689453 25.5619411468506 4.71110057830811
"114" 10.0436897277832 32.4684944152832 10.3249921798706
"115" 5.93092918395996 27.9457340240479 6.37946510314941
"116" 10.8790779113769 28.4260997772217 4.58393096923828
"117" 7.91679286956787 8.12181663513184 5.54356527328491
"118" 9.83447265625 32.103443145752 10.85227394104
"119" 9.4237 31.2831 11.3234
"120" 9.0294 30.3704 11.5698
"121" 8.659 29.489 11.9441
"122" 8.1139 28.6392 12.1553
"123" 7.5013 27.8146 12.1424
"124" 6.9279 27.02 11.8592
"125" 6.3105 26.4482 11.2724
"126" 5.7929 25.9906 10.5191
"127" 5.4036 25.9855 9.5751
"128" 5.1745 26.2613 8.6148
"129" 5.1573 26.7042 7.687
"130" 5.5018 27.3052 6.9467
"131" 5.8606 27.9672 6.2568
"132" 6.37 28.756 5.8417
"133" 6.9652 29.573 5.6454
"134" 7.6205 30.3612 5.5711
"135" 8.2178 31.165 5.79
"136" 8.772 31.8779 6.276
"137" 9.2248 32.3954 7.0312
"138" 9.6138 32.6142 7.9556
"139" 9.8581 32.6729 8.9522
"140" 10.0139 32.526 9.9268
"141" 14.6643238067627 10.9753265380859 16.4706878662109
"142" 10.6205148696899 13.3393173217773 10.9428520202637
"143" 12.7197704315186 28.7842426300049 6.59212875366211
"144" 13.4649562835693 24.0506420135498 5.18843078613281
"145" 10.1276159286499 23.3677101135254 6.36298179626465
"146" 8.00468158721924 28.3687877655029 12.18581199646
"147" 5.18761348724365 26.7907047271729 7.61619663238525
"148" 8.20547294616699 17.5857372283936 8.06896781921387
"149" 8.25121402740479 11.9369068145752 9.62511253356934
"150" 7.8596 12.5947 9.7319
"151" 7.5533 13.2993 9.711
"152" 7.3208 14.0172 9.5472
"153" 7.2586 14.7638 9.3829
"154" 7.1752 15.5143 9.2372
"155" 7.0829 16.2473 9.0202
"156" 7.0753 16.9464 8.7053
"157" 7.5015 17.3852 8.3071
"158" 8.20547294616699 17.5857372283936 8.06896781921387
"159" 3.91379547119141 17.6920547485352 1.70967197418213
"160" 8.25121402740479 11.9369068145752 9.62511253356934
"161" 3.30858135223389 17.326847076416 9.66397476196289
"162" 11.8317985534668 9.15784740447998 10.0706176757812
"163" 10.3954429626465 12.5249834060669 10.5140132904053
"164" 5.4628005027771 7.02077674865723 9.82748222351074
"165" 14.6643238067627 10.9753265380859 16.4706878662109
"166" 14.5003 12.3662 16.321
"167" 14.2569 13.7219 16.285
"168" 13.8462 15.0634 16.212
"169" 13.4739 16.4005 16.006
"170" 13.018 17.7023 15.731
"171" 12.3592 18.9381 15.5874
"172" 11.5866 20.079 15.3213
"173" 10.6767 21.098 14.9782
"174" 9.6968 21.9924 14.5088
"175" 8.4817 22.4119 14.0344
"176" 7.2075 22.4449 13.4601
