"V1" "V2" "V3"
"1" 26.7086906433106 13.9432601928711 7.31978893280029
"2" 27.1648 13.9522 7.1941
"3" 27.6185 13.9822 7.0774
"4" 28.0424 13.9316 6.8746
"5" 28.4858 13.9311 6.7093
"6" 28.9363 13.9115 6.5647
"7" 29.3879 13.892 6.4247
"8" 29.848 13.8676 6.3157
"9" 30.3095 13.8268 6.2183
"10" 30.7712 13.8058 6.1151
"11" 31.2397 13.8074 6.0478
"12" 31.7025 13.7749 5.9866
"13" 32.1635398864746 13.7562789916992 5.91330909729004
"14" 35.0108413696289 12.0395050048828 5.42764472961426
"15" 32.1284065246582 11.6979742050171 5.56174373626709
"16" 28.3125228881836 12.1616744995117 8.4158353805542
"17" 31.0690269470215 6.92115211486816 6.90123128890991
"18" 30.563 6.5326 6.0948
"19" 30.0811 5.9722 5.3685
"20" 29.4936 5.5695 4.6201
"21" 28.642 5.358 4.1973
"22" 27.724 5.3003 4.6326
"23" 27.1513 5.313 5.4792
"24" 26.9643 5.2953 6.4956
"25" 27.1161 5.3014 7.5111
"26" 27.5714 5.329 8.4422
"27" 28.2214 5.3435 9.243
"28" 29.1628 5.3068 9.5064
"29" 30.146 5.2346 9.2023
"30" 30.946 5.166 8.564
"31" 31.2743 5.1889 7.6152
"32" 31.2211 5.9559 7.0764
"33" 31.0941524505615 6.96043062210083 6.97965621948242
"34" 31.0941524505615 6.96043062210083 6.97965621948242
"35" 31.0690269470215 6.92115211486816 6.90123128890991
"36" 18.1255702972412 7.26246738433838 6.26384258270264
"37" 18.793 7.154 7.0056
"38" 19.4434 6.7815 7.6935
"39" 20.1692 6.3891 8.3005
"40" 20.8902 6.2575 9.0121
"41" 21.5858 6.1248 9.7562
"42" 22.3814 6.1069 10.4053
"43" 23.3118 5.9269 10.0511
"44" 24.246 5.7401 9.6643
"45" 25.1803 5.5533 9.2776
"46" 26.1146 5.3665 8.8908
"47" 27.0489 5.1797 8.504
"48" 26.7669 5.0733 7.6537
"49" 26.4384 5.08 6.6906
"50" 26.4299 5.0758 5.6678
"51" 26.9007 5.1703 4.7748
"52" 27.3944778442383 5.26682043075562 3.87842988967896
"53" 36.4206657409668 12.1410703659058 10.9876232147217
"54" 11.7041511535644 14.6984462738037 15.2980232238769
"55" 11.6236 13.9438 14.9903
"56" 11.7877 13.1889 14.6172
"57" 12.0166 12.5083 14.186
"58" 12.0423 12.1847 13.4419
"59" 11.6822 12.1107 12.6725
"60" 11.2314 12.1829 11.9507
"61" 10.7672 12.3815 11.2638
"62" 10.44 12.8839 10.665
"63" 10.0311 13.5724 10.3683
"64" 9.6731 14.3396 10.3215
"65" 9.36874771118164 14.9523439407349 9.84539699554443
"66" 31.1357727050781 10.4242172241211 5.56752824783325
"67" 17.9978008270264 11.1588668823242 16.8690490722656
"68" 19.6665115356445 9.58237648010254 16.8399314880371
"69" 24.4299163818359 11.6937751770019 17.8136825561523
"70" 37.0145835876465 13.4041910171509 11.9398288726807
"71" 36.7894 12.8484 11.8009
"72" 36.7084 12.4181 11.3503
"73" 36.3356 12.1733 10.8948
"74" 35.9439 11.974 10.4319
"75" 35.6196 11.755 9.9292
"76" 35.3007 11.5886 9.4093
"77" 35.232 11.6946 8.82
"78" 35.2371 12.0747 8.3187
"79" 35.3985 12.45 7.846
"80" 35.6447 12.9189 7.495
"81" 35.8723831176758 13.510890007019 7.54408597946167
"82" 22.7734851837158 6.38805103302002 12.2434692382812
"83" 18.1255702972412 7.26246738433838 6.26384258270264
"84" 17.4313 7.7201 6.1579
"85" 16.7409 8.1881 6.0868
"86" 16.0704 8.6901 6.098
"87" 15.3838 9.1643 6.1661
"88" 14.7153 9.6616 6.2619
"89" 14.0442 10.1472 6.3908
"90" 13.4069 10.6618 6.5559
"91" 12.8226 11.1707 6.8749
"92" 12.3038 11.6962 7.2641
"93" 11.6908 12.1296 7.6241
"94" 10.9852 12.528 7.8352
"95" 10.3221 13.0211 7.8131
"96" 9.7281 13.557 7.6382
"97" 9.3353 14.2692 7.8149
"98" 9.29398918151855 14.9861507415772 8.19463157653809
"99" 28.1338748931885 8.22707939147949 3.52286529541016
"100" 28.1175 7.7126 3.8039
"101" 28.2781 7.1367 3.9212
"102" 28.125 6.5659 3.8178
"103" 27.8691 6.0474 3.6314
"104" 27.6567 5.4949 3.5081
"105" 28.0312 5.2651 3.1261
"106" 28.4726 5.3912 2.7331
"107" 28.6735 5.8841 2.6088
"108" 28.8233 6.4058 2.8615
"109" 29.0698 6.9234 2.9079
"110" 29.1693 7.4865 2.7237
"111" 28.9539 8.023 2.758
"112" 28.4969 8.2745 3.0496
"113" 18.1255702972412 7.26246738433838 6.26384258270264
"114" 14.264123916626 11.7544021606445 15.1269969940186
"115" 19.3583602905273 6.81971263885498 9.19771289825439
"116" 16.1953315734863 11.5708951950073 7.43938159942627
"117" 35.6532402038574 7.55679798126221 9.02118110656738
"118" 14.5055694580078 11.6663732528687 15.6293659210205
"119" 15.6792 11.589 16.2167
"120" 16.929 11.3413 16.5389
"121" 18.1352 11.007 16.8668
"122" 19.1286 10.1543 16.9081
"123" 19.918 9.1342 16.6457
"124" 20.7974 8.2624 16.3558
"125" 21.6884 7.7897 15.5753
"126" 22.1417 7.1121 14.5418
"127" 22.2787 6.7045 13.2945
"128" 22.094 6.4447 12.0203
"129" 21.4966 6.3393 10.8671
"130" 20.5165 6.4156 10.0035
"131" 19.4327 6.8112 9.373
"132" 18.3468 7.4299 8.982
"133" 17.3093 8.2036 8.7296
"134" 16.3462 9.0953 8.6123
"135" 15.4176 9.972 8.8704
"136" 14.5671 10.7366 9.497
"137" 14.032 11.2556 10.5729
