"V1" "V2" "V3"
"1" 17.2802391052246 15.6276168823242 12.2824668884277
"2" 17.2453 15.1044 12.2971
"3" 17.2185 14.5858 12.2509
"4" 17.185 14.0676 12.2001
"5" 17.1371 13.5463 12.2269
"6" 17.0893 13.025 12.2571
"7" 17.0416 12.5038 12.291
"8" 16.971 11.9853 12.3205
"9" 16.9413 11.4636 12.3527
"10" 16.9166 10.9429 12.3724
"11" 16.8933 10.4252 12.4482
"12" 16.8219 9.9069 12.4312
"13" 16.7779960632324 9.38419342041016 12.4317436218262
"14" 14.0117387771606 5.17000102996826 12.4096069335938
"15" 14.0184602737427 8.23653125762939 11.9470481872559
"16" 15.4398975372315 17.1320514678955 15.2106494903565
"17" 5.18850898742676 10.8961725234985 14.0664768218994
"18" 5.3352 11.2843 12.6261
"19" 4.9319 11.4953 11.1953
"20" 4.3634 12.2834 10.2885
"21" 4.1011 13.5642 10.9885
"22" 4.1213 14.839 11.7785
"23" 4.2417 15.8043 12.9149
"24" 4.4056 16.3919 14.2817
"25" 4.5277 16.3589 15.7696
"26" 4.4824 15.7597 17.1313
"27" 4.528 14.6805 18.1744
"28" 4.596 13.364 18.8275
"29" 4.7411 11.8924 18.7788
"30" 4.8861 10.5342 18.1702
"31" 4.734 9.8938 16.9458
"32" 4.6321 10.2098 15.5213
"33" 5.06274223327637 10.8489542007446 14.2749137878418
"34" 5.06274223327637 10.8489542007446 14.2749137878418
"35" 5.18850898742676 10.8961725234985 14.0664768218994
"36" 6.93377590179443 25.4230422973633 6.21415233612061
"37" 6.6486 25.9543 7.4077
"38" 6.9716 26.7964 8.5039
"39" 6.8308 26.8774 9.8822
"40" 6.4431 26.2385 11.0967
"41" 5.965 25.6677 12.3202
"42" 5.486 24.696 13.2175
"43" 5.05 23.4893 13.8523
"44" 4.6535 22.2196 14.3672
"45" 4.272 20.84 14.2951
"46" 4.1823 19.4239 14.1165
"47" 4.2547 18.1213 13.5284
"48" 4.1071 17.0835 12.5473
"49" 3.8862 16.1609 11.4859
"50" 3.8766 14.8822 10.8502
"51" 3.754 13.8724 9.8736
"52" 3.51326751708984 13.9458408355713 8.49348258972168
"53" 14.4232034683228 4.94207000732422 20.9546089172363
"54" 18.5296688079834 39.3995895385742 14.8811168670654
"55" 17.4477 39.4125 14.7438
"56" 16.4008 39.2604 14.5604
"57" 15.5378 38.9054 14.0775
"58" 15.1531 38.3442 13.2763
"59" 15.1857 38.6949 12.3197
"60" 15.6015 39.3009 11.5221
"61" 15.9517 39.7048 10.5827
"62" 16.3247 40.1138 9.6554
"63" 16.7981 40.377 8.7105
"64" 17.7258 40.601 8.4033
"65" 18.7903633117676 40.4537506103516 8.39074230194092
"66" 11.3777465820312 9.94148826599121 11.854681968689
"67" 12.9384784698486 30.276891708374 20.0118770599365
"68" 11.8155708312988 28.5237464904785 20.4803485870361
"69" 11.8839025497437 26.2206611633301 21.6650924682617
"70" 16.5471286773682 4.50333118438721 22.3523712158203
"71" 15.6067 4.4599 22.0398
"72" 14.875 4.7613 21.3545
"73" 14.3159 5.1869 20.5761
"74" 13.7789 5.6439 19.798
"75" 13.2842 5.9573 18.9375
"76" 13.0015 5.7154 17.9895
"77" 13.1917 5.1697 17.1419
"78" 13.7979 4.7278 16.4234
"79" 14.6039 4.2142 16.0088
"80" 15.5449 3.8222 15.7733
"81" 16.5810432434082 3.65405416488648 15.7431154251099
"82" 6.37068557739258 23.2027263641357 17.7605781555176
"83" 6.93377590179443 25.4230422973633 6.21415233612061
"84" 7.5139 26.6359 6.1926
"85" 7.9276 27.7924 6.724
"86" 8.5578 28.9393 6.9272
"87" 9.3261 30.0291 6.9988
"88" 10.1349 31.085 7.159
"89" 10.9828 32.1217 7.2164
"90" 11.6656 33.2734 7.2227
"91" 12.5438 34.2888 7.1932
"92" 13.3671 35.3241 7.0578
"93" 14.2219 36.3332 6.8319
"94" 15.04 37.3603 6.5817
"95" 15.8303 38.3214 6.0768
"96" 16.6086 39.3129 5.6542
"97" 17.633 40.0873 5.9506
"98" 18.8233375549316 40.4403953552246 6.37075138092041
"99" 6.92083215713501 14.2126932144165 6.94141864776611
"100" 6.2907 14.2348 7.3531
"101" 5.7252 14.201 7.842
"102" 5.0457 14.3641 8.0261
"103" 4.4688 14.4114 7.5853
"104" 3.8038 14.2901 7.2746
"105" 3.2986 13.7925 7.0953
"106" 3.5321 13.2462 6.7651
"107" 4.2325 12.9705 6.7195
"108" 4.9073 12.6426 6.8058
"109" 5.4644 12.3618 6.4013
"110" 6.1375 12.5429 6.1581
"111" 6.6935 13.0395 6.1782
"112" 7.0206 13.6357 6.4859
"113" 6.93377590179443 25.4230422973633 6.21415233612061
"114" 13.5551414489746 35.5219345092773 14.7518806457519
"115" 7.88388824462891 28.2370929718018 12.5469131469727
"116" 14.770393371582 28.7420787811279 8.86981201171875
"117" 7.17464542388916 5.44242668151855 19.3557090759277
"118" 13.5739984512329 35.4599266052246 15.5862979888916
"119" 13.7833 34.9046 16.9919
"120" 13.6832 33.858 18.054
"121" 13.5559 32.539 18.8227
"122" 13.3448 31.2202 19.569
"123" 12.8693 29.8817 20.1417
"124" 12.0191 28.6986 20.4036
"125" 10.8248 27.7456 20.4433
"126" 9.5608 26.9595 20.1788
"127" 8.6007 26.0697 19.3927
"128" 7.848 25.4189 18.234
"129" 7.3911 25.2987 16.7941
"130" 7.2124 25.8273 15.397
"131" 7.216 26.701 14.1401
"132" 7.4935 27.7127 13.0291
"133" 8.1635 28.7482 12.13
"134" 8.9973 29.6842 11.2493
"135" 10.0231 30.6923 10.7559
"136" 11.1355 31.7319 10.6151
"137" 12.1431 32.8318 10.916
"138" 12.7741 33.9645 11.6962
"139" 13.2132 34.9925 12.7389
"140" 13.613 35.5334 14.056
"141" 16.8065376281738 7.49708557128906 25.6255416870117
"142" 12.3291606903076 11.6566162109375 19.6183853149414
"143" 16.3174648284912 30.6958808898926 11.7237520217896
"144" 16.0360984802246 22.4121246337891 13.4470949172974
"145" 14.666467666626 22.1984062194824 13.9243488311768
"146" 11.9313373565674 28.5438556671143 20.5876655578613
"147" 7.25228691101074 26.1040191650391 15.0108337402344
"148" 11.1198482513428 16.2037448883057 15.4598007202148
"149" 11.2223930358887 10.8967819213867 19.0730113983154
"150" 10.8558 11.7494 18.6896
"151" 10.5523 12.7194 18.6428
"152" 10.7935 13.6243 18.2954
"153" 11.0544 14.5267 18.4045
"154" 10.7082 15.4256 18.1042
"155" 10.3732 16.3008 17.7132
"156" 9.9804 16.646 16.9416
"157" 10.5005 16.5839 16.0961
"158" 11.1198482513428 16.2037448883057 15.4598007202148
"159" 3.51326751708984 13.9458408355713 8.49348258972168
"160" 11.2223930358887 10.8967819213867 19.0730113983154
"161" 4.57782936096191 13.6410608291626 19.6738967895508
"162" 12.6855230331421 6.96396732330322 19.8729686737061
"163" 12.0905561447144 10.9045124053955 19.5234642028809
"164" 7.01721000671387 5.45213222503662 19.7365856170654
"165" 16.8065376281738 7.49708557128906 25.6255416870117
"166" 17.2413 9.6674 25.3894
"167" 17.1758 11.9087 25.3736
"168" 17.27 14.1334 25.1281
"169" 17.3351 16.3495 24.7647
"170" 17.0718 18.5394 24.3435
"171" 16.2896 20.5837 23.9049
"172" 14.8673 22.2632 23.466
"173" 13.166 23.6399 22.94
"174" 11.573 24.7858 21.8691
"175" 9.6583 24.9602 20.7684
"176" 8.0046 24.369 19.4077
"177" 6.6321 23.2587 18.0484
"178" 5.2674 22.0616 16.9319
"179" 4.6993 19.9388 17.3597
"180" 4.6245 17.7922 18.0276
"181" 4.6323 15.7689 19.0053
"182" 4.57782936096191 13.6410608291626 19.6738967895508
"183" 11.7252864837647 24.8015670776367 10.1503658294678
"184" 12.6322 25.9433 9.5603
"185" 13.5527 27.2055 9.2721
"186" 14.3963 28.4989 8.9071
"187" 14.8684 29.9822 8.7384
"188" 15.0412 31.5399 8.67
"189" 15.4104 33.0559 8.3754
"190" 16.3426 34.1653 7.8733
"191" 17.2735 35.3465 7.8186
"192" 18.6313095092773 35.5786361694336 8.36947631835938
"193" 11.7252864837647 24.8015670776367 10.1503658294678
"194" 18.5296688079834 39.3995895385742 14.8811168670654
"195" 18.6313095092773 35.5786361694336 8.36947631835938
"196" 16.7779960632324 9.38419342041016 12.4317436218262
