x;
1;Skull_median_BS-anteriormost-ventral
2;Skull_BS-length 2
3;Skull_BS-length 3
4;Skull_BS-length 4
5;Skull_BS-length 5
6;Skull_BS-length 6
7;Skull_BS-length 7
8;Skull_BS-length 8
9;Skull_BS-length 9
10;Skull_BS-length 10
11;Skull_BS-length 11
12;Skull_BS-length 12
13;Skull_median_BO-BS-medial
14;48.Left-basitubera 1
15;43.Left-BO-BS-lateralmost 1
16;39.Left-BS-clinoid 1
17;Skull_left_Cavum_tympani_posteroventral
18;Skull_left_Cavum-tympani-loop 2
19;Skull_left_Cavum-tympani-loop 3
20;Skull_left_Cavum-tympani-loop 4
21;Skull_left_Cavum-tympani-loop 5
22;Skull_left_Cavum-tympani-loop 6
23;Skull_left_Cavum-tympani-loop 7
24;Skull_left_Cavum-tympani-loop 8
25;Skull_left_Cavum-tympani-loop 9
26;Skull_left_Cavum-tympani-loop 10
27;Skull_left_Cavum-tympani-loop 11
28;Skull_left_Cavum-tympani-loop 12
29;Skull_left_Cavum-tympani-loop 13
30;Skull_left_Cavum-tympani-loop 14
31;Skull_left_Cavum-tympani-loop 15
32;Skull_left_Cavum-tympani-loop 16
33;Skull_left_Cavum_tympani_posterodorsal
34;51.Left-Cavum_tympani_posterodorsal 1
35;52.Left-Cavum_tympani_posteroventral 1
36;Skull_left_MX-lateroventral
37;Skull_left_Cheek-emargination 2
38;Skull_left_Cheek-emargination 3
39;Skull_left_Cheek-emargination 4
40;Skull_left_Cheek-emargination 5
41;Skull_left_Cheek-emargination 6
42;Skull_left_Cheek-emargination 7
43;Skull_left_Cheek-emargination 8
44;Skull_left_Cheek-emargination 9
45;Skull_left_Cheek-emargination 10
46;Skull_left_Cheek-emargination 11
47;Skull_left_Cheek-emargination 12
48;Skull_left_Cheek-emargination 13
49;Skull_left_Cheek-emargination 14
50;Skull_left_Cheek-emargination 15
51;Skull_left_Cheek-emargination 16
52;Skull_left_QU-posteroventral
53;26.Left-EX-Foramen-magnum 1
54;Skull_median_Anteriormost
55;Skull_left_External-nares 2
56;Skull_left_External-nares 3
57;Skull_left_External-nares 4
58;Skull_left_External-nares 5
59;Skull_left_External-nares 6
60;Skull_left_External-nares 7
61;Skull_left_External-nares 8
62;Skull_left_External-nares 9
63;Skull_left_External-nares 10
64;Skull_left_External-nares 11
65;Skull_median_PM-anterodorsal
66;46.Left-FPCCI 1
67;6.Left-FR-orbit 1
68;67.Left-FR-orbit-posterior 1
69;10.Left-FR-PA-posterolateral 1
70;Skull_median_Dorsal_foramen_magnum
71;Skull_left_half_foramen_magnum 2
72;Skull_left_half_foramen_magnum 3
73;Skull_left_half_foramen_magnum 4
74;Skull_left_half_foramen_magnum 5
75;Skull_left_half_foramen_magnum 6
76;Skull_left_half_foramen_magnum 7
77;Skull_left_half_foramen_magnum 8
78;Skull_left_half_foramen_magnum 9
79;Skull_left_half_foramen_magnum 10
80;Skull_left_half_foramen_magnum 11
81;Skull_median_Ventral_foramen_magnum
82;57.Left-JU-PO-posterior-contact 1
83;Skull_left_MX-lateroventral
84;Skull_left_Labial-ridge 2
85;Skull_left_Labial-ridge 3
86;Skull_left_Labial-ridge 4
87;Skull_left_Labial-ridge 5
88;Skull_left_Labial-ridge 6
89;Skull_left_Labial-ridge 7
90;Skull_left_Labial-ridge 8
91;Skull_left_Labial-ridge 9
92;Skull_left_Labial-ridge 10
93;Skull_left_Labial-ridge 11
94;Skull_left_Labial-ridge 12
95;Skull_left_Labial-ridge 13
96;Skull_left_Labial-ridge 14
97;Skull_left_Labial-ridge 15
98;Skull_median_PM-Labial-ridge
99;Skull_left_Mandibular-cond 1
100;Skull_left_Mandibular-cond 2
101;Skull_left_Mandibular-cond 3
102;Skull_left_Mandibular-cond 4
103;Skull_left_Mandibular-cond 5
104;Skull_left_Mandibular-cond 6
105;Skull_left_Mandibular-cond 7
106;Skull_left_Mandibular-cond 8
107;Skull_left_Mandibular-cond 9
108;Skull_left_Mandibular-cond 10
109;Skull_left_Mandibular-cond 11
110;Skull_left_Mandibular-cond 12
111;Skull_left_Mandibular-cond 13
112;Skull_left_Mandibular-cond 14
113;31.Left-MX-lateroventral 1
114;8.Left-MX-orbit 1
115;68.Left-MX-orbit-posterior 1
116;41.Left-MX-PAL-anterior 1
117;65.Left-OP-posteriormost 1
118;Skull_left_Orbit 1
119;Skull_left_Orbit 2
120;Skull_left_Orbit 3
121;Skull_left_Orbit 4
122;Skull_left_Orbit 5
123;Skull_left_Orbit 6
124;Skull_left_Orbit 7
125;Skull_left_Orbit 8
126;Skull_left_Orbit 9
127;Skull_left_Orbit 10
128;Skull_left_Orbit 11
129;Skull_left_Orbit 12
130;Skull_left_Orbit 13
131;Skull_left_Orbit 14
132;Skull_left_Orbit 15
133;Skull_left_Orbit 16
134;Skull_left_Orbit 17
135;Skull_left_Orbit 18
136;Skull_left_Orbit 19
137;Skull_left_Orbit 20
138;Skull_left_Orbit 21
139;Skull_left_Orbit 22
140;Skull_left_Orbit 23
141;63.Left-PA-SO-posterolateral 1
142;18.Left-PA-SO-PR 1
143;73.Left-PAL-anteromedian 1
144;59.Left-PAL-posteromedian 1
145;61.Left-PT-base-ventral-proc 1
146;16.Left-PO-orbit 1
147;69.Left-PO-orbit-posterior 1
148;55.Left-PR-QU-PT 1
149;Skull_left_QU-PR
150;Skull_left_PR-QU-suture 2
151;Skull_left_PR-QU-suture 3
152;Skull_left_PR-QU-suture 4
153;Skull_left_PR-QU-suture 5
154;Skull_left_PR-QU-suture 6
155;Skull_left_PR-QU-suture 7
156;Skull_left_PR-QU-suture 8
157;Skull_left_PR-QU-suture 9
158;Skull_left_PR-QU-PT
159;35.Left-QU-posteroventral 1
160;22.Left-QU-PR 1
161;14.Left-QU-SQ-Temporal-margin 1
162;24.Left-SO-EX-OP 1
163;20.Left-SO-PR-OP 1
164;12.Left-SQ-posteriormost 1
165;Skull_left_PA-SO-posterolateral
166;Skull_left_Temporal_emargination_new 2
167;Skull_left_Temporal_emargination_new 3
168;Skull_left_Temporal_emargination_new 4
169;Skull_left_Temporal_emargination_new 5
170;Skull_left_Temporal_emargination_new 6
171;Skull_left_Temporal_emargination_new 7
172;Skull_left_Temporal_emargination_new 8
173;Skull_left_Temporal_emargination_new 9
174;Skull_left_Temporal_emargination_new 10
175;Skull_left_Temporal_emargination_new 11
176;Skull_left_Temporal_emargination_new 12
177;Skull_left_Temporal_emargination_new 13
178;Skull_left_Temporal_emargination_new 14
179;Skull_left_Temporal_emargination_new 15
180;Skull_left_Temporal_emargination_new 16
181;Skull_left_Temporal_emargination_new 17
182;Skull_left_QU-SQ-Temporal-margin
183;Skull_left_Triturating-surf-posterior
184;Skull_left_Triturating-surf 2
185;Skull_left_Triturating-surf 3
186;Skull_left_Triturating-surf 4
187;Skull_left_Triturating-surf 5
188;Skull_left_Triturating-surf 6
189;Skull_left_Triturating-surf 7
190;Skull_left_Triturating-surf 8
191;Skull_left_Triturating-surf 9
192;Skull_median_Anteromedian_triturating_surf
193;33.Left-Triturating-surf-posterior 1
194;1.Skull-anteriormost 1
195;30.Anteromedian-Triturating-surf 1
196;45.BO-BS-medial 1
197;38.BS-anteriormost-dorsal 1
198;37.BS-anteriormost-ventral 1
199;Skull_left_BS-clinoid
200;Skull_median_BS-sella-turcica 2
201;Skull_median_BS-sella-turcica 3
202;Skull_median_BS-sella-turcica 4
203;Skull_median_BS-sella-turcica 5
204;Skull_median_BS-sella-turcica 6
205;Skull_right_BS-clinoid
206;75.Dorsal_foramen_magnum 1
207;2.FR-anteriormost 1
208;Skull_median_Anteriormost
209;Skull_median_midline 2
210;Skull_median_midline 3
211;Skull_median_midline 4
212;Skull_median_midline 5
213;Skull_median_midline 6
214;Skull_median_midline 7
215;Skull_median_midline 8
216;Skull_median_midline 9
217;Skull_median_midline 10
218;Skull_median_midline 11
219;Skull_median_midline 12
220;Skull_median_midline 13
221;Skull_median_midline 14
222;Skull_median_midline 15
223;Skull_median_midline 16
224;Skull_median_midline 17
225;Skull_median_midline 18
226;Skull_median_PA-posteriormost-roof
227;50.Occipital-cond-posterior 1
228;3.PA-anteriormost 1
229;4.PA-posteriormost-roof 1
230;28.PM-anterodorsal 1
231;29.PM-Labial-ridge 1
232;5.SO-posteriormost 1
233;76.Ventral_foramen_magnum 1
234;49.Right-basitubera 1
235;44.Right-BO-BS-lateralmost 1
236;40.Right-BS-clinoid 1
237;Skull_right_Cavum_tympani_posteroventral
238;Skull_right_Cavum-tympani-loop 2
239;Skull_right_Cavum-tympani-loop 3
240;Skull_right_Cavum-tympani-loop 4
241;Skull_right_Cavum-tympani-loop 5
242;Skull_right_Cavum-tympani-loop 6
243;Skull_right_Cavum-tympani-loop 7
244;Skull_right_Cavum-tympani-loop 8
245;Skull_right_Cavum-tympani-loop 9
246;Skull_right_Cavum-tympani-loop 10
247;Skull_right_Cavum-tympani-loop 11
248;Skull_right_Cavum-tympani-loop 12
249;Skull_right_Cavum-tympani-loop 13
250;Skull_right_Cavum-tympani-loop 14
251;Skull_right_Cavum_tympani_posterodorsal
252;53.Right-Cavum_tympani_posterodorsal 1
253;54.Right-Cavum_tympani_posteroventral 1
254;Skull_right_MX-lateroventral
255;Skull_right_Cheek-emargination 2
256;Skull_right_Cheek-emargination 3
257;Skull_right_Cheek-emargination 4
258;Skull_right_Cheek-emargination 5
259;Skull_right_Cheek-emargination 6
260;Skull_right_Cheek-emargination 7
261;Skull_right_QU-posteroventral
262;27.Right-EX-Foramen-magnum 1
263;Skull_median_Anteriormost
264;Skull_right_External-nares 2
265;Skull_right_External-nares 3
266;Skull_right_External-nares 4
267;Skull_right_External-nares 5
268;Skull_right_External-nares 6
269;Skull_right_External-nares 7
270;Skull_right_External-nares 8
271;Skull_right_External-nares 9
272;Skull_right_External-nares 10
