"V1" "V2" "V3"
"1" 16.9861793518066 25.8749237060547 60.7744827270508
"2" 19.3793 24.522 56.314
"3" 22.7601 23.9162 52.3288
"4" 26.2942 24.4288 48.3984
"5" 29.4767 24.8941 44.1684
"6" 32.2964 25.571 39.7172
"7" 34.7798 26.3966 35.0983
"8" 37.2691 27.1308 30.4603
"9" 40.1933 27.3444 26.0142
"10" 42.9076 26.882 21.4935
"11" 45.7678 25.9316 17.2772
"12" 48.286 25.1644 13.451
"13" 51.9783 23.8042 9.8895
"14" 55.8249 23.0284 6.6792
"15" 60.3588 24.2068 4.6176
"16" 64.9370727539062 22.3893966674805 3.68857955932617
"17" 27.9644927978516 13.6819305419922 93.8743362426758
"18" 24.5372 12.9521 95.1138
"19" 21.0819 13.7599 96.3187
"20" 17.5816 14.7477 96.5452
"21" 14.1802 13.7616 95.7846
"22" 11.2212 11.9352 96.5116
"23" 10.4269 9.762 99.0015
"24" 13.3734 9.9907 100.8908
"25" 16.6516 11.2524 102.2387
"26" 20.1285 11.131 103.4678
"27" 23.6031 9.7832 103.1265
"28" 27.0538 9.0889 102.2381
"29" 29.4688 9.8186 99.516
"30" 29.7538 11.6469 96.435
"31" 16.9861793518066 25.8749237060547 60.7744827270508
"32" 47.6240386962891 36.6310081481934 60.1906661987305
"33" 40.4193458557129 58.080451965332 39.1181030273438
"34" 40.8929 63.5577 40.1504
"35" 41.5266 68.06 43.3032
"36" 41.202 71.9572 47.3007
"37" 39.9178 74.9203 51.9015
"38" 38.4671 76.3087 57.0991
"39" 37.06 76.772 62.4712
"40" 33.9938 75.996 66.275
"41" 28.747 74.6507 66.9731
"42" 24.1693 71.4908 67.5638
"43" 19.6786 68.206 67.9604
"44" 16.2068 63.7979 68.0987
"45" 14.8939 58.4952 67.9087
"46" 15.5371 53.4268 65.7257
"47" 16.4385 48.3479 63.9816
"48" 18.4032 44.3128 60.6847
"49" 20.9243 40.9847 57.1012
"50" 24.3597 39.5634 52.9582
"51" 28.5961 39.7179 49.3322
"52" 32.5585 41.1841 45.6287
"53" 36.3191 43.2918 42.0564
"54" 39.0746 47.213 39.2047
"55" 40.3625 52.5014 38.4036
"56" 44.3012161254883 33.1062622070312 63.2727508544922
"57" 45.6114 33.5483 58.6481
"58" 46.6558 33.9926 53.9201
"59" 47.8891 34.1833 49.2236
"60" 49.6369 34.4687 44.6155
"61" 51.7873 34.5754 40.1801
"62" 54.4026 34.7144 36.0042
"63" 57.112 34.378 31.9486
"64" 59.5868 32.6788 28.0594
"65" 62.7603721618652 34.1396293640137 24.8984985351562
"66" 44.3012161254883 33.1062622070312 63.2727508544922
"67" 63.9654312133789 72.4102020263672 33.78662109375
"68" 62.7603721618652 34.1396293640137 24.8984985351562
"69" 63.9654312133789 72.4102020263672 33.78662109375
"70" 64.9087 78.0483 37.8974
