"V1" "V2" "V3"
"1" 35.94140625 22.2645988464356 36.6856918334961
"2" 38.0924 22.4109 35.0797
"3" 39.4669 23.1761 32.8632
"4" 40.6627 24.2087 30.6305
"5" 41.6541 25.2535 28.3058
"6" 42.5375 26.0686 25.8861
"7" 43.1384 27.417 23.5875
"8" 43.6642 28.8925 21.3551
"9" 43.9401 30.2331 18.9894
"10" 44.2565 31.5958 16.64
"11" 44.5584 33.0949 14.3726
"12" 45.0458 34.5871 12.1566
"13" 45.6631 36.2801 10.1733
"14" 46.2597 38.3804 8.5463
"15" 46.4902 40.8692 7.5135
"16" 46.5291213989258 43.5486068725586 7.38729476928711
"17" 45.3436470031738 20.3736114501953 75.0108413696289
"18" 44.971 18.1954 75.5517
"19" 44.8016 15.9703 75.5777
"20" 45.0633 13.9402 74.731
"21" 46.045 12.1423 73.8655
"22" 47.1058 10.2111 74.1718
"23" 47.7094 8.501 75.4077
"24" 48.5398 8.5566 77.3024
"25" 48.5917 10.2882 78.7806
"26" 47.8959 12.3764 79.1443
"27" 46.6035 14.2304 79.391
"28" 45.8458 16.3219 79.3218
"29" 46.129 18.3936 78.4916
"30" 46.0959 20.0662 77.1382
"31" 35.94140625 22.2645988464356 36.6856918334961
"32" 35.3232307434082 35.164421081543 37.1692237854004
"33" 19.3436717987061 35.6592025756836 23.3813552856445
"34" 17.9387 36.2202 25.3611
"35" 16.5878 36.458 27.4541
"36" 15.4651 36.0349 29.6507
"37" 14.5487 35.0346 31.7575
"38" 14.0159 33.6226 33.7673
"39" 13.9175 32.0041 35.6759
"40" 14.1809 30.0876 37.2362
"41" 15.0505 27.8852 38.0076
"42" 16.7378 26.0556 37.7636
"43" 18.6384 24.4829 37.2592
"44" 20.557 23.2799 36.2095
"45" 22.5587 22.5651 34.8826
"46" 24.4908 22.3634 33.3307
"47" 26.0066 23.1736 31.5133
"48" 27.3287 24.1568 29.6101
"49" 28.1205 25.3743 27.585
"50" 28.3545 26.7672 25.5193
"51" 27.9889 28.4459 23.7033
"52" 26.8659 30.1602 22.2671
"53" 25.2567 31.802 21.2915
"54" 23.3278 33.4058 21.3973
"55" 21.2706 34.5863 22.1634
"56" 36.218677520752 26.3654155731201 44.6572341918945
"57" 37.9453 29.5338 42.3879
"58" 37.9131 31.9829 38.6423
"59" 37.6266 34.1172 34.6862
"60" 37.5008 36.0224 30.6145
"61" 37.8261 37.2206 26.2891
"62" 38.2276 37.819 21.8474
"63" 38.678 38.6868 17.4616
"64" 39.7691 39.88 13.2822
"65" 41.3881492614746 43.0038223266602 10.5423526763916
"66" 36.218677520752 26.3654155731201 44.6572341918945
"67" 31.7106628417969 43.0203666687012 7.91053771972656
"68" 41.3881492614746 43.0038223266602 10.5423526763916
"69" 31.7106628417969 43.0203666687012 7.91053771972656
