"V1" "V2" "V3"
"1" 42097.1796875 20813.34765625 23894.8359375
"2" 41856.2801 19775.974 22849.1741
"3" 41074.6535 18328.5774 22314.3006
"4" 40169.6033 16935.5402 21832.1953
"5" 39454.8241 15455.5513 21334.1825
"6" 38688.7721 13926.6477 21080.1098
"7" 37861.6879 12421.5021 20905.0269
"8" 36963.9097 10976.846 20619.6571
"9" 36184.1812 9510.677 20157.1361
"10" 35152.7072 8143.2384 19932.6022
"11" 34146.0076 6744.9831 19782.7772
"12" 33116.8359 5374.9828 19774.7276
"13" 31975.0039 4105.1726 19872.5583
"14" 30668.8992 3009.087 20117.4122
"15" 29213.186 2165.5526 20498.1921
"16" 27558.19140625 1672.224609375 20549.205078125
"17" 38168.6484375 34971.26171875 18699.9765625
"18" 39204.9132 34965.752 19172.611
"19" 40113.1022 35468.3303 19672.6569
"20" 41212.8526 35773.6998 19846.2107
"21" 42362.2254 35710.8573 19808.4311
"22" 43497.3332 35855.7043 19942.7594
"23" 43975.0017 36711.5261 19457.7258
"24" 43607.4986 37673.5827 18995.7786
"25" 42740.0952 38034.3413 18958.7919
"26" 41647.147 37978.9216 19224.951
"27" 40662.6005 37782.0497 18952.9545
"28" 39912.7758 37379.6228 18192.1857
"29" 38973.0534 36885.8359 17871.9656
"30" 38375.3311 35970.5966 18148.8146
"31" 42097.1796875 20813.34765625 23894.8359375
"32" 32032.912109375 9778.369140625 22085.58203125
"33" 32124.18359375 5791.1376953125 28787.865234375
"34" 31931.2551 6748.4264 30068.9444
"35" 31764.5587 7738.6928 31312.4637
"36" 31986.5321 9189.256 31965.3834
"37" 32190.9202 10692.5686 32496.4758
"38" 32830.7612 12113.7757 32857.6355
"39" 33697.6847 13397.3798 32437.4259
"40" 34645.7403 14576.02 31938.2431
"41" 35789.701 15430.4582 31205.4589
"42" 36974.0915 16058.0512 30342.2674
"43" 37972.3235 16429.3035 29141.3246
"44" 38817.5439 16902.6724 27915.6985
"45" 39162.699 16214.0706 26543.9227
"46" 38742.0673 15046.9695 25522.5093
"47" 38312.2184 13663.8383 24824.1227
"48" 37821.3527 12284.726 24162.8974
"49" 37181.6263 10882.3341 23701.3417
"50" 36387.0263 9511.1863 23420.0082
"51" 35548.3883 8153.5474 23461.6542
"52" 34478.461 7001.8071 23808.9279
"53" 33468.9801 5996.0253 24518.3941
"54" 32677.0521 5316.7332 25702.7345
"55" 32305.6781 5392.0694 27237.8358
"56" 39193.9140625 20137.6171875 24017.09765625
"57" 37821.6138 18230.6996 23278.6375
"58" 36412.3791 16283.8829 22763.3785
"59" 35052.5099 14222.8584 22577.5499
"60" 33615.8868 12210.202 22367.6133
"61" 32498.7619 10082.7583 22047.8525
"62" 31998.3708 7789.5171 21648.8303
"63" 30939.9262 5692.1206 21852.9262
"64" 29170.4111 4149.7015 22387.2134
"65" 26893.099609375 3475.6171875 23053.6015625
"66" 39193.9140625 20137.6171875 24017.09765625
"67" 26765.95703125 2205.353515625 27592.7109375
"68" 26893.099609375 3475.6171875 23053.6015625
"69" 26765.95703125 2205.353515625 27592.7109375
"70" 26782.642 3543.7866 29350.9946
"71" 26666.4899 5186.1739 30810.0855
"72" 26328.2907 7170.5641 31732.7274
"73" 26024.1366 9259.4073 32408.9229
"74" 25917.3928 11338.6452 33146.8579
"75" 25764.6152 13540.7944 33322.0633
"76" 25640.612 15751.3077 33460.2155
"77" 25520.7383 17955.5641 33666.7221
"78" 25392.4431 20138.8555 34021.573
"79" 25229.8826 22314.2644 34390.2484
"80" 25122.9296 24509.4238 34692.8967
"81" 24885.7927 26702.9868 34697.8145
"82" 24615.6475 28881.2558 35009.4752
"83" 24345.6993 31077.6914 35130.0975
"84" 24154.3517 33271.3375 35402.6419
"85" 24065.9633 35406.4407 35985.7405
"86" 23906.6768 37588.6092 36357.0571
"87" 23881.69140625 39786.27734375 36664.3828125
"88" 23615.029296875 46696.359375 22442.921875
"89" 23881.69140625 39786.27734375 36664.3828125
"90" 27558.19140625 1672.224609375 20549.205078125
"91" 9562.578125 19238.2109375 22726.2890625
"92" 10167.2173 17886.4475 21631.7624
"93" 11308.2048 16308.6742 20959.5101
"94" 12523.0505 14684.9575 20620.4746
"95" 13719.1032 13006.773 20580.9434
"96" 15013.4948 11427.5005 20358.2291
"97" 16323.7949 9867.0189 20051.982
"98" 17643.2431 8361.1894 19573.918
"99" 19069.5943 6900.5358 19316.3819
"100" 20550.2292 5475.082 19337.2632
"101" 22109.1662 4193.6242 19633.7758
"102" 23830.7027 3146.3336 19712.4276
"103" 25659.1999 2362.6463 20146.2588
