"V1" "V2" "V3"
"1" 33.1852264404297 22.3240051269531 22.7312183380127
"2" 33.3678 23.4465 21.3255
"3" 33.0317 24.1873 19.7196
"4" 32.5336 24.6315 18.029
"5" 31.9597 24.9608 16.3364
"6" 31.3163 25.1754 14.6565
"7" 30.6479 25.4422 13.0044
"8" 29.9337 25.8284 11.3765
"9" 29.1329 26.0388 9.7681
"10" 28.4067 26.1139 8.1251
"11" 27.6408 26.0081 6.496
"12" 26.7708 26.0118 4.9087
"13" 25.6473 26.0082 3.5077
"14" 24.3963 26.175 2.3043
"15" 22.7136 26.0817 1.6868
"16" 20.9439182281494 26.2948665618896 1.4247682094574
"17" 33.5225715637207 30.2845039367676 44.5158576965332
"18" 34.3216 29.3435 43.7172
"19" 35.7123 28.8384 43.5139
"20" 36.7863 29.6383 43.1544
"21" 37.5917 30.6014 42.4791
"22" 39.019 30.825 42.3291
"23" 39.9476 31.5121 43.1539
"24" 40.3077 32.1244 44.3811
"25" 39.8278 32.4588 45.7468
"26" 38.6646 32.5485 46.4825
"27" 37.3473 32.0057 46.31
"28" 36.6273 30.7396 46.223
"29" 35.2154 30.6235 46.4705
"30" 33.9501 30.5078 45.9177
"31" 33.1852264404297 22.3240051269531 22.7312183380127
"32" 26.8871173858643 23.6529045104981 18.9932804107666
"33" 26.410982131958 14.0054521560669 12.4759874343872
"34" 25.4012 12.8953 13.0941
"35" 24.7507 12.057 14.2852
"36" 24.4088 11.5481 15.7958
"37" 24.4366 11.1905 17.359
"38" 25.0291 10.9774 18.8563
"39" 26.0079 10.9971 20.1604
"40" 27.1798 11.2102 21.2792
"41" 28.4512 11.5215 22.2486
"42" 29.7437 11.9526 23.1389
"43" 30.9935 12.933 23.4622
"44" 32.1334 14.0387 23.1375
"45" 33.0905 15.2256 22.5475
"46" 33.5699 16.5066 21.681
"47" 33.4599 17.5412 20.4286
"48" 33.1283 18.2849 19.0176
"49" 32.7583 18.8654 17.5356
"50" 32.1148 19.0471 16.063
"51" 31.34 18.8315 14.6426
"52" 30.4807 18.4174 13.3167
"53" 29.4251 17.6652 12.3594
"54" 28.4119 16.486 11.9064
"55" 27.3931 15.2399 12.0462
"56" 32.2731590270996 22.4773616790771 26.3568515777588
"57" 30.3415 24.1353 25.2461
"58" 28.8935 24.3905 22.5718
"59" 28.1096 24.3095 19.6101
"60" 27.3347 24.3355 16.6291
"61" 26.4524 24.4008 13.6801
"62" 25.5783 23.9684 10.7604
"63" 24.4383 23.4861 7.9393
"64" 23.431 23.8229 5.0678
"65" 21.2985343933106 23.8592414855957 3.16515731811523
"66" 32.2731590270996 22.4773616790771 26.3568515777588
"67" 21.0596122741699 17.2096996307373 4.66038703918457
"68" 21.2985343933106 23.8592414855957 3.16515731811523
"69" 21.0596122741699 17.2096996307373 4.66038703918457
"70" 21.0857 16.3163 7.5194
"71" 21.1902 14.2513 9.734
"72" 21.287 12.7149 12.3409
"73" 21.5492 11.3032 14.9857
"74" 21.6889 10.5848 17.9141
"75" 21.7733 10.1543 20.9106
"76" 21.8756 9.9002 23.931
"77" 22.0516 10.0382 26.95
"78" 22.0365 10.1173 29.9794
"79" 22.1335 10.0003 33.0074
"80" 22.3047 10.0214 36.032
"81" 22.162 10.1566 39.0577
"82" 22.3666 10.336 42.0714
"83" 22.4803 10.2212 45.1004
"84" 22.3613 10.0601 48.125
"85" 22.3526 9.9039 51.1519
"86" 22.3812 9.7071 54.1789
"87" 22.3988285064697 9.70040225982666 57.2094955444336
"88" 22.0892772674561 30.3976268768311 62.6195907592773
"89" 22.3988285064697 9.70040225982666 57.2094955444336
"90" 20.9439182281494 26.2948665618896 1.4247682094574
"91" 10.7049236297607 22.1802482604981 23.2146682739258
"92" 10.6096 23.5551 21.7179
"93" 10.9739 24.399 19.901
"94" 11.4174 24.903 17.9709
"95" 12.0328 25.1415 16.037
"96" 12.5232 25.5452 14.0955
"97" 13.152 25.9113 12.1882
"98" 13.9128 26.1045 10.2968
"99" 14.5657 26.1752 8.4126
"100" 15.2606 26.181 6.5133
"101" 16.1963 26.2908 4.7168
"102" 17.2616 26.4171 3.0164
"103" 18.9909 26.1614 1.9996
"104" 20.9439182281494 26.2948665618896 1.4247682094574
"105" 10.7049236297607 22.1802482604981 23.2146682739258
"106" 16.6815452575684 23.4395980834961 20.0453948974609
"107" 17.838981628418 12.8753108978272 13.1825065612793
"108" 18.7591 12.0449 14.3851
"109" 19.1658 11.4307 15.9906
"110" 19.5093 11.0042 17.6644
"111" 18.9218 10.7289 19.3004
"112" 17.9323 10.7712 20.7551
"113" 16.7077 10.8297 22.0268
"114" 15.3367 11.0592 23.1299
"115" 13.9783 11.7295 24.0069
"116" 12.6707 12.891 24.1401
"117" 11.6733 14.2319 23.5664
"118" 10.9432 15.6201 22.7646
"119" 10.8256 17.0079 21.6933
"120" 11.1094 18.2963 20.514
"121" 11.6179 19.1014 19.0253
"122" 11.996 19.7195 17.4103
"123" 12.2132 19.2282 15.7882
"124" 12.619 18.576 14.2014
"125" 13.4512 17.834 12.8591
"126" 14.5159 16.6225 12.1426
"127" 15.6018 15.305 12.0264
"128" 16.6611 13.9769 12.4387
"129" 11.9177846908569 23.1166000366211 26.4821529388428
"130" 14.0312 24.2414 25.2302
"131" 15.2387 24.2545 22.4661
"132" 15.8983 24.1665 19.5335
"133" 16.352 24.3355 16.5615
"134" 16.8802 24.3523 13.6019
"135" 17.7513 23.7199 10.7793
"136" 18.4394 23.4307 7.8586
"137" 19.1936 23.8717 4.9931
"138" 21.2985343933106 23.8592414855957 3.16515731811523
"139" 11.9177846908569 23.1166000366211 26.4821529388428
"140" 34.3464088439941 30.1623020172119 44.3814926147461
"141" 34.5480079650879 30.4350528717041 45.0347747802734
"142" 34.8315582275391 30.692720413208 45.4379272460938
"143" 35.2298240661621 30.8028011322021 45.8172988891602
"144" 36.0069541931152 31.3220672607422 45.4896011352539
"145" 34.8965682983398 30.4493656158447 43.8036956787109
"146" 35.0662727355957 30.7897891998291 44.3979911804199
"147" 35.2899436950684 31.0953273773193 44.7783241271973
"148" 35.6794738769531 31.1905765533447 45.3465003967285
"149" 36.2504997253418 31.5314998626709 45.3959999084473
"150" 35.3011703491211 30.2313976287842 43.7112007141113
"151" 35.4202346801758 30.9596290588379 44.022876739502
"152" 35.5944633483887 31.3876781463623 44.6315612792969
"153" 36.142650604248 31.619930267334 45.1495780944824
"154" 36.564323425293 31.3450736999512 45.7252159118652
"155" 35.7601776123047 30.0840663909912 43.6163749694824
"156" 35.9517478942871 30.8571014404297 43.8064575195312
"157" 36.1037826538086 31.4732856750488 44.3086471557617
"158" 36.2709083557129 31.797306060791 45.0598030090332
"159" 36.8467864990234 31.9557151794434 45.4770088195801
"160" 36.1101722717285 30.2568836212158 43.6178131103516
"161" 36.2766380310059 31.0062980651855 43.8049964904785
"162" 36.5095863342285 31.7687149047852 44.3338623046875
"163" 36.7905349731445 32.127815246582 44.4599990844727
"164" 37.2680282592773 32.4559593200684 45.3824729919434
"165" 36.3951454162598 30.6917457580566 43.6176490783691
"166" 36.7275466918945 31.4157524108887 43.8047981262207
"167" 37.0635948181152 32.0506172180176 44.3482551574707
"168" 37.4923973083496 32.5145530700684 44.9301643371582
"169" 37.9346809387207 32.7468795776367 45.4482460021973
"170" 36.920482635498 31.1226558685303 43.2910308837891
"171" 37.1493110656738 31.977087020874 43.8012580871582
"172" 37.8035125732422 32.448299407959 44.4412384033203
"173" 38.4662666320801 32.8892631530762 45.3956985473633
"174" 37.4920883178711 31.4970760345459 43.0072860717773
"175" 37.7147941589355 32.0353584289551 43.4304008483887
"176" 38.0682907104492 32.4710426330566 43.9323844909668
"177" 38.6314277648926 32.9286422729492 44.8652992248535
"178" 38.1675033569336 31.544734954834 42.5469589233398
"179" 38.3326263427734 32.2526512145996 43.1891326904297
"180" 38.7419166564941 32.676643371582 43.9181938171387
"181" 39.2409934997559 32.7737884521484 44.8064918518066
"182" 38.8572311401367 31.6270771026611 42.6815986633301
"183" 38.9996032714844 32.4042053222656 43.0977249145508
"184" 39.3126640319824 32.3851051330566 43.8169860839844
"185" 39.6788063049316 32.6042938232422 44.7549362182617
"186" 39.6254959106445 31.9077377319336 43.0344161987305
"187" 39.7899055480957 32.2588920593262 43.6196975708008
"188" 40.124698638916 32.3723754882812 44.3153419494629
"189" 32.4631004333496 20.8325996398926 22.3700008392334
"190" 32.4115562438965 20.6084785461426 22.4610290527344
"191" 33.3750152587891 20.9819889068604 22.5801219940186
"192" 33.1523017883301 20.8336410522461 23.0832767486572
"193" 32.7017021179199 21.5925903320312 23.8293056488037
"194" 32.5461959838867 22.4638900756836 24.543981552124
"195" 32.1767311096191 22.9406929016113 25.3406448364258
"196" 32.2728157043457 22.7323780059814 21.303352355957
"197" 32.343147277832 20.6340179443359 21.9959888458252
"198" 33.4288139343262 21.3059692382812 21.8542652130127
"199" 33.2038040161133 21.7468490600586 22.3478813171387
"200" 32.3513221740723 22.8352069854736 23.2102546691895
"201" 31.6043357849121 23.5429401397705 23.9538097381592
"202" 31.9630908966064 22.9946479797363 20.5901336669922
"203" 31.5688667297363 21.9838695526123 20.8724021911621
"204" 32.2572135925293 21.4885063171387 20.5915336608887
"205" 32.6974983215332 21.6095008850098 20.8749008178711
"206" 32.1875152587891 23.1523399353027 22.1051788330078
"207" 31.3212966918945 23.7495765686035 22.9092826843262
"208" 30.4826488494873 24.1634635925293 23.5773868560791
"209" 31.4249992370605 23.1273002624512 19.3749008178711
"210" 31.6577758789062 21.8359184265137 19.7484340667725
"211" 32.4505157470703 21.5914154052734 20.309211730957
"212" 32.0741195678711 22.6057682037354 20.4788856506348
"213" 31.5865783691406 23.5939960479736 21.4830455780029
"214" 30.3565483093262 24.1531772613525 22.6122798919678
