"V1" "V2" "V3"
"1" 53.061164855957 28.301176071167 6.11543369293213
"2" 51.8195 26.6872 4.6762
"3" 50.1829 24.8188 4.583
"4" 48.6014 23.3191 3.7011
"5" 47.1591 21.387 3.2459
"6" 45.5166 19.4977 3.145
"7" 43.9871 17.5334 2.9092
"8" 42.5358 15.5568 2.6386
"9" 40.8778 13.6638 2.5557
"10" 39.281 11.788 2.8888
"11" 37.7736 9.7995 2.9985
"12" 36.088 7.9426 3.2246
"13" 34.5407 6.0194 3.5434
"14" 32.8721 4.2486 4.1453
"15" 30.6486 3.2378 4.5872
"16" 28.17746925354 3.14692568778992 4.96855926513672
"17" 48.9605903625488 49.364990234375 3.83029937744141
"18" 50.6252 48.9236 3.8605
"19" 52.3813 48.9271 4.1713
"20" 54.0172 48.8123 3.6417
"21" 55.3425 48.6702 2.4523
"22" 56.7183 48.5338 1.4765
"23" 57.5088 49.6189 0.3759
"24" 57.6609 51.1982 0.1725
"25" 56.5315 52.0756 0.9005
"26" 55.1995 52.0035 2.1001
"27" 54.0634 52.5722 3.3508
"28" 52.3674 52.5056 3.6877
"29" 50.7399 52.0207 3.1261
"30" 49.4457 50.898 3.1464
"31" 53.061164855957 28.301176071167 6.11543369293213
"32" 35.2582015991211 19.3178215026856 9.86886882781982
"33" 40.3139114379883 14.2560615539551 16.6620864868164
"34" 39.5148 13.6285 18.1906
"35" 38.8528 13.8548 19.8194
"36" 38.5949 15.0749 21.1704
"37" 38.7912 16.7148 21.9531
"38" 39.2884 18.3516 22.5691
"39" 40.2399 19.8464 22.8298
"40" 41.5551 21.0923 22.9846
"41" 42.6534 22.5063 22.6073
"42" 43.6498 23.7026 21.6275
"43" 45.0253 24.5447 20.9061
"44" 46.7741 24.9485 20.5664
"45" 47.9613 25.5366 19.4126
"46" 49.2879 24.9193 18.3325
"47" 50.0408 23.7041 17.5245
"48" 49.6284 23.4596 15.8759
"49" 48.8252 22.5599 14.7462
"50" 48.2531 20.9284 14.604
"51" 47.1075 19.5482 14.4543
"52" 45.7883 18.279 14.4839
"53" 44.3453 17.15 14.6296
"54" 42.9376 15.9948 14.8244
"55" 41.566 15.106 15.6162
"56" 43.8666763305664 28.980770111084 11.5645923614502
"57" 41.3277 27.1422 11.5444
"58" 38.9338 25.0298 11.4184
"59" 37.066 22.5484 10.8969
"60" 35.6047 19.847 9.9807
"61" 34.1949 17.2173 8.8001
"62" 33.2601 14.3395 7.7648
"63" 32.4068 11.3057 7.2659
"64" 31.1794 8.3695 7.5738
"65" 28.66650390625 6.84034252166748 8.28527069091797
"66" 43.8666763305664 28.980770111084 11.5645923614502
"67" 29.5328884124756 5.93320083618164 14.5949172973633
"68" 28.66650390625 6.84034252166748 8.28527069091797
"69" 29.5328884124756 5.93320083618164 14.5949172973633
"70" 29.9293 7.7916 17.2732
"71" 30.3583 9.9382 19.6998
"72" 30.8049 12.5347 21.6548
"73" 31.0712 15.3511 23.3035
"74" 31.5773 18.4047 24.3932
"75" 32.125 21.44 25.5177
"76" 32.6456 24.5254 26.4859
"77" 32.8726 27.6457 27.4781
"78" 33.0519 30.703 28.6659
"79" 33.5979 33.7676 29.6951
"80" 33.8629 36.852 30.7635
"81" 34.2953 40.0183 31.4933
"82" 34.5425 43.2103 32.184
"83" 34.7261 46.4232 32.8355
"84" 35.1449 49.6574 33.2019
"85" 35.2716 52.909 33.366
"86" 35.4866 56.1758 33.348
"87" 35.4732551574707 59.4353904724121 33.080738067627
"88" 33.4688034057617 62.3113250732422 15.8951950073242
"89" 35.4732551574707 59.4353904724121 33.080738067627
"90" 28.17746925354 3.14692568778992 4.96855926513672
"91" 7.56918907165527 29.2047805786133 10.2704429626465
"92" 9.0117 27.9072 8.5269
"93" 10.1624 25.8374 7.1257
"94" 10.8754 23.4649 5.9143
"95" 12.4477 21.2624 5.3836
"96" 13.9803 18.9966 4.9988
"97" 15.3402 16.5992 4.6305
"98" 16.7759 14.2568 4.206
"99" 18.4105 12.008 4.2424
"100" 19.8662 9.655 4.1473
"101" 21.5756 7.5064 4.3722
"102" 23.2211 5.3171 4.7964
"103" 25.4825 3.7686 4.9496
"104" 28.17746925354 3.14692568778992 4.96855926513672
"105" 7.56918907165527 29.2047805786133 10.2704429626465
"106" 24.2517700195312 21.2017097473144 10.5256662368774
"107" 20.6759796142578 15.7279415130615 17.9876403808594
"108" 21.9176 15.462 19.3373
"109" 23.1134 15.8382 20.7392
"110" 23.7865 16.9584 22.0862
"111" 24.0317 18.538 23.0922
