"V1" "V2" "V3"
"1" 3552.01611328125 3254.98486328125 1160.84765625
"2" 3431.8324 3088.5777 1093.639
"3" 3350.5191 2881.7239 1090.3726
"4" 3278.9087 2670.8941 1093.6529
"5" 3187.1685 2468.3078 1095.6003
"6" 3109.5691 2261.4137 1111.9957
"7" 3033.1951 2053.8519 1118.8913
"8" 2948.2796 1850.8711 1143.6142
"9" 2877.6561 1646.5482 1189.5595
"10" 2794.1389 1448.8657 1247.3111
"11" 2703.7023 1252.8422 1300.9965
"12" 2618.5926 1061.788 1376.2599
"13" 2528.1822 859.3405 1371.7217
"14" 2431.8203 680.1285 1449.5025
"15" 2308.2084 517.1374 1529.7344
"16" 2143.65747070312 391.633972167969 1581.65234375
"17" 2986.98828125 5025.0576171875 1058.28161621094
"18" 3083.6472 4949.7268 1058.5318
"19" 3199.5458 4954.7802 1016.3325
"20" 3308.2724 4972.3101 953.6876
"21" 3407.1131 4958.9247 874.7853
"22" 3522.1102 4970.8018 824.3112
"23" 3609.8958 5044.1044 796.5411
"24" 3578.755 5155.0685 757.1042
"25" 3473.7759 5215.1777 737.5332
"26" 3356.1869 5190.1027 763.3559
"27" 3265.2039 5190.2955 844.4564
"28" 3151.5484 5219.9238 894.2149
"29" 3033.3381 5211.3395 935.9683
"30" 2972.0457 5145.1046 1016.842
"31" 3552.01611328125 3254.98486328125 1160.84765625
"32" 2479.96166992188 2202.86181640625 1662.09948730469
"33" 3233.31176757812 1528.97058105469 2768.16552734375
"34" 3320.7296 1592.0397 3033.7739
"35" 3412.9384 1754.1316 3255.4828
"36" 3489.4705 1959.9071 3444.3023
"37" 3575.2518 2200.1084 3579.3155
"38" 3681.3481 2459.2409 3630.8732
"39" 3884.6563 2658.6301 3591.1321
"40" 4078.2505 2844.7948 3487.9309
"41" 4196.7796 3094.9525 3420.8499
"42" 4294.7331 3298.9844 3257.1976
"43" 4272.6755 3385.2538 2983.9959
"44" 4251.5122 3442.1038 2703.4982
"45" 4186.0067 3392.905 2424.5556
"46" 4093.3888 3273.8916 2175.8748
"47" 3971.5799 3133.363 1951.8522
"48" 3832.5763 2936.5971 1790.6587
"49" 3671.7236 2728.5758 1665.9541
"50" 3478.5517 2513.5339 1634.0339
"51" 3341.0002 2260.0853 1662.6109
"52" 3225.6864 2029.7398 1792.4166
"53" 3150.3306 1814.4068 1972.0014
"54" 3141.705 1655.6256 2213.2162
"55" 3174.8173 1558.7014 2485.82
"56" 2755.01342773438 3213.1650390625 1663.60424804688
"57" 2702.6626 3107.0393 1666.6505
"58" 2642.4077 3006.8348 1680.5021
"59" 2581.7658 2908.422 1706.0699
"60" 2523.168 2808.4161 1728.251
"61" 2466.4884 2706.3877 1741.3818
"62" 2390.3309 2619.7154 1764.5372
"63" 2300.5575 2547.8643 1790.0639
"64" 2207.615 2490.3862 1831.3541
"65" 2104.8662109375 2451.08276367188 1873.462890625
"66" 2755.01342773438 3213.1650390625 1663.60424804688
"67" 2404.05590820312 848.632080078125 2834.50537109375
"68" 2104.8662109375 2451.08276367188 1873.462890625
"69" 2404.05590820312 848.632080078125 2834.50537109375
"70" 2452.9952 996.8572 3058.3256
"71" 2490.3645 1195.3364 3248.9775
"72" 2521.1748 1404.8871 3428.2783
"73" 2572.6842 1633.9659 3575.5505
"74" 2576.7969 1889.6227 3683.113
"75" 2633.2415 2127.8906 3813.911
"76" 2670.8945 2375.6864 3932.0734
"77" 2683.2084 2624.3113 4049.6956
"78" 2705.6887 2884.6957 4136.288
"79" 2712.8915 3158.2831 4172.8967
"80" 2703.1609 3430.866 4222.0206
"81" 2689.1548 3699.1783 4290.7532
"82" 2715.4341 3968.8307 4337.8836
"83" 2698.9261 4241.6559 4375.9747
"84" 2692.3334 4515.8573 4409.2285
"85" 2693.9245 4792.454 4429.2093
"86" 2691.4137 5067.5177 4462.4088
"87" 2701.97973632812 5344.79052734375 4477.59375
"88" 2120.21264648438 5786.00146484375 2434.89428710938
"89" 2701.97973632812 5344.79052734375 4477.59375
"90" 2143.65747070312 391.633972167969 1581.65234375
"91" 478.480743408203 3039.89501953125 1952.6552734375
"92" 555.4015 2826.8069 1846.4484
"93" 662.5001 2610.5465 1786.4699
"94" 763.8037 2387.1753 1738.4149
"95" 887.2908 2174.9323 1691.656
"96" 1005.0095 1961.5036 1641.22
"97" 1125.3568 1741.3732 1639.2073
"98" 1256.1452 1527.3484 1643.1218
"99" 1396.6971 1323.3015 1671.6845
"100" 1521.1907 1105.6491 1677.3186
"101" 1652.8251 893.7322 1682.7276
"102" 1791.9278 687.7641 1706.5992
"103" 1950.0987 509.5478 1682.2368
"104" 2143.65747070312 391.633972167969 1581.65234375
"105" 478.480743408203 3039.89501953125 1952.6552734375
"106" 1721.52075195312 2170.7216796875 1870.16540527344
"107" 1602.72216796875 1415.85925292969 3163.50830078125
"108" 1669.8228 1474.0894 3464.9042
"109" 1686.0826 1651.4026 3725.7787
"110" 1700.7142 1873.7499 3946.338
"111" 1685.5801 2154.2257 4094.1641
"112" 1677.7367 2441.3393 4224.5756
"113" 1499.1135 2693.1338 4298.6482
"114" 1374.0665 2979.8783 4332.536
"115" 1170.4715 3213.0102 4300.2196
"116" 916.5475 3320.404 4194.4019
"117" 746.1862 3268.3223 3938.3485
"118" 609.6954 3282.8177 3654.8162
"119" 529.6631 3199.9084 3361.364
"120" 478.1683 3077.2287 3073.3653
"121" 471.455 2907.0881 2810.329
"122" 526.4625 2701.4172 2575.4884
"123" 683.0584 2481.9203 2414.1654
"124" 858.5141 2253.5569 2289.5192
"125" 1054.0389 2005.27 2302.6702
"126" 1253.8214 1793.1648 2408.1273
"127" 1415.8505 1604.3654 2601.9437
"128" 1505.5988 1458.8047 2866.5742
"129" 1417.07141113281 3177.4716796875 2028.94995117188
"130" 1462.168 3070.1791 2010.8378
"131" 1526.4987 2973.4062 1995.6356
"132" 1588.1467 2874.9149 1977.9061
"133" 1647.2152 2774.0267 1962.915
"134" 1713.5934 2678.6017 1945.1228
"135" 1801.9372 2601.8998 1935.6735
"136" 1891.8996 2534.2251 1904.2024
"137" 1994.099 2483.9044 1887.4195
"138" 2104.8662109375 2451.08276367188 1873.462890625
"139" 1417.07141113281 3177.4716796875 2028.94995117188
"140" 3040.822265625 5039.26708984375 1023.94592285156
"141" 3036.93823242188 5095.74560546875 999.445373535156
"142" 3041.16748046875 5134.53369140625 976.83544921875
"143" 3052.90283203125 5167.4228515625 955.088745117188
"144" 3077.447265625 5204.46337890625 923.841003417969
"145" 3084.13061523438 5017.70947265625 1012.89453125
"146" 3086.60766601562 5073.29345703125 988.119750976562
"147" 3094.55883789062 5116.80615234375 965.317749023438
"148" 3103.19506835938 5147.86767578125 946.578735351562
"149" 3134.94140625 5187.9697265625 919.498291015625
"150" 3135.84204101562 5017.767578125 1000.78228759766
"151" 3146.25659179688 5070.18408203125 974.25244140625
"152" 3145.388671875 5112.244140625 954.81298828125
"153" 3166.71337890625 5157.45849609375 923.218383789062
"154" 3186.767578125 5177.8466796875 904.294799804688
"155" 3179.111328125 5015.7958984375 990.382751464844
