"V1" "V2" "V3"
"1" 74709.03125 30607.30859375 17437.78125
"2" 72937.233 28247.4085 17015.2964
"3" 71119.7088 25906.1914 16645.7716
"4" 69235.3094 23574.2195 16567.3742
"5" 67297.0584 21297.0563 16425.7529
"6" 65146.3353 19205.9618 16493.6674
"7" 62879.1753 17253.5727 16407.182
"8" 60918.1084 15049.1702 16810.4406
"9" 59212.3439 12781.6214 17731.2238
"10" 57293.0348 10568.7949 18378.594
"11" 55525.7945 8240.0756 19031.4766
"12" 54004.9967 6202.9349 20583.47
"13" 52416.7807 4117.2519 21742.1909
"14" 49924.7564 2882.0702 22410.1014
"15" 47141.8916 2307.9236 23130.8715
"16" 44375.4296875 2749.677734375 24205.3203125
"17" 62084.984375 61178.00390625 8342.490234375
"18" 63983.5468 61364.7217 9672.5612
"19" 66082.2437 62086.7485 10442.3763
"20" 68269.6383 61503.5882 10137.8621
"21" 70210.2816 60384.5429 9433.3814
"22" 71857.3366 59961.8168 7839.6927
"23" 72778.3297 61147.9626 6136.8014
"24" 72679.3231 62935.4251 4592.0068
"25" 71502.3422 64824.1302 4143.3967
"26" 69570.5555 65723.4865 5137.0351
"27" 67460.711 66008.4222 6102.7999
"28" 65205.7232 65490.9653 6152.0691
"29" 63187.9795 64357.6845 5745.0686
"30" 61924.6272 62704.3643 6591.1857
"31" 74709.03125 30607.30859375 17437.78125
"32" 47026.4765625 26224.140625 26064.724609375
"33" 52959.5234375 16823.107421875 42264.6484375
"34" 53314.3669 18180.5719 45096.2153
"35" 54263.8483 20215.0926 47343.5684
"36" 55879.6922 22647.9896 48597.6768
"37" 56977.2048 25555.1558 49283.2421
"38" 57986.0614 28518.2871 49872.5586
"39" 59182.7063 31416.8185 49993.3685
"40" 60382.286 34145.416 49091.2717
"41" 62071.6082 36471.775 47704.9169
"42" 63599.1457 38856.6343 46237.2537
"43" 66455.3518 39316.6871 45442.4968
"44" 67751.5219 38113.0405 43444.2128
"45" 68519.0833 35391.726 41963.02
"46" 69286.6447 32670.4115 40481.8273
"47" 69864.1898 30094.2746 38815.6432
"48" 69678.7316 28384.7383 36139.367
"49" 68511.8625 26432.763 34454.0093
"50" 66430.9708 24148.2303 33654.3623
"51" 63798.1435 22408.5 33535.7419
"52" 61115.7316 20784.8169 34077.8653
"53" 58567.1916 19471.4225 35455.3864
"54" 56440.4766 17795.0971 37085.4484
"55" 54541.2686 17207.828 39518.9778
"56" 59086.07421875 44022.05859375 25003.53515625
"57" 55853.3902 40882.9778 25070.059
"58" 52941.3646 37476.1954 24890.8563
"59" 50171.7285 33994.1915 25211.5903
"60" 48402.8198 29994.498 26077.5719
"61" 47130.0588 25812.6347 26035.7028
"62" 47228.362 21614.5801 25858.6063
"63" 46013.4104 17903.4736 27355.4142
"64" 45518.7312 13466.4125 27913.9943
"65" 44952.9140625 9280.798828125 26609.078125
"66" 59086.07421875 44022.05859375 25003.53515625
"67" 43371.921875 8550.4375 41148.3984375
"68" 44952.9140625 9280.798828125 26609.078125
"69" 43371.921875 8550.4375 41148.3984375
"70" 43222.1328 11615.4926 43813.5749
"71" 42580.5823 15007.4767 46080.7436
"72" 42887.1705 18450.4962 48303.9681
"73" 42840.8161 22097.6335 50260.5321
"74" 43080.0415 26055.2887 51383.9779
"75" 42783.1832 30070.6944 52203.0179
"76" 42329.0522 34147.3499 52775.3363
"77" 42189.8464 38263.4844 53221.178
"78" 41877.6601 42378.218 53540.5703
"79" 41860.1554 46501.641 53555.0968
"80" 41848.022 50635.8719 53757.7508
"81" 41893.2856 54755.0591 54061.7982
"82" 41835.3894 58881.4227 54311.0176
"83" 42118.6331 63009.8011 54515.5791
"84" 42349.2727 67142.8439 54682.1296
"85" 42527.3386 71261.8678 54718.0161
"86" 42542.371 75385.903 54534.8099
"87" 42529.0703125 79473 53895.0703125
"88" 42435.0625 82193.15625 22246.287109375
"89" 42529.0703125 79473 53895.0703125
"90" 44375.4296875 2749.677734375 24205.3203125
