"V1" "V2" "V3"
"1" 13.5000801086426 21.5258712768555 38.0968780517578
"2" 14.4573 19.4069 36.4601
"3" 15.4145 17.288 34.8234
"4" 16.7894 15.4666 33.1396
"5" 18.3293 14.2062 31.1266
"6" 20.0431 13.3137 29.0406
"7" 21.7933 12.9849 26.8254
"8" 23.5505 12.7805 24.6048
"9" 25.3616 13.0944 22.4612
"10" 27.3271 13.3087 20.43
"11" 29.081 13.5541 18.206
"12" 31.197 13.3867 16.3226
"13" 33.1327 13.9738 14.3448
"14" 35.5095 13.2871 13.1684
"15" 37.9147 13.438 12.0111
"16" 40.0890617370605 14.9658546447754 11.0825023651123
"17" 16.0025253295898 9.21786022186279 74.3901443481445
"18" 15.2799 10.1897 72.854
"19" 13.9049 10.9937 72.0876
"20" 12.1335 11.8077 72.1009
"21" 10.3757 12.3421 72.2885
"22" 8.5717 11.7831 71.8058
"23" 6.8354 11.0215 71.3317
"24" 5.8765 9.7914 72.1588
"25" 6.7636 8.9288 73.6443
"26" 8.2511 9.2845 74.7875
"27" 9.853 10.0146 75.5766
"28" 11.5247 9.8259 76.399
"29" 13.2402 9.2369 76.7699
"30" 14.7977 9.0378 75.9206
"31" 13.5000801086426 21.5258712768555 38.0968780517578
"32" 33.3510513305664 18.925313949585 44.1913528442383
"33" 24.1543521881104 38.6584625244141 29.1655254364014
"34" 23.0111 38.8255 31.7625
"35" 21.6098 38.6852 34.2336
"36" 19.9388 38.0574 36.3787
"37" 18.0133 36.4716 37.6927
"38" 16.7599 34.0535 37.4128
"39" 15.8822 31.5283 36.6123
"40" 15.8437 29.1425 35.08
"41" 16.4469 27.0839 33.2525
"42" 17.5927 25.5528 31.1658
"43" 19.2032 24.307 29.1743
"44" 20.8374 23.3049 27.0719
"45" 22.3832 22.98 24.7207
"46" 24.0264 23.4545 22.4545
"47" 25.4396 24.624 20.2931
"48" 26.5518 26.5199 18.5291
"49" 27.376 28.8458 17.1161
"50" 27.9429 31.4992 16.4477
"51" 28.0948 34.1387 17.1211
"52" 27.801 36.2025 18.9967
"53" 27.1388 37.3138 21.5033
"54" 26.6813 38.2759 24.1276
"55" 25.6495 38.5734 26.7429
"56" 26.0712909698486 18.9661712646484 49.181755065918
"57" 28.3118 18.522 48.4297
"58" 30.3766 18.594 47.1309
"59" 31.9777 18.5425 45.3547
"60" 33.2311 18.3129 43.261
"61" 34.3427 18.3893 41.0796
"62" 35.7203 18.6054 39.0695
"63" 37.4224 18.5161 37.3259
"64" 38.9986 18.2346 35.5653
"65" 39.8149719238281 17.7567710876465 33.3042755126953
"66" 26.0712909698486 18.9661712646484 49.181755065918
"67" 41.0911827087402 40.6988639831543 7.65122604370117
"68" 39.8149719238281 17.7567710876465 33.3042755126953
"69" 41.0911827087402 40.6988639831543 7.65122604370117
"70" 42.2346 41.9416 12.0118
"71" 42.0889 41.3336 16.9609
"72" 41.5079 41.1365 21.9163
"73" 41.2204 41.4508 26.8652
"74" 41.0787 42.558 31.7185
"75" 41.3521 43.9968 36.4832
"76" 41.155 45.1975 41.3185
"77" 41.0739 46.272 46.1688
"78" 40.6466 47.2542 51.0368
"79" 40.4124 48.1764 55.9292
"80" 40.1461 48.9492 60.8399
"81" 39.7869 49.5082 65.7822
"82" 39.6693 49.8126 70.7625
"83" 39.4657 49.877 75.7492
"84" 39.1232 49.5055 80.7128
"85" 38.9034 49.0008 85.6731
"86" 38.8 48.324 90.6182
"87" 38.9821319580078 47.8621215820312 95.5718765258789
"88" 38.2843551635742 16.0289268493652 92.9022827148438
"89" 38.9821319580078 47.8621215820312 95.5718765258789
"90" 40.0890617370605 14.9658546447754 11.0825023651123
"91" 66.3839874267578 18.8128871917725 39.7824401855469
"92" 65.021 16.3918 37.9322
"93" 63.598 14.2225 35.8933
"94" 61.9221 12.6553 33.4748
"95" 60.1489 11.6346 30.911
"96" 58.1527 11.1891 28.2801
"97" 56.1515 11.0332 25.6205
"98" 54.1889 11.4255 22.952
"99" 52.2608 11.9267 20.2769
"100" 50.1073 12.6547 17.8576
"101" 47.9736 12.7659 15.3034
"102" 45.5551 13.0763 13.0332
"103" 42.7077 13.19 12.0542
"104" 40.0890617370605 14.9658546447754 11.0825023651123
"105" 66.3839874267578 18.8128871917725 39.7824401855469
"106" 46.3003120422363 18.1299629211426 44.9465713500977
"107" 57.080322265625 37.6485061645508 28.3591842651367
"108" 58.455 37.6958 31.0632
"109" 59.6988 37.5381 33.8121
"110" 61.1495 36.9031 36.3963
"111" 62.7989 35.4095 38.3314
"112" 64.3349 33.0285 38.9235
"113" 65.0007 30.1769 38.1039
"114" 65.2012 27.4528 36.8844
"115" 64.5034 25.3836 34.8373
"116" 63.5085 23.2279 32.9993
"117" 61.8838 21.9692 30.7582
"118" 60.353 20.8521 28.3986
"119" 58.6379 20.5519 25.9355
"120" 56.9151 21.0998 23.5047
"121" 55.4626 22.3906 21.1821
"122" 54.5663 24.4821 19.2503
"123" 54.0512 27.1311 17.9174
"124" 53.9126 30.1315 17.5286
"125" 54.0131 33.088 17.8244
"126" 54.6622 34.872 20.1589
"127" 55.075 36.3233 22.7877
"128" 55.9756 37.0857 25.5826
"129" 51.8795547485352 17.7075424194336 50.380012512207
"130" 50.08 17.918 48.8295
"131" 48.2327 18.067 47.3586
"132" 46.7937 18.2749 45.5244
"133" 45.7101 17.7715 43.4488
"134" 44.9909 18.1075 41.2242
"135" 43.5509 18.23 39.3382
"136" 42.1261 18.3556 37.4234
"137" 40.7696 18.0361 35.4829
"138" 39.8149719238281 17.7567710876465 33.3042755126953
