"V1" "V2" "V3"
"1" 94.3755264282227 73.0395660400391 22.8693237304688
"2" 93.9112 68.1694 25.6682
"3" 93.5418 63.561 28.9281
"4" 92.7838 59.0181 32.2093
"5" 92.1854 54.3272 35.2641
"6" 91.4705 49.2372 37.6208
"7" 90.6534 44.1274 39.8997
"8" 89.8569 39.1586 42.4521
"9" 89.1456 34.2289 45.12
"10" 88.5473 29.4079 48.0102
"11" 88.833 24.9575 51.4693
"12" 88.3218 20.8541 55.2904
"13" 85.6395 17.0334 58.0533
"14" 81.4996 13.5701 59.4978
"15" 77.1466 10.9609 61.0427
"16" 73.671012878418 10.5532875061035 65.487548828125
"17" 80.5895462036133 144.570266723633 20.9434089660644
"18" 84.5382 141.3529 18.7929
"19" 88.9686 140.2286 15.7162
"20" 93.7375 140.2026 12.9352
"21" 96.7916 139.7621 8.3648
"22" 101.1993 139.594 5.163
"23" 104.3871 142.5492 2.9575
"24" 103.3916 147.7583 1.9619
"25" 99.2096 151.2057 1.8596
"26" 94.1225 151.6836 3.3469
"27" 90.3672 151.3349 7.2623
"28" 86.1544 152.0222 10.7794
"29" 82.2244 152.0909 14.5718
"30" 79.4753 149.3228 18.4434
"31" 94.3755264282227 73.0395660400391 22.8693237304688
"32" 94.7581024169922 67.5001983642578 47.9677047729492
"33" 138.19841003418 70.3480911254883 83.3861618041992
"34" 142.445 73.1619 77.5661
"35" 146.0818 76.4829 71.5938
"36" 149.2284 81.7882 66.9459
"37" 149.5703 87.1402 61.7978
"38" 146.5932 89.7743 55.5828
"39" 142.2157 89.235 49.3216
"40" 136.9977 86.8584 44.1696
"41" 131.2663 83.9069 39.8398
"42" 125.213 79.9284 37.1187
"43" 119.1905 75.349 36.4511
"44" 113.4758 70.5881 38.6122
"45" 109.3053 64.9661 41.7908
"46" 106.4807 59.0323 45.8393
"47" 105.622 53.4664 51.1133
"48" 106.0261 48.4445 56.9966
"49" 107.8546 43.7948 62.7988
"50" 111.5006 42.6725 69.1468
"51" 116.2496 43.738 75.0699
"52" 120.726 47.1396 80.4341
"53" 125.8712 51.438 84.2123
"54" 130.3894 57.4386 85.6432
"55" 134.1295 64.1467 85.7036
"56" 84.499870300293 87.0183563232422 55.536376953125
"57" 83.5763 84.1543 55.6502
"58" 82.6042 81.3948 56.2129
"59" 81.6167 79.0296 57.7192
"60" 80.7987 76.3885 58.8887
"61" 80.267 73.9141 60.5149
"62" 79.4598 71.6349 62.2864
"63" 78.6483 69.4261 64.1594
"64" 77.3024 67.4517 65.8619
"65" 75.313362121582 66.7030410766602 67.9953918457031
"66" 84.499870300293 87.0183563232422 55.536376953125
"67" 101.64266204834 34.7314605712891 100.135765075684
"68" 75.313362121582 66.7030410766602 67.9953918457031
"69" 101.64266204834 34.7314605712891 100.135765075684
"70" 106.2641 40.4651 104.2557
"71" 109.468 47.9501 106.7518
"72" 112.0241 55.5856 109.6733
"73" 113.9119 63.4684 112.4577
"74" 115.9708 71.3264 115.1712
"75" 117.5963 79.4161 117.4883
"76" 118.8961 87.5306 119.9137
"77" 120.1707 95.6791 122.2363
"78" 122.1212 103.9315 123.4198
"79" 123.1885 112.3789 124.3471
"80" 123.102 120.9429 124.701
"81" 123.5413 129.4955 125.0958
"82" 123.5067 138.0691 125.2021
"83" 123.4147 146.6319 125.222
"84" 122.3174 155.0033 123.727
"85" 121.2201 163.3748 122.2321
"86" 120.1229 171.7462 120.7372
"87" 119.025596618652 180.117660522461 119.242212931315
"88" 72.3842010498047 154.474243164062 66.3867263793945
"89" 119.025596618652 180.117660522461 119.242212931315
"90" 73.671012878418 10.5532875061035 65.487548828125
"91" 27.8389434814453 73.3620300292969 81.8519287109375
"92" 31.7351 68.3015 80.871
"93" 35.3018 62.8863 80.8043
"94" 39.1955 57.7405 80.6706
"95" 42.0004 51.9145 80.0853
"96" 44.6872 46.0103 79.7378
"97" 47.4338 40.1668 79.1586
"98" 50.5651 34.5163 78.4758
"99" 53.7216 28.894 77.6822
"100" 56.3698 23.2066 76.1258
"101" 60.2329 18.046 75.3356
"102" 63.2567 13.2888 72.4041
"103" 68.5646 11.1759 69.4145
"104" 73.671012878418 10.5532875061035 65.487548828125
"105" 27.8389434814453 73.3620300292969 81.8519287109375
"106" 52.3731307983398 67.1564483642578 85.1258544921875
"107" 80.7665252685547 69.9693374633789 132.931838989258
"108" 74.2427 73.4882 136.3117
"109" 67.9983 77.4469 139.6713
"110" 62.4831 83.1433 141.4408
"111" 57.5375 89.2568 141.0228
"112" 51.1806 90.6724 136.4797
"113" 46.2207 88.757 130.335
"114" 42.6237 85.6993 123.6863
"115" 39.5527 82.3849 116.888
"116" 38.3171 77.888 110.2126
"117" 38.9274 72.2847 104.39
"118" 41.2129 66.2559 99.5
"119" 45.6817 59.9802 96.7854
"120" 50.6967 53.694 95.9411
"121" 56.5444 48.0166 96.4603
"122" 62.9618 43.5598 98.5832
"123" 69.3906 41.9604 103.2763
"124" 74.8831 43.1192 109.0508
"125" 79.8593 46.3667 114.6008
"126" 83.6836 50.8815 120.0447
"127" 84.6924 56.8853 125.4133
"128" 84.8975 64.0539 129.1022
"129" 61.8084945678711 85.8103942871094 76.4203796386719
"130" 62.7235 83.1838 75.4641
"131" 63.4282 80.4303 74.7309
"132" 65.0646 78.1186 74.4974
"133" 66.1761 75.6255 73.4021
