"V1" "V2" "V3"
"1" 29.5448780059814 18.2173690795898 16.0936679840088
"2" 28.991 18.4303 14.8663
"3" 28.3679 18.4408 13.656
"4" 27.7208 18.2978 12.4566
"5" 27.0844 18.4425 11.2798
"6" 26.3711 18.5411 10.136
"7" 25.6019 18.6118 9.0073
"8" 24.7439 18.6434 7.9498
"9" 23.9036 18.7512 6.8722
"10" 23.0391 18.6368 5.9953
"11" 22.1114 18.7043 5.0363
"12" 21.0381 18.591 4.1975
"13" 19.8408 18.4209 3.5493
"14" 18.6286 18.1909 2.9722
"15" 17.3838 17.7887 2.5596
"16" 16.0835494995117 17.3632526397705 2.47492027282715
"17" 26.690860748291 22.4104824066162 34.3052787780762
"18" 27.1588 22.0533 33.7456
"19" 28.0364 22.0326 33.979
"20" 28.857 21.812 34.2108
"21" 29.6686 21.5897 33.845
"22" 30.4858 21.8491 33.505
"23" 31.1118 22.4452 33.6155
"24" 31.3301 22.8099 34.3787
"25" 31.0974 23.1801 35.1895
"26" 30.4655 23.2324 35.7848
"27" 29.6154 23.103 36.0656
"28" 28.7248 23.0875 35.878
"29" 27.908 23.073 35.4479
"30" 27.15 22.8742 34.9611
"31" 29.5448780059814 18.2173690795898 16.0936679840088
"32" 21.6569232940674 17.6660861968994 8.44884490966797
"33" 20.3822441101074 12.692024230957 7.47461223602295
"34" 20.2207 11.7134 8.3266
"35" 20.1785 10.963 9.4083
"36" 20.249 10.5322 10.657
"37" 20.4657 10.2445 11.915
"38" 20.9812 10.11 13.1235
"39" 21.7974 10.0274 14.121
"40" 22.7164 10.1797 15.0625
"41" 23.7713 10.6037 15.7083
"42" 24.8862 11.2635 15.954
"43" 25.8303 12.1675 15.9038
"44" 26.3998 13.2938 15.5349
"45" 26.7761 14.3877 14.9147
"46" 26.9431 15.3298 14.0428
"47" 26.8038 16.0209 12.9318
"48" 26.4714 16.4992 11.762
"49" 25.8283 16.7318 10.6332
"50" 25.0987 16.7961 9.5368
"51" 24.2449 16.7021 8.5399
"52" 23.2512 16.5164 7.6961
"53" 22.2915 15.9609 6.9977
"54" 21.4301 15.0252 6.8435
"55" 20.8619 13.8638 7.0835
"56" 28.3066902160644 17.8413810729981 16.3358783721924
"57" 27.2664 17.9128 14.7901
"58" 26.4011 17.9253 13.1259
"59" 25.3151 18.0369 11.6066
"60" 24.1779 18.0862 10.1118
"61" 22.953 18.0605 8.7058
"62" 21.4809 17.9659 7.5401
"63" 19.9117 17.5689 6.5953
"64" 18.3433 16.7365 6.0373
"65" 16.6622638702393 15.90891456604 6.0528450012207
"66" 28.3066902160644 17.8413810729981 16.3358783721924
"67" 17.2180042266846 12.4223566055298 4.38727474212646
"68" 16.6622638702393 15.90891456604 6.0528450012207
"69" 17.2180042266846 12.4223566055298 4.38727474212646
"70" 17.4573 11.4902 5.9591
"71" 17.5627 10.8436 7.6941
"72" 17.7349 10.3905 9.4892
"73" 17.969 9.9642 11.2821
"74" 18.0353 9.6688 13.1155
"75" 18.2421 9.3851 14.95
"76" 18.3793 9.2286 16.8043
"77" 18.4002 8.9693 18.65
"78" 18.5441 8.7293 20.4976
"79" 18.6131 8.4397 22.3426
"80" 18.8015 8.1292 24.1753
"81" 19.0189 7.7277 25.9839
"82" 19.2751 7.3167 27.7858
"83" 19.5345 7.0298 29.6083
"84" 19.6342 6.6563 31.434
"85" 19.7549 6.2206 33.2466
"86" 19.8978 5.8424 35.0677
