"V1" "V2" "V3"
"1" 25.9678688049316 54.092414855957 61.7461242675781
"2" 28.4981 50.6466 58.751
"3" 31.0494 47.6029 55.3996
"4" 33.1281 46.7562 50.8352
"5" 34.8806 47.3633 45.9263
"6" 36.758 47.5651 41.0502
"7" 38.8215 47.9142 36.2506
"8" 41.0771 48.1726 31.5429
"9" 43.6097 47.5004 27.0858
"10" 46.4104 47.4372 22.6611
"11" 49.4302 47.2442 18.3727
"12" 52.7573 46.8311 14.4867
"13" 56.7126 46.6819 11.1041
"14" 61.06 47.5475 8.3242
"15" 65.3023 49.5422 5.9978
"16" 70.1911697387695 50.2556686401367 5.23630380630493
"17" 37.0771789550781 45.092601776123 119.780555725098
"18" 33.5586 45.9498 118.5511
"19" 29.7603 47.2388 119.4041
"20" 25.8035 46.7529 118.7028
"21" 21.689 46.8115 119.1487
"22" 17.6516 46.9701 120.1815
"23" 15.8073 46.484 123.4887
"24" 17.1955 44.6592 126.581
"25" 21.1778 44.0367 127.6383
"26" 25.1606 44.5197 127.2538
"27" 28.8171 45.0294 125.7636
"28" 32.2395 44.5372 127.8148
"29" 36.0344 43.8606 126.8911
"30" 38.192 44.6973 123.5164
"31" 25.9678688049316 54.092414855957 61.7461242675781
"32" 61.2741088867188 68.9395751953125 35.7026290893555
"33" 52.0625 100.541381835938 27.4557876586914
"34" 51.1333 107.3607 30.856
"35" 50.0699 113.1604 35.8416
"36" 47.6213 117.516 41.6875
"37" 44.7013 120.3184 48.2809
"38" 39.8438 120.3693 54.3283
"39" 33.3548 120.0076 58.4776
"40" 28.9933 118.8752 64.6979
"41" 27.345 117.5577 72.0531
"42" 25.0076 113.065 77.2004
"43" 22.1769 106.1347 76.8713
"44" 21.0007 98.7666 74.8062
"45" 21.4941 91.5672 72.118
"46" 22.7696 85.0192 68.3392
"47" 24.9547 79.2413 63.8417
"48" 27.5427 74.0562 58.887
"49" 31.3544 71.533 52.6763
"50" 35.2175 70.5989 46.0078
"51" 39.4339 71.4653 39.5977
"52" 43.7632 74.3312 33.8386
"53" 48.1626 79.2401 29.9673
"54" 51.4076 85.4537 26.7422
"55" 52.2756 93.0151 25.501
"56" 50.5009231567383 66.1782455444336 76.0449447631836
"57" 52.8321 65.1311 73.4248
"58" 54.3594 65.1545 70.3161
"59" 55.75 65.2692 66.9521
"60" 57.9709 65.6178 64.0393
"61" 60.0658 65.7831 61.0252
"62" 62.6131 66.5698 58.515
"63" 65.5644 66.2579 56.7374
"64" 68.8538 66.2913 55.5088
"65" 72.4058303833008 66.9490509033203 56.1385459899902
"66" 50.5009231567383 66.1782455444336 76.0449447631836
"67" 74.3430023193359 92.8610687255859 13.0223846435547
"68" 72.4058303833008 66.9490509033203 56.1385459899902
"69" 74.3430023193359 92.8610687255859 13.0223846435547
"70" 75.3821 102.2534 15.9498
"71" 76.2633 109.9166 22.4057
"72" 77.5522 116.3433 30.0839
"73" 77.7655 121.7862 38.5776
"74" 78.1969 126.4075 47.5718
"75" 78.5335 129.7166 57.0308
"76" 78.5386 132.898 66.5939
"77" 78.9412 135.203 76.3766
"78" 78.58 136.9193 86.3294
"79" 78.5847 137.9202 96.3902
"80" 77.9914 138.736 106.3621
"81" 78.1492 139.032 116.4795
"82" 77.9219 139.9273 126.5461
"83" 79.7636 140.2791 136.4463
"84" 79.6627 141.053 146.5171
"85" 79.7722 140.9637 156.6336
"86" 80.6297 138.8917 166.4037
"87" 79.8191528320312 135.164855957031 175.650588989258
"88" 75.8450164794922 75.3039016723633 160.493728637695
"89" 79.8191528320312 135.164855957031 175.650588989258
"90" 70.1911697387695 50.2556686401367 5.23630380630493
"91" 119.523811340332 40.8769607543945 75.3802947998047
"92" 116.6322 39.6412 69.1711
"93" 113.4472 39.5102 62.8837
"94" 111.0991 40.1275 56.2561
"95" 108.457 40.6405 49.7254
"96" 106.1428 41.8498 43.1932
"97" 103.0628 42.1858 36.9055
"98" 99.9817 42.9924 30.5983
"99" 96.1662 43.1153 24.6654
"100" 91.772 42.8223 19.2297
"101" 86.9077 43.4006 14.1895
"102" 81.7711 45.0264 9.6449
"103" 75.9269 47.2073 6.5434
"104" 70.1911697387695 50.2556686401367 5.23630380630493
"105" 119.523811340332 40.8769607543945 75.3802947998047
"106" 83.9235763549805 67.4400482177734 36.1655654907227
"107" 96.9764556884766 94.1183242797852 25.7914352416992
"108" 99.508 101.2293 29.0686
"109" 102.7548 107.2121 33.6135
"110" 106.1218 112.1065 39.1044
"111" 109.8117 114.4423 46.0132
"112" 115.4059 114.822 51.9635
"113" 121.4787 113.7882 57.2209
"114" 125.7343 113.592 64.2402
"115" 127.3805 112.319 72.1357
"116" 129.1103 106.0669 76.539
"117" 130.2044 98.04 76.0476
"118" 130.0589 90.2312 73.6289
"119" 127.8814 83.0361 70.2648
"120" 125.5515 76.2246 66.3502
"121" 121.489 70.8921 61.5814
"122" 116.6314 66.9093 56.2806
"123" 112.5823 64.5259 49.5484
"124" 108.1326 65.1963 42.6772
"125" 103.6268 67.7455 36.2831
"126" 99.5901 71.8017 30.379
"127" 96.4787 77.9673 26.0748
"128" 95.6408 85.9919 25.3378
"129" 95.7471313476562 62.6847076416016 75.4759292602539
"130" 93.2978 62.4135 72.7245
"131" 91.4146 62.1992 69.6728
"132" 89.5991 62.8788 66.4735
"133" 87.5275 63.3133 63.4104
"134" 85.0769 63.9751 60.7081
"135" 82.6685 64.5141 58.2799
"136" 79.4472 65.088 56.6312
"137" 75.8651 65.716 55.7891
"138" 72.4058303833008 66.9490509033203 56.1385459899902
"139" 95.7471313476562 62.6847076416016 75.4759292602539
"140" 36.1155471801758 44.6678047180176 120.319000244141
"141" 36.286865234375 44.634105682373 122.086814880371
"142" 35.9728012084961 44.4090995788574 123.415000915527
"143" 35.4870185852051 43.8660507202148 124.73314666748
"144" 34.555248260498 43.5977439880371 126.479156494141
"145" 34.774169921875 44.8657264709473 120.196006774902
"146" 34.7747917175293 45.0568428039551 121.607406616211
"147" 33.9141006469727 43.1929016113281 123.15299987793
"148" 33.583122253418 43.0167045593262 123.847145080566
"149" 32.5271186828613 43.819408416748 125.785690307617
"150" 33.0943870544434 45.2298049926758 119.863220214844
"151" 33.1268005371094 45.5570983886719 121.554000854492
"152" 33.2731552124023 43.1182708740234 123.299949645996
"153" 31.7049674987793 44.1036643981934 125.04679107666
"154" 30.8766613006592 44.3561477661133 125.74543762207
"155" 31.4543838500977 45.8074188232422 119.907356262207
"156" 31.0501956939697 46.2004776000977 121.193504333496
"157" 30.2870845794678 45.4530868530273 124.005409240723
"158" 30.0571327209473 44.5691871643066 125.000663757324
"159" 29.1038417816162 44.6811103820801 125.421524047852
"160" 29.7527446746826 46.3457183837891 120.52400970459
"161" 28.9875888824463 46.4705963134766 121.638305664062
"162" 28.333402633667 45.5816497802734 123.835723876953
"163" 27.9183902740479 44.9055252075195 124.66527557373
"164" 27.3889179229736 44.739688873291 125.458381652832
"165" 27.7303123474121 46.5061111450195 120.673133850098
"166" 26.9750595092773 46.2531394958496 122.435005187988
"167" 26.6713829040527 45.7208213806152 123.635620117188
"168" 25.9649353027344 44.7086143493652 124.873237609863
"169" 25.5437507629395 44.3674201965332 125.84162902832
"170" 25.277229309082 46.1436653137207 120.60359954834
"171" 24.5784187316895 45.8052940368652 122.537185668945
"172" 24.5707321166992 44.8231773376465 124.355346679688
"173" 24.2120037078857 43.905403137207 125.998817443848
"174" 23.2164497375488 45.7252883911133 120.51146697998
"175" 23.2550964355469 45.6884002685547 122.011116027832
"176" 23.033935546875 45.2403755187988 123.402153015137
"177" 22.95774269104 44.2177391052246 125.399963378906
"178" 21.4003105163574 45.9655227661133 120.123008728027
"179" 21.5556411743164 45.6726303100586 121.67138671875
"180" 21.5213832855225 45.3379096984863 123.71891784668
"181" 21.2985992431641 44.2204971313477 126.064994812012
"182" 19.8355102539062 45.9849700927734 120.810050964355
"183" 19.6652278900146 45.8740501403809 121.993476867676
"184" 19.7952575683594 45.5493278503418 123.899978637695
"185" 19.9404697418213 44.6008415222168 125.803268432617
"186" 17.9593868255615 46.0908393859863 122.103317260742
"187" 17.9846000671387 45.6921997070312 123.650001525879
"188" 17.7176723480225 44.7870559692383 125.588729858398
"189" 28.9337348937988 58.3820304870605 62.3896026611328
"190" 29.2350921630859 64.2897567749023 64.9928131103516
"191" 32.6930046081543 68.9865036010742 65.2524566650391
"192" 39.2603988647461 72.4389038085938 66.3401031494141
"193" 44.4762153625488 70.4786376953125 68.503662109375
"194" 47.4817008972168 68.7408142089844 71.3018646240234
"195" 49.8613014221191 66.3042984008789 72.151496887207
"196" 31.141357421875 53.614429473877 58.8130264282227
"197" 31.6889610290527 60.5779685974121 60.2408180236816
"198" 33.6836242675781 67.8021621704102 62.4615364074707
"199" 42.5190010070801 70.9629974365234 62.7186012268066
"200" 48.4888000488281 68.7332992553711 66.0064010620117
"201" 51.0410003662109 66.367301940918 68.447998046875
"202" 32.2467155456543 52.0043678283691 55.2148513793945
"203" 32.4837379455566 58.2218818664551 56.9835319519043
"204" 34.3497009277344 66.1961975097656 58.7877006530762
"205" 36.0528869628906 68.6532287597656 57.9866142272949
"206" 49.5361022949219 68.9116287231445 62.5661201477051
"207" 51.9078330993652 66.3654251098633 65.4931488037109
"208" 53.2136611938477 66.1922302246094 64.524169921875
"209" 33.3039512634277 52.2008628845215 52.0769004821777
"210" 33.728874206543 59.4743576049805 53.6110916137695
"211" 35.9750556945801 66.4292297363281 54.580867767334
"212" 44.8396987915039 70.0887985229492 56.5635986328125
"213" 50.7722969055176 69.2719879150391 59.1809463500977
"214" 54.5505981445312 66.1295013427734 61.7751998901367
"215" 34.4682350158691 51.7903099060059 48.8431091308594
"216" 35.0446014404297 57.9866981506348 49.0518989562988
"217" 36.673511505127 65.0949935913086 50.8853149414062
"218" 46.3591003417969 69.4421005249023 51.4668006896973
"219" 50.8530006408691 58.3102607727051 50.0361137390137
"220" 55.8640670776367 65.9205169677734 59.5717391967773
"221" 57.5077018737793 65.9282989501953 58.3142013549805
"222" 35.8730010986328 51.9279136657715 45.3309860229492
"223" 36.5905799865723 57.3336601257324 44.5424270629883
"224" 37.5054779052734 63.4811134338379 46.7707481384277
"225" 46.8469696044922 69.3534469604492 49.6873474121094
"226" 47.9739990234375 69.0977020263672 49.2770004272461
"227" 51.1657981872559 58.3373985290527 50.0542984008789
"228" 58.4066009521484 66.3449020385742 56.4809989929199
"229" 37.7439002990723 52.7617988586426 41.3406982421875
"230" 38.5536003112793 59.3754997253418 41.0708999633789
"231" 41.384880065918 66.9816131591797 42.3397598266602
"232" 49.0208549499512 69.2366943359375 45.0990524291992
"233" 50.4887008666992 67.8775024414062 42.6688995361328
"234" 51.3342514038086 58.1152648925781 49.8911933898926
"235" 61.4071998596191 66.030403137207 53.4586982727051
"236" 40.0605392456055 53.2700119018555 35.9809761047363
"237" 40.5374298095703 59.6240921020508 37.1129188537598
"238" 43.2861938476562 67.7342071533203 39.5354347229004
"239" 50.2738990783691 67.9592971801758 42.4519004821777
"240" 53.9842987060547 57.3908996582031 43.8949012756348
"241" 60.0064010620117 58.1853981018066 43.0531005859375
"242" 41.3785743713379 52.4763946533203 33.130558013916
"243" 41.6357841491699 58.7691040039062 34.5417861938477
"244" 44.2184677124023 66.0702133178711 36.0805969238281
"245" 50.9943771362305 68.3198928833008 39.2495803833008
"246" 52.9505386352539 67.6953048706055 38.0249938964844
"247" 60.0064010620117 58.1853981018066 43.0531005859375
"248" 61.6944122314453 69.3702239990234 41.077953338623
"249" 43.1147079467773 52.8600540161133 30.5921459197998
"250" 44.4865074157715 61.494686126709 31.4331016540527
"251" 51.4723434448242 68.0331268310547 36.0478630065918
"252" 53.8964996337891 65.8938980102539 35.307201385498
"253" 54.043098449707 57.1397018432617 43.665599822998
"254" 60.0064010620117 58.1853981018066 43.0531005859375
"255" 63.1539001464844 69.2953033447266 42.6016998291016
"256" 44.7901649475098 51.5010757446289 27.6880664825439
"257" 45.954460144043 59.3702926635742 27.8693828582764
"258" 53.4558944702148 66.4563674926758 34.7280006408691
"259" 53.994213104248 65.9936599731445 35.3863296508789
"260" 59.9352722167969 57.9275436401367 42.8821105957031
"261" 60.0064010620117 58.1853981018066 43.0531005859375
"262" 66.9766235351562 65.8761596679688 49.6215782165527
"263" 45.9373397827148 50.4339561462402 25.3190021514893
"264" 47.6686172485352 63.1200942993164 27.9727916717529
"265" 54.6459808349609 65.6940612792969 34.1293334960938
"266" 59.9033012390137 68.2413024902344 35.5704002380371
"267" 60.3342018127441 57.9425010681152 42.9216995239258
"268" 67.1115875244141 65.6689529418945 49.7218322753906
"269" 48.6366767883301 50.4101448059082 21.3162250518799
"270" 49.3498229980469 60.9954719543457 24.3472537994385
"271" 56.8514022827148 65.1693420410156 31.661470413208
"272" 59.749080657959 68.0179443359375 34.9733581542969
"273" 60.3342018127441 57.9425010681152 42.9216995239258
"274" 67.2785415649414 65.5625915527344 49.6282653808594
"275" 51.1359748840332 54.6534271240234 19.2483005523682
"276" 57.6741790771484 64.2004318237305 27.3269462585449
"277" 60.3007164001465 65.7688446044922 31.4874153137207
"278" 65.0941009521484 56.132999420166 36.9305000305176
"279" 68.1168975830078 65.7654037475586 49.3560981750488
"280" 53.3399314880371 51.4123802185059 15.8414850234985
"281" 60.4081001281738 62.576301574707 22.273099899292
"282" 61.7922630310059 63.16015625 28.4052085876465
"283" 64.2460021972656 67.2099990844727 32.0070991516113
"284" 69.044189453125 68.5237731933594 44.4141159057617
"285" 61.9305000305176 47.5579986572266 20.7992992401123
"286" 63.1541557312012 61.0445899963379 22.56667137146
"287" 65.4133529663086 64.3878021240234 26.6420383453369
"288" 66.9220275878906 68.2442779541016 31.5854606628418
"289" 59.9946022033691 52.2179908752441 10.3260049819946
"290" 64.7667999267578 61.4351005554199 19.5569000244141
"291" 67.2951354980469 66.3134078979492 23.4523258209229
"292" 70.9834899902344 68.6680755615234 28.3336009979248
"293" 62.6698989868164 53.1358985900879 8.86847972869873
"294" 65.6371841430664 62.2262916564941 14.5355167388916
"295" 69.6173553466797 64.9754486083984 17.7057189941406
"296" 71.3388137817383 68.1651382446289 22.4559650421143
"297" 66.600700378418 55.9884986877441 7.72482013702393
"298" 69.864990234375 64.1390686035156 14.6377220153809
"299" 117.358840942383 47.4865112304688 70.4066696166992
"300" 116.341003417969 54.2001991271973 67.3095016479492
"301" 113.972290039062 62.2744064331055 65.0557098388672
"302" 106.732002258301 67.2518005371094 66.5102996826172
"303" 99.7522964477539 65.3393020629883 71.2490005493164
"304" 96.7822189331055 62.9622573852539 74.0599594116211
"305" 115.642929077148 44.9061470031738 68.8125152587891
"306" 115.528617858887 54.2759170532227 66.6269149780273
"307" 112.917091369629 62.762565612793 64.9360580444336
"308" 103.916999816895 66.2460021972656 66.7880020141602
"309" 96.8090209960938 63.904125213623 69.7732391357422
"310" 94.9990997314453 62.7485008239746 69.7593994140625
"311" 113.983283996582 44.6496887207031 64.5378112792969
"312" 113.808250427246 52.5124282836914 62.9276580810547
"313" 112.152359008789 61.7108154296875 62.4446487426758
"314" 104.569000244141 66.2522964477539 63.9552993774414
"315" 97.8089981079102 64.7381973266602 66.8324966430664
"316" 94.7931671142578 63.1097221374512 66.3101119995117
"317" 91.2727966308594 62.6809005737305 66.1420974731445
"318" 112.388511657715 45.1766166687012 60.0136756896973
"319" 112.055892944336 54.2425384521484 58.2727928161621
"320" 110.229789733887 61.6913833618164 58.0114135742188
"321" 102.136001586914 65.7148971557617 59.1983985900879
"322" 98.3905944824219 65.9800415039062 62.2759437561035
"323" 92.5711975097656 63.4598007202148 62.5544013977051
"324" 91.3923034667969 63.4910011291504 61.4973983764648
"325" 110.789161682129 45.1295318603516 55.488712310791
"326" 110.706001281738 52.6707000732422 54.3138999938965
"327" 108.038276672363 62.0544281005859 53.117862701416
"328" 99.5637969970703 65.6807022094727 55.1137008666992
"329" 89.3917007446289 63.4846992492676 58.2137985229492
"330" 89.0949020385742 63.2918014526367 58.4211006164551
"331" 104.930999755859 45.6884002685547 48.1422004699707
"332" 108.611038208008 55.3181686401367 49.2613716125488
"333" 98.840202331543 65.143798828125 51.5870018005371
"334" 94.0892028808594 66.5211029052734 53.711498260498
"335" 89.1717987060547 63.4859008789062 58.0395011901855
"336" 86.2685012817383 64.3239974975586 56.2360992431641
"337" 102.026000976562 45.8928985595703 46.4445991516113
"338" 106.147583007812 58.1753883361816 44.6250114440918
"339" 97.3413619995117 65.2174606323242 47.3927764892578
"340" 93.0462036132812 66.9541015625 49.676399230957
"341" 86.9160003662109 66.1358032226562 52.9448013305664
"342" 82.222900390625 64.4965972900391 52.059700012207
"343" 100.323181152344 44.5361633300781 41.6971855163574
"344" 105.109169006348 54.4194984436035 40.7897033691406
"345" 96.0389022827148 65.0169982910156 43.2951011657715
"346" 90.7358627319336 67.0779113769531 48.3274116516113
"347" 82.1928329467773 64.6476898193359 51.6815299987793
"348" 79.4882965087891 64.6126022338867 50.5410003662109
"349" 99.2258987426758 45.0238990783691 40.0710983276367
"350" 102.477317810059 56.569896697998 36.0888290405273
"351" 95.8529205322266 65.0776901245117 39.4882202148438
"352" 93.408805847168 64.8259506225586 40.7964134216309
"353" 86.1675033569336 67.4307022094727 45.9253005981445
"354" 82.1754989624023 64.7348022460938 51.4635009765625
"355" 79.4882965087891 64.6126022338867 50.5410003662109
"356" 99.4361572265625 47.428337097168 30.7238922119141
"357" 100.25700378418 54.913501739502 32.4047012329102
"358" 93.7505416870117 64.6620101928711 35.8249397277832
"359" 91.313850402832 65.1694564819336 38.3926048278809
"360" 84.1691970825195 67.3899993896484 44.2463989257812
"361" 79.6840972900391 64.6512985229492 50.1966018676758
"362" 79.5597076416016 64.8637542724609 50.9365196228027
"363" 96.7229843139648 48.8038024902344 26.3801860809326
"364" 96.3828964233398 58.1972007751465 28.0237007141113
"365" 90.8142623901367 63.6095275878906 32.7184028625488
"366" 88.219596862793 65.9964981079102 37.0498008728027
"367" 82.1492156982422 67.5861358642578 42.1502494812012
"368" 77.4367980957031 64.7141036987305 49.1338005065918
"369" 94.2222671508789 47.6112785339355 23.1381282806396
"370" 93.9635467529297 55.2425880432129 23.5431842803955
"371" 88.5753631591797 62.6252098083496 29.8036212921143
"372" 84.4477996826172 66.6026992797852 35.2821006774902
"373" 80.2876739501953 67.6562042236328 40.8880844116211
"374" 76.8988037109375 64.7317962646484 49.1758003234863
"375" 90.5001983642578 49.4693984985352 18.7872009277344
"376" 91.0020980834961 56.17236328125 19.763650894165
"377" 85.24462890625 61.2021522521973 26.9387054443359
"378" 81.0452346801758 63.347900390625 29.3843975067139
"379" 77.7893981933594 68.0475997924805 39.2504005432129
"380" 76.5340118408203 68.3659133911133 41.7250633239746
"381" 85.5459899902344 47.5934295654297 13.7063331604004
"382" 79.9113998413086 59.7630004882812 22.0417995452881
"383" 80.111457824707 60.001106262207 23.1807060241699
"384" 77.6220550537109 64.3667678833008 28.2594356536865
"385" 75.3761978149414 68.5663452148438 30.7271022796631
"386" 82.5183029174805 49.2663993835449 11.3105001449585
"387" 78.2894973754883 60.6101989746094 18.653600692749
"388" 76.102897644043 65.5406036376953 23.5172996520996
"389" 78.8232116699219 52.9828147888184 9.29715061187744
"390" 75.6838989257812 62.3054161071777 15.7973146438599
