"V1" "V2" "V3"
"1" 44.3284378051758 24.6107521057129 21.2173461914062
"2" 43.0629 23.3029 21.9194
"3" 41.9275 22.0208 22.889
"4" 40.769 20.725 23.8269
"5" 39.7423 19.5593 25.0387
"6" 38.5321 18.4068 26.0666
"7" 37.509 17.1805 27.2266
"8" 36.3935 16.0281 28.3783
"9" 35.2459 14.8421 29.4262
"10" 34.2124 13.5171 30.4108
"11" 33.0152 12.1973 31.2626
"12" 31.7912 10.8461 31.9763
"13" 30.4983 9.3653 32.1258
"14" 29.1514 8.4472 33.0425
"15" 27.5719 8.0381 34.06
"16" 25.6563091278076 7.96246528625488 34.3919830322266
"17" 43.4704132080078 41.8183097839355 14.2495412826538
"18" 44.4432 41.5541 14.9346
"19" 45.5526 41.5843 15.4224
"20" 46.6829 41.1805 15.3363
"21" 47.5667 40.7658 14.59
"22" 48.3822 40.9317 13.7434
"23" 48.6125 41.7593 12.8748
"24" 48.4533 42.9165 12.4857
"25" 47.6678 43.815 12.3957
"26" 46.7185 44.4415 12.6803
"27" 45.5618 44.5025 12.2438
"28" 44.4261 44.1011 12.0715
"29" 43.5124 43.5331 12.5882
"30" 43.2557 42.6997 13.3911
"31" 44.3284378051758 24.6107521057129 21.2173461914062
"32" 34.3838691711426 25.7780303955078 28.3221588134766
"33" 38.6333312988281 20.2182235717773 38.1459617614746
"34" 38.5204 21.2997 40.235
"35" 38.6424 22.7659 42.0583
"36" 39.1253 24.8254 42.9238
"37" 39.9339 27.0408 43.0881
"38" 40.4682 29.3371 43.0226
"39" 41.1898 31.5349 42.6546
"40" 42.7709 32.8294 41.6009
"41" 44.5892 33.9097 40.5609
"42" 46.3685 34.4752 39.1099
"43" 47.9618 34.5776 37.3837
"44" 49.058 34.2203 35.3419
"45" 49.4292 33.3426 33.2025
"46" 49.2228 31.8148 31.4412
"47" 48.7039 30.0648 29.9463
"48" 47.5201 28.2186 29.1314
"49" 46.0476 26.3813 28.9753
"50" 44.5158 24.5879 29.1002
"51" 42.9463 22.8856 29.5501
"52" 41.4425 21.355 30.5413
"53" 40.2398 19.8932 31.9467
"54" 39.1895 18.8402 33.7429
"55" 38.7307 19.3231 35.9562
"56" 37.4085235595703 30.2057456970215 25.2824249267578
"57" 36.0699 28.4641 26.4865
"58" 35.0167 26.6021 27.6885
"59" 34.2911 24.4083 28.5978
"60" 33.1169 22.4486 29.6322
"61" 32.015 20.4595 30.6858
"62" 30.9801 18.5467 31.9218
"63" 29.9611 16.3982 32.6951
"64" 29.1756 14.5405 33.9252
"65" 27.1648101806641 14.6533727645874 35.2975387573242
"66" 37.4085235595703 30.2057456970215 25.2824249267578
"67" 29.5082263946533 17.5066757202148 45.546688079834
"68" 27.1648101806641 14.6533727645874 35.2975387573242
"69" 29.5082263946533 17.5066757202148 45.546688079834
"70" 30.4286 20.23 46.7102
"71" 31.264 23.1959 47.2748
"72" 31.8319 26.2931 47.1384
"73" 32.5984 29.3037 46.6119
"74" 33.1586 32.3953 46.4739
"75" 33.6899 35.4488 45.928
"76" 34.122 38.4108 44.9439
"77" 34.5406 41.3535 43.8887
"78" 34.8545 44.3012 42.8098
"79" 35.1815 47.2049 41.6236
"80" 35.4783 50.0203 40.2839
"81" 35.4404 52.6563 38.5716
"82" 35.9208 55.4707 37.2785
"83" 36.2911 58.3309 36.0379
"84" 36.8496 61.2937 35.1416
"85" 37.3436 64.2523 34.2154
"86" 37.9738 67.0248 32.8496
"87" 38.6477661132812 69.8815460205078 31.6954574584961
"88" 34.9110450744629 63.9365577697754 19.9447555541992
"89" 38.6477661132812 69.8815460205078 31.6954574584961
"90" 25.6563091278076 7.96246528625488 34.3919830322266
"91" 11.5430288314819 31.9412860870361 27.0993728637695
"92" 12.2791 29.8083 26.9803
"93" 13.2136 27.8133 27.716
"94" 14.2365 25.9202 28.6056
"95" 15.1801 24.0869 29.687
"96" 16.2839 22.1886 30.5099
"97" 17.3681 20.3008 31.3897
"98" 18.401 18.3361 32.1509
"99" 19.049 16.267 33.0437
"100" 19.8733 14.161 33.6045
"101" 20.8566 12.057 33.7203
"102" 21.9295 10.152 34.0051
"103" 23.7163 8.9241 34.7853
"104" 25.6563091278076 7.96246528625488 34.3919830322266
"105" 11.5430288314819 31.9412860870361 27.0993728637695
"106" 22.8284111022949 28.0169544219971 30.0358009338379
"107" 20.6415863037109 23.392520904541 41.1882591247559
"108" 21.6888 24.2035 43.3426
"109" 22.6889 25.7468 44.9801
"110" 23.1206 28.0205 45.8669
"111" 23.4346 30.5161 46.1388
"112" 23.7375 33.0317 46.1502
"113" 23.8408 35.4747 45.6694
"114" 22.2749 37.3183 45.0431
"115" 20.4549 38.8998 44.3298
"116" 18.6595 40.4078 43.3679
"117" 16.6721 40.9751 42.0218
"118" 15.0875 40.6227 40.109
"119" 13.9609 39.4865 38.1733
"120" 13.2392 37.7846 36.4471
"121" 12.7859 35.7499 35.0796
"122" 13.2286 33.3476 34.4484
"123" 13.9808 30.9463 34.1838
"124" 14.9375 28.5998 34.1156
"125" 15.9654 26.3691 34.6547
"126" 16.9509 24.353 35.8252
"127" 17.9242 22.6319 37.3962
"128" 19.4178 22.39 39.2108
"129" 21.0077114105225 34.228645324707 27.6879348754883
"130" 21.7472 31.8624 28.5182
"131" 22.3778 29.4851 29.4138
"132" 22.6341 27.0424 30.3224
"133" 23.2378 24.6804 31.2484
"134" 23.8594 22.3189 32.1856
"135" 24.1752 19.8722 33.0393
"136" 24.3298 17.4097 33.9027
"137" 24.7905 15.387 34.8474
"138" 27.1648101806641 14.6533727645874 35.2975387573242
"139" 21.0077114105225 34.228645324707 27.6879348754883
"140" 43.6739730834961 41.8614845275879 13.9086093902588
"141" 43.7406158447266 42.1381568908691 13.4481010437012
"142" 43.778018951416 42.2679138183594 13.3682126998901
"143" 44.0802192687988 42.8914985656738 12.9302701950073
"144" 44.0875015258789 43.7162017822266 12.1698999404907
"145" 44.1756248474121 41.6584548950195 13.9850225448608
"146" 44.2208404541016 42.0685539245605 13.5987720489502
"147" 44.2811622619629 42.5138282775879 13.2989730834961
"148" 44.378791809082 42.8089981079102 13.0366287231445
"149" 44.8111038208008 43.4250144958496 12.4597854614258
"150" 44.6486015319824 41.6503562927246 14.1517353057861
"151" 44.7694435119629 42.1022758483887 13.7642755508423
"152" 44.8047981262207 42.5985488891602 13.3480272293091
"153" 44.9577941894531 43.1429176330566 12.82981300354
"154" 45.4980354309082 43.6608581542969 12.4584560394287
"155" 45.0622901916504 41.6867294311523 14.376914024353
"156" 45.2535591125488 42.1421737670898 13.9262752532959
"157" 45.3659934997559 42.6043128967285 13.5256834030151
"158" 45.6090431213379 43.1197547912598 13.0793590545654
"159" 46.0729942321777 43.7118225097656 12.6799726486206
"160" 45.6194725036621 41.7820053100586 14.5353498458862
"161" 45.822811126709 42.247142791748 14.1051321029663
"162" 45.9909248352051 42.725341796875 13.69091796875
"163" 46.2162857055664 43.1364364624023 13.2763681411743
"164" 46.5557632446289 43.7207298278809 12.9644088745117
"165" 46.0863189697266 41.899356842041 14.6057958602905
"166" 46.3521842956543 42.3576622009277 14.1354560852051
