"V1" "V2" "V3"
"1" 30647.62109375 16408.181640625 12549.6044921875
"2" 29676.1704 15504.6896 12044.3486
"3" 28881.5068 14111.6389 12294.1145
"4" 27964.6018 12807.0121 12602.5058
"5" 26872.6354 11618.7181 12800.917
"6" 25775.8283 10435.3341 12936.2507
"7" 24801.968 9134.7776 12894.4884
"8" 23706.3763 7935.5584 12907.3339
"9" 22699.0428 6676.3433 12805.0234
"10" 21687.4669 5417.0324 12759.9388
"11" 20543.3421 4272.7873 12874.0879
"12" 19459.3686 3148.2693 12579.3139
"13" 18357.4784 2282.258 12016.7908
"14" 17065.4527 1688.4432 12770.0981
"15" 15555.0521 1293.4481 13022.3488
"16" 14050.083984375 1109.2255859375 13419.2099609375
"17" 29454.08984375 29332.791015625 8919.328125
"18" 30143.8309 28651.197 9220.5844
"19" 31036.2415 28741.2872 9553.829
"20" 31657.5147 29170.8475 10120.1637
"21" 32276.0531 28476.6585 10386.5723
"22" 33205.6672 28243.9092 10161.0362
"23" 34010.1177 28581.9899 9723.3766
"24" 34164.9792 29398.6042 9167.8795
"25" 33587.6405 30016.8039 8958.0278
"26" 32784.9475 30446.5739 9310.5459
"27" 32238.9934 30870.9033 8599.5063
"28" 31387.1154 30920.349 8088.6218
"29" 30382.9768 30818.8803 8151.6
"30" 29633.7946 30209.5872 8454.8026
"31" 30647.62109375 16408.181640625 12549.6044921875
"32" 21464.078125 14887.9267578125 15986.166015625
"33" 21546.87109375 8471.9375 26111.25
"34" 21301.8327 9656.2364 27389.6518
"35" 21228.9452 11467.7933 28053.2887
"36" 21106.1024 13289.2858 28680.3969
"37" 21085.9991 15128.9324 29185.5352
"38" 21873.6723 16836.7378 29262.3019
"39" 23463.8483 17906.4326 29396.7452
"40" 25257.0499 18455.1922 29047.5519
"41" 27056.0102 18615.3204 28427.7255
"42" 28299.0517 18755.5129 26973.1776
"43" 29427.7767 18541.9667 25458.844
"44" 30249.9488 17957.8137 23822.0299
"45" 30343.4741 17086.4505 22122.4829
"46" 29763.4597 15891.1165 20733.3647
"47" 28898.1386 14687.0417 19498.0126
"48" 27900.7637 13505.0496 18341.6104
"49" 26752.3501 12118.5596 17724.7057
"50" 25671.8003 10572.2787 17349.9538
"51" 24584.6067 9226.646 18080.0559
