"V1" "V2" "V3"
"1" 84.7143173217773 34.0798492431641 31.107234954834
"2" 84.4888 31.5055 30.4606
"3" 83.093 29.3207 29.6443
"4" 81.4656 27.1927 29.2368
"5" 79.5868 25.3444 28.5696
"6" 77.6353 23.4957 28.1504
"7" 75.9631 21.4558 27.547
"8" 73.8801 19.7872 27.0146
"9" 71.5985 18.3485 26.6952
"10" 69.3129 16.9076 26.5027
"11" 66.8468 15.8091 26.5562
"12" 64.5952 14.3548 26.5272
"13" 62.0809 13.3051 26.4825
"14" 59.7586 11.9111 26.2921
"15" 57.5312 10.5369 25.5967
"16" 54.9069480895996 10.2057485580444 25.2279720306396
"17" 86.2634429931641 64.0024108886719 8.49730682373047
"18" 88.6741 64.739 9.1318
"19" 90.5439 64.3082 10.7344
"20" 92.7832 63.1394 10.8412
"21" 95.1025 63.0523 10.3531
"22" 96.1535 64.9134 8.8942
"23" 96.4607 67.1562 7.9025
"24" 96.1769 69.2199 6.3878
"25" 94.5436 71.0225 5.9501
"26" 92.1534 71.6042 6.541
"27" 89.7414 70.8132 5.9605
"28" 87.2179 70.5258 5.732
"29" 86.1172 68.459 5.9097
"30" 86.028 66.0915 6.9452
"31" 84.7143173217773 34.0798492431641 31.107234954834
"32" 60.2346000671387 17.4037170410156 26.1459541320801
"33" 63.567569732666 18.5878009796143 34.1083679199219
"34" 63.2515 20.2812 34.4944
"35" 63.5349 21.8447 34.9591
"36" 64.2857 23.3688 35.1019
"37" 65.333 24.7255 34.7333
"38" 66.6581 25.7783 34.2207
"39" 67.984 26.8285 33.7076
"40" 69.6488 26.9569 33.1557
"41" 71.3051 26.9975 32.6145
"42" 72.8179 27.0172 31.7509
"43" 74.2719 26.4048 30.9669
"44" 75.5466 25.3666 30.3364
"45" 75.9341 23.8917 29.5729
"46" 75.3983 22.3391 29.0878
"47" 74.262 21.052 28.7541
"48" 73.0948 19.7502 28.5485
"49" 71.7823 18.5724 28.4297
"50" 70.3892 17.503 28.4623
"51" 68.8066 16.7945 28.786
"52" 67.3176 16.2612 29.5467
"53" 66.1208 15.895 30.7604
"54" 65.2809 16.0856 32.2911
"55" 64.4243 17.3351 33.2008
"56" 83.5581436157227 35.3479614257812 27.6623306274414
"57" 81.8238 31.7047 26.8154
"58" 79.1623 28.5472 26.6076
"59" 76.2573 25.6074 26.4736
"60" 73.1052 22.9619 26.0518
"61" 69.5657 20.8418 25.7709
"62" 65.8667 19.0181 25.9351
"63" 62.172 17.2121 25.9766
"64" 58.583 15.3176 26.4451
"65" 54.5992012023926 14.2142524719238 26.482364654541
"66" 83.5581436157227 35.3479614257812 27.6623306274414
"67" 55.020679473877 11.4958076477051 34.0321846008301
"68" 54.5992012023926 14.2142524719238 26.482364654541
"69" 55.020679473877 11.4958076477051 34.0321846008301
"70" 55.2 15.7983 34.644
"71" 54.6793 20.1218 34.1872
"72" 54.408 24.4318 33.2835
"73" 54.5685 28.7511 32.4716
"74" 54.3631 33.0435 31.5361
"75" 54.4828 37.3292 30.5586
"76" 54.3999 41.6588 29.8874
"77" 53.9563 45.934 28.8947
"78" 53.3556 50.2724 28.4713
"79" 53.2209 54.6631 28.9202
"80" 52.8467 58.9363 29.8716
"81" 52.6961 63.084 31.3759
"82" 52.8547 67.1125 33.1624
"83" 52.536 70.9883 35.2638
"84" 52.2088 75.2218 36.3868
"85" 51.9136 79.5419 37.282
"86" 52.0922 83.9062 37.9691
"87" 52.0545959472656 88.2102813720703 37.1891632080078
"88" 52.2225570678711 104.368377685547 18.6820373535156
"89" 52.0545959472656 88.2102813720703 37.1891632080078
"90" 54.9069480895996 10.2057485580444 25.2279720306396
"91" 23.4421901702881 30.7903327941894 30.4496994018555
"92" 24.8523 28.2508 29.6967
"93" 26.8583 26.1274 29.0604
"94" 29.0584 24.1121 28.8169
"95" 31.3451 22.3075 28.1031
"96" 33.7555 20.6066 27.5798
"97" 35.9916 18.8169 26.7157
"98" 38.5273 17.333 26.1107
"99" 41.1865 15.9841 25.8072
"100" 43.7868 14.5035 25.7395
"101" 46.4745 13.1864 25.6739
"102" 49.1875 11.9515 25.4598
"103" 52.0016 10.9201 25.3375
"104" 54.9069480895996 10.2057485580444 25.2279720306396
"105" 23.4421901702881 30.7903327941894 30.4496994018555
"106" 49.7281227111816 16.9480495452881 26.0005149841309
"107" 47.0833435058594 17.806095123291 34.5392265319824
"108" 47.4529 19.5356 34.5358
"109" 46.7618 21.2456 34.5918
