"V1" "V2" "V3"
"1" 48.236083984375 22.0516815185547 17.7372493743896
"2" 47.9989 20.506 16.5665
"3" 47.1004 18.73 16.4367
"4" 46.043 17.0212 16.4212
"5" 44.9064 15.361 16.5373
"6" 43.7884 13.6884 16.5595
"7" 42.6385 12.0436 16.4284
"8" 41.3227 10.5127 16.4944
"9" 39.9817 9.0292 16.7229
"10" 38.6045 7.5891 16.9008
"11" 36.9331 6.4934 17.128
"12" 35.219 5.5905 17.695
"13" 33.6144 4.3847 17.8026
"14" 32.1813 3.006 17.5316
"15" 30.544 2.0966 16.8844
"16" 28.8633880615234 1.73180377483368 15.8711204528809
"17" 47.200740814209 44.3944816589355 4.97751808166504
"18" 48.4135 44.3242 5.4176
"19" 49.4836 44.8912 5.1796
"20" 50.5171 45.4522 5.4304
"21" 51.4694 44.8362 4.7981
"22" 52.3628 44.6215 3.9254
"23" 52.9463 45.3768 3.2196
"24" 52.2569 46.2571 2.6952
"25" 51.1458 46.8971 2.8208
"26" 50.0035 47.3222 3.1274
"27" 48.8498 47.1819 2.7452
"28" 47.7634 46.6563 2.523
"29" 46.9885 45.6877 2.8943
"30" 46.7116 44.9667 3.9073
"31" 48.236083984375 22.0516815185547 17.7372493743896
"32" 34.9200057983398 13.8322849273682 17.2826137542725
"33" 33.8527984619141 9.57592964172363 26.9268016815186
"34" 33.2082 10.6023 28.0498
"35" 33.2795 12.2067 28.7845
"36" 33.7754 13.7269 29.6258
"37" 34.4383 15.379 30.0516
"38" 35.3197 16.9737 30.4419
"39" 36.4358 18.3323 30.6179
"40" 37.8803 19.386 30.1663
"41" 39.345 20.2686 29.5284
"42" 40.7419 20.8342 28.454
"43" 41.9623 21.1946 27.1103
"44" 43.0307 20.923 25.6317
"45" 43.487 20.2378 23.9628
"46" 43.5197 19.0617 22.5575
"47" 43.3534 17.3522 21.9615
"48" 42.8412 15.6238 21.4933
"49" 42.1497 13.9526 21.0606
"50" 41.1673 12.3887 20.9398
"51" 40.0226 11.0126 21.4275
"52" 38.7141 9.7659 21.8701
"53" 37.2072 9.1825 22.6567
"54" 35.8687 8.9031 23.8899
"55" 34.7862 9.1871 25.3617
"56" 43.7334823608398 25.2920417785644 15.7566642761231
"57" 42.6005 22.8051 16.2404
"58" 41.1537 20.4489 16.4373
"59" 39.3062 18.3319 16.5126
"60" 37.1752 16.5154 16.8527
"61" 35.2776 14.452 17.106
"62" 33.8458 12.0994 17.6094
"63" 32.7643 9.6886 18.5232
"64" 31.4692 7.6082 19.4284
"65" 29.0716743469238 8.06375503540039 20.8453121185303
"66" 43.7334823608398 25.2920417785644 15.7566642761231
"67" 29.0052490234375 4.97373485565186 26.9930305480957
"68" 29.0716743469238 8.06375503540039 20.8453121185303
"69" 29.0052490234375 4.97373485565186 26.9930305480957
"70" 28.5426 7.8345 28.5751
"71" 28.7025 11.0086 29.2731
"72" 28.7975 14.2441 29.0081
"73" 29.161 17.5407 29.3853
"74" 28.976 20.7246 30.3421
"75" 28.5881 24.0368 30.363
"76" 28.5928 27.2932 30.7995
"77" 28.439 30.5699 31.229
"78" 28.5053 33.845 31.5387
"79" 28.6058 37.146 31.6544
"80" 28.4994 40.3781 32.3857
"81" 28.2613 43.6128 33.1548
"82" 28.3496 46.8529 33.9607
"83" 28.2079 49.996 35.1187
"84" 28.1011 53.0967 36.4084
"85" 28.3198 56.3387 37.2474
