"V1" "V2" "V3"
"1" 11.0292177200317 24.585657119751 50.8961944580078
"2" 11.0261 24.6067 48.143
"3" 10.9684 24.3154 45.4111
"4" 11.1439 23.9777 42.681
"5" 11.4677 23.8864 39.9531
"6" 11.8089 23.6194 37.2342
"7" 12.1311 23.2496 34.5242
"8" 12.5825 23.1336 31.8082
"9" 13.0372 22.8994 29.0994
"10" 13.4215 22.6813 26.3836
"11" 14.1642 22.4574 23.7401
"12" 15.1453 22.4544 21.1753
"13" 16.4692 22.3357 18.7808
"14" 18.2088 22.4767 16.6675
"15" 20.2885 22.476 14.8699
"16" 22.8632583618164 22.4474315643311 13.9459543228149
"17" 10.4462509155273 14.0472040176392 73.1294097900391
"18" 9.7889 15.7778 72.534
"19" 8.6846 16.8044 72.6874
"20" 7.1043 17.3981 73.5063
"21" 5.2869 17.8 73.3849
"22" 3.3735 17.6447 73.5006
"23" 1.7955 17.0423 74.1657
"24" 1.5483 15.9056 75.602
"25" 2.3988 14.9872 77.0902
"26" 4.0923 15.2156 77.8662
"27" 5.7609 14.8411 77.6305
"28" 7.2186 13.7702 76.9772
"29" 8.7775 12.9251 76.2209
"30" 10.0051 13.1339 74.7796
"31" 11.0292177200317 24.585657119751 50.8961944580078
"32" 19.7008495330811 26.551944732666 30.1972465515137
"33" 21.566535949707 35.936840057373 24.1605453491211
"34" 20.7486 36.4151 25.3133
"35" 19.7045 36.5832 26.3689
"36" 18.5267 36.5419 27.2909
"37" 17.2172 36.3029 27.9866
"38" 15.8207 35.781 28.1502
"39" 14.4227 35.2542 28.3048
"40" 13.3926 34.5414 27.5754
"41" 12.8182 33.7861 26.4432
"42" 12.6239 33.0239 25.1654
"43" 12.7136 32.4557 23.7879
"44" 13.0159 32.0057 22.3873
"45" 13.4666 31.8303 20.9915
"46" 14.0703 31.8576 19.6167
"47" 14.9038 31.8596 18.3782
"48" 15.991 32.0135 17.3638
"49" 17.2525 32.513 16.8075
"50" 18.4726 33.3348 17.0655
"51" 19.6678 33.9582 17.6448
"52" 20.6207 34.6382 18.5791
"53" 21.2357 35.1907 19.833
"54" 21.7023 35.6088 21.1777
"55" 21.6344 35.7728 22.6691
"56" 11.9925403594971 24.5249080657959 50.6347389221191
"57" 13.0693 25.0804 46.5045
"58" 13.6465 25.0671 42.2471
"59" 13.9982 25.1264 37.9561
"60" 14.7266 25.1549 33.7245
"61" 15.6782 24.7852 29.5461
"62" 16.6439 24.3381 25.3755
"63" 18.3975 23.8323 21.4859
"64" 20.1473 23.9614 17.5897
"65" 23.2541484832764 24.379768371582 14.7694940567017
"66" 11.9925403594971 24.5249080657959 50.6347389221191
"67" 23.9697856903076 32.4941101074219 13.5322914123535
"68" 23.2541484832764 24.379768371582 14.7694940567017
"69" 23.9697856903076 32.4941101074219 13.5322914123535
"70" 24.5074 34.511 17.679
"71" 25.1066 35.7397 22.1399
"72" 25.5966 36.6322 26.6967
"73" 26.2513 36.8806 31.2913
"74" 26.5171 36.5526 35.9332
"75" 26.9823 36.1993 40.5692
"76" 27.4 35.6235 45.1881
"77" 27.7261 35.6202 49.846
"78" 28.2261 35.8004 54.4858
"79" 28.3528 35.7582 59.1412
"80" 28.9102 35.8407 63.7797
"81" 29.345 35.8052 68.4291
"82" 29.7711 35.6655 73.0777
"83" 30.2095 35.5258 77.7284
"84" 30.8972 35.2734 82.342
"85" 31.4919 34.8859 86.9606
"86" 31.9426 34.3124 91.5729
"87" 32.3171157836914 33.6894912719727 96.188346862793
"88" 29.8290557861328 7.3376054763794 98.4864807128906
"89" 32.3171157836914 33.6894912719727 96.188346862793
"90" 22.8632583618164 22.4474315643311 13.9459543228149
"91" 41.957576751709 22.18408203125 47.997745513916
"92" 41.3135 22.1808 44.858
"93" 40.6394 21.9358 41.7303
"94" 39.8053 21.7333 38.6405
"95" 38.9028 21.6684 35.5582
"96" 37.7296 21.4918 32.5736
"97" 36.6651 21.4532 29.5483
"98" 35.5155 21.3249 26.5608
