"V1" "V2" "V3"
"1" 39.7798614501953 19.916446685791 48.1242904663086
"2" 39.4059 19.2713 46.7234
"3" 38.6629 17.9712 45.9846
"4" 37.8908 16.6075 45.3955
"5" 37.1363 15.1553 45.1279
"6" 36.3392 13.7041 44.8786
"7" 35.4313 12.3005 44.7966
"8" 34.4837 10.9421 44.9833
"9" 33.3928 9.6833 45.0165
"10" 32.3614 8.3968 45.2573
"11" 31.1894 7.2243 45.1785
"12" 30.0561 5.9946 45.2862
"13" 28.7076 5.0045 45.226
"14" 27.3841 4.1286 45.5812
"15" 26.1332 3.5955 46.489
"16" 24.7187423706055 3.2596287727356 47.3135948181152
"17" 35.4799766540527 35.4534378051758 42.9487457275391
"18" 36.4802 35.2153 43.3056
"19" 37.3241 35.7548 43.5869
"20" 38.3629 35.6597 43.215
"21" 39.354 35.6664 42.7389
"22" 40.2581 35.725 42.1055
"23" 40.6326 36.3277 41.4125
"24" 40.0344 37.0698 41.1456
"25" 39.0747 37.4341 41.2623
"26" 38.0499 37.4688 41.6586
"27" 37.0605 37.6971 41.9153
"28" 36.0323 37.6824 41.6182
"29" 35.2115 37.0645 41.6764
"30" 35.0013 36.1477 42.232
"31" 39.7798614501953 19.916446685791 48.1242904663086
"32" 28.7933502197266 14.0043163299561 47.7082901000977
"33" 29.2614898681641 6.29868745803833 57.289234161377
"34" 29.4474 7.7367 58.5029
"35" 29.8126 9.2753 59.5366
"36" 30.3302 10.9069 60.3302
"37" 31.1567 12.5488 60.7357
"38" 32.2819 14.0611 60.8981
"39" 33.6511 15.3213 60.7201
"40" 34.9595 16.5339 60.0839
"41" 36.2809 17.5232 59.1767
"42" 37.538 17.5903 57.7801
"43" 38.3291 17.6458 56.0752
"44" 38.7306 17.6243 54.2326
"45" 38.879 17.1711 52.41
"46" 38.3219 15.9868 51.1067
"47" 37.4475 14.6096 50.1484
"48" 36.599 13.103 49.4307
"49" 35.616 11.5006 49.2519
"50" 34.5174 9.9802 49.4737
"51" 33.3073 8.6208 49.9994
"52" 32.1043 7.4386 50.831
"53" 31.0299 6.5966 52.1373
"54" 30.2578 5.9488 53.7371
"55" 29.6235 5.8117 55.4934
"56" 33.8172607421875 22.4952392578125 48.1341552734375
"57" 32.7514 20.9473 47.743
"58" 31.8988 19.1755 47.7389
"59" 30.7921 17.5867 47.9217
"60" 29.8676 15.8599 48.0632
"61" 28.9201 14.1921 47.7357
"62" 28.0801 12.4553 47.382
"63" 26.9612 10.8502 47.3904
"64" 26.204 9.2311 47.422
"65" 24.7182769775391 8.43697166442871 48.3737411499023
"66" 33.8172607421875 22.4952392578125 48.1341552734375
"67" 25.6011943817139 3.16945457458496 57.6696662902832
"68" 24.7182769775391 8.43697166442871 48.3737411499023
"69" 25.6011943817139 3.16945457458496 57.6696662902832
"70" 25.4692 5.3276 59.2836
