"V1" "V2" "V3"
"1" 10.2114295959473 16.1665668487549 2.76732182502747
"2" 10.0997 16.7869 2.4052
"3" 9.9758 17.5728 2.3085
"4" 9.8182 18.3586 2.3162
"5" 9.6041 19.127 2.2484
"6" 9.4256 19.9026 2.3166
"7" 9.2376 20.6799 2.3668
"8" 9.0679 21.4486 2.5237
"9" 8.8928 22.2245 2.6433
"10" 8.7161 23.0045 2.7215
"11" 8.4861 23.767 2.7673
"12" 8.2077 24.4985 2.9166
"13" 8.0627 25.243 3.1819
"14" 8.0073 25.9756 3.3267
"15" 8.1155 26.596 3.8078
"16" 8.34287738800049 27.1256256103516 4.33924102783203
"17" 16.6642150878906 13.2190856933594 1.67588758468628
"18" 16.3482 13.0709 1.8996
"19" 16.1342 12.7247 1.9635
"20" 15.8937 12.3834 1.9493
"21" 15.6076 12.0786 1.8868
"22" 15.3888 11.8185 1.6511
"23" 15.3727 11.6346 1.2756
"24" 15.609 11.4201 1.0291
"25" 15.9993 11.5295 1.1093
"26" 16.264 11.8215 1.265
"27" 16.5405 12.1219 1.3016
"28" 16.831 12.4041 1.1924
"29" 17.057 12.7436 1.2235
"30" 16.9758 13.0585 1.449
"31" 10.2114295959473 16.1665668487549 2.76732182502747
"32" 10.4137420654297 22.5592555999756 3.69040536880493
"33" 8.08570861816406 22.7861633300781 9.14367866516113
"34" 8.4682 21.9075 9.7142
"35" 8.9369 21.0356 10.2099
"36" 9.3044 20.0462 10.5216
"37" 9.6291 19.0654 10.6471
"38" 9.9344 18.0002 10.5911
"39" 10.0199 17.0134 10.2561
"40" 10.4284 16.0536 9.8822
"41" 10.6138 15.1696 9.2472
"42" 10.5857 14.7488 8.2589
"43" 10.3611 14.8306 7.1736
"44" 10.2526 15.2299 6.1415
"45" 10.1333 15.8276 5.2159
"46" 9.9391 16.6407 4.501
"47" 9.8457 17.5578 3.8839
"48" 9.5747 18.5755 3.5355
"49" 9.2649 19.6365 3.5359
"50" 8.9955 20.6589 3.8833
"51" 8.7865 21.6475 4.3528
"52" 8.4253 22.4237 5.0503
"53" 8.0942 22.7898 6.0295
