"V1" "V2" "V3"
"1" 33.4326210021973 48.8217010498047 44.9948043823242
"2" 33.7912 48.4483 45.892
"3" 34.1298 48.4008 46.8762
"4" 34.3001 48.4738 47.892
"5" 34.4389 48.5839 48.9148
"6" 34.4917 48.7793 49.9382
"7" 34.5647 49.0108 50.9535
"8" 34.5823 49.2847 51.9593
"9" 34.5555 49.6319 52.9417
"10" 34.5427 49.8252 53.9494
"11" 34.3665 50.0286 54.9568
"12" 34.2037 50.1899 55.9721
"13" 34.0429 50.2248 57.002
"14" 33.9341 50.2017 58.0317
"15" 33.8807 50.1745 59.067
"16" 33.4575386047363 50.0470199584961 60.008358001709
"17" 30.2277336120606 40.708869934082 39.0097465515137
"18" 30.724 41.1009 38.6216
"19" 30.9766 41.359 37.9459
"20" 31.5012 41.6583 37.4417
"21" 32.169 42.0858 37.2512
"22" 32.8283 41.9889 36.9264
"23" 33.1564 41.4681 36.4211
"24" 32.9729 40.7646 36.1288
"25" 32.2926 40.4072 36.2154
"26" 31.6066 40.0453 36.4471
"27" 31.2581 39.5808 36.9636
"28" 30.8709 39.2289 37.5334
"29" 30.4205 39.4259 38.1675
"30" 30.1308 39.9451 38.7225
"31" 33.4326210021973 48.8217010498047 44.9948043823242
"32" 31.6892566680908 48.5408020019531 51.9790878295898
"33" 28.5537185668945 55.9997215270996 52.6058540344238
"34" 27.4385 56.1181 51.8074
"35" 26.4374 56.0407 50.8713
"36" 25.5794 55.6394 49.8757
"37" 24.9507 55.2279 48.7311
"38" 24.7831 55.0949 47.3974
"39" 25.1042 54.985 46.0641
"40" 25.4883 54.6826 44.7848
"41" 26.2444 54.252 43.7304
"42" 27.3262 53.6997 43.1474
"43" 28.5497 53.0818 43.2031
"44" 29.6784 52.4349 43.6455
"45" 30.6677 51.7212 44.2812
"46" 31.4249 51.0366 45.1931
"47" 32.1923 50.6345 46.2608
"48" 32.5453 50.5878 47.5868
"49" 32.7835 50.7645 48.9204
"50" 32.8286 51.0811 50.2576
"51" 32.6894 51.6634 51.4847
"52" 32.4272 52.4737 52.5674
"53" 31.6658 53.5308 52.9965
"54" 30.7618 54.5196 53.2436
"55" 29.6797 55.2973 52.9787
"56" 29.4617385864258 45.8964462280273 45.055850982666
"57" 30.2094 46.5571 46.333
"58" 30.9921 47.3681 47.5289
"59" 31.5382 48.1306 48.8647
"60" 31.8911 48.2992 50.4614
"61" 32.0337 48.6158 52.0802
"62" 32.0974 49.1986 53.6307
"63" 31.9451 49.7849 55.1729
"64" 31.1997 50.2176 56.5189
"65" 30.1281776428223 50.2287216186523 57.7420616149902
"66" 29.4617385864258 45.8964462280273 45.055850982666
"67" 27.9204196929932 56.8668365478516 59.1992721557617
"68" 30.1281776428223 50.2287216186523 57.7420616149902
"69" 27.9204196929932 56.8668365478516 59.1992721557617
"70" 26.519 56.6526 58.1406
"71" 25.451 56.2369 56.7919
"72" 24.3701 55.6337 55.5369
"73" 23.3654 54.9226 54.2557
"74" 22.3809 54.163 52.9833
"75" 21.427 53.4086 51.683
"76" 20.3795 52.6023 50.4974
"77" 19.4364 51.82 49.216
"78" 18.5591 50.9086 47.9663
