"V1" "V2" "V3"
"1" 31.6288375854492 13.7691354751587 5.27196884155273
"2" 31.41 12.9261 5.1348
"3" 31.3139 12.0577 5.0456
"4" 31.0612 11.2223 4.9636
"5" 30.8572 10.3641 4.9815
"6" 30.5758 9.5284 4.9722
"7" 30.2622 8.707 5.0429
"8" 29.9573 7.9016 5.2219
"9" 29.7197 7.0912 5.4741
"10" 29.3841 6.3567 5.8049
"11" 29.0251 5.6067 6.0862
"12" 28.7741 4.7938 6.311
"13" 28.5586 3.9541 6.4301
"14" 28.0661 3.2419 6.4143
"15" 27.5272 2.7636 6.9031
"16" 26.872896194458 2.39550828933716 7.36579322814941
"17" 28.1848487854004 22.0298900604248 1.3522744178772
"18" 28.5857 21.8679 1.7076
"19" 29.0654 22.0587 1.867
"20" 29.5437 22.354 1.8111
"21" 30.095 22.3535 1.8999
"22" 30.6472 22.2444 1.8665
"23" 31.089 22.3358 1.6033
"24" 31.1158 22.6152 1.1337
"25" 30.8087 22.9518 0.8355
"26" 30.2715 23.0501 0.8301
"27" 29.7195 23.032 0.9184
"28" 29.1703 22.9978 0.8143
"29" 28.667 22.756 0.7338
"30" 28.2691 22.4152 0.9412
"31" 31.6288375854492 13.7691354751587 5.27196884155273
"32" 27.7216148376465 8.74311828613281 6.34460639953613
"33" 29.0378761291504 7.15726232528687 13.7758541107178
"34" 29.0255 8.3084 14.2766
"35" 29.2638 9.5074 14.592
"36" 29.4013 10.7338 14.8604
"37" 29.6515 11.9597 14.8793
"38" 30.1674 13.1007 14.7331
"39" 30.6698 14.2262 14.46
"40" 31.0012 15.0033 13.5658
"41" 31.6236 15.3543 12.5325
"42" 31.9771 15.3223 11.3382
"43" 32.0444 15.0582 10.1062
"44" 32.1676 14.6276 8.9307
"45" 31.9817 13.8743 7.9501
"46" 31.6204 12.928 7.1997
"47" 31.3787 11.7734 6.7882
"48" 31.226 10.5281 6.688
"49" 30.7853 9.3763 6.9138
"50" 30.1625 8.3229 7.1826
"51" 29.6882 7.4558 7.9393
"52" 29.4373 6.8712 9.0261
"53" 29.2344 6.4685 10.206
"54" 29.0581 6.2873 11.4437
"55" 29.0131 6.5816 12.6488
"56" 28.9804458618164 14.1344966888428 6.39636039733887
"57" 29.0256 13.0653 6.1035
"58" 28.8072 11.9811 6.1957
"59" 28.5276 10.9244 6.1964
"60" 28.1848 9.8685 6.2972
"61" 27.8388 8.8192 6.3589
"62" 27.5304 7.7627 6.5203
"63" 27.4664 6.7208 6.9203
"64" 26.9824 5.9069 7.4282
"65" 26.0401039123535 5.60509538650513 7.88423538208008
"66" 28.9804458618164 14.1344966888428 6.39636039733887
"67" 26.8601417541504 3.75456047058106 12.8561840057373
"68" 26.0401039123535 5.60509538650513 7.88423538208008
"69" 26.8601417541504 3.75456047058106 12.8561840057373
"70" 26.4554 4.7914 13.8378
"71" 26.0164 6.0321 14.5656
"72" 25.6752 7.4 15.0865
"73" 25.2834 8.8173 15.4065
"74" 24.8832 10.2527 15.6119
"75" 24.4814 11.6951 15.7528
"76" 24.0594 13.1325 15.8844
"77" 23.705 14.5917 15.9854
"78" 23.3245 16.0437 16.0948
"79" 22.9058 17.4821 16.2201
"80" 22.5588 18.9435 16.1778
"81" 22.0647 20.3549 16.0118
"82" 21.697 21.8025 15.8456
"83" 21.4355 23.2618 15.6095
"84" 21.0572 24.664 15.2888
"85" 20.7345 26.1025 15.0127
"86" 20.3729 27.5357 14.7583
"87" 20.0561943054199 28.9690742492676 14.5119533538818
"88" 19.2244396209717 29.7940196990967 4.91244792938232
"89" 20.0561943054199 28.9690742492676 14.5119533538818
"90" 26.872896194458 2.39550828933716 7.36579322814941
"91" 16.9137077331543 9.88106918334961 5.76863384246826
"92" 17.5843 9.1662 5.5086
"93" 18.2176 8.3883 5.3291
"94" 18.8896 7.6311 5.2546
"95" 19.6497 6.9571 5.1809
"96" 20.4264 6.298 5.1611
"97" 21.2314 5.6868 5.2848
"98" 22.0309 5.0983 5.5049
"99" 22.7897 4.5053 5.8242
"100" 23.5569 3.898 6.1003
"101" 24.2608 3.2872 6.5098
"102" 25.0285 2.7527 6.8259
"103" 25.9613 2.3828 6.9104
"104" 26.872896194458 2.39550828933716 7.36579322814941
"105" 16.9137077331543 9.88106918334961 5.76863384246826
"106" 23.1594886779785 7.41655158996582 6.39011383056641
"107" 23.1249465942383 5.36937999725342 13.7512435913086
"108" 22.4518 6.3564 14.284
"109" 21.6559 7.2881 14.7298
"110" 20.9709 8.3774 14.976
"111" 20.0631 9.317 14.9766
"112" 18.9916 10.0671 14.8794
"113" 18.0118 10.8026 14.4461
"114" 17.2319 11.3185 13.5942
"115" 16.6079 11.1837 12.4628
"116" 16.3028 10.88 11.2297
"117" 16.2646 10.4951 9.9824
"118" 16.5587 10.0049 8.8126
"119" 17.2863 9.2605 8.0396
"120" 18.1493 8.4372 7.4944
"121" 18.9362 7.4709 7.1474
"122" 19.858 6.5397 7.118
"123" 20.8464 5.6884 7.2514
"124" 21.7911 5.0637 7.8679
"125" 22.5063 4.6992 8.8855
"126" 22.9753 4.5768 10.0991
"127" 23.3769 4.5387 11.3454
"128" 23.4081 4.7434 12.6325
"129" 19.3166923522949 11.4390754699707 6.53580284118652
"130" 19.7381 10.4375 6.3229
"131" 20.3419 9.5212 6.2261
"132" 21.1849 8.7976 6.2566
"133" 21.9908 8.0427 6.3335
"134" 22.8428 7.3289 6.4112
"135" 23.7305 6.67 6.4993
"136" 24.3182 5.8797 6.998
"137" 25.0867 5.3094 7.4796
"138" 26.0401039123535 5.60509538650513 7.88423538208008
"139" 19.3166923522949 11.4390754699707 6.53580284118652
"140" 28.4760551452637 21.9502468109131 1.34684181213379
"141" 28.4366149902344 22.1490020751953 1.17862832546234
"142" 28.3719997406006 22.0708999633789 1.19210004806519
"143" 28.4400997161865 22.4796009063721 0.885559976100922
"144" 28.5422992706299 22.6840000152588 0.715260028839111
"145" 28.7145862579346 21.9412174224854 1.42589521408081
"146" 28.6895122528076 22.1490383148193 1.25019335746765
"147" 29.0531997680664 21.7984008789062 1.36240005493164
"148" 28.8148002624512 22.6158008575439 0.851499974727631
"149" 28.9169998168945 22.7180004119873 0.817439019680023
"150" 28.9510078430176 22.0232086181641 1.47817993164062
"151" 28.9675464630127 22.2217426300049 1.29618060588837
"152" 29.0872001647949 21.7984008789062 1.36240005493164
"153" 28.9855499267578 22.6530303955078 0.916832208633423
"154" 29.0977630615234 22.7692260742188 0.912994980812073
"155" 29.1480445861816 22.1385307312012 1.53113651275635
"156" 29.2003936767578 22.3076477050781 1.34098172187805
"157" 29.1140441894531 21.7984008789062 1.38921308517456
"158" 29.8365993499756 22.7520999908447 1.05586004257202
"159" 29.3469181060791 22.8284721374512 1.00073397159576
"160" 29.4153671264648 22.2950325012207 1.56499576568604
"161" 29.4800548553467 22.4115009307861 1.38724398612976
"162" 29.5021114349365 22.5666046142578 1.24128222465515
"163" 29.8365993499756 22.7520999908447 1.05586004257202
"164" 29.600456237793 22.8611602783203 1.02180004119873
"165" 29.6547775268555 22.3931350708008 1.5461061000824
"166" 29.7440414428711 22.4796009063721 1.37135624885559
"167" 29.7760257720947 22.5827941894531 1.22517466545105
"168" 29.8371829986572 22.7580089569092 1.05585944652557
"169" 29.8712635040283 22.9211807250977 0.954894363880157
"170" 29.9953689575195 22.3952331542969 1.58300721645355
"171" 30.0266132354736 22.4796009063721 1.33950233459473
"172" 30.0448474884033 22.6778907775879 1.09601557254791
"173" 30.0923557281494 22.9316349029541 0.919619619846344
"174" 30.2826480865479 22.3259220123291 1.59133887290955
"175" 30.2579498291016 22.4244441986084 1.38861382007599
"176" 30.2945098876953 22.551815032959 1.18797421455383
"177" 30.2817859649658 22.8204784393311 0.919620156288147
"178" 30.5642910003662 22.252613067627 1.65606415271759
"179" 30.5421733856201 22.4115009307861 1.37167906761169
"180" 30.5347347259521 22.5829372406006 1.12284183502197
"181" 30.5452709197998 22.8433990478516 0.896452009677887
"182" 30.7934513092041 22.2917671203613 1.55021250247955
"183" 30.7984390258789 22.4361553192139 1.31186985969543
"184" 30.7665328979492 22.5890464782715 1.11673426628113
"185" 30.6729316711426 22.7861003875732 0.919619977474213
"186" 31.0291881561279 22.4199066162109 1.35445594787598
"187" 30.9771728515625 22.547700881958 1.16937947273254
"188" 30.9946002960205 22.6840000152588 1.02180004119873
